date,NAV
2023-12-04,1.0
2023-12-05,1.00009
2023-12-06,1.00018
2023-12-07,1.00028
2023-12-08,1.00037
2023-12-11,1.00066
2023-12-12,1.00076
2023-12-13,1.00085
2023-12-14,1.00095
2023-12-15,1.00106
2023-12-18,1.00135
2023-12-19,1.00145
2023-12-20,1.0016
2023-12-21,1.00167
2023-12-22,1.00176
2023-12-26,1.00215
2023-12-27,1.00224
2023-12-28,1.00234
2023-12-29,1.00246
2024-01-02,1.00286
2024-01-03,1.00295
2024-01-04,1.00309
2024-01-05,1.00315
2024-01-08,1.00344
2024-01-09,1.00354
2024-01-10,1.00369
2024-01-11,1.00375
2024-01-12,1.00383
2024-01-15,1.00411
2024-01-16,1.00422
2024-01-17,1.00442
2024-01-18,1.00444
2024-01-19,1.00452
2024-01-22,1.00481
2024-01-23,1.00492
2024-01-24,1.0051
2024-01-25,1.00515
2024-01-26,1.00519
2024-01-29,1.00548
2024-01-30,1.00558
2024-01-31,1.00572
2024-02-01,1.0058
2024-02-02,1.00589
2024-02-05,1.00618
2024-02-06,1.00628
2024-02-07,1.00643
2024-02-08,1.00651
2024-02-09,1.00659
2024-02-13,1.00697
2024-02-14,1.00706
2024-02-15,1.00721
2024-02-16,1.00726
2024-02-19,1.00755
2024-02-20,1.00765
2024-02-21,1.00783
2024-02-22,1.00789
2024-02-23,1.00797
2024-02-26,1.00824
2024-02-27,1.00834
2024-02-28,1.00851
2024-02-29,1.00856
2024-03-01,1.00864
2024-03-04,1.00893
2024-03-05,1.00903
2024-03-06,1.00919
2024-03-07,1.00926
2024-03-08,1.00933
2024-03-11,1.00962
2024-03-12,1.00972
2024-03-13,1.00987
2024-03-14,1.00994
2024-03-15,1.01002
2024-03-18,1.01031
2024-03-19,1.01041
2024-03-20,1.01057
2024-03-21,1.01064
2024-03-22,1.01071
2024-03-25,1.011
2024-03-26,1.01109
2024-03-27,1.01123
2024-03-28,1.01133
2024-04-01,1.01167
2024-04-02,1.01177
2024-04-03,1.01192
2024-04-04,1.012
2024-04-05,1.01207
2024-04-08,1.01237
2024-04-11,1.01273
2024-04-12,1.01277
2024-04-15,1.01307
2024-04-16,1.01316
2024-04-17,1.01333
2024-04-18,1.01338
2024-04-19,1.01347
2024-04-22,1.01376
2024-04-23,1.01385
2024-04-24,1.01402
2024-04-25,1.01407
2024-04-26,1.01415
2024-04-29,1.01441
2024-04-30,1.01451
2024-05-02,1.01476
2024-05-03,1.01481
2024-05-06,1.0151
2024-05-07,1.0152
2024-05-08,1.01536
2024-05-09,1.01541
2024-05-10,1.0155
2024-05-13,1.0158
2024-05-14,1.01589
2024-05-15,1.01606
2024-05-16,1.01615
2024-05-17,1.01621
2024-05-20,1.01649
2024-05-21,1.01659
2024-05-23,1.01686
2024-05-24,1.01689
2024-05-27,1.01717
2024-05-28,1.01727
2024-05-29,1.01743
2024-05-30,1.01748
2024-05-31,1.01758
2024-06-03,1.01787
2024-06-04,1.01796
2024-06-05,1.01813
2024-06-06,1.01818
2024-06-07,1.01826
2024-06-10,1.01856
2024-06-11,1.01865
2024-06-12,1.01884
2024-06-13,1.01888
2024-06-14,1.01897
2024-06-18,1.01936
2024-06-19,1.01944
2024-06-20,1.01963
2024-06-21,1.01964
2024-06-24,1.01994
2024-06-25,1.02004
2024-06-26,1.02019
2024-06-27,1.02025
2024-06-28,1.02032
2024-07-01,1.02063
2024-07-02,1.02071
2024-07-03,1.02088
2024-07-04,1.02094
2024-07-05,1.02102
2024-07-08,1.02131
2024-07-09,1.02141
2024-07-10,1.02158
2024-07-11,1.02163
2024-07-12,1.02171
2024-07-15,1.02201
2024-07-16,1.0221
2024-07-17,1.02227
2024-07-18,1.02233
2024-07-19,1.0224
2024-07-22,1.02268
2024-07-23,1.02278
2024-07-24,1.02295
2024-07-25,1.02303
2024-07-26,1.02307
2024-07-29,1.02336
2024-07-30,1.02345
2024-07-31,1.0236
2024-08-01,1.02364
2024-08-02,1.02371
2024-08-05,1.024
2024-08-06,1.0241
2024-08-07,1.0243
2024-08-08,1.02436
2024-08-12,1.02471
2024-08-13,1.02478
2024-08-14,1.02501
2024-08-15,1.02502
2024-08-16,1.02509
2024-08-19,1.02538
2024-08-20,1.02547
2024-08-21,1.02569
2024-08-22,1.02568
2024-08-23,1.02576
2024-08-26,1.02605
2024-08-27,1.02615
2024-08-28,1.02627
2024-08-29,1.02641
2024-08-30,1.02649
2024-09-02,1.02677
2024-09-03,1.02686
2024-09-04,1.02699
2024-09-05,1.02708
2024-09-06,1.02717
2024-09-09,1.02744
2024-09-10,1.02752
2024-09-11,1.02768
2024-09-12,1.02776
2024-09-13,1.02783
2024-09-16,1.0281
2024-09-17,1.02819
2024-09-18,1.02832
2024-09-19,1.02838
2024-09-20,1.02839
2024-09-23,1.02866
2024-09-24,1.02874
2024-09-25,1.02884
2024-09-26,1.02893
2024-09-27,1.02901
2024-09-30,1.02927
2024-10-01,1.02936
2024-10-03,1.02953
2024-10-04,1.0296
2024-10-07,1.02986
2024-10-08,1.02994
2024-10-09,1.03002
2024-10-10,1.03013
2024-10-11,1.0302
2024-10-14,1.03046
2024-10-15,1.03055
2024-10-16,1.03064
2024-10-17,1.03076
2024-10-18,1.03084
2024-10-21,1.03109
2024-10-22,1.03117
2024-10-23,1.03125
2024-10-24,1.03135
2024-10-25,1.03144
2024-10-28,1.03166
2024-10-29,1.03174
2024-10-29,1.03174
2024-10-30,1.03185
2024-11-01,1.032
2024-11-04,1.03222
2024-11-06,1.03239
2024-11-07,1.03249
2024-11-08,1.03257
2024-11-11,1.03282
2024-11-12,1.03291
2024-11-13,1.03297
2024-11-14,1.03308
2024-11-15,1.03315
2024-11-18,1.0334
2024-11-19,1.03349
2024-11-20,1.03358
2024-11-21,1.03371
2024-11-22,1.03375
2024-11-25,1.034
2024-11-26,1.03408
2024-11-27,1.03416
2024-11-28,1.03425
2024-11-29,1.03434
2024-12-02,1.0346
2024-12-03,1.03468
2024-12-04,1.03474
2024-12-05,1.03486
2024-12-06,1.03492
2024-12-09,1.03519
2024-12-10,1.03528
2024-12-11,1.03534
2024-12-12,1.03545
2024-12-13,1.03553
2024-12-16,1.03578
2024-12-17,1.03587
2024-12-18,1.03599
2024-12-19,1.03609
2024-12-20,1.03615
2024-12-23,1.0364
2024-12-24,1.0365
2024-12-26,1.03666
2024-12-27,1.03674
2024-12-30,1.037
2024-12-31,1.03708
2025-01-02,1.03724
2025-01-03,1.0373
2025-01-06,1.03755
2025-01-07,1.03765
2025-01-08,1.03777
2025-01-09,1.03784
2025-01-10,1.03792
2025-01-13,1.03816
2025-01-14,1.03825
2025-01-15,1.03836
2025-01-16,1.03844
2025-01-17,1.03852
