Date,Open,High,Low,Close,Volume
2010-11-10,20.0,20.0,20.0,20.0,0.0
2010-11-11,19.9,19.9,19.9,19.9,0.0
2010-11-12,19.7,19.7,19.7,19.7,0.0
2010-11-15,19.65,19.65,19.65,19.65,0.0
2010-11-16,19.36,19.36,19.36,19.36,0.0
2010-11-17,19.39,19.39,19.39,19.39,0.0
2010-11-18,19.66,19.66,19.66,19.66,0.0
2010-11-19,19.67,19.67,19.67,19.67,0.0
2010-11-22,19.64,19.64,19.64,19.64,0.0
2010-11-23,19.34,19.34,19.34,19.34,0.0
2010-11-24,19.52,19.52,19.52,19.52,0.0
2010-11-26,19.41,19.41,19.41,19.41,0.0
2010-11-29,19.29,19.29,19.29,19.29,0.0
2010-11-30,19.15,19.15,19.15,19.15,0.0
2010-12-01,19.5,19.5,19.5,19.5,0.0
2010-12-02,19.66,19.66,19.66,19.66,0.0
2010-12-03,19.71,19.71,19.71,19.71,0.0
2010-12-06,19.68,19.68,19.68,19.68,0.0
2010-12-07,19.74,19.74,19.74,19.74,0.0
2010-12-08,19.79,19.79,19.79,19.79,0.0
2010-12-09,19.82,19.82,19.82,19.82,0.0
2010-12-10,19.92,19.92,19.92,19.92,0.0
2010-12-13,20.01,20.01,20.01,20.01,0.0
2010-12-14,20.1,20.1,20.1,20.1,0.0
2010-12-15,20.06,20.06,20.06,20.06,0.0
2010-12-16,20.07,20.07,20.07,20.07,0.0
2010-12-17,20.08,20.08,20.08,20.08,0.0
2010-12-20,20.11,20.11,20.11,20.11,0.0
2010-12-21,20.16,20.16,20.16,20.16,0.0
2010-12-22,20.17,20.17,20.17,20.17,0.0
2010-12-23,20.19,20.19,20.19,20.19,0.0
2010-12-29,20.2,20.2,20.2,20.2,0.0
2010-12-30,20.15,20.15,20.15,20.15,0.0
2010-12-31,20.15,20.15,20.15,20.15,0.0
2011-01-04,20.31,20.31,20.31,20.31,0.0
2011-01-05,20.3,20.3,20.3,20.3,0.0
2011-01-06,20.34,20.34,20.34,20.34,0.0
2011-01-07,20.3,20.3,20.3,20.3,0.0
2011-01-10,20.22,20.22,20.22,20.22,0.0
2011-01-11,20.25,20.25,20.25,20.25,0.0
2011-01-12,20.41,20.41,20.41,20.41,0.0
2011-01-13,20.38,20.38,20.38,20.38,0.0
2011-01-14,20.43,20.43,20.43,20.43,0.0
2011-01-18,20.52,20.52,20.52,20.52,0.0
2011-01-19,20.47,20.47,20.47,20.47,0.0
2011-01-20,20.45,20.45,20.45,20.45,0.0
2011-01-21,20.47,20.47,20.47,20.47,0.0
2011-01-24,20.61,20.61,20.61,20.61,0.0
2011-01-25,20.63,20.63,20.63,20.63,0.0
2011-01-26,20.64,20.64,20.64,20.64,0.0
2011-01-27,20.64,20.64,20.64,20.64,0.0
2011-01-28,20.31,20.31,20.31,20.31,0.0
2011-01-31,20.37,20.37,20.37,20.37,0.0
2011-02-02,20.67,20.67,20.67,20.67,0.0
2011-02-03,20.66,20.66,20.66,20.66,0.0
2011-02-04,20.68,20.68,20.68,20.68,0.0
2011-02-07,20.75,20.75,20.75,20.75,0.0
2011-02-08,20.83,20.83,20.83,20.83,0.0
2011-02-09,20.79,20.79,20.79,20.79,0.0
2011-02-10,20.7,20.7,20.7,20.7,0.0
2011-02-11,20.73,20.73,20.73,20.73,0.0
2011-02-14,20.73,20.73,20.73,20.73,0.0
2011-02-15,20.71,20.71,20.71,20.71,0.0
2011-02-16,20.77,20.77,20.77,20.77,0.0
2011-02-17,20.86,20.86,20.86,20.86,0.0
2011-02-18,20.92,20.92,20.92,20.92,0.0
2011-02-22,20.67,20.67,20.67,20.67,0.0
2011-02-23,20.62,20.62,20.62,20.62,0.0
2011-02-24,20.62,20.62,20.62,20.62,0.0
2011-02-25,20.7,20.7,20.7,20.7,0.0
2011-02-28,20.84,20.84,20.84,20.84,0.0
2011-03-01,20.67,20.67,20.67,20.67,0.0
2011-03-02,20.7,20.7,20.7,20.7,0.0
2011-03-03,20.96,20.96,20.96,20.96,0.0
2011-03-04,20.87,20.87,20.87,20.87,0.0
2011-03-07,20.73,20.73,20.73,20.73,0.0
2011-03-08,20.83,20.83,20.83,20.83,0.0
2011-03-09,20.82,20.82,20.82,20.82,0.0
2011-03-10,20.52,20.52,20.52,20.52,0.0
2011-03-11,20.57,20.57,20.57,20.57,0.0
2011-03-14,20.48,20.48,20.48,20.48,0.0
2011-03-15,20.22,20.22,20.22,20.22,0.0
2011-03-16,19.86,19.86,19.86,19.86,0.0
2011-03-18,20.14,20.14,20.14,20.14,0.0
2011-03-21,20.42,20.42,20.42,20.42,0.0
2011-03-22,20.4,20.4,20.4,20.4,0.0
2011-03-23,20.48,20.48,20.48,20.48,0.0
2011-03-24,20.68,20.68,20.68,20.68,0.0
