Date,ACWI IMI IMI (Large+Mid+Small Cap)
1994-05-31,308.318
1994-06-30,308.961
1994-07-29,313.869
1994-08-31,324.205
1994-09-30,317.076
1994-10-31,323.963
1994-11-30,308.426
1994-12-30,311.272
1995-01-31,304.97
1995-02-28,306.75
1995-03-31,320.664
1995-04-28,330.594
1995-05-31,332.843
1995-06-30,333.75
1995-07-31,350.133
1995-08-31,344.133
1995-09-29,352.396
1995-10-31,345.332
1995-11-30,355.11
1995-12-29,365.496
1996-01-31,372.119
1996-02-29,375.15
1996-03-29,381.032
1996-04-30,393.036
1996-05-31,394.148
1996-06-28,394.416
1996-07-31,377.502
1996-08-30,383.347
1996-09-30,396.025
1996-10-31,395.388
1996-11-29,413.238
1996-12-31,407.805
1997-01-31,412.154
1997-02-28,416.364
1997-03-31,407.007
1997-04-30,414.698
1997-05-30,443.304
1997-06-30,463.987
1997-07-31,482.236
1997-08-29,453.99
1997-09-30,475.755
1997-10-31,447.879
1997-11-28,449.36
1997-12-31,453.681
1998-01-30,461.877
1998-02-27,494.622
1998-03-31,515.233
1998-04-30,519.87
1998-05-29,509.478
1998-06-30,514.882
1998-07-31,511.311
1998-08-31,436.198
1998-09-30,445.614
1998-10-30,483.861
1998-11-30,511.004
1998-12-31,535.191
1999-01-29,544.953
1999-02-26,529.54
1999-03-31,553.745
1999-04-30,581.774
1999-05-31,564.4
1999-06-30,593.401
1999-07-30,592.789
1999-08-31,594.216
1999-09-30,590.882
1999-10-29,619.39
1999-11-30,646.44
1999-12-31,700.974
2000-01-31,668.667
2000-02-29,687.764
2000-03-31,715.19
2000-04-28,671.39
2000-05-31,647.751
2000-06-30,677.107
2000-07-31,654.881
2000-08-31,685.293
2000-09-29,649.409
2000-10-31,628.342
2000-11-30,582.188
2000-12-29,594.628
2001-01-31,611.752
2001-02-28,559.165
2001-03-30,519.296
2001-04-30,558.591
2001-05-31,554.666
2001-06-29,539.643
2001-07-31,526.856
2001-08-31,504.703
2001-09-28,455.015
2001-10-31,468.216
2001-11-30,496.392
2001-12-31,503.121
2002-01-31,489.901
2002-02-28,486.09
2002-03-29,510.806
2002-04-30,499.882
2002-05-31,501.125
2002-06-28,470.795
2002-07-31,430.916
2002-08-30,432.439
2002-09-30,387.696
2002-10-31,413.186
2002-11-29,435.624
2002-12-31,416.28
2003-01-31,404.454
2003-02-28,397.499
2003-03-31,396.67
2003-04-30,431.397
2003-05-30,458.807
2003-06-30,468.12
2003-07-31,479.289
2003-08-29,492.226
2003-09-30,495.845
2003-10-31,526.778
2003-11-28,535.429
2003-12-31,566.898
2004-01-30,578.569
2004-02-27,590.201
2004-03-31,589.625
2004-04-30,574.308
2004-05-31,579.162
2004-06-30,592.165
2004-07-30,572.032
2004-08-31,575.321
2004-09-30,588.661
2004-10-29,603.095
2004-11-30,637.462
2004-12-31,662.855
2005-01-31,649.693
2005-02-28,672.341
2005-03-31,657.856
2005-04-29,642.478
2005-05-31,656.756
2005-06-30,665.664
