Date,ACWI MID CAP Mid Cap
2001-01-01,451.526
2001-01-02,441.622
2001-01-03,448.181
2001-01-04,446.161
2001-01-05,440.925
2001-01-08,439.237
2001-01-09,438.129
2001-01-10,442.096
2001-01-11,445.461
2001-01-12,446.821
2001-01-15,446.463
2001-01-16,447.003
2001-01-17,450.05
2001-01-18,453.481
2001-01-19,452.869
2001-01-22,454.024
2001-01-23,459.248
2001-01-24,458.022
2001-01-25,457.929
2001-01-26,457.946
2001-01-29,461.643
2001-01-30,464.372
2001-01-31,465.608
2001-02-01,467.113
2001-02-02,461.634
2001-02-05,460.416
2001-02-06,461.494
2001-02-07,458.355
2001-02-08,455.962
2001-02-09,454.11
2001-02-12,456.189
2001-02-13,454.058
2001-02-14,454.038
2001-02-15,456.163
2001-02-16,452.0
2001-02-19,451.05
2001-02-20,446.295
2001-02-21,441.153
2001-02-22,437.285
2001-02-23,437.03
2001-02-26,443.073
2001-02-27,441.379
2001-02-28,436.817
2001-03-01,435.378
2001-03-02,434.503
2001-03-05,434.578
2001-03-06,440.477
2001-03-07,441.712
2001-03-08,440.789
2001-03-09,434.886
2001-03-12,422.006
2001-03-13,418.296
2001-03-14,410.702
2001-03-15,411.128
2001-03-16,403.468
2001-03-19,407.481
2001-03-20,405.153
2001-03-21,400.285
2001-03-22,391.104
2001-03-23,400.054
2001-03-26,408.608
2001-03-27,412.181
2001-03-28,407.321
2001-03-29,403.652
2001-03-30,404.682
2001-04-02,398.969
2001-04-03,390.963
2001-04-04,392.251
2001-04-05,402.892
2001-04-06,400.095
2001-04-09,401.724
2001-04-10,408.022
2001-04-11,408.541
2001-04-12,414.431
2001-04-13,414.593
2001-04-16,411.726
2001-04-17,413.16
2001-04-18,424.787
2001-04-19,430.834
2001-04-20,429.643
2001-04-23,424.811
2001-04-24,423.544
2001-04-25,427.745
2001-04-26,431.315
2001-04-27,433.811
2001-04-30,437.198
2001-05-01,441.393
2001-05-02,442.956
2001-05-03,438.798
2001-05-04,441.618
2001-05-07,440.723
2001-05-08,439.573
2001-05-09,437.311
2001-05-10,437.799
2001-05-11,435.782
2001-05-14,433.068
2001-05-15,435.325
2001-05-16,441.171
2001-05-17,446.831
2001-05-18,447.314
2001-05-21,454.053
2001-05-22,454.488
2001-05-23,450.057
2001-05-24,450.387
2001-05-25,448.403
2001-05-28,448.262
2001-05-29,444.603
2001-05-30,438.168
2001-05-31,440.318
2001-06-01,441.82
2001-06-04,442.878
2001-06-05,446.705
2001-06-06,444.319
2001-06-07,446.577
2001-06-08,444.958
2001-06-11,439.111
2001-06-12,436.543
2001-06-13,436.04
2001-06-14,429.668
2001-06-15,428.597
2001-06-18,424.944
2001-06-19,424.441
2001-06-20,424.919
2001-06-21,426.813
2001-06-22,425.804
2001-06-25,425.416
2001-06-26,425.459
2001-06-27,425.656
2001-06-28,427.0
2001-06-29,432.131
2001-07-02,431.417
2001-07-03,430.526
2001-07-04,428.957
2001-07-05,424.139
2001-07-06,417.056
2001-07-09,416.583
2001-07-10,414.718
2001-07-11,412.601
2001-07-12,418.263
2001-07-13,418.671
2001-07-16,414.959
2001-07-17,415.357
2001-07-18,415.099
2001-07-19,416.802
2001-07-20,415.958
2001-07-23,411.759
2001-07-24,408.106
2001-07-25,410.808
2001-07-26,414.489
2001-07-27,416.607
2001-07-30,415.989
2001-07-31,418.526
2001-08-01,421.847
2001-08-02,425.613
2001-08-03,424.489
2001-08-06,421.316
2001-08-07,420.371
2001-08-08,416.188
2001-08-09,414.241
2001-08-10,415.861
2001-08-13,417.217
2001-08-14,418.883
2001-08-15,419.915
2001-08-16,418.406
2001-08-17,415.172
2001-08-20,413.45
2001-08-21,412.652
2001-08-22,415.192
2001-08-23,413.694
2001-08-24,416.996
2001-08-27,416.908
2001-08-28,413.679
2001-08-29,411.932
2001-08-30,406.837
2001-08-31,407.147
2001-09-03,404.573
2001-09-04,403.964
2001-09-05,399.61
2001-09-06,394.613
2001-09-07,391.013
2001-09-10,386.383
2001-09-11,381.685
2001-09-12,376.226
2001-09-13,377.28
2001-09-14,375.395
2001-09-17,359.668
2001-09-18,356.184
2001-09-19,353.641
2001-09-20,343.474
2001-09-21,334.705
2001-09-24,342.551
2001-09-25,346.338
2001-09-26,345.25
2001-09-27,347.013
2001-09-28,354.605
2001-10-01,352.46
2001-10-02,354.819
2001-10-03,360.307
2001-10-04,364.378
2001-10-05,364.327
2001-10-08,362.209
2001-10-09,361.61
2001-10-10,365.746
2001-10-11,372.876
2001-10-12,372.567
2001-10-15,371.678
2001-10-16,375.193
2001-10-17,372.469
2001-10-18,367.961
2001-10-19,368.311
2001-10-22,370.24
2001-10-23,371.59
2001-10-24,373.066
2001-10-25,376.306
2001-10-26,377.936
2001-10-29,373.642
2001-10-30,368.182
2001-10-31,369.18
2001-11-01,372.731
2001-11-02,373.271
2001-11-05,378.148
2001-11-06,381.701
2001-11-07,381.838
2001-11-08,382.076
2001-11-09,381.449
2001-11-12,380.17
2001-11-13,383.875
2001-11-14,385.909
2001-11-15,387.361
2001-11-16,388.581
2001-11-19,392.164
2001-11-20,389.491
2001-11-21,387.41
2001-11-22,388.192
2001-11-23,390.224
2001-11-26,394.734
2001-11-27,394.123
2001-11-28,389.2
2001-11-29,390.727
2001-11-30,392.007
2001-12-03,389.003
2001-12-04,394.004
2001-12-05,402.857
2001-12-06,404.894
2001-12-07,402.725
2001-12-10,397.863
2001-12-11,397.362
2001-12-12,398.208
2001-12-13,392.896
2001-12-14,392.937
2001-12-17,395.079
2001-12-18,397.114
2001-12-19,395.407
2001-12-20,393.288
2001-12-21,393.533
2001-12-24,393.887
2001-12-25,394.171
2001-12-26,395.635
2001-12-27,399.437
2001-12-28,402.503
2001-12-31,402.223
2002-01-01,402.253
2002-01-02,402.98
2002-01-03,406.781
2002-01-04,410.569
2002-01-07,409.32
2002-01-08,406.712
2002-01-09,406.052
2002-01-10,404.778
2002-01-11,402.511
2002-01-14,399.131
2002-01-15,399.093
2002-01-16,393.505
2002-01-17,395.915
2002-01-18,395.077
2002-01-21,395.532
2002-01-22,392.984
2002-01-23,396.202
2002-01-24,398.275
2002-01-25,397.751
2002-01-28,398.869
2002-01-29,394.158
2002-01-30,394.361
2002-01-31,397.689
2002-02-01,396.423
2002-02-04,391.283
2002-02-05,388.728
2002-02-06,387.122
2002-02-07,385.573
2002-02-08,389.452
2002-02-11,393.921
2002-02-12,394.92
2002-02-13,397.392
2002-02-14,398.006
2002-02-15,396.532
2002-02-18,396.161
2002-02-19,389.867
2002-02-20,390.547
2002-02-21,389.932
