Date,ACWI MID CAP Mid Cap
2001-01-01,462.296
2001-01-02,452.154
2001-01-03,458.867
2001-01-04,456.799
2001-01-05,451.438
2001-01-08,449.702
2001-01-09,448.568
2001-01-10,452.629
2001-01-11,456.069
2001-01-12,457.461
2001-01-15,457.094
2001-01-16,457.646
2001-01-17,460.764
2001-01-18,464.274
2001-01-19,463.647
2001-01-22,464.829
2001-01-23,470.177
2001-01-24,468.919
2001-01-25,468.818
2001-01-26,468.835
2001-01-29,472.615
2001-01-30,475.404
2001-01-31,476.664
2001-02-01,478.202
2001-02-02,472.591
2001-02-05,471.338
2001-02-06,472.442
2001-02-07,469.225
2001-02-08,466.775
2001-02-09,464.878
2001-02-12,466.999
2001-02-13,464.814
2001-02-14,464.787
2001-02-15,466.961
2001-02-16,462.699
2001-02-19,461.726
2001-02-20,456.859
2001-02-21,451.592
2001-02-22,447.627
2001-02-23,447.363
2001-02-26,453.547
2001-02-27,451.808
2001-02-28,447.131
2001-03-01,445.652
2001-03-02,444.757
2001-03-05,444.828
2001-03-06,450.861
2001-03-07,452.111
2001-03-08,451.163
2001-03-09,445.118
2001-03-12,431.934
2001-03-13,428.131
2001-03-14,420.354
2001-03-15,420.787
2001-03-16,412.942
2001-03-19,417.049
2001-03-20,414.662
2001-03-21,409.67
2001-03-22,400.27
2001-03-23,409.427
2001-03-26,418.172
2001-03-27,421.778
2001-03-28,416.794
2001-03-29,413.035
2001-03-30,414.081
2001-04-02,408.233
2001-04-03,400.041
2001-04-04,401.355
2001-04-05,412.237
2001-04-06,409.357
2001-04-09,411.02
2001-04-10,417.458
2001-04-11,417.97
2001-04-12,423.992
2001-04-13,424.158
2001-04-16,421.224
2001-04-17,422.69
2001-04-18,434.584
2001-04-19,440.768
2001-04-20,439.545
2001-04-23,434.599
2001-04-24,433.297
2001-04-25,437.583
2001-04-26,441.223
2001-04-27,443.753
2001-04-30,447.217
2001-05-01,451.506
2001-05-02,453.091
2001-05-03,448.826
2001-05-04,451.693
2001-05-07,450.763
2001-05-08,449.586
