Date,ACWI MID GROWTH Mid Cap
2001-01-01,601.883
2001-01-02,576.763
2001-01-03,591.103
2001-01-04,586.496
2001-01-05,571.989
2001-01-08,565.992
2001-01-09,567.84
2001-01-10,578.143
2001-01-11,590.128
2001-01-12,596.88
2001-01-15,597.379
2001-01-16,595.848
2001-01-17,604.86
2001-01-18,611.853
2001-01-19,613.614
2001-01-22,613.515
2001-01-23,623.631
2001-01-24,623.154
2001-01-25,619.117
2001-01-26,620.341
2001-01-29,627.184
2001-01-30,630.212
2001-01-31,630.806
2001-02-01,630.331
2001-02-02,617.783
2001-02-05,613.238
2001-02-06,617.843
2001-02-07,609.415
2001-02-08,604.017
2001-02-09,597.35
2001-02-12,598.069
2001-02-13,591.543
2001-02-14,591.468
2001-02-15,597.687
2001-02-16,587.558
2001-02-19,585.088
2001-02-20,573.493
2001-02-21,564.135
2001-02-22,556.275
2001-02-23,556.727
2001-02-26,566.61
2001-02-27,559.154
2001-02-28,548.875
2001-03-01,544.898
2001-03-02,540.041
2001-03-05,538.681
2001-03-06,550.707
2001-03-07,553.11
2001-03-08,546.668
2001-03-09,534.137
2001-03-12,511.211
2001-03-13,508.726
2001-03-14,499.714
2001-03-15,497.159
2001-03-16,484.797
2001-03-19,492.333
2001-03-20,487.908
2001-03-21,478.679
2001-03-22,469.024
2001-03-23,484.353
2001-03-26,496.171
2001-03-27,501.36
2001-03-28,490.359
2001-03-29,482.461
2001-03-30,484.111
2001-04-02,472.827
2001-04-03,455.448
2001-04-04,455.255
2001-04-05,476.157
2001-04-06,471.952
2001-04-09,474.816
2001-04-10,487.803
2001-04-11,490.6
2001-04-12,502.151
2001-04-13,502.381
2001-04-16,497.046
2001-04-17,499.198
2001-04-18,522.285
2001-04-19,535.785
2001-04-20,532.999
2001-04-23,520.168
2001-04-24,516.533
2001-04-25,524.436
2001-04-26,530.033
2001-04-27,534.874
2001-04-30,542.575
2001-05-01,548.958
2001-05-02,554.047
2001-05-03,544.312
2001-05-04,549.074
2001-05-07,547.159
2001-05-08,546.537
2001-05-09,541.202
2001-05-10,539.348
2001-05-11,535.299
2001-05-14,529.647
2001-05-15,531.603
2001-05-16,541.889
2001-05-17,551.813
2001-05-18,552.096
2001-05-21,566.272
2001-05-22,568.222
2001-05-23,558.154
2001-05-24,560.465
2001-05-25,558.127
2001-05-28,557.92
2001-05-29,547.941
2001-05-30,534.106
2001-05-31,537.225
2001-06-01,541.153
2001-06-04,542.486
2001-06-05,551.66
2001-06-06,547.662
2001-06-07,551.651
2001-06-08,547.333
2001-06-11,536.607
2001-06-12,532.819
2001-06-13,530.53
2001-06-14,519.398
2001-06-15,517.842
2001-06-18,510.164
2001-06-19,509.546
2001-06-20,511.989
2001-06-21,514.398
2001-06-22,511.471
2001-06-25,511.823
2001-06-26,511.004
2001-06-27,510.934
2001-06-28,514.774
2001-06-29,522.873
2001-07-02,520.174
2001-07-03,516.835
2001-07-04,514.51
2001-07-05,505.361
2001-07-06,493.399
2001-07-09,492.616
2001-07-10,488.591
2001-07-11,485.15
2001-07-12,495.075
2001-07-13,495.816
2001-07-16,488.269
2001-07-17,489.543
2001-07-18,487.125
2001-07-19,490.433
2001-07-20,489.786
2001-07-23,483.949
2001-07-24,478.842
2001-07-25,482.484
2001-07-26,488.505
2001-07-27,493.055
2001-07-30,491.35
2001-07-31,493.593
2001-08-01,498.281
2001-08-02,502.451
2001-08-03,500.267
2001-08-06,495.47
2001-08-07,492.888
2001-08-08,485.238
2001-08-09,482.149
2001-08-10,482.005
2001-08-13,485.027
2001-08-14,486.021
2001-08-15,484.608
2001-08-16,480.435
2001-08-17,474.842
2001-08-20,472.245
2001-08-21,468.673
2001-08-22,472.793
2001-08-23,470.667
2001-08-24,478.044
2001-08-27,479.278
2001-08-28,472.781
2001-08-29,470.512
2001-08-30,463.046
2001-08-31,463.04
2001-09-03,459.659
2001-09-04,457.268
2001-09-05,450.008
2001-09-06,441.941
2001-09-07,438.381
2001-09-10,433.917
2001-09-11,427.431
2001-09-12,421.867
2001-09-13,422.531
2001-09-14,418.716
2001-09-17,399.575
2001-09-18,392.509
2001-09-19,389.472
2001-09-20,378.166
2001-09-21,368.424
2001-09-24,378.434
2001-09-25,382.768
2001-09-26,380.393
2001-09-27,382.594
2001-09-28,391.212
2001-10-01,386.374
2001-10-02,388.921
2001-10-03,398.545
2001-10-04,405.507
2001-10-05,405.887
2001-10-08,405.086
2001-10-09,404.598
2001-10-10,412.807
2001-10-11,424.102
2001-10-12,424.324
2001-10-15,422.437
2001-10-16,427.209
2001-10-17,422.798
2001-10-18,417.648
2001-10-19,419.516
2001-10-22,423.083
2001-10-23,426.064
2001-10-24,429.564
2001-10-25,435.435
2001-10-26,437.265
2001-10-29,429.544
2001-10-30,420.598
2001-10-31,422.995
2001-11-01,428.471
2001-11-02,428.666
2001-11-05,435.373
2001-11-06,440.736
2001-11-07,441.446
2001-11-08,440.217
2001-11-09,439.975
2001-11-12,438.805
2001-11-13,445.41
2001-11-14,448.157
2001-11-15,449.944
2001-11-16,452.326
2001-11-19,457.865
2001-11-20,450.974
2001-11-21,448.098
2001-11-22,449.286
2001-11-23,452.154
2001-11-26,459.576
2001-11-27,459.398
2001-11-28,451.258
2001-11-29,453.408
2001-11-30,454.712
2001-12-03,450.215
2001-12-04,458.362
2001-12-05,472.725
2001-12-06,475.03
2001-12-07,470.239
2001-12-10,463.794
2001-12-11,464.589
2001-12-12,465.491
2001-12-13,457.158
2001-12-14,456.698
2001-12-17,460.786
2001-12-18,463.089
2001-12-19,459.527
2001-12-20,453.753
2001-12-21,454.861
2001-12-24,454.823
2001-12-25,455.257
2001-12-26,457.565
2001-12-27,462.438
2001-12-28,466.831
2001-12-31,465.165
2002-01-01,465.192
2002-01-02,466.306
2002-01-03,472.313
2002-01-04,476.954
2002-01-07,473.572
2002-01-08,471.829
2002-01-09,470.884
2002-01-10,469.358
2002-01-11,466.163
2002-01-14,459.937
2002-01-15,459.864
2002-01-16,450.446
2002-01-17,454.479
2002-01-18,451.397
2002-01-21,451.363
2002-01-22,447.076
2002-01-23,452.722
2002-01-24,455.747
2002-01-25,454.68
2002-01-28,455.447
2002-01-29,449.052
2002-01-30,449.193
2002-01-31,452.395
2002-02-01,450.261
2002-02-04,441.624
2002-02-05,438.348
2002-02-06,436.16
2002-02-07,432.642
2002-02-08,439.033
2002-02-11,445.064
2002-02-12,445.583
2002-02-13,447.98
2002-02-14,447.721
2002-02-15,444.308
2002-02-18,443.619
2002-02-19,434.691
2002-02-20,435.691
2002-02-21,432.451
2002-02-22,432.637
2002-02-25,437.093
2002-02-26,439.967
2002-02-27,441.561
2002-02-28,439.46
2002-03-01,448.061
2002-03-04,463.1
2002-03-05,462.016
2002-03-06,466.825
2002-03-07,469.434
2002-03-08,473.852
2002-03-11,475.318
2002-03-12,469.801
2002-03-13,466.084
2002-03-14,467.719
2002-03-15,470.882
2002-03-18,473.98
2002-03-19,475.804
2002-03-20,471.573
2002-03-21,473.101
2002-03-22,469.844
2002-03-25,463.429
2002-03-26,464.406
2002-03-27,467.465
2002-03-28,469.911
2002-03-29,469.665
2002-04-01,470.693
2002-04-02,465.71
2002-04-03,462.278
2002-04-04,462.028
2002-04-05,461.204
2002-04-08,461.291
2002-04-09,458.226
2002-04-10,461.73
2002-04-11,456.468
2002-04-12,458.912
2002-04-15,460.623
2002-04-16,468.809
2002-04-17,470.83
2002-04-18,470.137
2002-04-19,470.168
2002-04-22,466.302
2002-04-23,464.32
2002-04-24,461.923
2002-04-25,461.417
2002-04-26,457.016
2002-04-29,453.154
2002-04-30,456.92
2002-05-01,458.884
2002-05-02,455.96
2002-05-03,453.022
2002-05-06,449.061
2002-05-07,445.548
2002-05-08,459.035
2002-05-09,454.457
2002-05-10,450.24
2002-05-13,454.313
2002-05-14,460.476
2002-05-15,463.06
2002-05-16,462.531
2002-05-17,466.32
2002-05-20,462.743
2002-05-21,457.875
2002-05-22,457.974
2002-05-23,459.837
2002-05-24,457.724
2002-05-27,457.152
2002-05-28,457.2
2002-05-29,454.911
2002-05-30,454.738
2002-05-31,454.51
2002-06-03,446.273
2002-06-04,444.697
2002-06-05,445.838
2002-06-06,441.461
2002-06-07,440.509
2002-06-10,440.743
2002-06-11,435.235
2002-06-12,433.188
2002-06-13,428.342
2002-06-14,425.842
2002-06-17,434.213
2002-06-18,434.275
2002-06-19,428.171
2002-06-20,422.766
2002-06-21,417.629
2002-06-24,416.751
2002-06-25,412.028
2002-06-26,410.273
2002-06-27,414.83
2002-06-28,419.644
2002-07-01,410.781
2002-07-02,399.81
2002-07-03,399.563
2002-07-04,400.216
2002-07-05,414.761
2002-07-08,410.394
2002-07-09,404.015
2002-07-10,393.159
2002-07-11,391.555
2002-07-12,392.703
2002-07-15,389.97
2002-07-16,387.424
2002-07-17,390.959
2002-07-18,386.39
2002-07-19,375.98
2002-07-22,364.047
2002-07-23,355.687
2002-07-24,364.537
2002-07-25,361.306
2002-07-26,359.548
2002-07-29,374.826
2002-07-30,378.595
2002-07-31,375.395
2002-08-01,364.373
2002-08-02,357.499
2002-08-05,346.482
2002-08-06,352.947
2002-08-07,356.936
2002-08-08,364.663
2002-08-09,367.224
2002-08-12,365.373
2002-08-13,360.429
2002-08-14,370.1
2002-08-15,377.012
2002-08-16,380.588
2002-08-19,386.751
2002-08-20,382.228
2002-08-21,387.284
2002-08-22,392.698
2002-08-23,386.164
2002-08-26,387.403
2002-08-27,383.053
2002-08-28,374.363
2002-08-29,374.33
2002-08-30,373.28
2002-09-02,371.733
2002-09-03,361.082
2002-09-04,364.612
2002-09-05,359.728
2002-09-06,366.9
2002-09-09,367.943
2002-09-10,371.816
2002-09-11,373.492
2002-09-12,366.383
2002-09-13,364.931
2002-09-16,362.584
2002-09-17,358.749
2002-09-18,356.735
2002-09-19,348.528
2002-09-20,348.109
2002-09-23,340.918
2002-09-24,336.009
2002-09-25,343.999
2002-09-26,348.988
2002-09-27,346.621
2002-09-30,340.988
2002-10-01,345.167
2002-10-02,341.815
2002-10-03,337.399
2002-10-04,330.812
2002-10-07,323.74
2002-10-08,326.02
2002-10-09,321.711
2002-10-10,327.255
2002-10-11,338.963
2002-10-14,341.7
2002-10-15,355.886
2002-10-16,349.648
2002-10-17,359.615
2002-10-18,360.417
2002-10-21,366.306
2002-10-22,360.653
2002-10-23,362.818
2002-10-24,360.318
2002-10-25,364.456
2002-10-28,363.891
2002-10-29,358.403
2002-10-30,363.398
2002-10-31,364.026
2002-11-01,369.231
2002-11-04,375.304
2002-11-05,376.321
2002-11-06,380.177
2002-11-07,373.61
2002-11-08,368.562
2002-11-11,360.334
2002-11-12,364.822
2002-11-13,364.091
2002-11-14,371.005
2002-11-15,373.84
2002-11-18,372.633
2002-11-19,369.602
2002-11-20,375.424
2002-11-21,384.798
2002-11-22,385.787
2002-11-25,386.389
2002-11-26,378.253
2002-11-27,387.438
2002-11-28,389.971
2002-11-29,389.477
2002-12-02,389.287
2002-12-03,383.119
2002-12-04,379.194
2002-12-05,375.961
2002-12-06,376.761
2002-12-09,367.425
2002-12-10,371.077
2002-12-11,372.356
2002-12-12,372.787
2002-12-13,366.96
2002-12-16,372.792
2002-12-17,371.131
2002-12-18,365.236
2002-12-19,363.857
2002-12-20,367.853
2002-12-23,369.818
2002-12-24,368.997
2002-12-25,368.914
2002-12-26,369.356
2002-12-27,364.319
2002-12-30,364.806
2002-12-31,366.343
2003-01-01,366.332
2003-01-02,375.3
2003-01-03,376.17
2003-01-06,381.61
2003-01-07,379.206
2003-01-08,372.889
2003-01-09,378.619
2003-01-10,380.719
2003-01-13,379.905
2003-01-14,381.471
2003-01-15,377.811
2003-01-16,377.445
2003-01-17,371.863
2003-01-20,370.862
2003-01-21,366.207
2003-01-22,363.871
2003-01-23,368.436
2003-01-24,362.906
2003-01-27,355.82
2003-01-28,359.443
2003-01-29,360.919
2003-01-30,357.581
2003-01-31,359.164
2003-02-03,361.395
2003-02-04,357.029
2003-02-05,356.798
2003-02-06,354.373
2003-02-07,351.319
2003-02-10,351.671
2003-02-11,351.777
2003-02-12,347.16
2003-02-13,344.83
2003-02-14,348.82
2003-02-17,350.419
2003-02-18,356.39
2003-02-19,353.848
2003-02-20,352.928
2003-02-21,355.715
2003-02-24,351.048
2003-02-25,349.059
2003-02-26,346.539
2003-02-27,349.087
2003-02-28,352.974
2003-03-03,352.036
2003-03-04,347.558
2003-03-05,347.691
2003-03-06,346.733
2003-03-07,347.105
2003-03-10,340.06
2003-03-11,337.285
2003-03-12,336.099
2003-03-13,346.808
2003-03-14,349.691
2003-03-17,359.477
2003-03-18,362.235
2003-03-19,361.846
2003-03-20,364.144
2003-03-21,369.238
2003-03-24,359.254
2003-03-25,363.641
2003-03-26,363.975
2003-03-27,363.371
2003-03-28,362.264
2003-03-31,356.372
2003-04-01,357.407
2003-04-02,366.123
2003-04-03,365.869
2003-04-04,365.016
2003-04-07,368.418
2003-04-08,365.885
2003-04-09,361.959
2003-04-10,363.62
2003-04-11,363.372
2003-04-14,367.502
2003-04-15,370.799
2003-04-16,367.627
2003-04-17,373.934
2003-04-18,374.077
2003-04-21,373.645
2003-04-22,378.781
2003-04-23,381.196
2003-04-24,379.688
2003-04-25,374.972
2003-04-28,379.91
2003-04-29,382.284
2003-04-30,384.203
2003-05-01,385.62
2003-05-02,391.216
2003-05-05,393.859
2003-05-06,398.878
2003-05-07,397.489
2003-05-08,392.994
2003-05-09,397.75
2003-05-12,402.568
2003-05-13,402.251
2003-05-14,402.143
2003-05-15,405.089
2003-05-16,406.869
2003-05-19,397.132
2003-05-20,396.284
2003-05-21,397.204
2003-05-22,402.398
2003-05-23,403.73
2003-05-26,404.419
2003-05-27,411.393
2003-05-28,411.905
2003-05-29,413.79
2003-05-30,419.559
2003-06-02,420.736
2003-06-03,418.901
2003-06-04,425.77
2003-06-05,431.489
2003-06-06,431.908
2003-06-09,426.539
2003-06-10,429.011
2003-06-11,435.639
2003-06-12,436.273
2003-06-13,432.338
2003-06-16,439.411
2003-06-17,440.572
2003-06-18,438.519
2003-06-19,432.781
2003-06-20,432.863
2003-06-23,425.759
2003-06-24,423.376
2003-06-25,425.635
2003-06-26,427.0
2003-06-27,426.353
2003-06-30,425.251
2003-07-01,427.525
2003-07-02,433.867
2003-07-03,433.66
2003-07-04,432.888
2003-07-07,440.293
2003-07-08,444.0
2003-07-09,443.833
2003-07-10,438.279
2003-07-11,439.419
2003-07-14,444.149
2003-07-15,442.624
2003-07-16,438.526
2003-07-17,431.078
2003-07-18,433.686
2003-07-21,430.65
2003-07-22,433.669
2003-07-23,436.731
2003-07-24,437.195
2003-07-25,440.848
2003-07-28,443.11
2003-07-29,441.614
2003-07-30,437.857
2003-07-31,438.261
2003-08-01,436.875
2003-08-04,435.607
2003-08-05,430.443
2003-08-06,427.537
2003-08-07,429.394
2003-08-08,429.725
2003-08-11,433.295
2003-08-12,437.705
2003-08-13,439.23
2003-08-14,441.866
2003-08-15,442.251
2003-08-18,446.892
2003-08-19,449.678
2003-08-20,451.959
2003-08-21,456.051
2003-08-22,453.461
2003-08-25,451.966
2003-08-26,451.088
2003-08-27,453.372
2003-08-28,457.492
2003-08-29,461.204
2003-09-01,463.9
2003-09-02,466.926
2003-09-03,469.043
2003-09-04,469.996
2003-09-05,468.55
2003-09-08,473.472
2003-09-09,470.758
2003-09-10,462.519
2003-09-11,464.485
2003-09-12,466.879
2003-09-15,465.808
2003-09-16,471.523
2003-09-17,472.378
2003-09-18,477.914
2003-09-19,478.63
2003-09-22,473.119
2003-09-23,476.192
2003-09-24,470.723
2003-09-25,466.017
2003-09-26,461.092
2003-09-29,464.409
2003-09-30,461.579
2003-10-01,469.462
2003-10-02,473.387
2003-10-03,480.573
2003-10-06,482.623
2003-10-07,486.075
2003-10-08,484.616
2003-10-09,488.086
2003-10-10,491.358
2003-10-13,494.029
2003-10-14,495.639
2003-10-15,495.563
2003-10-16,498.904
2003-10-17,493.983
2003-10-20,496.383
2003-10-21,498.845
2003-10-22,493.095
2003-10-23,487.916
2003-10-24,488.248
2003-10-27,491.021
2003-10-28,498.271
2003-10-29,501.67
2003-10-30,501.994
2003-10-31,500.646
2003-11-03,503.419
2003-11-04,504.672
2003-11-05,504.516
2003-11-06,504.907
2003-11-07,506.41
2003-11-10,502.584
2003-11-11,498.687
2003-11-12,505.325
2003-11-13,508.281
2003-11-14,503.586
2003-11-17,495.731
2003-11-18,494.061
2003-11-19,492.856
2003-11-20,491.426
2003-11-21,493.301
2003-11-24,500.334
2003-11-25,502.805
2003-11-26,508.234
2003-11-27,508.546
2003-11-28,510.206
2003-12-01,516.602
2003-12-02,517.204
2003-12-03,515.074
2003-12-04,513.85
2003-12-05,510.482
2003-12-08,511.274
2003-12-09,506.449
2003-12-10,502.325
2003-12-11,507.702
2003-12-12,510.809
2003-12-15,509.216
2003-12-16,506.943
2003-12-17,507.856
2003-12-18,514.092
2003-12-19,512.99
2003-12-22,514.769
2003-12-23,517.734
2003-12-24,518.407
2003-12-25,518.508
2003-12-26,519.433
2003-12-29,524.85
2003-12-30,526.768
2003-12-31,527.757
2004-01-01,527.765
2004-01-02,528.445
2004-01-05,535.941
2004-01-06,537.736
2004-01-07,537.76
2004-01-08,542.045
2004-01-09,543.405
2004-01-12,544.877
2004-01-13,542.056
2004-01-14,544.863
2004-01-15,544.744
2004-01-16,548.577
2004-01-19,549.502
2004-01-20,553.907
2004-01-21,554.817
2004-01-22,553.109
2004-01-23,552.245
2004-01-26,553.448
2004-01-27,552.383
2004-01-28,548.142
2004-01-29,543.037
2004-01-30,544.476
2004-02-02,545.15
2004-02-03,546.013
2004-02-04,540.49
2004-02-05,542.915
2004-02-06,552.628
2004-02-09,553.663
2004-02-10,555.088
2004-02-11,558.937
2004-02-12,560.978
2004-02-13,558.361
2004-02-16,558.813
2004-02-17,565.05
2004-02-18,564.061
2004-02-19,559.269
2004-02-20,553.581
2004-02-23,549.851
2004-02-24,549.262
2004-02-25,550.127
2004-02-26,551.375
2004-02-27,553.142
2004-03-01,561.337
2004-03-02,558.363
2004-03-03,554.645
2004-03-04,557.975
2004-03-05,562.488
2004-03-08,556.97
2004-03-09,553.001
2004-03-10,543.833
2004-03-11,536.428
2004-03-12,540.961
2004-03-15,533.148
2004-03-16,537.749
2004-03-17,544.192
2004-03-18,545.456
2004-03-19,542.517
2004-03-22,534.176
2004-03-23,533.459
2004-03-24,532.835
2004-03-25,541.728
2004-03-26,542.35
2004-03-29,549.866
2004-03-30,551.766
2004-03-31,554.617
2004-04-01,559.997
2004-04-02,564.765
2004-04-05,567.296
2004-04-06,565.576
2004-04-07,566.458
2004-04-08,566.132
2004-04-09,565.265
2004-04-12,567.871
2004-04-13,560.66
2004-04-14,555.804
2004-04-15,552.986
2004-04-16,555.599
2004-04-19,556.913
2004-04-20,552.308
2004-04-21,551.948
2004-04-22,558.148
2004-04-23,559.148
2004-04-26,558.038
2004-04-27,557.261
2004-04-28,547.826
2004-04-29,542.36
2004-04-30,536.487
2004-05-03,539.983
2004-05-04,543.901
2004-05-05,547.073
2004-05-06,538.981
2004-05-07,529.903
2004-05-10,515.174
2004-05-11,521.205
2004-05-12,521.727
2004-05-13,520.699
2004-05-14,517.254
2004-05-17,510.799
2004-05-18,516.533
2004-05-19,523.97
2004-05-20,519.885
2004-05-21,525.461
2004-05-24,528.201
2004-05-25,534.266
2004-05-26,537.651
2004-05-27,543.726
2004-05-28,545.871
2004-05-31,545.967
2004-06-01,545.02
2004-06-02,545.344
2004-06-03,539.188
2004-06-04,542.969
2004-06-07,553.997
2004-06-08,554.086
2004-06-09,547.277
2004-06-10,548.742
2004-06-11,546.506
2004-06-14,540.143
2004-06-15,544.229
2004-06-16,546.333
2004-06-17,545.432
2004-06-18,546.447
2004-06-21,545.429
2004-06-22,546.714
2004-06-23,550.578
2004-06-24,554.178
2004-06-25,556.094
2004-06-28,556.295
2004-06-29,556.186
2004-06-30,558.615
2004-07-01,554.766
2004-07-02,552.775
2004-07-05,550.621
2004-07-06,544.133
2004-07-07,546.269
2004-07-08,542.079
2004-07-09,544.378
2004-07-12,543.352
2004-07-13,541.503
2004-07-14,539.436
2004-07-15,538.07
2004-07-16,538.034
2004-07-19,537.09
2004-07-20,538.957
2004-07-21,531.774
2004-07-22,530.393
2004-07-23,524.001
2004-07-26,518.55
2004-07-27,520.687
2004-07-28,520.141
2004-07-29,523.618
2004-07-30,525.777
2004-08-02,525.628
2004-08-03,522.212
2004-08-04,518.441
2004-08-05,514.619
2004-08-06,508.755
2004-08-09,507.034
2004-08-10,513.421
2004-08-11,508.655
2004-08-12,504.315
2004-08-13,505.053
2004-08-16,510.167
2004-08-17,512.413
2004-08-18,517.121
2004-08-19,518.814
2004-08-20,520.819
2004-08-23,520.074
2004-08-24,518.379
2004-08-25,522.235
2004-08-26,524.051
2004-08-27,525.806
2004-08-30,521.705
2004-08-31,523.726
2004-09-01,527.717
2004-09-02,531.555
2004-09-03,527.589
2004-09-06,529.999
2004-09-07,533.049
2004-09-08,532.442
2004-09-09,533.659
2004-09-10,539.41
2004-09-13,543.201
2004-09-14,544.986
2004-09-15,538.098
2004-09-16,540.763
2004-09-17,543.103
2004-09-20,542.321
2004-09-21,547.443
2004-09-22,542.189
2004-09-23,541.902
2004-09-24,541.811
2004-09-27,537.449
2004-09-28,539.095
2004-09-29,541.527
2004-09-30,545.077
2004-10-01,553.603
2004-10-04,557.39
2004-10-05,556.902
2004-10-06,558.746
2004-10-07,555.437
2004-10-08,554.025
2004-10-11,553.905
2004-10-12,548.942
2004-10-13,546.886
2004-10-14,544.818
2004-10-15,546.715
2004-10-18,548.597
2004-10-19,549.303
2004-10-20,549.996
2004-10-21,555.994
2004-10-22,553.48
2004-10-25,552.215
2004-10-26,555.699
2004-10-27,563.119
2004-10-28,564.814
2004-10-29,565.839
2004-11-01,567.101
2004-11-02,569.976
2004-11-03,575.511
2004-11-04,580.374
2004-11-05,584.981
2004-11-08,583.338
2004-11-09,583.052
2004-11-10,583.887
2004-11-11,587.923
2004-11-12,594.87
2004-11-15,596.4
2004-11-16,594.028
2004-11-17,599.739
2004-11-18,599.803
2004-11-19,597.74
2004-11-22,598.03
2004-11-23,599.806
2004-11-24,605.197
2004-11-25,608.381
2004-11-26,608.164
2004-11-29,608.889
2004-11-30,606.676
2004-12-01,612.006
2004-12-02,612.08
2004-12-03,614.896
2004-12-06,614.752
2004-12-07,609.872
2004-12-08,605.922
2004-12-09,605.782
2004-12-10,605.467
2004-12-13,611.427
2004-12-14,614.377
2004-12-15,618.538
2004-12-16,615.517
2004-12-17,615.338
2004-12-20,618.002
2004-12-21,620.516
