Date,ACWI SMALL VALUE Small Cap
2001-01-01,338.479
2001-01-02,334.949
2001-01-03,338.816
2001-01-04,338.522
2001-01-05,335.944
2001-01-08,335.58
2001-01-09,334.731
2001-01-10,337.065
2001-01-11,338.833
2001-01-12,339.622
2001-01-15,339.22
2001-01-16,342.734
2001-01-17,342.824
2001-01-18,344.886
2001-01-19,343.9
2001-01-22,344.955
2001-01-23,348.278
2001-01-24,346.772
2001-01-25,346.783
2001-01-26,346.64
2001-01-29,349.188
2001-01-30,351.091
2001-01-31,352.197
2001-02-01,354.519
2001-02-02,352.896
2001-02-05,353.359
2001-02-06,353.804
2001-02-07,353.3
2001-02-08,351.048
2001-02-09,350.024
2001-02-12,352.818
2001-02-13,352.263
2001-02-14,352.013
2001-02-15,352.914
2001-02-16,351.413
2001-02-19,351.364
2001-02-20,349.637
2001-02-21,346.22
2001-02-22,343.173
2001-02-23,343.176
2001-02-26,346.949
2001-02-27,346.53
2001-02-28,344.975
2001-03-01,344.671
2001-03-02,345.615
2001-03-05,345.126
2001-03-06,347.891
2001-03-07,348.73
2001-03-08,349.29
2001-03-09,347.426
2001-03-12,340.385
2001-03-13,337.609
2001-03-14,332.642
2001-03-15,331.638
2001-03-16,327.6
2001-03-19,329.696
2001-03-20,328.531
2001-03-21,325.532
2001-03-22,319.932
2001-03-23,324.805
2001-03-26,329.139
2001-03-27,331.018
2001-03-28,328.229
2001-03-29,326.553
2001-03-30,328.705
2001-04-02,325.164
2001-04-03,321.484
2001-04-04,322.399
2001-04-05,328.38
2001-04-06,326.65
2001-04-09,327.798
2001-04-10,330.513
2001-04-11,329.966
2001-04-12,333.308
2001-04-13,333.558
2001-04-16,332.142
2001-04-17,333.415
2001-04-18,336.571
2001-04-19,340.299
2001-04-20,340.003
2001-04-23,338.909
2001-04-24,339.662
2001-04-25,342.909
2001-04-26,345.888
2001-04-27,346.779
2001-04-30,347.579
2001-05-01,351.308
2001-05-02,352.027
2001-05-03,351.31
2001-05-04,353.611
2001-05-07,352.881
2001-05-08,352.33
2001-05-09,351.613
2001-05-10,352.467
2001-05-11,351.711
2001-05-14,350.953
2001-05-15,352.739
2001-05-16,355.039
2001-05-17,358.403
