Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,544.587
2001-01-02,525.545
2001-01-03,537.171
2001-01-04,533.544
2001-01-05,522.065
2001-01-08,516.619
2001-01-09,516.807
2001-01-10,524.348
2001-01-11,534.325
2001-01-12,540.337
2001-01-15,540.59
2001-01-16,541.805
2001-01-17,548.035
2001-01-18,554.324
2001-01-19,555.435
2001-01-22,555.441
2001-01-23,563.565
2001-01-24,563.36
2001-01-25,560.56
2001-01-26,560.088
2001-01-29,566.219
2001-01-30,569.723
2001-01-31,570.809
2001-02-01,571.039
2001-02-02,561.83
2001-02-05,557.999
2001-02-06,561.412
2001-02-07,555.522
2001-02-08,550.79
2001-02-09,545.385
2001-02-12,547.429
2001-02-13,543.158
2001-02-14,542.636
2001-02-15,547.312
2001-02-16,539.254
2001-02-19,537.397
2001-02-20,528.523
2001-02-21,519.599
2001-02-22,512.469
2001-02-23,512.257
2001-02-26,520.966
2001-02-27,514.99
2001-02-28,506.913
2001-03-01,503.489
2001-03-02,500.959
2001-03-05,499.677
2001-03-06,509.12
2001-03-07,511.236
2001-03-08,507.095
2001-03-09,497.75
2001-03-12,478.871
2001-03-13,475.484
2001-03-14,467.012
2001-03-15,464.898
2001-03-16,454.366
2001-03-19,459.519
2001-03-20,456.653
2001-03-21,448.85
2001-03-22,440.127
2001-03-23,453.097
2001-03-26,462.086
2001-03-27,466.391
2001-03-28,457.872
2001-03-29,451.556
2001-03-30,453.784
2001-04-02,443.809
2001-04-03,429.864
2001-04-04,429.362
2001-04-05,446.148
2001-04-06,442.426
2001-04-09,444.477
2001-04-10,454.281
2001-04-11,456.414
2001-04-12,465.457
2001-04-13,465.71
2001-04-16,461.318
2001-04-17,462.901
2001-04-18,480.524
2001-04-19,491.435
2001-04-20,489.481
2001-04-23,480.787
2001-04-24,478.825
2001-04-25,485.502
2001-04-26,490.726
2001-04-27,493.998
2001-04-30,499.531
2001-05-01,505.434
2001-05-02,509.94
2001-05-03,503.614
2001-05-04,507.405
2001-05-07,506.153
2001-05-08,505.372
2001-05-09,501.992
2001-05-10,501.292
2001-05-11,498.105
2001-05-14,493.748
2001-05-15,495.787
2001-05-16,502.895
2001-05-17,511.605
2001-05-18,512.203
2001-05-21,523.029
2001-05-22,524.597
2001-05-23,517.462
2001-05-24,518.867
2001-05-25,517.484
2001-05-28,517.186
2001-05-29,509.63
2001-05-30,498.593
2001-05-31,500.452
2001-06-01,503.367
2001-06-04,504.941
2001-06-05,511.634
2001-06-06,508.642
2001-06-07,511.852
2001-06-08,509.167
2001-06-11,501.058
2001-06-12,497.672
2001-06-13,496.719
2001-06-14,487.754
2001-06-15,485.227
2001-06-18,478.45
2001-06-19,476.807
2001-06-20,477.641
2001-06-21,479.55
2001-06-22,477.068
2001-06-25,477.224
2001-06-26,477.15
2001-06-27,477.588
2001-06-28,479.832
2001-06-29,488.707
2001-07-02,484.536
2001-07-03,482.159
2001-07-04,480.099
2001-07-05,473.066
2001-07-06,463.593
2001-07-09,462.545
2001-07-10,459.11
2001-07-11,455.81
2001-07-12,464.714
2001-07-13,465.08
2001-07-16,459.431
2001-07-17,460.315
2001-07-18,458.216
2001-07-19,460.667
2001-07-20,460.338
2001-07-23,455.152
2001-07-24,450.508
2001-07-25,452.893
2001-07-26,458.012
2001-07-27,460.972
2001-07-30,459.33
2001-07-31,461.044
2001-08-01,465.335
2001-08-02,468.468
2001-08-03,466.78
2001-08-06,462.024
2001-08-07,459.788
2001-08-08,453.862
2001-08-09,451.649
2001-08-10,452.075
2001-08-13,453.885
2001-08-14,455.485
2001-08-15,455.682
2001-08-16,453.458
