Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2001-01-01,348.842
2001-01-02,345.434
2001-01-03,348.819
2001-01-04,348.174
2001-01-05,346.363
2001-01-08,346.262
2001-01-09,344.647
2001-01-10,346.326
2001-01-11,346.928
2001-01-12,346.768
2001-01-15,346.218
2001-01-16,348.367
2001-01-17,348.737
2001-01-18,350.639
2001-01-19,349.374
2001-01-22,350.713
2001-01-23,353.801
2001-01-24,352.361
2001-01-25,353.211
2001-01-26,352.889
2001-01-29,355.222
2001-01-30,357.415
2001-01-31,358.682
2001-02-01,360.887
2001-02-02,358.84
2001-02-05,359.115
2001-02-06,359.074
2001-02-07,358.357
2001-02-08,356.836
2001-02-09,356.518
2001-02-12,359.085
2001-02-13,358.699
2001-02-14,358.604
2001-02-15,359.194
2001-02-16,357.678
2001-02-19,357.484
2001-02-20,355.755
2001-02-21,352.537
2001-02-22,350.119
2001-02-23,349.816
2001-02-26,353.763
2001-02-27,354.002
2001-02-28,352.193
2001-03-01,351.864
2001-03-02,352.675
2001-03-05,352.858
2001-03-06,355.798
2001-03-07,356.545
2001-03-08,357.537
2001-03-09,355.069
2001-03-12,347.483
2001-03-13,344.048
2001-03-14,338.21
2001-03-15,338.745
2001-03-16,333.997
2001-03-19,336.235
2001-03-20,334.973
2001-03-21,332.108
2001-03-22,324.919
2001-03-23,330.322
2001-03-26,336.021
2001-03-27,338.392
2001-03-28,336.029
2001-03-29,334.316
2001-03-30,335.593
2001-04-02,332.325
2001-04-03,328.613
2001-04-04,330.037
2001-04-05,335.91
2001-04-06,334.006
2001-04-09,335.077
2001-04-10,338.083
2001-04-11,337.626
2001-04-12,340.896
2001-04-13,341.069
2001-04-16,339.493
2001-04-17,340.626
2001-04-18,345.668
2001-04-19,348.766
2001-04-20,348.36
2001-04-23,347.104
2001-04-24,347.245
2001-04-25,349.999
2001-04-26,352.684
2001-04-27,353.879
2001-04-30,355.073
2001-05-01,358.362
2001-05-02,358.696
2001-05-03,357.401
2001-05-04,359.424
2001-05-07,358.883
2001-05-08,357.907
2001-05-09,357.082
2001-05-10,358.234
2001-05-11,357.289
2001-05-14,356.171
2001-05-15,358.199
2001-05-16,361.329
2001-05-17,364.806
2001-05-18,365.23
2001-05-21,368.467
2001-05-22,368.359
2001-05-23,366.583
2001-05-24,366.498
2001-05-25,365.341
2001-05-28,365.264
2001-05-29,364.061
2001-05-30,361.193
2001-05-31,362.255
2001-06-01,363.109
2001-06-04,364.247
2001-06-05,365.564
2001-06-06,364.142
2001-06-07,365.313
2001-06-08,364.895
2001-06-11,362.198
2001-06-12,360.765
2001-06-13,361.05
2001-06-14,357.759
2001-06-15,356.758
2001-06-18,354.852
2001-06-19,354.15
2001-06-20,353.912
2001-06-21,355.518
2001-06-22,355.175
2001-06-25,354.732
2001-06-26,355.614
2001-06-27,356.036
2001-06-28,355.921
2001-06-29,359.961
2001-07-02,359.123
2001-07-03,359.26
2001-07-04,358.333
2001-07-05,355.99
2001-07-06,352.134
2001-07-09,351.752
2001-07-10,351.037
2001-07-11,349.693
2001-07-12,352.999
2001-07-13,353.157
2001-07-16,351.608
2001-07-17,351.956
2001-07-18,352.537
2001-07-19,353.453
2001-07-20,353.006
2001-07-23,349.778
2001-07-24,347.258
2001-07-25,349.03
2001-07-26,351.244
2001-07-27,351.815
2001-07-30,351.596
2001-07-31,353.675
2001-08-01,356.237
2001-08-02,359.061
2001-08-03,358.635
2001-08-06,356.425
2001-08-07,356.289
2001-08-08,354.324
2001-08-09,353.541
2001-08-10,355.741
2001-08-13,356.15
2001-08-14,358.162
2001-08-15,360.517
2001-08-16,360.834
2001-08-17,359.099
2001-08-20,358.087
2001-08-21,358.424
2001-08-22,360.237
2001-08-23,358.873
2001-08-24,360.117
2001-08-27,359.4
2001-08-28,357.835
2001-08-29,356.851
2001-08-30,353.576
2001-08-31,353.622
2001-09-03,351.647
2001-09-04,351.474
2001-09-05,348.956
2001-09-06,345.719
2001-09-07,342.559
2001-09-10,338.092
2001-09-11,335.343
2001-09-12,330.031
2001-09-13,330.982
2001-09-14,330.377
2001-09-17,317.733
2001-09-18,316.601
2001-09-19,314.666
2001-09-20,306.036
2001-09-21,298.269
2001-09-24,304.228
2001-09-25,307.368
2001-09-26,306.919
2001-09-27,308.114
2001-09-28,314.318
2001-10-01,313.502
2001-10-02,315.308
2001-10-03,318.349
2001-10-04,320.753
2001-10-05,320.547
2001-10-08,318.19
2001-10-09,317.522
2001-10-10,319.867
2001-10-11,324.03
2001-10-12,323.52
2001-10-15,323.563
2001-10-16,325.964
2001-10-17,324.246
2001-10-18,320.842
2001-10-19,320.73
2001-10-22,321.744
2001-10-23,321.941
2001-10-24,322.389
2001-10-25,324.706
2001-10-26,325.889
2001-10-29,323.871
2001-10-30,320.722
2001-10-31,321.218
2001-11-01,323.559
2001-11-02,323.714
2001-11-05,326.536
2001-11-06,329.015
2001-11-07,328.761
2001-11-08,329.414
2001-11-09,328.786
2001-11-12,328.023
2001-11-13,329.873
2001-11-14,331.653
2001-11-15,332.435
2001-11-16,333.292
2001-11-19,335.716
2001-11-20,335.186
2001-11-21,333.83
2001-11-22,334.375
2001-11-23,336.062
2001-11-26,338.593
2001-11-27,337.952
2001-11-28,335.161
2001-11-29,336.659
2001-11-30,337.616
2001-12-03,335.483
2001-12-04,338.536
2001-12-05,343.336
2001-12-06,345.186
2001-12-07,344.739
2001-12-10,341.552
2001-12-11,340.479
2001-12-12,341.459
2001-12-13,338.257
2001-12-14,338.605
2001-12-17,339.893
2001-12-18,341.197
2001-12-19,340.12
2001-12-20,339.607
2001-12-21,340.07
2001-12-24,340.507
2001-12-25,340.77
2001-12-26,341.727
2001-12-27,344.491
2001-12-28,346.462
2001-12-31,347.007
2002-01-01,347.019
2002-01-02,347.537
2002-01-03,349.991
2002-01-04,352.765
2002-01-07,352.455
2002-01-08,350.568
2002-01-09,349.914
2002-01-10,349.121
2002-01-11,347.526
2002-01-14,345.687
2002-01-15,345.568
2002-01-16,342.349
2002-01-17,343.716
2002-01-18,343.714
2002-01-21,344.507
2002-01-22,342.802
2002-01-23,344.686
2002-01-24,345.788
2002-01-25,345.529
2002-01-28,346.818
2002-01-29,343.749
2002-01-30,344.196
2002-01-31,346.797
2002-02-01,346.053
2002-02-04,343.371
2002-02-05,341.606
2002-02-06,340.371
2002-02-07,339.673
2002-02-08,342.294
2002-02-11,345.413
2002-02-12,346.652
2002-02-13,348.808
2002-02-14,349.44
2002-02-15,349.471
2002-02-18,349.398
2002-02-19,345.52
2002-02-20,346.432
2002-02-21,346.388
2002-02-22,348.029
2002-02-25,349.043
2002-02-26,350.355
2002-02-27,352.844
2002-02-28,353.106
2002-03-01,356.872
2002-03-04,364.213
2002-03-05,363.751
2002-03-06,367.586
2002-03-07,370.623
2002-03-08,371.189
2002-03-11,372.703
2002-03-12,370.682
2002-03-13,369.331
2002-03-14,371.194
2002-03-15,373.409
2002-03-18,373.944
2002-03-19,375.909
2002-03-20,374.469
2002-03-21,374.73
2002-03-22,373.702
2002-03-25,371.028
2002-03-26,372.434
2002-03-27,375.099
2002-03-28,375.857
2002-03-29,375.107
2002-04-01,374.703
2002-04-02,374.683
2002-04-03,373.897
2002-04-04,375.046
2002-04-05,376.29
2002-04-08,377.041
2002-04-09,377.059
2002-04-10,381.348
2002-04-11,379.17
2002-04-12,380.389
2002-04-15,380.115
2002-04-16,383.734
2002-04-17,385.363
2002-04-18,385.923
2002-04-19,386.483
2002-04-22,385.129
2002-04-23,385.095
2002-04-24,384.722
2002-04-25,384.912
2002-04-26,383.389
2002-04-29,382.075
2002-04-30,384.154
2002-05-01,385.93
2002-05-02,387.184
2002-05-03,388.542
2002-05-06,385.548
2002-05-07,383.348
2002-05-08,386.489
2002-05-09,384.76
2002-05-10,383.022
2002-05-13,384.2
2002-05-14,386.096
2002-05-15,387.828
2002-05-16,387.877
2002-05-17,390.546
2002-05-20,389.222
2002-05-21,387.539
2002-05-22,388.625
2002-05-23,390.038
2002-05-24,389.918
2002-05-27,389.948
2002-05-28,389.667
2002-05-29,388.444
2002-05-30,388.322
2002-05-31,388.746
2002-06-03,384.767
2002-06-04,382.789
2002-06-05,382.699
2002-06-06,379.526
2002-06-07,379.52
2002-06-10,379.679
2002-06-11,377.181
2002-06-12,376.34
2002-06-13,373.065
2002-06-14,370.127
2002-06-17,375.011
2002-06-18,375.791
2002-06-19,372.309
2002-06-20,370.709
2002-06-21,370.103
2002-06-24,368.425
2002-06-25,366.181
2002-06-26,363.595
2002-06-27,366.257
2002-06-28,371.409
2002-07-01,368.094
2002-07-02,361.528
2002-07-03,358.198
2002-07-04,358.557
2002-07-05,365.695
