Date,ACWI GROWTH Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,101.82
1997-02-28,103.098
1997-03-31,100.694
1997-04-30,105.087
1997-05-30,111.084
1997-06-30,117.289
1997-07-31,122.54
1997-08-29,113.11
1997-09-30,119.456
1997-10-31,111.04
1997-11-28,113.663
1997-12-31,114.854
1998-01-30,118.675
1998-02-27,127.26
1998-03-31,131.623
1998-04-30,132.29
1998-05-29,130.052
1998-06-30,134.785
1998-07-31,134.879
1998-08-31,118.092
1998-09-30,120.901
1998-10-30,131.626
1998-11-30,140.18
1998-12-31,149.999
1999-01-29,155.12
1999-02-26,149.273
1999-03-31,155.219
1999-04-30,155.793
1999-05-31,150.625
1999-06-30,160.327
1999-07-30,158.516
1999-08-31,160.37
1999-09-30,160.379
1999-10-29,170.604
1999-11-30,180.993
1999-12-31,202.181
2000-01-31,190.328
2000-02-29,197.188
2000-03-31,208.314
2000-04-28,193.924
2000-05-31,182.54
2000-06-30,193.554
2000-07-31,183.436
2000-08-31,189.724
2000-09-29,172.928
2000-10-31,165.367
2000-11-30,152.44
2000-12-29,149.878
2001-01-31,155.311
2001-02-28,135.692
2001-03-30,124.537
2001-04-30,134.5
2001-05-31,131.966
2001-06-29,127.429
2001-07-31,125.327
2001-08-31,117.78
2001-09-28,107.536
2001-10-31,112.278
2001-11-30,120.987
2001-12-31,122.072
2002-01-31,118.347
2002-02-28,118.726
2002-03-29,121.739
2002-04-30,117.067
2002-05-31,116.379
2002-06-28,109.609
2002-07-31,101.841
2002-08-30,101.929
2002-09-30,91.845
2002-10-31,98.991
2002-11-29,102.732
2002-12-31,98.787
2003-01-31,95.314
2003-02-28,94.235
2003-03-31,94.97
2003-04-30,101.815
2003-05-30,106.154
2003-06-30,107.863
2003-07-31,110.191
2003-08-29,112.658
2003-09-30,113.321
2003-10-31,120.185
2003-11-28,121.864
2003-12-31,127.788
2004-01-30,130.524
2004-02-27,132.299
2004-03-31,131.131
2004-04-30,128.146
2004-05-31,129.378
2004-06-30,130.977
2004-07-30,124.842
2004-08-31,124.763
2004-09-30,127.474
2004-10-29,130.549
2004-11-30,137.437
2004-12-31,142.716
2005-01-31,139.141
2005-02-28,143.145
2005-03-31,140.065
2005-04-29,136.995
2005-05-31,140.773
2005-06-30,141.635
2005-07-29,147.784
2005-08-31,149.103
2005-09-30,153.043
2005-10-31,149.449
2005-11-30,154.847
2005-12-30,158.645
2006-01-31,166.732
2006-02-28,165.164
2006-03-31,169.076
2006-04-28,173.573
2006-05-31,166.053
2006-06-30,165.806
2006-07-31,164.791
2006-08-31,169.352
2006-09-29,170.862
2006-10-31,177.098
2006-11-30,182.33
2006-12-29,185.208
2007-01-31,187.779
2007-02-28,186.585
2007-03-30,190.485
2007-04-30,199.112
2007-05-31,205.174
2007-06-29,205.312
2007-07-31,204.036
2007-08-31,204.042
2007-09-28,216.324
2007-10-31,226.389
2007-11-30,218.194
2007-12-31,216.804
2008-01-31,196.83
2008-02-29,200.432
2008-03-31,196.979
2008-04-30,208.384
2008-05-30,215.163
2008-06-30,200.231
2008-07-31,193.89
2008-08-29,188.977
2008-09-30,162.239
2008-10-31,129.491
2008-11-28,119.489
2008-12-31,124.201
2009-01-30,116.479
2009-02-27,107.284
2009-03-31,115.602
2009-04-30,126.846
2009-05-29,138.966
2009-06-30,138.995
2009-07-31,150.438
2009-08-31,153.381
2009-09-30,161.183
2009-10-30,159.928
2009-11-30,166.853
2009-12-31,171.519
2010-01-29,163.087
2010-02-26,166.113
2010-03-31,176.891
2010-04-30,177.549
2010-05-31,160.96
2010-06-30,156.315
2010-07-30,168.611
2010-08-31,163.105
2010-09-30,180.51
2010-10-29,187.882
2010-11-30,185.569
2010-12-31,198.084
2011-01-31,199.139
2011-02-28,204.14
2011-03-31,204.937
2011-04-29,213.826
2011-05-31,210.337
2011-06-30,207.049
2011-07-29,205.932
2011-08-31,191.343
2011-09-30,171.67
2011-10-31,191.324
2011-11-30,186.207
2011-12-30,184.146
2012-01-31,195.84
2012-02-29,206.368
2012-03-30,208.735
2012-04-30,207.875
2012-05-31,189.395
2012-06-29,196.927
2012-07-31,200.202
2012-08-31,205.149
2012-09-28,211.008
2012-10-31,208.108
2012-11-30,212.607
2012-12-31,215.771
2013-01-31,224.202
2013-02-28,225.412
2013-03-29,230.169
2013-04-30,235.458
2013-05-31,235.261
2013-06-28,228.167
2013-07-31,239.091
2013-08-30,235.127
2013-09-30,248.104
2013-10-31,257.283
2013-11-29,261.571
2013-12-31,266.731
2014-01-31,256.041
2014-02-28,269.679
2014-03-31,268.129
2014-04-30,269.208
2014-05-30,276.782
2014-06-30,281.785
2014-07-31,278.192
2014-08-29,285.668
2014-09-30,277.162
2014-10-31,280.671
2014-11-28,287.737
2014-12-31,282.259
2015-01-30,280.854
2015-02-27,297.533
2015-03-31,294.839
2015-04-30,301.126
2015-05-29,302.238
2015-06-30,296.538
2015-07-31,301.799
2015-08-31,280.992
2015-09-30,271.257
2015-10-30,293.22
2015-11-30,292.182
2015-12-31,287.66
2016-01-29,269.689
2016-02-29,267.635
2016-03-31,287.085
2016-04-29,288.921
2016-05-31,291.102
2016-06-30,289.599
2016-07-29,303.276
2016-08-31,302.304
2016-09-30,305.12
2016-10-31,296.458
2016-11-30,294.783
2016-12-30,298.202
2017-01-31,309.752
2017-02-28,319.612
2017-03-31,325.574
2017-04-28,334.002
2017-05-31,345.516
2017-06-30,344.637
2017-07-31,355.035
2017-08-31,359.512
2017-09-29,364.764
2017-10-31,375.254
2017-11-30,383.267
2017-12-29,389.042
2018-01-31,414.281
2018-02-28,400.312
2018-03-30,391.948
2018-04-30,394.663
2018-05-31,402.599
2018-06-29,401.358
2018-07-31,410.885
2018-08-31,420.298
2018-09-28,419.927
2018-10-31,380.705
2018-11-30,385.21
2018-12-31,358.616
2019-01-31,389.168
2019-02-28,401.471
2019-03-29,410.882
2019-04-30,427.645
2019-05-31,403.456
2019-06-28,431.546
2019-07-31,436.038
2019-08-30,430.348
2019-09-30,432.99
2019-10-31,447.016
2019-11-29,461.154
2019-12-31,477.554
2020-01-31,483.12
2020-02-28,449.476
2020-03-31,402.843
2020-04-30,452.961
2020-05-29,480.034
2020-06-30,504.534
2020-07-31,541.963
2020-08-31,584.759
2020-09-30,565.339
2020-10-30,551.646
2020-11-30,608.416
2020-12-31,639.61
2021-01-29,638.81
2021-02-26,640.132
2021-03-31,641.728
2021-04-30,679.149
2021-05-31,679.162
2021-06-30,706.27
2021-07-30,716.444
2021-08-31,739.53
2021-09-30,701.392
2021-10-29,744.451
2021-11-30,736.496
2021-12-31,750.366
2022-01-31,686.042
2022-02-28,661.467
2022-03-31,677.754
2022-04-29,602.117
2022-05-31,590.39
2022-06-30,541.595
2022-07-29,596.661
2022-08-31,569.282
2022-09-30,509.749
2022-10-31,527.825
2022-11-30,568.48
2022-12-30,536.936
2023-01-31,588.268
2023-02-28,573.487
2023-03-31,611.319
2023-04-28,618.486
2023-05-31,631.007
2023-06-30,668.053
2023-07-31,689.687
2023-08-31,672.529
2023-09-29,635.626
2023-10-31,619.345
2023-11-30,687.639
2023-12-29,716.949
2024-01-31,726.255
2024-02-29,769.493
2024-03-29,785.423
2024-04-30,757.506
2024-05-31,796.466
2024-06-28,834.742
2024-07-31,827.564
2024-08-30,847.404
2024-09-30,869.058
2024-10-31,851.607
2024-11-29,888.619
2024-12-31,892.33
2025-01-31,915.447
2025-02-28,892.026
2025-03-31,831.808
2025-04-30,857.298
2025-05-30,928.304
2025-06-30,976.099
2025-07-31,996.671
2025-08-29,1014.584
2025-09-30,1064.14
2025-10-31,1109.079
2025-11-28,1092.254
2025-12-31,1094.618
2026-01-30,1102.478
