Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
2001-01-01,284.109
2001-01-02,289.99
2001-01-03,289.994
2001-01-04,296.668
2001-01-05,300.221
2001-01-08,295.223
2001-01-09,291.599
2001-01-10,288.807
2001-01-11,287.637
2001-01-12,288.683
2001-01-15,287.934
2001-01-16,288.174
2001-01-17,287.153
2001-01-18,292.592
2001-01-19,295.131
2001-01-22,294.873
2001-01-23,291.879
2001-01-24,287.523
2001-01-25,289.991
2001-01-26,289.193
2001-01-29,289.717
2001-01-30,292.166
2001-01-31,294.226
2001-02-01,299.256
2001-02-02,297.012
2001-02-05,292.311
2001-02-06,293.08
2001-02-07,289.831
2001-02-08,286.517
2001-02-09,283.999
2001-02-12,286.771
2001-02-13,285.301
2001-02-14,282.993
2001-02-15,277.702
2001-02-16,281.564
2001-02-19,278.299
2001-02-20,275.226
2001-02-21,278.133
2001-02-22,275.844
2001-02-23,274.68
2001-02-26,275.554
2001-02-27,276.48
2001-02-28,277.954
2001-03-01,281.1
2001-03-02,281.333
2001-03-05,278.513
2001-03-06,275.848
2001-03-07,274.87
2001-03-08,273.333
2001-03-09,271.663
2001-03-12,270.752
2001-03-13,262.661
2001-03-14,261.306
2001-03-15,256.99
2001-03-16,257.599
2001-03-19,257.79
2001-03-20,258.798
2001-03-21,255.667
2001-03-22,252.448
2001-03-23,250.999
2001-03-26,254.633
2001-03-27,254.792
2001-03-28,252.935
2001-03-29,251.709
2001-03-30,247.616
2001-04-02,249.176
2001-04-03,248.542
2001-04-04,251.554
2001-04-05,253.67
2001-04-06,257.913
2001-04-09,255.889
2001-04-10,257.991
2001-04-11,263.793
2001-04-12,267.83
2001-04-13,267.83
2001-04-16,268.674
2001-04-17,265.608
2001-04-18,261.455
2001-04-19,272.007
2001-04-20,275.418
2001-04-23,268.726
2001-04-24,267.298
2001-04-25,267.935
2001-04-26,271.251
2001-04-27,270.146
2001-04-30,273.133
2001-05-01,276.22
2001-05-02,278.293
2001-05-03,280.794
2001-05-04,278.289
2001-05-07,279.199
2001-05-08,278.346
2001-05-09,280.367
2001-05-10,285.636
2001-05-11,282.924
2001-05-14,280.858
2001-05-15,282.114
2001-05-16,282.527
2001-05-17,288.522
2001-05-18,286.278
2001-05-21,291.171
2001-05-22,287.173
2001-05-23,284.586
