Date,AUSTRALIA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,298.069
2001-01-02,303.772
2001-01-03,303.19
2001-01-04,313.487
2001-01-05,318.748
2001-01-08,312.47
2001-01-09,308.862
2001-01-10,305.407
2001-01-11,304.638
2001-01-12,307.367
2001-01-15,309.117
2001-01-16,310.721
2001-01-17,310.589
2001-01-18,317.017
2001-01-19,320.579
2001-01-22,320.684
2001-01-23,315.15
2001-01-24,309.948
2001-01-25,312.893
2001-01-26,312.031
2001-01-29,311.205
2001-01-30,315.181
2001-01-31,317.262
2001-02-01,323.044
2001-02-02,319.769
2001-02-05,312.117
2001-02-06,313.338
2001-02-07,311.436
2001-02-08,309.461
2001-02-09,306.488
2001-02-12,310.03
2001-02-13,309.043
2001-02-14,306.585
2001-02-15,299.068
2001-02-16,303.591
2001-02-19,298.893
2001-02-20,294.508
2001-02-21,297.452
2001-02-22,292.497
2001-02-23,290.269
2001-02-26,289.895
2001-02-27,290.407
2001-02-28,291.513
2001-03-01,294.65
2001-03-02,293.74
2001-03-05,289.555
2001-03-06,286.098
2001-03-07,287.741
2001-03-08,287.331
2001-03-09,285.533
2001-03-12,284.249
2001-03-13,274.144
2001-03-14,272.973
2001-03-15,269.396
2001-03-16,271.223
2001-03-19,270.294
2001-03-20,271.571
2001-03-21,267.83
2001-03-22,264.646
2001-03-23,263.923
2001-03-26,269.023
2001-03-27,269.633
2001-03-28,267.588
2001-03-29,264.695
2001-03-30,259.435
2001-04-02,261.046
2001-04-03,258.291
2001-04-04,260.339
2001-04-05,262.969
2001-04-06,268.478
2001-04-09,267.827
2001-04-10,270.348
2001-04-11,277.708
2001-04-12,282.065
2001-04-13,282.065
2001-04-16,282.954
2001-04-17,280.045
2001-04-18,276.898
2001-04-19,288.607
2001-04-20,289.894
2001-04-23,283.839
2001-04-24,281.144
2001-04-25,281.814
2001-04-26,285.417
2001-04-27,285.214
2001-04-30,289.121
2001-05-01,292.059
2001-05-02,294.947
2001-05-03,297.445
2001-05-04,293.873
2001-05-07,295.286
2001-05-08,294.284
2001-05-09,295.475
2001-05-10,300.861
2001-05-11,296.665
2001-05-14,294.368
2001-05-15,294.687
2001-05-16,293.457
2001-05-17,299.971
2001-05-18,297.8
2001-05-21,301.459
2001-05-22,296.936
2001-05-23,293.096
2001-05-24,289.782
2001-05-25,294.002
2001-05-28,293.723
2001-05-29,290.163
2001-05-30,287.863
2001-05-31,280.93
2001-06-01,281.986
2001-06-04,285.268
2001-06-05,286.532
2001-06-06,288.533
2001-06-07,293.275
2001-06-08,297.012
2001-06-11,296.417
2001-06-12,288.828
2001-06-13,287.505
2001-06-14,291.922
2001-06-15,290.123
2001-06-18,285.183
2001-06-19,281.862
2001-06-20,281.835
2001-06-21,281.595
2001-06-22,284.422
2001-06-25,282.143
2001-06-26,284.2
2001-06-27,281.857
2001-06-28,278.599
2001-06-29,283.413
2001-07-02,282.488
2001-07-03,287.324
2001-07-04,287.231
2001-07-05,282.353
2001-07-06,273.546
2001-07-09,275.153
2001-07-10,277.224
2001-07-11,277.107
2001-07-12,277.137
2001-07-13,278.678
2001-07-16,281.665
2001-07-17,277.259
2001-07-18,279.909
