Date,AUSTRALIA IMI GROWTH IMI (Large+Mid+Small Cap)
1997-05-30,323.427
1997-06-30,330.203
1997-07-31,321.595
1997-08-29,298.592
1997-09-30,308.043
1997-10-31,261.006
1997-11-28,250.768
1997-12-31,258.864
1998-01-30,278.454
1998-02-27,292.386
1998-03-31,287.647
1998-04-30,278.787
1998-05-29,264.312
1998-06-30,267.786
1998-07-31,270.543
1998-08-31,238.291
1998-09-30,257.966
1998-10-30,275.248
1998-11-30,295.766
1998-12-31,298.256
1999-01-29,325.973
1999-02-26,316.706
1999-03-31,328.966
1999-04-30,353.134
1999-05-31,328.868
1999-06-30,356.339
1999-07-30,355.356
1999-08-31,333.46
1999-09-30,339.115
1999-10-29,334.514
1999-11-30,370.5
1999-12-31,385.842
2000-01-31,374.737
2000-02-29,379.44
2000-03-31,380.943
2000-04-28,342.337
2000-05-31,319.909
2000-06-30,365.04
2000-07-31,347.623
2000-08-31,344.969
2000-09-29,327.055
2000-10-31,297.908
2000-11-30,289.673
2000-12-29,298.069
2001-01-31,317.262
2001-02-28,291.513
2001-03-30,259.435
2001-04-30,289.121
2001-05-31,280.93
2001-06-29,283.413
2001-07-31,272.131
2001-08-31,270.111
2001-09-28,241.357
2001-10-31,255.441
2001-11-30,273.7
2001-12-31,273.595
2002-01-31,265.832
2002-02-28,258.377
2002-03-29,276.925
2002-04-30,266.294
2002-05-31,276.788
2002-06-28,258.398
2002-07-31,237.715
2002-08-30,242.707
2002-09-30,228.035
2002-10-31,242.562
2002-11-29,254.159
2002-12-31,248.819
2003-01-31,253.222
2003-02-28,249.899
2003-03-31,256.31
2003-04-30,276.504
2003-05-30,286.094
2003-06-30,295.502
2003-07-31,300.056
2003-08-29,314.253
2003-09-30,325.555
2003-10-31,357.532
2003-11-28,355.766
2003-12-31,385.515
2004-01-30,380.321
2004-02-27,399.351
2004-03-31,399.296
2004-04-30,380.866
2004-05-31,382.949
2004-06-30,381.548
2004-07-30,388.357
2004-08-31,395.415
2004-09-30,424.364
2004-10-29,446.699
2004-11-30,493.568
2004-12-31,512.581
2005-01-31,520.213
2005-02-28,555.938
2005-03-31,535.13
2005-04-29,512.466
2005-05-31,513.093
2005-06-30,552.646
2005-07-29,570.199
2005-08-31,582.025
2005-09-30,628.065
2005-10-31,579.434
2005-11-30,603.047
