Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
1997-05-30,209.658
1997-06-30,219.557
1997-07-31,225.316
1997-08-29,212.748
1997-09-30,229.622
1997-10-31,204.984
1997-11-28,202.786
1997-12-31,206.619
1998-01-30,218.582
1998-02-27,219.406
1998-03-31,219.203
1998-04-30,217.953
1998-05-29,208.283
1998-06-30,198.757
1998-07-31,199.891
1998-08-31,173.193
1998-09-30,186.911
1998-10-30,203.463
1998-11-30,216.777
1998-12-31,216.115
1999-01-29,226.25
1999-02-26,224.083
1999-03-31,237.586
1999-04-30,262.133
1999-05-31,238.763
1999-06-30,245.786
1999-07-30,245.668
1999-08-31,238.51
1999-09-30,239.661
1999-10-29,233.293
1999-11-30,237.877
1999-12-31,253.387
2000-01-31,239.597
2000-02-29,224.095
2000-03-31,222.314
2000-04-28,224.951
2000-05-31,223.843
2000-06-30,249.59
2000-07-31,238.609
2000-08-31,243.251
2000-09-29,226.246
2000-10-31,223.142
2000-11-30,238.931
2000-12-29,250.263
2001-01-31,252.034
2001-02-28,245.309
2001-03-30,219.071
2001-04-30,239.19
2001-05-31,249.231
2001-06-29,262.113
2001-07-31,247.551
2001-08-31,260.4
2001-09-28,226.99
2001-10-31,252.681
2001-11-30,269.234
2001-12-31,273.777
2002-01-31,282.081
2002-02-28,292.242
2002-03-29,298.054
2002-04-30,300.603
2002-05-31,324.161
2002-06-28,315.134
2002-07-31,293.561
2002-08-30,303.99
2002-09-30,288.948
2002-10-31,298.982
2002-11-29,299.439
2002-12-31,296.04
2003-01-31,303.855
2003-02-28,300.823
2003-03-31,313.724
2003-04-30,339.249
2003-05-30,354.632
2003-06-30,373.849
2003-07-31,365.433
2003-08-29,365.912
2003-09-30,383.322
2003-10-31,409.694
2003-11-28,409.634
2003-12-31,442.738
2004-01-30,448.805
2004-02-27,468.597
2004-03-31,481.088
2004-04-30,446.291
2004-05-31,451.257
2004-06-30,452.135
2004-07-30,451.451
2004-08-31,461.952
2004-09-30,487.114
2004-10-29,525.259
2004-11-30,559.123
2004-12-31,583.413
2005-01-31,584.586
2005-02-28,601.442
2005-03-31,578.767
2005-04-29,581.719
2005-05-31,578.604
2005-06-30,600.756
2005-07-29,610.709
2005-08-31,610.019
2005-09-30,648.951
2005-10-31,620.947
2005-11-30,642.148
2005-12-30,650.651
2006-01-31,687.789
2006-02-28,691.719
2006-03-31,675.942
2006-04-28,731.833
2006-05-31,691.414
2006-06-30,700.152
2006-07-31,718.006
2006-08-31,745.744
2006-09-29,744.678
2006-10-31,801.241
2006-11-30,839.199
2006-12-29,870.035
2007-01-31,872.359
2007-02-28,889.412
2007-03-30,925.803
2007-04-30,988.807
2007-05-31,1000.0
2007-06-29,1011.238
2007-07-31,990.506
2007-08-31,965.438
2007-09-28,1071.871
2007-10-31,1148.441
2007-11-30,1053.274
2007-12-31,1010.663
2008-01-31,914.412
2008-02-29,906.484
2008-03-31,879.064
2008-04-30,929.45
2008-05-30,930.689
2008-06-30,828.458
2008-07-31,801.706
2008-08-29,762.1
2008-09-30,671.749
2008-10-31,493.123
2008-11-28,445.672
2008-12-31,471.506
2009-01-30,395.335
2009-02-27,370.482
2009-03-31,446.017
2009-04-30,499.893
2009-05-29,549.102
2009-06-30,586.683
2009-07-31,655.932
2009-08-31,730.892
2009-09-30,827.993
2009-10-30,822.144
2009-11-30,835.453
2009-12-31,850.544
2010-01-29,800.904
2010-02-26,815.823
2010-03-31,872.979
2010-04-30,888.381
2010-05-31,737.458
2010-06-30,719.921
2010-07-30,809.34
2010-08-31,796.525
2010-09-30,899.005
2010-10-29,915.582
2010-11-30,875.173
2010-12-31,963.228
2011-01-31,954.306
2011-02-28,995.866
2011-03-31,1009.407
2011-04-29,1080.116
2011-05-31,1014.454
2011-06-30,1013.577
2011-07-29,984.476
2011-08-31,953.868
2011-09-30,827.419
2011-10-31,979.043
2011-11-30,917.495
2011-12-30,911.642
2012-01-31,980.905
2012-02-29,1015.632
2012-03-30,1006.538
2012-04-30,1034.311
2012-05-31,904.962
2012-06-29,985.38
2012-07-31,1074.294
2012-08-31,1076.912
2012-09-28,1095.141
2012-10-31,1128.555
2012-11-30,1140.814
