Date,AUSTRALIA MID CAP Mid Cap
1994-05-31,168.254
1994-06-30,156.811
1994-07-29,166.782
1994-08-31,172.309
1994-09-30,166.16
1994-10-31,166.729
1994-11-30,157.752
1994-12-30,161.311
1995-01-31,148.637
1995-02-28,148.685
1995-03-31,147.377
1995-04-28,159.712
1995-05-31,153.769
1995-06-30,151.837
1995-07-31,161.373
1995-08-31,167.021
1995-09-29,172.193
1995-10-31,168.228
1995-11-30,173.579
1995-12-29,178.136
1996-01-31,190.603
1996-02-29,198.488
1996-03-29,199.706
1996-04-30,205.996
1996-05-31,207.33
1996-06-28,203.146
1996-07-31,195.322
1996-08-30,208.725
1996-09-30,212.061
1996-10-31,220.956
1996-11-29,227.565
1996-12-31,226.407
1997-01-31,216.869
1997-02-28,223.961
1997-03-31,223.698
1997-04-30,227.443
1997-05-30,229.568
1997-06-30,239.037
1997-07-31,240.881
1997-08-29,225.165
1997-09-30,235.68
1997-10-31,201.405
1997-11-28,190.831
1997-12-31,194.039
1998-01-30,204.996
1998-02-27,205.097
1998-03-31,203.687
1998-04-30,201.524
1998-05-29,191.073
1998-06-30,178.087
1998-07-31,178.246
1998-08-31,159.131
1998-09-30,175.753
1998-10-30,187.773
1998-11-30,194.501
1998-12-31,191.646
1999-01-29,199.031
1999-02-26,200.626
1999-03-31,207.941
1999-04-30,223.7
1999-05-31,207.877
1999-06-30,215.161
1999-07-30,220.102
1999-08-31,217.103
1999-09-30,218.581
1999-10-29,208.656
1999-11-30,212.015
1999-12-31,224.3
2000-01-31,211.017
2000-02-29,195.673
2000-03-31,200.304
2000-04-28,191.071
2000-05-31,185.614
2000-06-30,209.988
2000-07-31,204.659
2000-08-31,209.035
2000-09-29,192.001
2000-10-31,187.567
2000-11-30,196.503
2000-12-29,212.133
2001-01-31,213.108
2001-02-28,200.704
2001-03-30,183.922
2001-04-30,199.399
2001-05-31,204.313
2001-06-29,218.971
2001-07-31,212.46
2001-08-31,221.818
2001-09-28,198.768
2001-10-31,213.796
2001-11-30,223.923
2001-12-31,225.892
2002-01-31,223.742
2002-02-28,224.245
2002-03-29,233.739
2002-04-30,230.393
2002-05-31,247.588
2002-06-28,235.872
2002-07-31,221.013
2002-08-30,227.952
2002-09-30,217.177
2002-10-31,219.075
2002-11-29,226.898
2002-12-31,228.916
2003-01-31,233.334
2003-02-28,235.057
2003-03-31,238.772
2003-04-30,258.936
2003-05-30,266.236
2003-06-30,278.718
2003-07-31,281.23
2003-08-29,292.452
2003-09-30,308.775
2003-10-31,343.965
2003-11-28,343.714
2003-12-31,374.772
2004-01-30,368.357
2004-02-27,388.418
2004-03-31,399.693
2004-04-30,375.306
2004-05-31,381.255
2004-06-30,384.673
2004-07-30,398.567
2004-08-31,419.103
2004-09-30,447.812
2004-10-29,476.793
2004-11-30,517.022
2004-12-31,545.735
2005-01-31,550.828
2005-02-28,559.125
2005-03-31,542.993
2005-04-29,523.548
2005-05-31,515.289
2005-06-30,553.367
2005-07-29,562.048
2005-08-31,572.361
2005-09-30,611.256
2005-10-31,563.567
2005-11-30,588.041
2005-12-30,606.895
2006-01-31,641.02
2006-02-28,625.072
2006-03-31,621.823
2006-04-28,677.934
2006-05-31,646.335
2006-06-30,649.264
2006-07-31,660.146
2006-08-31,662.648
2006-09-29,674.386
2006-10-31,738.989
2006-11-30,794.219
2006-12-29,828.996
2007-01-31,814.83
2007-02-28,860.057
2007-03-30,910.732
2007-04-30,979.302
2007-05-31,1000.0
2007-06-29,1021.341
2007-07-31,1002.734
2007-08-31,957.794
2007-09-28,1084.696
2007-10-31,1126.092
2007-11-30,1057.391
2007-12-31,1005.493
2008-01-31,913.104
2008-02-29,968.6
2008-03-31,904.668
2008-04-30,978.75
2008-05-30,1012.342
2008-06-30,947.73
2008-07-31,890.385
2008-08-29,867.324
2008-09-30,712.368
2008-10-31,481.099
2008-11-28,441.681
2008-12-31,490.131
2009-01-30,423.811
2009-02-27,369.296
2009-03-31,427.861
2009-04-30,485.488
2009-05-29,542.39
2009-06-30,556.644
2009-07-31,620.653
2009-08-31,661.247
2009-09-30,728.136
2009-10-30,722.794
2009-11-30,731.805
2009-12-31,764.124
2010-01-29,709.396
2010-02-26,711.075
2010-03-31,769.237
2010-04-30,770.418
2010-05-31,640.858
2010-06-30,629.013
2010-07-30,701.441
2010-08-31,691.341
2010-09-30,782.235
2010-10-29,795.75
2010-11-30,774.817
2010-12-31,864.157
2011-01-31,838.354
2011-02-28,883.115
2011-03-31,890.777
2011-04-29,917.776
2011-05-31,886.672
2011-06-30,870.389
2011-07-29,880.794
2011-08-31,831.959
2011-09-30,696.976
2011-10-31,812.446
2011-11-30,762.231
2011-12-30,750.203
2012-01-31,815.941
2012-02-29,857.359
2012-03-30,834.848
2012-04-30,843.474
2012-05-31,740.648
2012-06-29,768.374
2012-07-31,807.744
2012-08-31,799.217
2012-09-28,813.291
2012-10-31,834.706
2012-11-30,843.732
2012-12-31,864.328
2013-01-31,918.278
2013-02-28,938.78
2013-03-29,944.169
2013-04-30,961.013
2013-05-31,870.943
2013-06-28,804.684
2013-07-31,791.345
2013-08-30,800.789
2013-09-30,867.643
2013-10-31,900.38
2013-11-29,849.106
2013-12-31,841.354
2014-01-31,811.554
2014-02-28,882.386
2014-03-31,908.133
2014-04-30,929.043
2014-05-30,947.3
2014-06-30,956.946
2014-07-31,981.726
2014-08-29,1003.669
2014-09-30,898.02
2014-10-31,941.368
2014-11-28,901.756
2014-12-31,894.637
2015-01-30,891.959
2015-02-27,963.156
2015-03-31,935.272
2015-04-30,958.27
