Date,AUSTRALIA MID CAP Mid Cap
1994-05-31,196.933
1994-06-30,183.359
1994-07-29,194.988
1994-08-31,201.271
1994-09-30,193.69
1994-10-31,193.881
1994-11-30,183.325
1994-12-30,187.359
1995-01-31,172.638
1995-02-28,172.456
1995-03-31,170.508
1995-04-28,184.67
1995-05-31,177.67
1995-06-30,175.244
1995-07-31,186.251
1995-08-31,192.505
1995-09-29,197.859
1995-10-31,192.933
1995-11-30,198.926
1995-12-29,204.011
1996-01-31,218.214
1996-02-29,226.793
1996-03-29,227.87
1996-04-30,234.728
1996-05-31,236.176
1996-06-28,231.229
1996-07-31,222.277
1996-08-30,237.137
1996-09-30,240.525
1996-10-31,250.095
1996-11-29,257.448
1996-12-31,255.97
1997-01-31,245.187
1997-02-28,252.8
1997-03-31,252.105
1997-04-30,256.058
1997-05-30,258.392
1997-06-30,268.539
1997-07-31,270.61
1997-08-29,252.818
1997-09-30,264.028
1997-10-31,225.363
1997-11-28,213.338
1997-12-31,216.721
1998-01-30,228.959
1998-02-27,228.91
1998-03-31,226.901
1998-04-30,224.317
1998-05-29,212.601
1998-06-30,197.783
1998-07-31,197.959
1998-08-31,176.559
1998-09-30,194.41
1998-10-30,207.426
1998-11-30,214.546
1998-12-31,211.352
1999-01-29,219.445
1999-02-26,221.083
1999-03-31,228.542
1999-04-30,245.814
1999-05-31,228.358
1999-06-30,236.074
1999-07-30,241.416
1999-08-31,237.864
1999-09-30,238.867
1999-10-29,227.899
1999-11-30,231.359
1999-12-31,244.733
2000-01-31,230.194
2000-02-29,213.199
2000-03-31,217.765
2000-04-28,207.723
2000-05-31,201.754
2000-06-30,228.009
2000-07-31,222.189
2000-08-31,226.661
2000-09-29,207.678
2000-10-31,202.737
2000-11-30,212.159
2000-12-29,228.958
2001-01-31,230.011
2001-02-28,216.419
2001-03-30,197.793
2001-04-30,214.419
2001-05-31,219.589
2001-06-29,235.081
2001-07-31,228.034
2001-08-31,237.763
2001-09-28,212.627
2001-10-31,228.602
2001-11-30,239.211
2001-12-31,241.238
2002-01-31,238.942
2002-02-28,239.209
2002-03-29,248.57
2002-04-30,244.996
2002-05-31,263.047
2002-06-28,250.35
2002-07-31,234.578
2002-08-30,241.46
2002-09-30,229.346
2002-10-31,231.279
2002-11-29,239.387
2002-12-31,241.378
2003-01-31,246.037
2003-02-28,247.501
2003-03-31,250.526
2003-04-30,271.672
2003-05-30,278.979
2003-06-30,291.798
2003-07-31,294.325
2003-08-29,305.664
2003-09-30,321.928
2003-10-31,358.55
2003-11-28,357.991
2003-12-31,389.95
2004-01-30,383.276
2004-02-27,403.494
2004-03-31,414.252
2004-04-30,388.957
2004-05-31,394.901
2004-06-30,398.184
2004-07-30,412.274
2004-08-31,432.697
2004-09-30,461.279
2004-10-29,490.993
2004-11-30,531.941
2004-12-31,561.031
2005-01-31,566.267
2005-02-28,573.645
2005-03-31,555.975
2005-04-29,536.039
2005-05-31,527.452
2005-06-30,565.617
2005-07-29,574.49
2005-08-31,584.134
2005-09-30,622.335
2005-10-31,573.616
2005-11-30,598.292
2005-12-30,616.401
2006-01-31,651.06
2006-02-28,633.77
2006-03-31,629.264
2006-04-28,686.046
2006-05-31,653.842
2006-06-30,655.879
2006-07-31,666.872
2006-08-31,668.457
2006-09-29,678.747
2006-10-31,743.085
2006-11-30,798.386
2006-12-29,832.136
2007-01-31,817.915
2007-02-28,862.318
2007-03-30,910.842
2007-04-30,979.302
2007-05-31,1000.0
2007-06-29,1019.136
2007-07-31,1000.569
2007-08-31,954.419
2007-09-28,1079.063
2007-10-31,1119.624
2007-11-30,1051.049
2007-12-31,997.696
2008-01-31,906.023
2008-02-29,959.372
2008-03-31,893.976
2008-04-30,966.788
2008-05-30,999.711
2008-06-30,933.699
2008-07-31,877.203
2008-08-29,853.151
2008-09-30,698.517
2008-10-31,471.285
2008-11-28,432.133
2008-12-31,478.267
2009-01-30,413.553
2009-02-27,360.356
2009-03-31,417.232
2009-04-30,473.403
2009-05-29,528.732
2009-06-30,541.666
2009-07-31,603.953
2009-08-31,643.454
2009-09-30,708.183
2009-10-30,702.987
2009-11-30,711.545
2009-12-31,742.095
2010-01-29,688.945
2010-02-26,690.458
2010-03-31,746.682
2010-04-30,747.829
2010-05-31,621.911
2010-06-30,609.596
2010-07-30,679.788
2010-08-31,669.809
2010-09-30,757.073
2010-10-29,770.045
2010-11-30,749.599
2010-12-31,835.05
2011-01-31,810.115
2011-02-28,853.242
2011-03-31,860.242
2011-04-29,886.316
2011-05-31,856.046
2011-06-30,839.18
2011-07-29,849.212
2011-08-31,802.0
2011-09-30,671.352
2011-10-31,782.449
2011-11-30,733.813
2011-12-30,721.203
2012-01-31,784.4
2012-02-29,823.958
2012-03-30,802.082
2012-04-30,810.369
2012-05-31,711.351
2012-06-29,736.429
2012-07-31,774.163
2012-08-31,765.831
2012-09-28,779.047
2012-10-31,799.453
2012-11-30,808.021
2012-12-31,826.116
2013-01-31,877.561
2013-02-28,896.954
