Date,AUSTRALIA MID GROWTH Mid Cap
2001-01-01,342.401
2001-01-02,345.721
2001-01-03,349.966
2001-01-04,352.934
2001-01-05,354.912
2001-01-08,347.042
2001-01-09,339.659
2001-01-10,334.263
2001-01-11,330.212
2001-01-12,328.855
2001-01-15,324.786
2001-01-16,324.352
2001-01-17,327.792
2001-01-18,335.255
2001-01-19,340.155
2001-01-22,338.136
2001-01-23,335.105
2001-01-24,328.917
2001-01-25,330.417
2001-01-26,329.507
2001-01-29,331.899
2001-01-30,335.565
2001-01-31,337.094
2001-02-01,340.912
2001-02-02,335.826
2001-02-05,333.479
2001-02-06,333.237
2001-02-07,330.159
2001-02-08,327.518
2001-02-09,321.286
2001-02-12,321.771
2001-02-13,318.593
2001-02-14,314.248
2001-02-15,309.046
2001-02-16,311.712
2001-02-19,305.232
2001-02-20,302.418
2001-02-21,307.621
2001-02-22,304.513
2001-02-23,302.542
2001-02-26,305.945
2001-02-27,307.294
2001-02-28,305.674
2001-03-01,310.61
2001-03-02,311.541
2001-03-05,309.22
2001-03-06,308.445
2001-03-07,304.786
2001-03-08,302.508
2001-03-09,300.606
2001-03-12,297.709
2001-03-13,290.021
2001-03-14,289.237
2001-03-15,284.301
2001-03-16,284.167
2001-03-19,283.575
2001-03-20,284.432
2001-03-21,281.002
2001-03-22,279.416
2001-03-23,278.72
2001-03-26,283.155
2001-03-27,289.784
2001-03-28,287.528
2001-03-29,285.491
2001-03-30,282.471
2001-04-02,283.455
2001-04-03,283.765
2001-04-04,289.548
2001-04-05,292.036
2001-04-06,295.217
2001-04-09,295.612
2001-04-10,296.974
2001-04-11,299.363
2001-04-12,301.163
2001-04-13,301.163
2001-04-16,302.112
2001-04-17,297.08
2001-04-18,290.583
2001-04-19,301.172
2001-04-20,303.277
2001-04-23,296.828
2001-04-24,293.511
2001-04-25,294.21
2001-04-26,301.437
2001-04-27,302.979
2001-04-30,307.83
2001-05-01,309.364
2001-05-02,311.311
2001-05-03,312.151
2001-05-04,313.168
2001-05-07,313.69
2001-05-08,310.9
2001-05-09,315.17
2001-05-10,322.753
2001-05-11,324.68
2001-05-14,319.642
2001-05-15,320.418
2001-05-16,323.57
2001-05-17,330.391
2001-05-18,324.959
2001-05-21,328.457
2001-05-22,324.238
2001-05-23,322.419
2001-05-24,320.635
2001-05-25,320.816
2001-05-28,321.173
2001-05-29,317.207
2001-05-30,315.755
2001-05-31,310.306
2001-06-01,314.817
2001-06-04,317.673
2001-06-05,319.237
2001-06-06,319.53
2001-06-07,324.673
2001-06-08,326.511
2001-06-11,325.856
2001-06-12,322.878
2001-06-13,329.677
2001-06-14,331.248
2001-06-15,328.404
2001-06-18,322.286
2001-06-19,323.477
2001-06-20,324.178
2001-06-21,326.002
2001-06-22,324.41
2001-06-25,327.371
2001-06-26,329.036
2001-06-27,333.31
2001-06-28,329.922
2001-06-29,338.581
2001-07-02,332.431
2001-07-03,335.986
2001-07-04,338.912
2001-07-05,336.747
2001-07-06,329.97
2001-07-09,327.083
2001-07-10,330.91
2001-07-11,330.69
2001-07-12,335.665
2001-07-13,341.324
2001-07-16,343.823
2001-07-17,338.896
2001-07-18,343.642
2001-07-19,343.053
2001-07-20,338.422
2001-07-23,336.883
2001-07-24,333.843
2001-07-25,331.631
2001-07-26,327.355
2001-07-27,327.363
2001-07-30,329.528
2001-07-31,332.146
2001-08-01,340.76
2001-08-02,346.128
2001-08-03,347.481
2001-08-06,349.994
2001-08-07,348.272
2001-08-08,349.8
2001-08-09,349.303
2001-08-10,349.717
2001-08-13,351.425
2001-08-14,350.866
2001-08-15,355.803
2001-08-16,352.438
2001-08-17,359.366
2001-08-20,351.409
2001-08-21,352.69
2001-08-22,357.196
2001-08-23,353.649
2001-08-24,354.33
2001-08-27,355.638
2001-08-28,365.334
2001-08-29,363.425
2001-08-30,360.921
2001-08-31,349.491
2001-09-03,350.118
2001-09-04,352.725
2001-09-05,352.871
2001-09-06,358.13
2001-09-07,351.23
2001-09-10,343.721
2001-09-11,348.036
2001-09-12,333.2
2001-09-13,331.846
2001-09-14,324.127
2001-09-17,290.336
2001-09-18,288.449
2001-09-19,293.728
2001-09-20,284.107
2001-09-21,283.196
2001-09-24,283.143
2001-09-25,284.452
2001-09-26,285.474
2001-09-27,284.685
2001-09-28,298.028
2001-10-01,300.851
2001-10-02,305.078
2001-10-03,309.127
2001-10-04,308.788
2001-10-05,317.266
2001-10-08,318.287
2001-10-09,315.545
2001-10-10,313.445
2001-10-11,315.97
2001-10-12,315.236
2001-10-15,318.135
2001-10-16,319.518
2001-10-17,325.84
2001-10-18,321.073
2001-10-19,319.957
2001-10-22,320.189
2001-10-23,323.783
2001-10-24,324.39
2001-10-25,325.234
2001-10-26,325.849
2001-10-29,325.853
2001-10-30,326.225
2001-10-31,324.442
2001-11-01,329.06
2001-11-02,333.069
2001-11-05,328.885
2001-11-06,339.415
2001-11-07,337.829
2001-11-08,339.627
2001-11-09,333.41
2001-11-12,337.488
2001-11-13,337.323
2001-11-14,339.789
2001-11-15,337.782
2001-11-16,340.031
2001-11-19,343.781
2001-11-20,343.773
2001-11-21,342.042
2001-11-22,339.764
2001-11-23,342.804
2001-11-26,342.108
2001-11-27,345.471
2001-11-28,344.187
2001-11-29,339.051
2001-11-30,334.599
2001-12-03,329.229
2001-12-04,327.291
2001-12-05,324.874
2001-12-06,326.392
2001-12-07,322.963
2001-12-10,320.611
2001-12-11,325.879
2001-12-12,322.673
2001-12-13,323.223
2001-12-14,321.932
2001-12-17,321.017
2001-12-18,320.808
2001-12-19,322.404
2001-12-20,319.784
2001-12-21,325.614
2001-12-24,327.922
2001-12-25,327.922
2001-12-26,327.697
2001-12-27,328.954
2001-12-28,332.949
2001-12-31,336.173
2002-01-01,336.173
2002-01-02,339.962
2002-01-03,336.609
2002-01-04,340.42
2002-01-07,338.209
2002-01-08,337.652
2002-01-09,336.115
2002-01-10,326.883
2002-01-11,325.932
2002-01-14,321.442
2002-01-15,320.154
2002-01-16,321.79
2002-01-17,318.212
2002-01-18,316.507
2002-01-21,318.42
2002-01-22,319.798
2002-01-23,318.857
2002-01-24,318.838
2002-01-25,318.953
2002-01-28,318.058
2002-01-29,317.132
2002-01-30,310.754
2002-01-31,311.102
2002-02-01,309.631
2002-02-04,309.182
2002-02-05,309.348
2002-02-06,306.655
2002-02-07,306.851
2002-02-08,313.486
2002-02-11,315.701
2002-02-12,312.66
2002-02-13,312.69
2002-02-14,316.037
2002-02-15,313.998
2002-02-18,312.525
2002-02-19,312.287
2002-02-20,309.559
2002-02-21,311.753
2002-02-22,310.371
2002-02-25,307.822
2002-02-26,307.288
2002-02-27,297.971
2002-02-28,296.46
2002-03-01,301.006
2002-03-04,298.762
2002-03-05,298.72
2002-03-06,303.107
2002-03-07,310.596
2002-03-08,309.333
2002-03-11,307.857
2002-03-12,305.745
2002-03-13,304.551
2002-03-14,307.135
2002-03-15,308.392
2002-03-18,309.6
2002-03-19,307.125
2002-03-20,310.493
2002-03-21,310.524
2002-03-22,310.902
2002-03-25,306.314
2002-03-26,303.304
2002-03-27,304.318
2002-03-28,307.381
2002-03-29,307.381
2002-04-01,307.928
2002-04-02,305.678
2002-04-03,305.371
2002-04-04,307.815
2002-04-05,309.103
2002-04-08,305.392
2002-04-09,305.501
2002-04-10,307.753
2002-04-11,308.333
2002-04-12,307.289
2002-04-15,305.516
2002-04-16,305.875
2002-04-17,309.621
2002-04-18,309.188
2002-04-19,307.605
2002-04-22,305.973
2002-04-23,302.662
2002-04-24,298.003
2002-04-25,299.269
2002-04-26,302.183
2002-04-29,296.457
2002-04-30,292.432
2002-05-01,293.38
2002-05-02,295.701
2002-05-03,295.62
2002-05-06,291.985
2002-05-07,292.984
2002-05-08,295.084
2002-05-09,294.946
2002-05-10,293.342
2002-05-13,290.344
2002-05-14,288.352
2002-05-15,293.05
2002-05-16,297.567
2002-05-17,303.363
2002-05-20,296.547
2002-05-21,295.595
2002-05-22,300.279
2002-05-23,297.28
2002-05-24,298.443
2002-05-27,296.876
2002-05-28,297.045
2002-05-29,294.335
2002-05-30,295.849
2002-05-31,298.309
2002-06-03,299.779
2002-06-04,299.011
2002-06-05,292.692
2002-06-06,293.763
2002-06-07,293.253
2002-06-10,291.309
2002-06-11,281.983
2002-06-12,281.253
2002-06-13,281.567
2002-06-14,273.411
2002-06-17,271.421
2002-06-18,278.877
2002-06-19,278.101
2002-06-20,283.249
2002-06-21,284.572
2002-06-24,284.419
2002-06-25,284.519
2002-06-26,276.891
2002-06-27,278.72
2002-06-28,278.457
2002-07-01,274.347
2002-07-02,274.826
2002-07-03,274.124
2002-07-04,273.671
2002-07-05,271.372
2002-07-08,276.043
2002-07-09,279.21
2002-07-10,274.277
2002-07-11,265.371
2002-07-12,267.032
2002-07-15,266.594
2002-07-16,259.715
2002-07-17,252.239
2002-07-18,254.769
2002-07-19,249.213
2002-07-22,248.125
2002-07-23,246.977
2002-07-24,239.032
2002-07-25,245.636
2002-07-26,241.704
2002-07-29,242.049
2002-07-30,248.258
2002-07-31,249.444
2002-08-01,247.045
2002-08-02,242.911
2002-08-05,236.159
2002-08-06,229.812
2002-08-07,234.823
2002-08-08,233.215
2002-08-09,236.893
2002-08-12,237.623
2002-08-13,237.284
2002-08-14,235.891
2002-08-15,240.186
2002-08-16,244.347
2002-08-19,244.394
2002-08-20,251.876
2002-08-21,251.486
2002-08-22,249.297
2002-08-23,248.484
2002-08-26,250.773
2002-08-27,255.388
2002-08-28,251.736
2002-08-29,248.649
2002-08-30,249.647
