Date,AUSTRALIA SMID GROWTH SMID (Small+Mid Cap)
1997-05-30,285.365
1997-06-30,284.079
1997-07-31,278.513
1997-08-29,261.329
1997-09-30,267.72
1997-10-31,220.328
1997-11-28,209.131
1997-12-31,210.87
1998-01-30,224.301
1998-02-27,227.709
1998-03-31,221.158
1998-04-30,215.595
1998-05-29,200.709
1998-06-30,180.344
1998-07-31,182.586
1998-08-31,156.033
1998-09-30,173.769
1998-10-30,187.125
1998-11-30,195.96
1998-12-31,196.676
1999-01-29,211.16
1999-02-26,215.99
1999-03-31,229.925
1999-04-30,244.95
1999-05-31,229.308
1999-06-30,233.78
1999-07-30,240.778
1999-08-31,241.462
1999-09-30,251.878
1999-10-29,244.118
1999-11-30,263.139
1999-12-31,283.051
2000-01-31,262.743
2000-02-29,257.425
2000-03-31,268.258
2000-04-28,222.347
2000-05-31,212.482
2000-06-30,249.367
2000-07-31,240.486
2000-08-31,246.846
2000-09-29,225.086
2000-10-31,217.381
2000-11-30,220.392
2000-12-29,231.022
2001-01-31,234.98
2001-02-28,219.158
2001-03-30,195.366
2001-04-30,210.421
2001-05-31,209.058
2001-06-29,222.615
2001-07-31,218.31
2001-08-31,226.896
2001-09-28,194.42
2001-10-31,213.957
2001-11-30,221.061
2001-12-31,220.565
2002-01-31,219.286
2002-02-28,218.857
2002-03-29,231.021
2002-04-30,223.006
2002-05-31,236.801
2002-06-28,223.873
2002-07-31,202.547
2002-08-30,213.28
2002-09-30,198.124
2002-10-31,197.347
2002-11-29,201.626
2002-12-31,205.441
2003-01-31,211.454
2003-02-28,208.549
2003-03-31,209.544
2003-04-30,231.103
2003-05-30,236.667
2003-06-30,248.396
2003-07-31,253.777
2003-08-29,262.923
2003-09-30,283.477
2003-10-31,315.582
2003-11-28,318.326
2003-12-31,344.272
2004-01-30,342.209
2004-02-27,360.387
2004-03-31,363.262
2004-04-30,343.477
2004-05-31,344.04
2004-06-30,346.097
2004-07-30,358.229
2004-08-31,377.459
2004-09-30,402.25
2004-10-29,441.902
2004-11-30,473.354
2004-12-31,493.892
2005-01-31,503.778
2005-02-28,519.345
2005-03-31,510.451
2005-04-29,487.67
2005-05-31,480.397
2005-06-30,517.896
2005-07-29,531.179
2005-08-31,548.53
2005-09-30,583.299
2005-10-31,542.027
2005-11-30,568.977
2005-12-30,587.438
2006-01-31,619.418
2006-02-28,609.868
2006-03-31,626.797
2006-04-28,684.232
2006-05-31,650.237
2006-06-30,651.553
2006-07-31,661.27
2006-08-31,665.483
2006-09-29,667.263
2006-10-31,731.553
2006-11-30,788.081
2006-12-29,821.042
2007-01-31,806.749
2007-02-28,843.279
2007-03-30,910.962
2007-04-30,972.886
2007-05-31,1000.0
2007-06-29,1025.398
2007-07-31,1020.383
2007-08-31,948.467
2007-09-28,1115.878
2007-10-31,1214.155
2007-11-30,1138.861
2007-12-31,1111.845
2008-01-31,1009.552
2008-02-29,1107.808
2008-03-31,1025.803
2008-04-30,1132.916
2008-05-30,1171.323
2008-06-30,1101.274
2008-07-31,1018.151
2008-08-29,968.105
2008-09-30,763.779
2008-10-31,509.545
2008-11-28,443.715
2008-12-31,496.447
2009-01-30,437.407
2009-02-27,419.088
2009-03-31,484.486
2009-04-30,569.128
2009-05-29,660.821
2009-06-30,677.014
2009-07-31,748.281
2009-08-31,803.639
2009-09-30,880.633
2009-10-30,889.617
2009-11-30,930.806
2009-12-31,968.634
2010-01-29,879.077
2010-02-26,888.796
2010-03-31,989.642
2010-04-30,993.61
2010-05-31,821.13
2010-06-30,800.229
2010-07-30,889.358
2010-08-31,873.648
2010-09-30,1012.722
2010-10-29,1052.984
2010-11-30,1034.715
2010-12-31,1184.228
2011-01-31,1130.116
2011-02-28,1197.376
2011-03-31,1228.511
2011-04-29,1252.743
2011-05-31,1218.498
2011-06-30,1162.924
2011-07-29,1207.049
2011-08-31,1129.129
2011-09-30,906.302
2011-10-31,1076.996
2011-11-30,998.188
2011-12-30,973.608
2012-01-31,1084.23
2012-02-29,1150.426
2012-03-30,1103.131
2012-04-30,1102.148
2012-05-31,920.767
2012-06-29,937.35
2012-07-31,960.504
2012-08-31,962.964
2012-09-28,1000.991
2012-10-31,1022.3
2012-11-30,1015.927
2012-12-31,1036.292
2013-01-31,1085.745
2013-02-28,1086.954
2013-03-29,1081.787
2013-04-30,1056.367
2013-05-31,966.359
2013-06-28,876.921
2013-07-31,892.544
2013-08-30,913.138
2013-09-30,994.536
2013-10-31,1015.88
2013-11-29,943.448
2013-12-31,941.658
2014-01-31,897.019
2014-02-28,983.695
2014-03-31,1019.485
2014-04-30,1017.862
2014-05-30,1038.849
2014-06-30,1037.621
2014-07-31,1073.152
2014-08-29,1098.723
2014-09-30,982.297
2014-10-31,1006.472
2014-11-28,959.306
2014-12-31,950.48
2015-01-30,936.925
2015-02-27,1010.786
2015-03-31,989.056
2015-04-30,1016.208
2015-05-29,1013.225
2015-06-30,946.24
2015-07-31,958.793
2015-08-31,881.048
2015-09-30,863.839
2015-10-30,926.9
2015-11-30,960.973
2015-12-31,982.39
2016-01-29,918.27
2016-02-29,943.173
2016-03-31,1050.136
2016-04-29,1064.105
2016-05-31,1063.163
2016-06-30,1079.319
2016-07-29,1179.91
2016-08-31,1149.967
2016-09-30,1160.189
2016-10-31,1101.422
2016-11-30,1068.655
2016-12-30,1081.087
2017-01-31,1116.326
2017-02-28,1158.52
2017-03-31,1192.701
2017-04-28,1186.247
2017-05-31,1190.971
2017-06-30,1238.951
2017-07-31,1254.51
2017-08-31,1275.022
2017-09-29,1263.823
2017-10-31,1324.936
2017-11-30,1355.619
2017-12-29,1425.224
2018-01-31,1468.277
2018-02-28,1433.048
2018-03-30,1373.843
2018-04-30,1416.286
2018-05-31,1439.771
2018-06-29,1452.585
2018-07-31,1473.599
2018-08-31,1466.854
2018-09-28,1440.804
2018-10-31,1305.699
2018-11-30,1274.769
2018-12-31,1194.302
2019-01-31,1313.074
2019-02-28,1335.834
2019-03-29,1332.099
2019-04-30,1375.871
2019-05-31,1352.494
2019-06-28,1427.961
2019-07-31,1466.483
2019-08-30,1415.909
2019-09-30,1418.906
2019-10-31,1445.712
2019-11-29,1471.192
2019-12-31,1491.967
2020-01-31,1491.051
2020-02-28,1286.684
2020-03-31,928.337
2020-04-30,1142.001
2020-05-29,1245.424
2020-06-30,1304.803
2020-07-31,1389.82
2020-08-31,1507.869
2020-09-30,1423.512
2020-10-30,1431.098
2020-11-30,1585.455
2020-12-31,1664.964
2021-01-29,1650.119
2021-02-26,1632.302
2021-03-31,1655.195
2021-04-30,1779.208
2021-05-31,1811.359
2021-06-30,1824.145
2021-07-30,1789.389
2021-08-31,1867.44
2021-09-30,1827.454
2021-10-29,1907.468
2021-11-30,1830.081
2021-12-31,1927.373
2022-01-31,1662.77
2022-02-28,1697.314
2022-03-31,1859.064
2022-04-29,1716.206
2022-05-31,1647.399
2022-06-30,1415.597
2022-07-29,1558.078
2022-08-31,1569.694
2022-09-30,1361.962
2022-10-31,1439.489
2022-11-30,1569.626
2022-12-30,1504.515
2023-01-31,1675.795
2023-02-28,1583.042
2023-03-31,1570.145
2023-04-28,1602.981
2023-05-31,1561.034
2023-06-30,1622.575
2023-07-31,1681.899
2023-08-31,1613.103
2023-09-29,1536.688
2023-10-31,1417.999
2023-11-30,1560.344
2023-12-29,1705.357
2024-01-31,1667.067
2024-02-29,1738.25
2024-03-29,1797.052
2024-04-30,1745.01
2024-05-31,1782.846
2024-06-28,1772.704
2024-07-31,1781.711
2024-08-30,1858.801
2024-09-30,1989.952
2024-10-31,1829.854
2024-11-29,1923.493
2024-12-31,1743.849
2025-01-31,1861.65
2025-02-28,1793.48
2025-03-31,1704.483
2025-04-30,1800.964
2025-05-30,1920.345
2025-06-30,1954.848
2025-07-31,1938.227
2025-08-29,2063.309
