Date,AUSTRALIA SMID GROWTH SMID (Small+Mid Cap)
1997-05-30,309.479
1997-06-30,308.017
1997-07-31,301.962
1997-08-29,283.3
1997-09-30,289.674
1997-10-31,238.037
1997-11-28,225.885
1997-12-31,227.697
1998-01-30,242.17
1998-02-27,245.758
1998-03-31,238.17
1998-04-30,232.08
1998-05-29,216.018
1998-06-30,193.972
1998-07-31,196.346
1998-08-31,167.77
1998-09-30,186.217
1998-10-30,200.359
1998-11-30,209.652
1998-12-31,210.313
1999-01-29,225.79
1999-02-26,230.932
1999-03-31,245.245
1999-04-30,261.171
1999-05-31,244.486
1999-06-30,249.158
1999-07-30,256.617
1999-08-31,257.227
1999-09-30,267.896
1999-10-29,259.509
1999-11-30,279.708
1999-12-31,300.719
2000-01-31,279.135
2000-02-29,273.446
2000-03-31,284.646
2000-04-28,235.888
2000-05-31,225.358
2000-06-30,264.441
2000-07-31,255.019
2000-08-31,261.65
2000-09-29,238.268
2000-10-31,230.022
2000-11-30,233.066
2000-12-29,244.213
2001-01-31,248.389
2001-02-28,231.562
2001-03-30,206.077
2001-04-30,221.88
2001-05-31,220.378
2001-06-29,234.567
2001-07-31,230.022
2001-08-31,238.941
2001-09-28,204.46
2001-10-31,224.902
2001-11-30,232.274
2001-12-31,231.66
2002-01-31,230.306
2002-02-28,229.701
2002-03-29,242.166
2002-04-30,233.644
2002-05-31,248.027
2002-06-28,234.332
2002-07-31,211.998
2002-08-30,223.015
2002-09-30,206.795
2002-10-31,205.839
2002-11-29,210.095
2002-12-31,214.026
2003-01-31,220.27
2003-02-28,217.085
2003-03-31,217.373
2003-04-30,239.614
2003-05-30,245.364
2003-06-30,257.298
2003-07-31,262.772
2003-08-29,272.087
2003-09-30,292.661
2003-10-31,325.583
2003-11-28,328.171
2003-12-31,354.851
2004-01-30,352.725
2004-02-27,371.197
2004-03-31,373.206
2004-04-30,352.816
2004-05-31,353.351
2004-06-30,355.312
2004-07-30,367.761
2004-08-31,386.848
2004-09-30,411.209
2004-10-29,451.653
2004-11-30,483.64
2004-12-31,504.484
2005-01-31,514.547
2005-02-28,529.741
2005-03-31,519.796
2005-04-29,496.513
2005-05-31,489.044
2005-06-30,526.877
2005-07-29,540.39
2005-08-31,557.329
2005-09-30,591.603
2005-10-31,549.59
2005-11-30,576.669
2005-12-30,594.816
2006-01-31,627.182
2006-02-28,616.819
2006-03-31,632.867
2006-04-28,690.749
2006-05-31,656.394
2006-06-30,657.126
2006-07-31,666.793
2006-08-31,670.38
2006-09-29,670.823
2006-10-31,734.803
2006-11-30,791.156
2006-12-29,823.822
2007-01-31,809.481
2007-02-28,845.393
2007-03-30,911.064
2007-04-30,972.926
2007-05-31,1000.0
2007-06-29,1024.765
2007-07-31,1019.753
2007-08-31,946.961
2007-09-28,1112.146
2007-10-31,1209.8
2007-11-30,1134.223
2007-12-31,1105.909
2008-01-31,1004.162
2008-02-29,1100.912
2008-03-31,1017.339
2008-04-30,1123.2
2008-05-30,1160.925
2008-06-30,1090.055
2008-07-31,1007.779
2008-08-29,957.448
2008-09-30,753.589
2008-10-31,502.407
2008-11-28,436.719
2008-12-31,488.146
2009-01-30,430.093
2009-02-27,412.081
2009-03-31,476.271
2009-04-30,559.437
2009-05-29,649.514
2009-06-30,665.003
2009-07-31,735.005
2009-08-31,789.242
2009-09-30,864.556
2009-10-30,873.355
2009-11-30,913.753
2009-12-31,950.452
2010-01-29,862.577
2010-02-26,872.098
2010-03-31,970.929
2010-04-30,974.821
2010-05-31,805.597
