Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
1997-05-30,187.361
1997-06-30,194.352
1997-07-31,197.718
1997-08-29,189.085
1997-09-30,196.955
1997-10-31,174.556
1997-11-28,168.022
1997-12-31,170.701
1998-01-30,184.214
1998-02-27,185.001
1998-03-31,182.172
1998-04-30,181.511
1998-05-29,172.264
1998-06-30,161.573
1998-07-31,161.977
1998-08-31,144.298
1998-09-30,158.582
1998-10-30,169.438
1998-11-30,175.896
1998-12-31,174.03
1999-01-29,180.323
1999-02-26,180.402
1999-03-31,184.589
1999-04-30,200.312
1999-05-31,189.474
1999-06-30,195.467
1999-07-30,199.435
1999-08-31,194.26
1999-09-30,195.666
1999-10-29,186.725
1999-11-30,189.124
1999-12-31,197.92
2000-01-31,186.881
2000-02-29,175.468
2000-03-31,176.428
2000-04-28,173.559
2000-05-31,168.242
2000-06-30,186.258
2000-07-31,184.75
2000-08-31,188.207
2000-09-29,171.879
2000-10-31,167.948
2000-11-30,175.315
2000-12-29,188.4
2001-01-31,190.103
2001-02-28,182.146
2001-03-30,166.173
2001-04-30,179.575
2001-05-31,183.566
2001-06-29,191.537
2001-07-31,187.626
2001-08-31,196.918
2001-09-28,181.024
2001-10-31,194.657
2001-11-30,207.635
2001-12-31,209.095
2002-01-31,212.646
2002-02-28,217.409
2002-03-29,227.673
2002-04-30,227.767
2002-05-31,246.953
2002-06-28,238.771
2002-07-31,226.844
2002-08-30,237.122
2002-09-30,229.249
2002-10-31,233.821
2002-11-29,240.532
2002-12-31,244.248
2003-01-31,253.43
2003-02-28,255.801
2003-03-31,260.447
2003-04-30,279.862
2003-05-30,296.556
2003-06-30,312.988
2003-07-31,312.677
2003-08-29,320.553
2003-09-30,338.036
2003-10-31,369.274
2003-11-28,366.897
2003-12-31,395.651
2004-01-30,395.991
2004-02-27,414.839
2004-03-31,425.036
2004-04-30,396.249
2004-05-31,402.783
2004-06-30,403.602
2004-07-30,424.521
2004-08-31,438.597
2004-09-30,467.628
2004-10-29,498.132
2004-11-30,538.616
2004-12-31,564.89
2005-01-31,565.627
2005-02-28,563.626
2005-03-31,545.201
2005-04-29,528.022
2005-05-31,523.209
2005-06-30,557.006
2005-07-29,574.111
2005-08-31,584.313
2005-09-30,623.614
2005-10-31,584.914
2005-11-30,604.07
2005-12-30,614.853
2006-01-31,647.079
2006-02-28,639.57
2006-03-31,630.72
2006-04-28,673.644
2006-05-31,647.758
2006-06-30,652.398
2006-07-31,670.373
2006-08-31,691.441
2006-09-29,705.179
2006-10-31,757.736
2006-11-30,798.198
2006-12-29,833.239
2007-01-31,831.811
2007-02-28,854.153
2007-03-30,892.52
2007-04-30,965.289
2007-05-31,1000.0
2007-06-29,1018.783
2007-07-31,999.001
2007-08-31,950.16
2007-09-28,1042.86
2007-10-31,1079.276
2007-11-30,993.582
2007-12-31,943.719
2008-01-31,840.189
2008-02-29,883.588
2008-03-31,839.384
2008-04-30,887.007
2008-05-30,899.162
2008-06-30,781.804
2008-07-31,770.704
2008-08-29,740.809
2008-09-30,620.834
2008-10-31,399.793
2008-11-28,367.497
2008-12-31,401.958
2009-01-30,336.9
2009-02-27,287.041
2009-03-31,346.525
2009-04-30,395.736
2009-05-29,441.558
2009-06-30,463.705
2009-07-31,526.789
2009-08-31,569.009
2009-09-30,627.524
2009-10-30,626.579
2009-11-30,629.546
2009-12-31,653.23
2010-01-29,611.609
2010-02-26,612.51
2010-03-31,650.349
2010-04-30,657.634
2010-05-31,542.831
2010-06-30,532.178
2010-07-30,597.769
2010-08-31,599.276
2010-09-30,686.97
2010-10-29,703.405
2010-11-30,681.368
2010-12-31,753.242
2011-01-31,732.627
2011-02-28,758.159
2011-03-31,768.041
2011-04-29,804.082
2011-05-31,771.714
2011-06-30,762.333
2011-07-29,758.016
2011-08-31,721.119
2011-09-30,615.902
2011-10-31,720.189
2011-11-30,679.063
2011-12-30,659.33
2012-01-31,717.659
2012-02-29,761.822
2012-03-30,742.184
2012-04-30,752.31
2012-05-31,665.029
2012-06-29,688.006
2012-07-31,729.668
2012-08-31,722.674
2012-09-28,735.552
2012-10-31,758.459
2012-11-30,769.564
2012-12-31,795.204
2013-01-31,848.558
2013-02-28,875.687
2013-03-29,880.894
2013-04-30,893.722
2013-05-31,781.806
2013-06-28,715.711
2013-07-31,724.846
2013-08-30,732.784
2013-09-30,783.557
2013-10-31,827.15
