Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
1997-05-30,217.517
1997-06-30,225.185
1997-07-31,229.058
1997-08-29,218.773
1997-09-30,227.387
1997-10-31,201.347
1997-11-28,193.64
1997-12-31,196.429
1998-01-30,211.955
1998-02-27,212.552
1998-03-31,208.945
1998-04-30,208.02
1998-05-29,197.33
1998-06-30,184.687
1998-07-31,185.135
1998-08-31,164.703
1998-09-30,180.521
1998-10-30,192.573
1998-11-30,199.683
1998-12-31,197.39
1999-01-29,204.47
1999-02-26,204.394
1999-03-31,208.655
1999-04-30,226.331
1999-05-31,213.983
1999-06-30,220.383
1999-07-30,224.768
1999-08-31,218.704
1999-09-30,219.705
1999-10-29,209.504
1999-11-30,211.968
1999-12-31,221.658
2000-01-31,209.247
2000-02-29,196.186
2000-03-31,196.764
2000-04-28,193.524
2000-05-31,187.525
2000-06-30,207.297
2000-07-31,205.58
2000-08-31,209.112
2000-09-29,190.303
2000-10-31,185.808
2000-11-30,193.751
2000-12-29,207.921
2001-01-31,209.758
2001-02-28,200.75
2001-03-30,182.585
2001-04-30,197.266
2001-05-31,201.519
2001-06-29,209.857
2001-07-31,205.526
2001-08-31,215.375
2001-09-28,197.418
2001-10-31,212.163
2001-11-30,226.153
2001-12-31,227.507
2002-01-31,231.341
2002-02-28,236.156
2002-03-29,246.511
2002-04-30,246.553
2002-05-31,267.189
2002-06-28,257.893
2002-07-31,244.948
2002-08-30,255.565
2002-09-30,246.273
2002-10-31,251.052
2002-11-29,258.185
2002-12-31,261.857
2003-01-31,271.702
2003-02-28,273.662
2003-03-31,277.791
2003-04-30,298.431
2003-05-30,315.83
2003-06-30,332.619
2003-07-31,332.229
2003-08-29,340.149
2003-09-30,357.5
2003-10-31,390.396
2003-11-28,387.68
2003-12-31,417.123
2004-01-30,417.404
2004-02-27,436.536
2004-03-31,446.092
2004-04-30,415.71
2004-05-31,422.388
2004-06-30,422.534
2004-07-30,443.868
2004-08-31,457.798
2004-09-30,486.728
2004-10-29,518.188
2004-11-30,559.896
2004-12-31,585.831
2005-01-31,586.585
2005-02-28,583.683
2005-03-31,562.899
2005-04-29,544.959
2005-05-31,539.916
2005-06-30,573.024
2005-07-29,590.599
2005-08-31,600.246
2005-09-30,638.695
2005-10-31,598.822
2005-11-30,618.203
2005-12-30,627.172
2006-01-31,660.024
2006-02-28,651.47
2006-03-31,640.679
2006-04-28,684.161
2006-05-31,657.653
2006-06-30,660.066
2006-07-31,678.245
2006-08-31,698.646
2006-09-29,710.578
2006-10-31,763.209
2006-11-30,803.832
2006-12-29,836.368
2007-01-31,834.922
2007-02-28,856.551
2007-03-30,892.809
2007-04-30,965.326
2007-05-31,1000.0
2007-06-29,1015.352
2007-07-31,995.577
2007-08-31,945.697
2007-09-28,1035.761
2007-10-31,1071.183
2007-11-30,985.927
2007-12-31,933.782
2008-01-31,831.342
2008-02-29,872.654
2008-03-31,827.102
2008-04-30,873.414
2008-05-30,885.25
2008-06-30,766.239
2008-07-31,755.36
2008-08-29,724.624
2008-09-30,605.047
2008-10-31,389.227
2008-11-28,357.715
2008-12-31,389.787
2009-01-30,326.68
2009-02-27,278.334
2009-03-31,335.532
2009-04-30,383.163
2009-05-29,427.411
2009-06-30,447.639
2009-07-31,508.531
2009-08-31,549.288
2009-09-30,605.422
2009-10-30,604.487
2009-11-30,607.196
2009-12-31,628.87
2010-01-29,588.774
2010-02-26,589.537
2010-03-31,625.408
2010-04-30,632.413
2010-05-31,521.874
2010-06-30,510.564
2010-07-30,573.462
2010-08-31,574.682
2010-09-30,658.069
2010-10-29,673.643
2010-11-30,652.378
2010-12-31,719.644
2011-01-31,699.916
2011-02-28,724.186
2011-03-31,732.905
2011-04-29,767.297
2011-05-31,736.27
2011-06-30,725.785
2011-07-29,721.646
2011-08-31,686.32
2011-09-30,585.674
2011-10-31,684.728
2011-11-30,645.575
2011-12-30,625.429
2012-01-31,680.726
2012-02-29,722.368
2012-03-30,703.376
2012-04-30,712.958
2012-05-31,630.081
2012-06-29,650.214
2012-07-31,689.551
2012-08-31,682.664
2012-09-28,694.354
2012-10-31,715.864
2012-11-30,726.238
2012-12-31,748.564
2013-01-31,798.636
2013-02-28,823.986
2013-03-29,828.662
2013-04-30,840.722
2013-05-31,735.274
2013-06-28,671.163
2013-07-31,679.695
2013-08-30,686.949
2013-09-30,734.333
2013-10-31,775.187
2013-11-29,730.5
2013-12-31,725.074
2014-01-31,696.056
2014-02-28,744.369
2014-03-31,761.476
2014-04-30,785.354
2014-05-30,788.385
2014-06-30,798.156
2014-07-31,818.387
2014-08-29,831.033
2014-09-30,731.198
2014-10-31,762.141
2014-11-28,719.825
2014-12-31,705.663
2015-01-30,689.879
2015-02-27,747.595
2015-03-31,718.988
2015-04-30,739.132
2015-05-29,739.939
2015-06-30,686.981
2015-07-31,675.685
2015-08-31,626.413
2015-09-30,601.896
2015-10-30,651.12
2015-11-30,646.804
2015-12-31,662.931
2016-01-29,616.87
2016-02-29,634.318
2016-03-31,731.289
2016-04-29,745.21
2016-05-31,720.635
2016-06-30,734.947
2016-07-29,807.005
2016-08-31,802.22
2016-09-30,810.902
2016-10-31,788.086
2016-11-30,790.893
2016-12-30,824.307
2017-01-31,854.26
2017-02-28,880.836
2017-03-31,899.332
2017-04-28,884.644
2017-05-31,873.457
2017-06-30,903.631
2017-07-31,945.01
2017-08-31,965.137
2017-09-29,947.773
2017-10-31,951.13
2017-11-30,963.804
2017-12-29,1009.923
2018-01-31,1031.279
2018-02-28,986.682
2018-03-30,942.652
2018-04-30,961.909
2018-05-31,969.867
2018-06-29,948.574
2018-07-31,967.607
2018-08-31,963.859
2018-09-28,962.461
2018-10-31,877.407
2018-11-30,893.834
2018-12-31,846.699
2019-01-31,928.37
2019-02-28,962.954
2019-03-29,972.45
2019-04-30,982.416
2019-05-31,986.812
2019-06-28,990.693
2019-07-31,1006.878
2019-08-30,966.457
2019-09-30,1007.863
2019-10-31,1034.527
2019-11-29,1034.712
2019-12-31,1052.092
2020-01-31,1028.855
2020-02-28,904.597
2020-03-31,639.031
2020-04-30,777.805
2020-05-29,857.269
