Date,AUSTRALIA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,96.92
1970-02-27,95.85
1970-03-31,95.575
1970-04-30,84.926
1970-05-29,79.47
1970-06-30,89.789
1970-07-31,92.703
1970-08-31,92.038
1970-09-30,92.216
1970-10-30,83.818
1970-11-30,79.769
1970-12-31,80.809
1971-01-29,79.039
1971-02-26,77.621
1971-03-31,81.96
1971-04-30,79.033
1971-05-31,76.873
1971-06-30,77.642
1971-07-30,74.59
1971-08-31,72.106
1971-09-30,65.038
1971-10-29,65.387
1971-11-30,64.457
1971-12-31,79.501
1972-01-31,77.068
1972-02-29,85.016
1972-03-31,87.899
1972-04-28,86.271
1972-05-31,90.094
1972-06-30,92.602
1972-07-31,87.456
1972-08-31,88.081
1972-09-29,85.365
1972-10-31,90.653
1972-11-30,93.6
1972-12-29,96.273
1973-01-31,99.534
1973-02-28,100.731
1973-03-30,100.652
1973-04-30,94.406
1973-05-31,102.356
1973-06-29,99.952
1973-07-31,101.925
1973-08-31,90.849
1973-09-28,88.114
1973-10-31,93.369
1973-11-30,85.512
1973-12-31,84.606
1974-01-31,95.804
1974-02-28,104.755
1974-03-29,98.39
1974-04-30,94.827
1974-05-31,81.115
1974-06-28,76.291
1974-07-31,64.471
1974-08-30,63.324
1974-09-30,44.833
1974-10-31,56.27
1974-11-29,58.686
1974-12-31,56.475
1975-01-31,69.593
1975-02-28,71.006
1975-03-31,69.792
1975-04-30,68.711
1975-05-30,75.843
1975-06-30,73.772
1975-07-31,72.413
1975-08-29,70.011
1975-09-30,74.866
1975-10-31,77.16
1975-11-28,82.536
1975-12-31,85.213
1976-01-30,86.791
1976-02-27,88.333
1976-03-31,86.374
1976-04-30,88.505
1976-05-31,89.516
1976-06-30,90.815
1976-07-30,100.188
1976-08-31,100.013
1976-09-30,92.054
1976-10-29,86.644
1976-11-30,68.53
1976-12-31,76.551
1977-01-31,77.998
1977-02-28,75.749
1977-03-31,80.33
1977-04-29,79.525
1977-05-31,83.211
1977-06-30,83.048
1977-07-29,78.609
1977-08-31,74.899
1977-09-30,74.966
1977-10-31,80.627
1977-11-30,78.568
1977-12-30,85.764
1978-01-31,81.685
1978-02-28,77.312
1978-03-31,81.811
1978-04-28,87.163
1978-05-31,91.529
1978-06-30,91.376
1978-07-31,97.584
1978-08-31,103.853
1978-09-29,108.33
1978-10-31,103.652
1978-11-30,98.388
1978-12-29,104.624
1979-01-31,108.972
1979-02-28,112.66
1979-03-30,114.155
1979-04-30,110.385
1979-05-31,113.91
1979-06-29,112.445
1979-07-31,116.088
1979-08-31,130.213
1979-09-28,139.379
1979-10-31,137.55
1979-11-30,133.99
1979-12-31,150.591
1980-01-31,181.898
1980-02-29,186.781
1980-03-31,152.99
1980-04-30,163.866
1980-05-30,187.06
1980-06-30,201.23
1980-07-31,201.274
1980-08-29,213.055
1980-09-30,225.847
1980-10-31,240.959
1980-11-28,234.591
1980-12-31,232.724
1981-01-30,208.564
1981-02-27,200.233
1981-03-31,221.371
1981-04-30,219.008
1981-05-29,217.444
1981-06-30,214.094
1981-07-31,190.479
1981-08-31,191.821
1981-09-30,174.12
1981-10-30,164.022
1981-11-30,180.036
1981-12-31,177.374
1982-01-29,157.959
1982-02-26,141.243
1982-03-31,130.576
1982-04-30,147.366
1982-05-31,145.423
1982-06-30,132.822
1982-07-30,128.268
1982-08-31,131.045
1982-09-30,134.133
1982-10-29,134.061
1982-11-30,132.299
1982-12-31,137.523
1983-01-31,151.903
1983-02-28,140.37
1983-03-31,131.807
1983-04-29,153.125
1983-05-31,163.619
1983-06-30,159.078
1983-07-29,179.123
1983-08-31,185.866
1983-09-30,194.259
