Date,AUSTRALIA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,96.867
1970-02-27,95.749
1970-03-31,95.425
1970-04-30,84.742
1970-05-29,79.248
1970-06-30,89.487
1970-07-31,92.34
1970-08-31,91.624
1970-09-30,91.746
1970-10-30,83.334
1970-11-30,79.254
1970-12-31,80.231
1971-01-29,78.415
1971-02-26,76.949
1971-03-31,81.19
1971-04-30,78.233
1971-05-31,76.036
1971-06-30,76.737
1971-07-30,73.668
1971-08-31,71.158
1971-09-30,64.129
1971-10-29,64.417
1971-11-30,63.444
1971-12-31,78.192
1972-01-31,75.761
1972-02-29,83.518
1972-03-31,86.293
1972-04-28,84.629
1972-05-31,88.298
1972-06-30,90.695
1972-07-31,85.593
1972-08-31,86.141
1972-09-29,83.39
1972-10-31,88.496
1972-11-30,91.313
1972-12-29,93.857
1973-01-31,96.971
1973-02-28,98.063
1973-03-30,97.913
1973-04-30,91.761
1973-05-31,99.412
1973-06-29,97.001
1973-07-31,98.839
1973-08-31,88.017
1973-09-28,85.284
1973-10-31,90.278
1973-11-30,82.587
1973-12-31,81.616
1974-01-31,92.319
1974-02-28,100.849
1974-03-29,94.621
1974-04-30,91.092
1974-05-31,77.814
1974-06-28,73.081
1974-07-31,61.652
1974-08-30,60.446
1974-09-30,42.698
1974-10-31,53.493
1974-11-29,55.691
1974-12-31,53.487
1975-01-31,65.802
1975-02-28,67.031
1975-03-31,65.778
1975-04-30,64.653
1975-05-30,71.257
1975-06-30,69.203
1975-07-31,67.82
1975-08-29,65.467
1975-09-30,69.909
1975-10-31,71.951
1975-11-28,76.865
1975-12-31,79.257
1976-01-30,80.624
1976-02-27,81.964
1976-03-31,80.055
1976-04-30,81.938
1976-05-31,82.783
1976-06-30,83.892
1976-07-30,92.456
1976-08-31,92.2
1976-09-30,84.769
1976-10-29,79.695
1976-11-30,62.958
1976-12-31,70.244
1977-01-31,71.486
1977-02-28,69.336
1977-03-31,73.441
1977-04-29,72.614
1977-05-31,75.889
1977-06-30,75.649
1977-07-29,71.513
1977-08-31,68.043
1977-09-30,68.007
1977-10-31,73.042
1977-11-30,71.072
1977-12-30,77.478
1978-01-31,73.748
1978-02-28,69.695
1978-03-31,73.645
1978-04-28,78.358
1978-05-31,82.176
1978-06-30,81.93
1978-07-31,87.39
1978-08-31,92.898
1978-09-29,96.794
1978-10-31,92.502
1978-11-30,87.695
1978-12-29,93.142
1979-01-31,96.903
1979-02-28,100.07
1979-03-30,101.284
1979-04-30,97.824
1979-05-31,100.832
1979-06-29,99.416
1979-07-31,102.516
1979-08-31,114.86
1979-09-28,122.811
1979-10-31,121.067
1979-11-30,117.795
1979-12-31,132.251
1980-01-31,159.602
1980-02-29,163.73
1980-03-31,133.951
1980-04-30,143.309
1980-05-30,163.422
1980-06-30,175.626
1980-07-31,175.489
1980-08-29,185.576
1980-09-30,196.542
1980-10-31,209.516
1980-11-28,203.796
1980-12-31,201.993
1981-01-30,180.834
1981-02-27,173.423
1981-03-31,191.543
1981-04-30,189.313
1981-05-29,187.774
1981-06-30,184.688
1981-07-31,164.129
1981-08-31,165.109
1981-09-30,149.697
1981-10-30,140.833
1981-11-30,154.395
1981-12-31,151.927
1982-01-29,135.118
1982-02-26,120.657
1982-03-31,111.382
1982-04-30,125.536
1982-05-31,123.717
1982-06-30,112.839
1982-07-30,108.815
1982-08-31,111.021
1982-09-30,113.492
1982-10-29,113.286
1982-11-30,111.649
1982-12-31,115.906
1983-01-31,127.875
1983-02-28,118.011
1983-03-31,110.67
1983-04-29,128.427
1983-05-31,137.083
1983-06-30,133.135
1983-07-29,149.766
1983-08-31,155.255
1983-09-30,162.106
1983-10-31,159.575
1983-11-30,174.6
1983-12-30,178.658
1984-01-31,178.011
1984-02-29,171.762
1984-03-30,178.408
1984-04-30,176.763
1984-05-31,148.263
1984-06-29,146.346
1984-07-31,146.502
1984-08-31,161.193
1984-09-28,159.139
1984-10-31,164.938
1984-11-30,166.077
1984-12-31,154.2
1985-01-31,163.673
1985-02-28,147.965
1985-03-29,151.766
1985-04-30,149.466
1985-05-31,152.884
1985-06-28,153.579
1985-07-31,181.033
1985-08-30,175.535
1985-09-30,187.411
1985-10-31,193.476
1985-11-29,181.873
1985-12-31,184.367
1986-01-31,207.939
1986-02-28,196.123
1986-03-31,217.318
1986-04-30,240.196
1986-05-30,241.012
1986-06-30,214.581
1986-07-31,180.505
1986-08-29,193.189
1986-09-30,210.199
1986-10-31,237.164
1986-11-28,240.56
1986-12-31,262.31
1987-01-30,265.454
1987-02-27,297.918
1987-03-31,329.83
1987-04-30,340.95
1987-05-29,352.266
1987-06-30,359.882
1987-07-31,400.529
1987-08-31,438.178
1987-09-30,454.271
1987-10-30,251.797
1987-11-30,276.669
1987-12-31,286.576
1988-01-29,268.98
1988-02-29,271.593
1988-03-31,318.633
1988-04-29,338.521
1988-05-31,389.041
1988-06-30,376.437
1988-07-29,399.656
1988-08-31,388.83
1988-09-30,376.499
1988-10-31,402.699
1988-11-30,394.132
1988-12-30,390.892
1989-01-31,426.823
1989-02-28,362.751
1989-03-31,369.321
1989-04-28,374.472
1989-05-31,364.665
1989-06-30,368.377
1989-07-31,400.727
1989-08-31,434.457
1989-09-29,433.901
1989-10-31,415.785
1989-11-30,405.963
1989-12-29,427.247
1990-01-31,423.981
1990-02-28,394.729
1990-03-30,384.845
1990-04-30,358.936
1990-05-31,391.895
1990-06-29,408.832
1990-07-31,428.469
1990-08-31,421.771
1990-09-28,397.772
1990-10-31,361.051
1990-11-30,361.636
1990-12-31,352.328
1991-01-31,372.705
1991-02-28,399.974
1991-03-29,405.97
1991-04-30,438.081
1991-05-31,425.13
1991-06-28,430.301
1991-07-31,457.047
1991-08-30,453.741
1991-09-30,470.693
1991-10-31,494.837
1991-11-29,469.841
1991-12-31,470.835
1992-01-31,457.863
1992-02-28,460.976
1992-03-31,464.085
1992-04-30,480.358
1992-05-29,488.013
1992-06-30,471.44
1992-07-31,460.587
1992-08-31,424.258
1992-09-30,406.197
1992-10-30,381.378
1992-11-30,384.138
1992-12-31,419.91
1993-01-29,406.512
1993-02-26,437.732
1993-03-31,454.956
1993-04-30,457.868
1993-05-31,449.771
1993-06-30,439.551
1993-07-30,482.732
1993-08-31,503.142
1993-09-30,490.494
1993-10-29,545.973
1993-11-30,511.78
1993-12-31,567.61
1994-01-31,628.308
1994-02-28,596.288
1994-03-31,552.56
1994-04-29,572.56
1994-05-31,599.901
1994-06-30,569.034
1994-07-29,597.947
1994-08-31,626.26
1994-09-30,592.572
1994-10-31,608.83
1994-11-30,585.743
1994-12-30,598.286
1995-01-31,562.167
1995-02-28,580.075
1995-03-31,574.124
1995-04-28,612.828
1995-05-31,598.865
1995-06-30,592.143
1995-07-31,647.279
1995-08-31,659.263
1995-09-29,655.088
1995-10-31,638.771
1995-11-30,651.939
1995-12-29,665.232
1996-01-31,685.214
1996-02-29,706.91
1996-03-29,703.745
1996-04-30,738.305
1996-05-31,732.604
1996-06-28,708.417
1996-07-31,675.2
1996-08-30,718.44
1996-09-30,719.102
1996-10-31,746.674
1996-11-29,777.164
1996-12-31,774.947
1997-01-31,743.445
1997-02-28,764.894
1997-03-31,762.144
1997-04-30,782.793
1997-05-30,797.056
1997-06-30,823.08
1997-07-31,816.657
1997-08-29,760.438
1997-09-30,796.844
1997-10-31,689.247
1997-11-28,674.646
1997-12-31,694.037
1998-01-30,739.894
1998-02-27,752.811
1998-03-31,755.099
1998-04-30,743.878
1998-05-29,701.064
1998-06-30,702.567
1998-07-31,698.176
1998-08-31,603.61
1998-09-30,643.443
1998-10-30,698.547
1998-11-30,741.894
1998-12-31,736.165
1999-01-29,780.502
1999-02-26,760.691
1999-03-31,792.63
1999-04-30,873.776
1999-05-31,801.937
1999-06-30,841.806
1999-07-30,841.137
1999-08-31,793.748
1999-09-30,796.893
1999-10-29,778.358
1999-11-30,819.608
1999-12-31,865.842
2000-01-31,834.648
2000-02-29,814.983
2000-03-31,807.881
2000-04-28,786.114
2000-05-31,758.191
2000-06-30,867.733
2000-07-31,814.935
2000-08-31,823.538
2000-09-29,787.311
2000-10-31,736.613
2000-11-30,752.994
2000-12-29,779.664
2001-01-31,811.156
2001-02-28,774.115
2001-03-30,691.964
2001-04-30,773.391
2001-05-31,777.785
2001-06-29,802.503
2001-07-31,761.097
2001-08-31,765.138
2001-09-28,668.98
2001-10-31,727.931
2001-11-30,783.817
2001-12-31,792.736
2002-01-31,794.879
2002-02-28,799.375
2002-03-29,826.502
2002-04-30,816.185
2002-05-31,867.097
2002-06-28,824.294
2002-07-31,762.522
2002-08-30,780.63
2002-09-30,736.956
2002-10-31,776.514
2002-11-29,796.962
2002-12-31,782.144
2003-01-31,796.208
2003-02-28,784.934
2003-03-31,812.614
2003-04-30,876.992
2003-05-30,906.339
2003-06-30,941.392
2003-07-31,938.379
2003-08-29,960.757
2003-09-30,997.812
2003-10-31,1082.189
2003-11-28,1077.724
2003-12-31,1169.001
2004-01-30,1167.337
2004-02-27,1221.162
2004-03-31,1238.312
2004-04-30,1164.9
2004-05-31,1171.809
2004-06-30,1169.997
2004-07-30,1173.003
2004-08-31,1194.339
