Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2001-01-01,914.19
2001-01-02,938.848
2001-01-03,936.981
2001-01-04,966.209
2001-01-05,983.487
2001-01-08,970.133
2001-01-09,956.204
2001-01-10,939.932
2001-01-11,935.314
2001-01-12,943.575
2001-01-15,951.816
2001-01-16,950.547
2001-01-17,943.513
2001-01-18,962.54
2001-01-19,971.365
2001-01-22,971.792
2001-01-23,955.103
2001-01-24,943.703
2001-01-25,948.977
2001-01-26,946.364
2001-01-29,946.384
2001-01-30,955.618
2001-01-31,962.989
2001-02-01,978.73
2001-02-02,969.238
2001-02-05,948.808
2001-02-06,954.13
2001-02-07,944.384
2001-02-08,939.749
2001-02-09,927.42
2001-02-12,939.84
2001-02-13,933.805
2001-02-14,926.13
2001-02-15,907.724
2001-02-16,925.302
2001-02-19,911.835
2001-02-20,901.1
2001-02-21,913.651
2001-02-22,905.147
2001-02-23,900.27
2001-02-26,903.637
2001-02-27,908.78
2001-02-28,907.691
2001-03-01,921.408
2001-03-02,923.911
2001-03-05,917.989
2001-03-06,914.072
2001-03-07,909.918
2001-03-08,903.344
2001-03-09,896.871
2001-03-12,898.137
2001-03-13,873.983
2001-03-14,868.126
2001-03-15,852.851
2001-03-16,857.258
2001-03-19,863.584
2001-03-20,867.326
2001-03-21,859.185
2001-03-22,855.107
2001-03-23,847.216
2001-03-26,857.954
2001-03-27,859.353
2001-03-28,852.415
2001-03-29,849.027
2001-03-30,835.887
2001-04-02,842.121
2001-04-03,844.445
2001-04-04,855.542
2001-04-05,863.962
2001-04-06,878.255
2001-04-09,875.712
2001-04-10,886.973
2001-04-11,907.847
2001-04-12,921.14
2001-04-13,921.14
2001-04-16,924.043
2001-04-17,911.217
2001-04-18,896.21
2001-04-19,923.216
2001-04-20,941.156
2001-04-23,911.031
2001-04-24,907.904
2001-04-25,910.067
2001-04-26,918.961
2001-04-27,911.131
2001-04-30,922.822
2001-05-01,933.901
2001-05-02,937.813
2001-05-03,944.146
2001-05-04,935.46
2001-05-07,937.712
2001-05-08,934.271
2001-05-09,944.847
2001-05-10,959.922
2001-05-11,949.727
2001-05-14,940.768
2001-05-15,945.512
2001-05-16,950.846
2001-05-17,976.33
2001-05-18,967.91
2001-05-21,983.547
2001-05-22,970.831
2001-05-23,961.804
2001-05-24,959.629
2001-05-25,962.147
2001-05-28,968.402
2001-05-29,953.981
2001-05-30,949.161
2001-05-31,932.357
2001-06-01,937.99
2001-06-04,945.428
2001-06-05,944.822
2001-06-06,950.881
2001-06-07,962.199
2001-06-08,974.025
2001-06-11,972.071
2001-06-12,947.482
2001-06-13,943.914
2001-06-14,958.791
2001-06-15,957.59
2001-06-18,937.912
2001-06-19,932.404
2001-06-20,934.753
2001-06-21,925.87
2001-06-22,929.969
2001-06-25,922.999
2001-06-26,932.611
2001-06-27,925.157
2001-06-28,918.748
2001-06-29,927.433
2001-07-02,921.865
2001-07-03,938.137
2001-07-04,935.699
2001-07-05,916.187
2001-07-06,888.044
2001-07-09,892.092
2001-07-10,902.807
2001-07-11,904.502
2001-07-12,907.293
2001-07-13,909.473
2001-07-16,914.953
2001-07-17,900.5
2001-07-18,911.484
2001-07-19,908.16
2001-07-20,895.729
2001-07-23,892.799
2001-07-24,880.803
2001-07-25,871.719
2001-07-26,864.655
2001-07-27,860.125
2001-07-30,867.508
2001-07-31,876.777
2001-08-01,906.002
2001-08-02,916.257
2001-08-03,913.308
2001-08-06,916.058
2001-08-07,914.093
2001-08-08,914.186
2001-08-09,903.995
2001-08-10,898.292
2001-08-13,898.002
2001-08-14,894.676
2001-08-15,913.272
2001-08-16,909.429
2001-08-17,922.663
2001-08-20,906.788
2001-08-21,911.807
2001-08-22,915.421
2001-08-23,913.299
2001-08-24,919.746
2001-08-27,926.432
2001-08-28,920.799
2001-08-29,921.806
2001-08-30,917.733
2001-08-31,896.214
2001-09-03,907.18
2001-09-04,899.245
2001-09-05,900.488
2001-09-06,901.965
2001-09-07,893.265
2001-09-10,881.633
2001-09-11,896.329
2001-09-12,857.706
2001-09-13,862.797
2001-09-14,862.431
2001-09-17,812.065
2001-09-18,816.415
2001-09-19,827.841
2001-09-20,815.414
2001-09-21,783.096
2001-09-24,783.835
2001-09-25,801.54
2001-09-26,803.186
2001-09-27,807.008
2001-09-28,829.43
2001-10-01,837.332
2001-10-02,845.44
2001-10-03,847.088
2001-10-04,846.567
2001-10-05,876.549
2001-10-08,865.97
2001-10-09,867.782
2001-10-10,858.364
2001-10-11,866.214
2001-10-12,872.062
2001-10-15,888.892
2001-10-16,892.995
2001-10-17,894.928
2001-10-18,878.356
2001-10-19,868.354
2001-10-22,866.38
2001-10-23,872.805
2001-10-24,877.807
2001-10-25,876.779
2001-10-26,876.37
2001-10-29,882.917
2001-10-30,883.86
2001-10-31,872.925
2001-11-01,879.581
2001-11-02,878.607
2001-11-05,875.34
2001-11-06,895.93
2001-11-07,891.913
