Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,117.822
1975-02-28,118.201
1975-03-31,115.818
1975-04-30,115.097
1975-05-30,129.277
1975-06-30,123.979
1975-07-31,122.401
1975-08-29,117.575
1975-09-30,126.159
1975-10-31,129.437
1975-11-28,140.391
1975-12-31,145.136
1976-01-30,144.927
1976-02-27,145.467
1976-03-31,146.885
1976-04-30,150.501
1976-05-31,151.827
1976-06-30,151.168
1976-07-30,169.869
1976-08-31,167.776
1976-09-30,155.373
1976-10-29,143.706
1976-11-30,114.796
1976-12-31,131.364
1977-01-31,134.275
1977-02-28,131.303
1977-03-31,140.383
1977-04-29,139.079
1977-05-31,142.275
1977-06-30,141.184
1977-07-29,131.519
1977-08-31,122.574
1977-09-30,122.14
1977-10-31,127.824
1977-11-30,124.108
1977-12-30,133.59
1978-01-31,126.792
1978-02-28,118.172
1978-03-31,124.889
1978-04-28,131.902
1978-05-31,138.624
1978-06-30,136.007
1978-07-31,145.534
1978-08-31,156.968
1978-09-29,160.884
1978-10-31,153.831
1978-11-30,144.356
1978-12-29,153.206
1979-01-31,159.826
1979-02-28,164.637
1979-03-30,166.975
1979-04-30,161.205
1979-05-31,166.019
1979-06-29,162.909
1979-07-31,171.544
1979-08-31,193.658
1979-09-28,213.768
1979-10-31,212.425
1979-11-30,203.137
1979-12-31,244.723
1980-01-31,301.48
1980-02-29,310.97
1980-03-31,234.332
1980-04-30,256.913
1980-05-30,298.449
1980-06-30,326.891
1980-07-31,320.934
1980-08-29,343.654
1980-09-30,377.506
1980-10-31,416.721
1980-11-28,391.671
1980-12-31,376.965
1981-01-30,326.367
1981-02-27,303.443
1981-03-31,339.331
1981-04-30,327.671
1981-05-29,324.819
1981-06-30,308.269
1981-07-31,268.131
1981-08-31,273.148
1981-09-30,244.737
1981-10-30,230.158
1981-11-30,252.034
1981-12-31,249.921
1982-01-29,222.471
1982-02-26,191.797
1982-03-31,180.175
1982-04-30,204.608
1982-05-31,202.083
1982-06-30,181.355
1982-07-30,172.8
1982-08-31,178.482
1982-09-30,181.515
1982-10-29,183.612
1982-11-30,181.773
1982-12-31,188.088
1983-01-31,210.864
1983-02-28,193.548
1983-03-31,181.196
1983-04-29,205.168
1983-05-31,217.493
1983-06-30,209.681
1983-07-29,230.8
1983-08-31,235.667
1983-09-30,238.524
1983-10-31,228.609
1983-11-30,250.749
1983-12-30,258.86
1984-01-31,259.397
1984-02-29,250.474
1984-03-30,254.093
1984-04-30,253.164
1984-05-31,214.51
1984-06-29,214.65
1984-07-31,214.339
1984-08-31,239.01
1984-09-28,238.61
1984-10-31,248.503
1984-11-30,248.965
1984-12-31,232.397
1985-01-31,250.708
1985-02-28,226.421
1985-03-29,232.467
1985-04-30,220.836
1985-05-31,224.253
1985-06-28,226.746
1985-07-31,266.578
1985-08-30,257.617
1985-09-30,270.374
