Date,AUSTRALIA VALUE Standard (Large+Mid Cap)
2001-01-01,2836.266
2001-01-02,2899.446
2001-01-03,2901.354
2001-01-04,2974.383
2001-01-05,2987.703
2001-01-08,2915.255
2001-01-09,2888.225
2001-01-10,2883.529
2001-01-11,2869.95
2001-01-12,2876.334
2001-01-15,2851.693
2001-01-16,2854.158
2001-01-17,2846.119
2001-01-18,2899.337
2001-01-19,2925.985
2001-01-22,2915.114
2001-01-23,2885.201
2001-01-24,2833.636
2001-01-25,2873.872
2001-01-26,2865.959
2001-01-29,2856.55
2001-01-30,2885.826
2001-01-31,2915.503
2001-02-01,2964.897
2001-02-02,2951.067
2001-02-05,2901.107
2001-02-06,2916.409
2001-02-07,2887.008
2001-02-08,2855.036
2001-02-09,2832.792
2001-02-12,2870.164
2001-02-13,2865.963
2001-02-14,2848.646
2001-02-15,2808.621
2001-02-16,2831.144
2001-02-19,2806.747
2001-02-20,2777.588
2001-02-21,2805.415
2001-02-22,2768.511
2001-02-23,2756.089
2001-02-26,2775.242
2001-02-27,2785.262
2001-02-28,2819.479
2001-03-01,2849.859
2001-03-02,2839.633
2001-03-05,2799.733
2001-03-06,2748.547
2001-03-07,2754.026
2001-03-08,2738.624
2001-03-09,2743.08
2001-03-12,2717.513
2001-03-13,2613.355
2001-03-14,2601.607
2001-03-15,2578.953
2001-03-16,2579.215
2001-03-19,2573.566
2001-03-20,2580.997
2001-03-21,2534.276
2001-03-22,2479.125
2001-03-23,2458.75
2001-03-26,2511.344
2001-03-27,2512.696
2001-03-28,2518.542
2001-03-29,2500.971
2001-03-30,2453.674
2001-04-02,2469.404
2001-04-03,2450.831
2001-04-04,2485.089
2001-04-05,2501.453
2001-04-06,2544.828
2001-04-09,2509.975
2001-04-10,2532.439
2001-04-11,2609.9
2001-04-12,2652.254
2001-04-13,2652.254
2001-04-16,2660.611
2001-04-17,2632.627
2001-04-18,2589.351
2001-04-19,2740.439
2001-04-20,2756.881
2001-04-23,2729.425
2001-04-24,2707.543
2001-04-25,2713.993
2001-04-26,2741.711
2001-04-27,2739.848
2001-04-30,2777.416
2001-05-01,2805.405
2001-05-02,2834.489
2001-05-03,2873.749
2001-05-04,2837.345
2001-05-07,2847.446
2001-05-08,2845.991
2001-05-09,2853.95
2001-05-10,2928.384
2001-05-11,2901.889
2001-05-14,2885.387
2001-05-15,2886.347
2001-05-16,2874.169
2001-05-17,2925.19
2001-05-18,2904.455
2001-05-21,2969.165
2001-05-22,2937.993
2001-05-23,2910.63
2001-05-24,2878.145
2001-05-25,2913.505
2001-05-28,2905.37
2001-05-29,2879.021
2001-05-30,2848.984
2001-05-31,2781.134
2001-06-01,2807.06
2001-06-04,2842.963
2001-06-05,2842.269
2001-06-06,2892.123
2001-06-07,2949.234
2001-06-08,2966.575
2001-06-11,2960.625
2001-06-12,2985.179
2001-06-13,3005.108
2001-06-14,3012.383
2001-06-15,3031.669
2001-06-18,2966.076
2001-06-19,2947.73
2001-06-20,2961.814
2001-06-21,2970.216
2001-06-22,2986.86
2001-06-25,2963.195
2001-06-26,2998.122
2001-06-27,2963.094
2001-06-28,2925.873
2001-06-29,2973.683
2001-07-02,2937.131
2001-07-03,2974.394
2001-07-04,2984.471
2001-07-05,2902.538
2001-07-06,2827.409
2001-07-09,2814.163
2001-07-10,2840.07
2001-07-11,2829.999
2001-07-12,2823.052
2001-07-13,2858.747
2001-07-16,2915.947
2001-07-17,2874.873
2001-07-18,2919.366
2001-07-19,2918.151
2001-07-20,2852.915
2001-07-23,2865.167
2001-07-24,2866.003
2001-07-25,2836.746
2001-07-26,2792.641
2001-07-27,2774.807
