Date,AUSTRIA LARGE GROWTH Large Cap
1994-05-31,1000.0
1994-06-30,1075.771
1994-07-29,1040.818
1994-08-31,1063.895
1994-09-30,1017.954
1994-10-31,941.752
1994-11-30,938.86
1994-12-30,984.204
1995-01-31,952.48
1995-02-28,1000.718
1995-03-31,1027.777
1995-04-28,1033.466
1995-05-31,1071.374
1995-06-30,1115.997
1995-07-31,1110.702
1995-08-31,1020.673
1995-09-29,1036.618
1995-10-31,982.971
1995-11-30,945.391
1995-12-29,1003.045
1996-01-31,1084.972
1996-02-29,1069.678
1996-03-29,1052.846
1996-04-30,1073.527
1996-05-31,1153.436
1996-06-28,1064.477
1996-07-31,1036.164
1996-08-30,1058.216
1996-09-30,1046.013
1996-10-31,1022.362
1996-11-29,1082.172
1996-12-31,1080.803
1997-01-31,1062.843
1997-02-28,1072.106
1997-03-31,1080.077
1997-04-30,999.115
1997-05-30,1083.711
1997-06-30,1097.265
1997-07-31,1186.123
1997-08-29,1131.672
1997-09-30,1278.126
1997-10-31,1219.529
1997-11-28,1114.087
1997-12-31,1184.664
1998-01-30,1132.638
1998-02-27,1037.646
1998-03-31,1103.844
1998-04-30,1270.931
1998-05-29,1258.78
2004-11-30,665.915
2004-12-31,699.011
2005-01-31,646.486
2005-02-28,715.608
2005-03-31,686.218
2005-04-29,633.311
2005-05-31,654.692
2005-06-30,664.398
2005-07-29,676.744
2005-08-31,733.341
2005-09-30,711.713
2005-10-31,689.572
2005-11-30,706.9
2005-12-30,742.234
2006-01-31,831.39
2006-02-28,806.275
2006-03-31,822.345
2006-04-28,850.385
2006-05-31,769.782
2006-06-30,774.044
2006-07-31,791.051
2006-08-31,791.423
2006-09-29,793.427
2006-10-31,851.515
2006-11-30,886.144
2006-12-29,975.105
2007-01-31,966.07
2007-02-28,894.573
2007-03-30,940.869
2007-04-30,985.852
2007-05-31,1000.0
2007-06-29,985.241
2007-07-31,959.648
2007-08-31,945.005
2007-09-28,987.325
2007-10-31,1082.132
2007-11-30,1045.585
2007-12-31,1019.44
2008-01-31,826.696
2008-02-29,901.752
2008-03-31,955.017
2008-04-30,1094.72
2008-05-30,1112.749
2008-06-30,1059.367
2008-07-31,989.407
2008-08-29,905.626
2008-09-30,648.638
2008-10-31,405.647
2008-11-28,356.952
2008-12-31,366.917
2009-01-30,311.357
2009-02-27,252.152
2009-03-31,307.728
2009-04-30,348.846
2009-05-29,452.277
2009-06-30,428.013
2009-07-31,407.699
2009-08-31,427.158
2009-09-30,424.763
2009-10-30,379.616
2009-11-30,378.83
2009-12-31,358.525
2010-01-29,352.825
2010-02-26,343.202
2010-03-31,334.48
2010-04-30,327.849
2010-05-31,279.618
2010-06-30,270.368
2010-07-30,311.283
2010-08-31,312.818
2010-09-30,315.052
2010-10-29,350.205
2010-11-30,276.879
2010-12-31,328.193
2011-01-31,351.218
2011-02-28,335.954
2011-03-31,390.374
2011-04-29,404.544
2011-05-31,400.798
2011-06-30,415.985
2011-07-29,382.52
2011-08-31,302.593
2011-09-30,217.868
2011-10-31,190.248
2011-11-30,156.179
2011-12-30,158.472
2012-01-31,174.641
2012-02-29,189.33
2012-03-30,189.673
2012-04-30,183.889
2012-05-31,145.68
2012-06-29,144.522
2012-07-31,120.887
2012-08-31,127.939
2012-09-28,130.537
2012-10-31,146.629
2012-11-30,144.099
2012-12-31,155.233
2013-01-31,162.419
2013-02-28,155.927
2013-03-29,136.715
2013-04-30,152.886
2013-05-31,159.638
2013-06-28,136.792
2013-07-31,150.616
2013-08-30,158.486
2013-09-30,159.672
2013-10-31,172.623
2013-11-29,173.923
2013-12-31,172.077
2014-01-31,179.542
2014-02-28,175.065
2014-03-31,168.514
2014-04-30,165.359
2014-05-30,172.885
2014-06-30,160.741
2014-07-31,128.055
2014-08-29,127.865
2014-09-30,113.869
2014-10-31,126.48
2014-11-28,134.958
2014-12-31,115.689
2015-01-30,107.831
2015-02-27,130.569
2015-03-31,122.433
2015-04-30,141.358
2015-05-29,143.945
2015-06-30,141.083
2015-07-31,149.866
2015-08-31,147.896
2015-09-30,143.922
2015-10-30,146.435
2015-11-30,152.447
2018-05-31,1000.0
2018-06-29,1002.176
2018-07-31,1038.315
2018-08-31,957.355
2018-09-28,997.82
2018-10-31,979.364
2018-11-30,947.41
2018-12-31,797.337
2019-01-31,837.529
2019-02-28,909.062
2019-03-29,883.198
2019-04-30,960.617
2021-11-30,1000.0
2021-12-31,1080.208
2022-01-31,1009.91
2022-02-28,1165.078
2022-03-31,1020.554
2022-04-29,1035.516
2022-05-31,963.373
2022-06-30,947.275
2022-07-29,1063.942
2022-08-31,930.642
2022-09-30,831.551
2022-10-31,760.271
2022-11-30,860.001
2022-12-30,814.748
2023-01-31,822.775
2023-02-28,845.108
2023-03-31,843.642
2023-04-28,866.914
2023-05-31,764.724
2023-06-30,814.753
2023-07-31,844.678
2023-08-31,834.26
2023-09-29,829.422
2023-10-31,881.249
2023-11-30,970.694
2023-12-29,944.0
2024-01-31,835.504
2024-02-29,737.177
2024-03-29,743.948
2024-04-30,778.398
2024-05-31,885.221
2024-06-28,849.139
2024-07-31,861.414
2024-08-30,918.664
2024-09-30,894.443
2024-10-31,878.254
2024-11-29,857.839
2024-12-31,779.76
2025-01-31,828.66
2025-02-28,814.474
2025-03-31,760.548
2025-04-30,827.878
2025-05-30,876.113
2025-06-30,858.466
2025-07-31,839.608
