Date,AUSTRIA MID VALUE Mid Cap
1994-05-31,1000.0
1994-06-30,1067.063
1994-07-29,1226.447
1994-08-31,1355.238
1994-09-30,1294.312
1994-10-31,1334.455
1994-11-30,1263.958
1994-12-30,1306.325
1995-01-31,1316.338
1995-02-28,1394.915
1995-03-31,1320.491
1995-04-28,1435.721
1995-05-31,1516.151
1995-06-30,1651.931
1995-07-31,1612.202
1995-08-31,1455.281
1995-09-29,1524.337
1995-10-31,1528.008
1995-11-30,1522.764
1995-12-29,1613.291
1996-01-31,1689.529
1996-02-29,1674.709
1996-03-29,1710.637
1996-04-30,1776.839
1996-05-31,1835.287
1996-06-28,1769.595
1996-07-31,1722.542
1996-08-30,1711.528
1996-09-30,1729.362
1996-10-31,1683.528
1996-11-29,1677.994
1996-12-31,1744.1
1997-01-31,1720.668
1997-02-28,1725.562
1997-03-31,1742.644
1997-04-30,1647.477
1997-05-30,1800.325
1997-06-30,1806.089
1997-07-31,1815.681
1997-08-29,1700.739
1997-09-30,1834.459
1997-10-31,1780.157
1997-11-28,1746.982
1997-12-31,1942.845
1998-01-30,2005.06
1998-02-27,2115.631
1998-03-31,2234.506
1998-04-30,2380.659
1998-05-29,2537.694
1998-06-30,2435.461
1998-07-31,2672.358
1998-08-31,2427.775
1998-09-30,2341.098
1998-10-30,2509.067
1998-11-30,2404.331
1998-12-31,2438.719
1999-01-29,2315.333
1999-02-26,2342.865
1999-03-31,2277.285
1999-04-30,2440.086
1999-05-31,2254.25
1999-06-30,2363.294
1999-07-30,2311.947
1999-08-31,2334.209
1999-09-30,2161.168
1999-10-29,2175.846
1999-11-30,2068.541
1999-12-31,2171.257
2000-01-31,2051.831
2000-02-29,1833.807
2000-03-31,1863.132
2000-04-28,1849.7
2000-05-31,1899.298
2000-06-30,1936.941
2000-07-31,1829.682
2000-08-31,1803.057
2000-09-29,1742.817
2000-10-31,1604.275
2000-11-30,1586.762
2000-12-29,1618.567
2001-01-31,1662.769
2001-02-28,1783.143
2001-03-30,1697.732
2001-04-30,1782.724
2001-05-31,1729.631
2001-06-29,1641.798
2001-07-31,1753.623
2001-08-31,1792.249
2001-09-28,1604.442
2001-10-31,1504.479
2001-11-30,1626.274
2001-12-31,1655.693
2002-01-31,1641.876
2002-02-28,1723.192
2002-03-29,1881.854
2002-04-30,2014.509
2002-05-31,2036.611
2002-11-29,1000.0
2002-12-31,1118.698
2003-01-31,1132.531
2003-02-28,1164.452
2003-03-31,1133.123
2003-04-30,1131.753
2003-05-30,1216.139
2003-06-30,1253.36
2003-07-31,1212.311
2003-08-29,1153.421
2003-09-30,1170.696
2003-10-31,1173.772
2003-11-28,1281.83
2003-12-31,1347.342
2004-01-30,1438.475
2004-02-27,1458.376
2004-03-31,1711.997
2004-04-30,1653.729
2004-05-31,1618.147
2004-06-30,1736.137
2004-07-30,1860.742
2004-08-31,1963.987
2004-09-30,2074.885
2004-10-29,2157.606
2004-11-30,2426.973
2004-12-31,2772.796
2005-01-31,2865.605
2005-02-28,3195.183
2005-03-31,2931.178
2005-04-29,2839.094
2005-05-31,3280.027
2005-06-30,4062.211
2005-07-29,4347.463
2005-08-31,5061.0
2005-09-30,5552.513
2005-10-31,5023.798
2005-11-30,5150.434
