Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2001-01-01,468.601
2001-01-02,468.399
2001-01-03,456.771
2001-01-04,453.625
2001-01-05,467.899
2001-01-08,470.184
2001-01-09,470.326
2001-01-10,475.363
2001-01-11,482.61
2001-01-12,482.463
2001-01-15,478.727
2001-01-16,470.288
2001-01-17,463.511
2001-01-18,474.942
2001-01-19,470.878
2001-01-22,470.006
2001-01-23,470.464
2001-01-24,459.259
2001-01-25,458.783
2001-01-26,463.579
2001-01-29,456.702
2001-01-30,459.74
2001-01-31,468.835
2001-02-01,504.092
2001-02-02,487.061
2001-02-05,494.334
2001-02-06,487.274
2001-02-07,507.79
2001-02-08,508.495
2001-02-09,502.93
2001-02-12,515.505
2001-02-13,513.995
2001-02-14,507.913
2001-02-15,505.137
2001-02-16,519.179
2001-02-19,532.825
2001-02-20,532.331
2001-02-21,535.539
2001-02-22,534.446
2001-02-23,526.623
2001-02-26,526.169
2001-02-27,540.862
2001-02-28,528.911
2001-03-01,533.084
2001-03-02,537.194
2001-03-05,533.414
2001-03-06,533.926
2001-03-07,552.879
2001-03-08,553.099
2001-03-09,547.886
2001-03-12,546.767
2001-03-13,540.925
2001-03-14,534.026
2001-03-15,530.128
2001-03-16,509.679
2001-03-19,503.133
2001-03-20,508.956
2001-03-21,505.069
2001-03-22,489.735
2001-03-23,502.673
2001-03-26,508.496
2001-03-27,516.486
2001-03-28,510.266
2001-03-29,507.38
2001-03-30,511.324
2001-04-02,499.098
2001-04-03,503.096
2001-04-04,514.777
2001-04-05,528.122
2001-04-06,518.399
2001-04-09,527.665
2001-04-10,523.079
2001-04-11,508.137
2001-04-12,514.142
2001-04-13,514.142
2001-04-16,508.877
2001-04-17,510.909
2001-04-18,508.234
2001-04-19,512.466
2001-04-20,523.72
2001-04-23,516.055
2001-04-24,521.878
2001-04-25,518.733
2001-04-26,522.188
2001-04-27,520.25
2001-04-30,517.379
2001-05-01,520.122
2001-05-02,525.536
2001-05-03,524.326
2001-05-04,518.505
2001-05-07,515.479
2001-05-08,512.741
