Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,102.915
1975-02-28,106.073
1975-03-31,105.084
1975-04-30,104.347
1975-05-30,104.405
1975-06-30,104.309
1975-07-31,95.939
1975-08-29,95.401
1975-09-30,92.848
1975-10-31,96.685
1975-11-28,94.554
1975-12-31,96.373
1976-01-30,98.096
1976-02-27,97.771
1976-03-31,100.012
1976-04-30,100.412
1976-05-31,99.826
1976-06-30,98.562
1976-07-30,101.592
1976-08-31,104.218
1976-09-30,106.153
1976-10-29,106.858
1976-11-30,103.6
1976-12-31,105.573
1977-01-31,104.825
1977-02-28,103.565
1977-03-31,103.742
1977-04-29,102.996
1977-05-31,103.588
1977-06-30,101.31
1977-07-29,104.769
1977-08-31,101.829
1977-09-30,93.954
1977-10-31,95.709
1977-11-30,96.252
1977-12-30,103.059
1978-01-31,102.853
1978-02-28,106.65
1978-03-31,107.617
1978-04-28,105.429
1978-05-31,104.768
1978-06-30,105.696
1978-07-31,110.056
1978-08-31,112.5
1978-09-29,114.297
1978-10-31,127.879
1978-11-30,112.014
1978-12-29,120.388
1979-01-31,116.341
1979-02-28,116.548
1979-03-30,117.623
1979-04-30,116.455
1979-05-31,114.493
1979-06-29,118.751
1979-07-31,118.946
1979-08-31,120.195
1979-09-28,125.713
1979-10-31,129.127
1979-11-30,133.521
1979-12-31,135.806
1980-01-31,134.517
1980-02-29,133.004
1980-03-31,117.763
1980-04-30,126.262
1980-05-30,129.46
1980-06-30,132.295
1980-07-31,130.368
1980-08-29,127.877
1980-09-30,125.13
1980-10-31,117.606
1980-11-28,117.294
1980-12-31,116.456
1981-01-30,104.934
1981-02-27,103.805
1981-03-31,105.662
1981-04-30,101.509
1981-05-29,96.739
1981-06-30,91.074
1981-07-31,87.967
1981-08-31,87.628
1981-09-30,90.37
1981-10-30,94.358
1981-11-30,97.956
1981-12-31,99.735
1982-01-29,93.834
1982-02-26,89.615
1982-03-31,87.278
1982-04-30,87.584
1982-05-31,85.138
1982-06-30,79.01
1982-07-30,78.941
1982-08-31,77.852
1982-09-30,76.472
1982-10-29,74.792
1982-11-30,78.12
1982-12-31,83.516
1983-01-31,80.08
1983-02-28,82.005
1983-03-31,88.587
1983-04-29,91.184
1983-05-31,92.188
1983-06-30,89.434
1983-07-29,84.483
1983-08-31,82.189
1983-09-30,84.603
1983-10-31,82.626
1983-11-30,81.033
1983-12-30,82.375
1984-01-31,81.587
1984-02-29,86.46
1984-03-30,86.522
1984-04-30,83.424
1984-05-31,83.637
1984-06-29,80.984
1984-07-31,77.76
1984-08-31,77.09
1984-09-28,77.73
1984-10-31,79.098
1984-11-30,78.236
1984-12-31,78.464
1985-01-31,78.226
1985-02-28,95.137
1985-03-29,111.061
1985-04-30,162.865
1985-05-31,199.407
1985-06-28,214.86
1985-07-31,208.032
1985-08-30,223.868
1985-09-30,241.701
1985-10-31,240.855
1985-11-29,303.704
1985-12-31,311.429
1986-01-31,289.55
1986-02-28,322.113
1986-03-31,295.739
1986-04-30,366.564
1986-05-30,334.14
1986-06-30,344.992
1986-07-31,355.495
