Date,BELGIUM LARGE VALUE Large Cap
2001-01-01,388.37
2001-01-02,393.316
2001-01-03,392.603
2001-01-04,388.641
2001-01-05,391.784
2001-01-08,387.35
2001-01-09,385.078
2001-01-10,382.862
2001-01-11,389.744
2001-01-12,389.937
2001-01-15,384.918
2001-01-16,382.362
2001-01-17,379.323
2001-01-18,382.518
2001-01-19,375.938
2001-01-22,378.566
2001-01-23,383.951
2001-01-24,377.76
2001-01-25,375.208
2001-01-26,375.522
2001-01-29,374.58
2001-01-30,377.228
2001-01-31,379.695
2001-02-01,385.448
2001-02-02,384.145
2001-02-05,385.097
2001-02-06,381.578
2001-02-07,381.659
2001-02-08,376.672
2001-02-09,377.727
2001-02-12,379.977
2001-02-13,377.053
2001-02-14,374.734
2001-02-15,369.632
2001-02-16,372.869
2001-02-19,373.105
2001-02-20,367.302
2001-02-21,365.568
2001-02-22,360.21
2001-02-23,360.01
2001-02-26,362.13
2001-02-27,368.033
2001-02-28,371.839
2001-03-01,373.405
2001-03-02,375.729
2001-03-05,372.881
2001-03-06,372.225
2001-03-07,370.72
2001-03-08,369.982
2001-03-09,372.023
2001-03-12,366.671
2001-03-13,355.951
2001-03-14,347.135
2001-03-15,341.644
2001-03-16,328.3
2001-03-19,323.226
2001-03-20,329.823
2001-03-21,321.827
2001-03-22,305.146
2001-03-23,315.738
2001-03-26,331.275
2001-03-27,333.121
2001-03-28,327.088
2001-03-29,325.454
2001-03-30,335.173
2001-04-02,339.641
2001-04-03,336.482
2001-04-04,339.383
2001-04-05,341.982
2001-04-06,341.814
2001-04-09,348.492
2001-04-10,345.748
2001-04-11,340.056
2001-04-12,338.576
2001-04-13,338.576
2001-04-16,335.108
2001-04-17,334.472
2001-04-18,334.409
2001-04-19,340.019
2001-04-20,340.225
2001-04-23,333.879
2001-04-24,335.599
2001-04-25,339.696
2001-04-26,342.756
2001-04-27,340.807
2001-04-30,338.542
2001-05-01,340.337
2001-05-02,341.06
2001-05-03,336.835
2001-05-04,331.893
2001-05-07,332.389
2001-05-08,329.08
2001-05-09,329.541
2001-05-10,335.514
2001-05-11,333.454
2001-05-14,330.606
2001-05-15,331.405
2001-05-16,332.656
2001-05-17,334.509
2001-05-18,335.606
2001-05-21,333.053
2001-05-22,331.402
2001-05-23,330.397
2001-05-24,331.358
2001-05-25,325.096
2001-05-28,327.344
2001-05-29,323.016
2001-05-30,327.954
2001-05-31,320.717
2001-06-01,320.21
2001-06-04,320.645
2001-06-05,325.724
2001-06-06,329.128
2001-06-07,328.39
2001-06-08,327.687
2001-06-11,322.842
2001-06-12,323.37
2001-06-13,325.995
2001-06-14,328.575
2001-06-15,327.173
2001-06-18,327.749
2001-06-19,326.276
2001-06-20,328.629
2001-06-21,330.199
2001-06-22,329.731
2001-06-25,331.858
2001-06-26,330.624
2001-06-27,331.193
2001-06-28,329.246
2001-06-29,332.168
2001-07-02,336.603
2001-07-03,335.487
2001-07-04,336.21
2001-07-05,334.951
2001-07-06,335.524
2001-07-09,334.32
2001-07-10,337.274
2001-07-11,338.654
2001-07-12,339.807
2001-07-13,343.243
2001-07-16,345.514
2001-07-17,346.256
2001-07-18,353.966
2001-07-19,356.299
2001-07-20,355.317
2001-07-23,353.139
2001-07-24,354.52
2001-07-25,352.838
2001-07-26,348.687
2001-07-27,349.097
2001-07-30,350.925
2001-07-31,350.958
2001-08-01,354.634
2001-08-02,354.744
2001-08-03,354.899
2001-08-06,353.245
2001-08-07,349.928
2001-08-08,349.299
2001-08-09,348.916
2001-08-10,351.297
2001-08-13,351.68
2001-08-14,351.816
2001-08-15,355.887
2001-08-16,355.84
2001-08-17,352.544
2001-08-20,351.992
2001-08-21,353.06
2001-08-22,356.081
2001-08-23,356.183
2001-08-24,358.765
2001-08-27,358.287
2001-08-28,357.613
2001-08-29,359.238
2001-08-30,357.554
2001-08-31,358.306
2001-09-03,355.055
2001-09-04,349.721
2001-09-05,349.087
2001-09-06,344.24
2001-09-07,338.676
2001-09-10,331.735
2001-09-11,313.886
2001-09-12,317.149
2001-09-13,319.06
2001-09-14,309.74
2001-09-17,309.153
2001-09-18,309.856
2001-09-19,311.062
2001-09-20,299.425
2001-09-21,285.399
2001-09-24,299.515
2001-09-25,309.345
2001-09-26,309.751
2001-09-27,316.463
2001-09-28,326.047
2001-10-01,324.01
2001-10-02,329.457
2001-10-03,328.373
2001-10-04,332.65
2001-10-05,332.323
2001-10-08,330.868
2001-10-09,330.148
2001-10-10,331.439
2001-10-11,329.843
2001-10-12,325.497
2001-10-15,318.624
2001-10-16,316.803
2001-10-17,313.262
2001-10-18,311.574
2001-10-19,305.009
2001-10-22,307.671
2001-10-23,312.774
2001-10-24,315.468
2001-10-25,313.035
2001-10-26,315.874
2001-10-29,317.759
2001-10-30,314.168
2001-10-31,314.147
2001-11-01,315.595
2001-11-02,316.938
2001-11-05,318.87
2001-11-06,319.251
