Date,BELGIUM SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,447.441
2001-01-02,449.479
2001-01-03,445.372
2001-01-04,447.0
2001-01-05,450.814
2001-01-08,450.224
2001-01-09,444.436
2001-01-10,439.27
2001-01-11,443.874
2001-01-12,443.033
2001-01-15,439.34
2001-01-16,441.597
2001-01-17,440.686
2001-01-18,447.285
2001-01-19,450.0
2001-01-22,446.667
2001-01-23,447.614
2001-01-24,440.156
2001-01-25,437.648
2001-01-26,439.637
2001-01-29,437.22
2001-01-30,439.008
2001-01-31,441.095
2001-02-01,446.522
2001-02-02,445.652
2001-02-05,446.405
2001-02-06,439.897
2001-02-07,437.932
2001-02-08,432.438
2001-02-09,432.548
2001-02-12,435.224
2001-02-13,430.82
2001-02-14,420.369
2001-02-15,417.059
2001-02-16,422.732
2001-02-19,424.773
2001-02-20,421.303
2001-02-21,422.162
2001-02-22,417.905
2001-02-23,416.82
2001-02-26,420.541
2001-02-27,421.76
2001-02-28,421.921
2001-03-01,421.767
2001-03-02,424.659
2001-03-05,420.81
2001-03-06,422.352
2001-03-07,420.112
2001-03-08,416.573
2001-03-09,410.573
2001-03-12,404.609
2001-03-13,388.615
2001-03-14,383.169
2001-03-15,377.327
2001-03-16,375.391
2001-03-19,373.591
2001-03-20,378.249
2001-03-21,371.789
2001-03-22,357.66
2001-03-23,364.34
2001-03-26,369.164
2001-03-27,366.586
2001-03-28,363.259
2001-03-29,355.056
2001-03-30,360.515
2001-04-02,358.578
2001-04-03,358.649
2001-04-04,360.347
2001-04-05,362.345
2001-04-06,365.904
2001-04-09,366.277
2001-04-10,363.28
2001-04-11,361.745
2001-04-12,363.109
2001-04-13,363.109
2001-04-16,359.391
2001-04-17,357.761
2001-04-18,354.418
2001-04-19,362.174
2001-04-20,362.994
2001-04-23,358.544
2001-04-24,360.656
2001-04-25,359.62
2001-04-26,360.467
2001-04-27,358.107
2001-04-30,357.921
2001-05-01,359.638
2001-05-02,358.841
2001-05-03,359.003
2001-05-04,360.446
2001-05-07,358.305
2001-05-08,353.892
2001-05-09,353.96
2001-05-10,352.706
2001-05-11,353.576
2001-05-14,351.708
2001-05-15,352.743
2001-05-16,355.258
2001-05-17,355.33
2001-05-18,351.423
2001-05-21,350.713
2001-05-22,346.082
2001-05-23,344.479
2001-05-24,344.684
2001-05-25,344.088
2001-05-28,345.681
2001-05-29,346.691
2001-05-30,346.724
2001-05-31,343.373
2001-06-01,342.106
2001-06-04,342.445
2001-06-05,348.621
2001-06-06,352.606
2001-06-07,351.753
2001-06-08,350.732
2001-06-11,347.608
2001-06-12,348.686
2001-06-13,354.47
2001-06-14,353.578
2001-06-15,354.583
2001-06-18,353.1
2001-06-19,348.63
2001-06-20,345.167
2001-06-21,347.557
2001-06-22,346.535
2001-06-25,347.138
2001-06-26,347.664
2001-06-27,347.189
2001-06-28,342.701
2001-06-29,343.539
2001-07-02,343.904
2001-07-03,345.697
2001-07-04,340.723
2001-07-05,339.309
2001-07-06,343.066
2001-07-09,345.604
2001-07-10,349.841
2001-07-11,350.134
2001-07-12,348.625
2001-07-13,346.562
2001-07-16,348.693
2001-07-17,346.459
2001-07-18,354.243
2001-07-19,355.289
2001-07-20,357.725
2001-07-23,354.517
2001-07-24,357.66
2001-07-25,356.918
2001-07-26,355.763
2001-07-27,353.731
2001-07-30,356.544
2001-07-31,357.919
2001-08-01,363.951
2001-08-02,366.797
2001-08-03,367.466
2001-08-06,367.654
2001-08-07,368.14
2001-08-08,367.296
2001-08-09,370.535
2001-08-10,374.173
2001-08-13,375.328
2001-08-14,377.307
2001-08-15,383.511
2001-08-16,381.386
2001-08-17,380.944
2001-08-20,377.167
2001-08-21,374.976
2001-08-22,376.462
2001-08-23,376.339
2001-08-24,379.315
2001-08-27,377.322
2001-08-28,376.962
2001-08-29,377.777
2001-08-30,378.033
2001-08-31,377.208
2001-09-03,376.511
2001-09-04,370.795
2001-09-05,368.056
2001-09-06,366.803
2001-09-07,367.999
2001-09-10,359.521
2001-09-11,344.97
2001-09-12,342.574
2001-09-13,344.643
2001-09-14,341.602
2001-09-17,337.152
2001-09-18,334.35
2001-09-19,338.14
2001-09-20,329.038
2001-09-21,318.64
2001-09-24,327.162
2001-09-25,334.098
2001-09-26,342.212
2001-09-27,346.254
2001-09-28,346.373
2001-10-01,349.673
2001-10-02,347.822
2001-10-03,346.274
2001-10-04,347.735
2001-10-05,349.263
2001-10-08,348.628
2001-10-09,349.451
2001-10-10,346.097
2001-10-11,345.561
2001-10-12,346.353
2001-10-15,344.066
2001-10-16,342.28
2001-10-17,348.36
