Date,BELGIUM SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,263.626
1994-06-30,259.034
1994-07-29,269.587
1994-08-31,278.58
1994-09-30,267.241
1994-10-31,274.479
1994-11-30,263.966
1994-12-30,268.578
1995-01-31,262.53
1995-02-28,271.803
1995-03-31,285.424
1995-04-28,312.753
1995-05-31,328.147
1995-06-30,335.01
1995-07-31,347.823
1995-08-31,331.823
1995-09-29,345.503
1995-10-31,336.892
1995-11-30,339.036
1995-12-29,360.46
1996-01-31,390.28
1996-02-29,407.108
1996-03-29,414.381
1996-04-30,430.168
1996-05-31,445.386
1996-06-28,467.125
1996-07-31,461.664
1996-08-30,477.685
1996-09-30,477.754
1996-10-31,503.313
1996-11-29,538.676
1996-12-31,539.959
1997-01-31,530.289
1997-02-28,529.607
1997-03-31,534.458
1997-04-30,533.965
1997-05-30,565.506
1997-06-30,636.093
1997-07-31,643.046
1997-08-29,602.116
1997-09-30,633.176
1997-10-31,615.747
1997-11-28,595.858
1997-12-31,601.602
1998-01-30,637.661
1998-02-27,703.267
1998-03-31,752.532
1998-04-30,776.193
1998-05-29,805.541
1998-06-30,899.163
1998-07-31,904.039
1998-08-31,825.536
1998-09-30,841.732
1998-10-30,885.206
1998-11-30,912.391
1998-12-31,944.208
1999-01-29,937.069
1999-02-26,933.221
1999-03-31,841.616
1999-04-30,838.973
1999-05-31,806.59
1999-06-30,768.169
1999-07-30,748.125
1999-08-31,763.351
1999-09-30,712.585
1999-10-29,692.855
1999-11-30,673.378
1999-12-31,728.913
2000-01-31,628.135
2000-02-29,676.87
2000-03-31,681.841
2000-04-28,611.33
2000-05-31,610.997
2000-06-30,624.524
2000-07-31,569.248
2000-08-31,595.996
2000-09-29,486.518
2000-10-31,431.932
2000-11-30,419.579
2000-12-29,447.441
2001-01-31,441.095
2001-02-28,421.921
2001-03-30,360.515
2001-04-30,357.921
2001-05-31,343.373
2001-06-29,343.539
2001-07-31,357.919
2001-08-31,377.208
2001-09-28,346.373
2001-10-31,345.286
2001-11-30,361.165
2001-12-31,368.132
2002-01-31,364.369
2002-02-28,357.486
2002-03-29,361.394
2002-04-30,361.179
2002-05-31,370.566
2002-06-28,369.112
2002-07-31,348.306
2002-08-30,326.305
2002-09-30,311.779
2002-10-31,310.079
2002-11-29,322.074
2002-12-31,349.519
2003-01-31,345.227
2003-02-28,295.846
2003-03-31,293.501
2003-04-30,345.486
2003-05-30,388.751
2003-06-30,381.366
2003-07-31,372.182
2003-08-29,388.606
2003-09-30,423.457
2003-10-31,431.966
2003-11-28,445.123
2003-12-31,489.017
2004-01-30,523.38
2004-02-27,539.333
2004-03-31,522.231
2004-04-30,523.137
2004-05-31,554.203
2004-06-30,573.236
2004-07-30,565.489
2004-08-31,586.631
2004-09-30,633.162
2004-10-29,663.634
2004-11-30,681.717
2004-12-31,708.017
2005-01-31,703.154
2005-02-28,746.45
2005-03-31,719.005
2005-04-29,704.751
2005-05-31,666.922
2005-06-30,675.256
2005-07-29,700.98
2005-08-31,711.136
2005-09-30,707.739
2005-10-31,667.748
2005-11-30,659.506
2005-12-30,673.662
2006-01-31,711.366
2006-02-28,720.807
2006-03-31,741.46
2006-04-28,815.442
2006-05-31,797.664
2006-06-30,800.101
2006-07-31,788.554
2006-08-31,818.861
2006-09-29,824.804
2006-10-31,849.115
2006-11-30,859.864
2006-12-29,922.19
2007-01-31,934.463
2007-02-28,925.036
2007-03-30,921.894
2007-04-30,983.977
2007-05-31,1000.0
2007-06-29,1001.191
2007-07-31,993.864
2007-08-31,983.725
2007-09-28,1001.577
2007-10-31,1005.984
2007-11-30,988.232
2007-12-31,1005.429
2008-01-31,911.615
2008-02-29,950.746
2008-03-31,975.766
2008-04-30,994.218
2008-05-30,1000.001
2008-06-30,931.045
2008-07-31,900.924
2008-08-29,878.584
2008-09-30,726.505
2008-10-31,512.159
2008-11-28,446.949
2008-12-31,452.143
2009-01-30,441.045
2009-02-27,438.265
2009-03-31,436.537
2009-04-30,471.409
2009-05-29,505.166
2009-06-30,497.298
2009-07-31,519.108
2009-08-31,559.036
2009-09-30,598.858
2009-10-30,605.257
2009-11-30,631.816
2009-12-31,613.417
2010-01-29,614.407
2010-02-26,598.827
2010-03-31,641.985
2010-04-30,636.297
2010-05-31,556.761
2010-06-30,552.883
2010-07-30,613.754
2010-08-31,614.221
2010-09-30,705.027
2010-10-29,767.102
2010-11-30,711.309
2010-12-31,790.217
2011-01-31,765.372
2011-02-28,788.591
2011-03-31,812.624
2011-04-29,890.943
2011-05-31,837.97
2011-06-30,776.49
2011-07-29,728.035
2011-08-31,705.745
2011-09-30,587.141
2011-10-31,637.214
2011-11-30,597.392
2011-12-30,584.453
2012-01-31,628.027
2012-02-29,661.543
2012-03-30,686.936
2012-04-30,687.914
2012-05-31,635.192
2012-06-29,660.073
2012-07-31,660.164
2012-08-31,682.216
2012-09-28,739.16
2012-10-31,752.814
2012-11-30,755.126
2012-12-31,794.493
2013-01-31,811.151
2013-02-28,807.382
2013-03-29,790.812
2013-04-30,809.18
2013-05-31,813.085
2013-06-28,765.591
2013-07-31,814.413
2013-08-30,829.976
2013-09-30,889.144
2013-10-31,942.216
2013-11-29,941.724
2013-12-31,989.323
2014-01-31,943.698
2014-02-28,1040.557
2014-03-31,1051.458
2014-04-30,1063.212
2014-05-30,1053.81
2014-06-30,1052.913
2014-07-31,1048.824
2014-08-29,1063.734
2014-09-30,1008.447
2014-10-31,924.732
2014-11-28,937.298
2014-12-31,928.336
2015-01-30,933.193
2015-02-27,969.488
2015-03-31,934.95
2015-04-30,992.481
2015-05-29,1001.781
2015-06-30,997.355
2015-07-31,1047.27
2015-08-31,991.925
2015-09-30,946.943
2015-10-30,1024.073
2015-11-30,1019.508
2015-12-31,1054.059
2016-01-29,974.832
2016-02-29,953.145
2016-03-31,998.845
2016-04-29,984.02
2016-05-31,1024.257
2016-06-30,983.346
2016-07-29,1034.662
2016-08-31,1020.793
2016-09-30,1084.171
2016-10-31,1050.241
2016-11-30,1015.755
2016-12-30,1046.318
2017-01-31,1052.36
2017-02-28,1063.238
2017-03-31,1148.452
2017-04-28,1183.747
2017-05-31,1262.569
2017-06-30,1241.558
2017-07-31,1313.984
2017-08-31,1291.84
2017-09-29,1353.253
2017-10-31,1396.456
2017-11-30,1411.613
2017-12-29,1431.139
2018-01-31,1630.678
2018-02-28,1600.581
2018-03-30,1509.147
2018-04-30,1505.582
2018-05-31,1484.02
2018-06-29,1452.058
2018-07-31,1516.649
2018-08-31,1482.429
2018-09-28,1462.996
2018-10-31,1299.473
2018-11-30,1271.417
2018-12-31,1200.177
2019-01-31,1296.965
2019-02-28,1318.4
2019-03-29,1335.277
2019-04-30,1370.22
2019-05-31,1240.759
2019-06-28,1279.59
2019-07-31,1317.411
2019-08-30,1304.923
2019-09-30,1327.413
2019-10-31,1432.525
2019-11-29,1469.926
2019-12-31,1554.769
2020-01-31,1558.274
2020-02-28,1414.2
2020-03-31,1303.88
2020-04-30,1454.368
2020-05-29,1538.252
2020-06-30,1533.906
2020-07-31,1548.32
2020-08-31,1526.369
2020-09-30,1514.058
2020-10-30,1386.926
2020-11-30,1581.097
2020-12-31,1603.724
2021-01-29,1669.951
2021-02-26,1720.025
2021-03-31,1583.771
2021-04-30,1685.507
2021-05-31,1706.331
2021-06-30,1726.242
2021-07-30,1781.218
2021-08-31,1858.658
2021-09-30,1690.131
2021-10-29,1731.148
2021-11-30,1634.415
2021-12-31,1701.905
2022-01-31,1526.925
2022-02-28,1561.412
2022-03-31,1613.76
2022-04-29,1491.949
2022-05-31,1490.706
2022-06-30,1381.842
2022-07-29,1442.025
2022-08-31,1375.21
2022-09-30,1231.97
2022-10-31,1326.254
2022-11-30,1404.767
2022-12-30,1453.976
2023-01-31,1485.03
2023-02-28,1490.317
2023-03-31,1476.176
2023-04-28,1485.405
2023-05-31,1378.316
2023-06-30,1412.194
2023-07-31,1452.693
2023-08-31,1367.724
2023-09-29,1298.391
2023-10-31,1218.435
2023-11-30,1387.95
2023-12-29,1506.661
2024-01-31,1457.933
2024-02-29,1442.174
2024-03-29,1502.212
2024-04-30,1477.378
2024-05-31,1557.972
2024-06-28,1497.974
2024-07-31,1581.097
2024-08-30,1679.461
2024-09-30,1662.545
2024-10-31,1556.374
2024-11-29,1504.781
2024-12-31,1466.979
2025-01-31,1467.426
2025-02-28,1407.879
2025-03-31,1418.089
2025-04-30,1547.939
2025-05-30,1633.267
2025-06-30,1657.851
2025-07-31,1566.998
2025-08-29,1637.671
2025-09-30,1607.34
2025-10-31,1565.996
2025-11-28,1559.02
2025-12-31,1608.103
