Date,BELGIUM SMID VALUE SMID (Small+Mid Cap)
2001-01-01,272.24
2001-01-02,273.322
2001-01-03,271.448
2001-01-04,273.793
2001-01-05,276.499
2001-01-08,275.216
2001-01-09,272.009
2001-01-10,271.738
2001-01-11,274.031
2001-01-12,273.93
2001-01-15,271.681
2001-01-16,270.759
2001-01-17,268.661
2001-01-18,271.913
2001-01-19,270.815
2001-01-22,271.315
2001-01-23,271.167
2001-01-24,265.936
2001-01-25,264.378
2001-01-26,265.073
2001-01-29,263.604
2001-01-30,263.551
2001-01-31,264.813
2001-02-01,270.767
2001-02-02,270.671
2001-02-05,279.49
2001-02-06,280.992
2001-02-07,280.725
2001-02-08,272.969
2001-02-09,277.124
2001-02-12,279.208
2001-02-13,281.234
2001-02-14,279.556
2001-02-15,275.826
2001-02-16,278.744
2001-02-19,279.75
2001-02-20,279.751
2001-02-21,281.713
2001-02-22,280.51
2001-02-23,280.568
2001-02-26,282.814
2001-02-27,285.675
2001-02-28,287.445
2001-03-01,290.728
2001-03-02,292.722
2001-03-05,293.193
2001-03-06,295.045
2001-03-07,293.013
2001-03-08,294.106
2001-03-09,293.302
2001-03-12,291.295
2001-03-13,282.616
2001-03-14,275.876
2001-03-15,272.64
2001-03-16,264.316
2001-03-19,264.496
2001-03-20,266.511
2001-03-21,258.241
2001-03-22,246.209
2001-03-23,249.657
2001-03-26,257.173
2001-03-27,261.65
2001-03-28,262.025
2001-03-29,261.993
2001-03-30,267.72
2001-04-02,270.398
2001-04-03,269.945
2001-04-04,273.594
2001-04-05,274.096
2001-04-06,276.32
2001-04-09,277.35
2001-04-10,276.519
2001-04-11,276.02
2001-04-12,276.67
2001-04-13,276.67
2001-04-16,273.837
2001-04-17,273.394
2001-04-18,270.628
2001-04-19,274.683
2001-04-20,275.236
2001-04-23,270.199
2001-04-24,268.313
2001-04-25,268.857
2001-04-26,271.897
2001-04-27,269.182
2001-04-30,271.212
2001-05-01,272.622
2001-05-02,272.655
2001-05-03,271.893
2001-05-04,270.242
2001-05-07,268.785
2001-05-08,268.647
2001-05-09,267.565
2001-05-10,269.014
2001-05-11,266.929
2001-05-14,264.651
2001-05-15,266.323
2001-05-16,266.856
2001-05-17,265.706
2001-05-18,266.217
2001-05-21,263.554
2001-05-22,264.151
2001-05-23,263.683
2001-05-24,262.09
2001-05-25,262.609
2001-05-28,263.965
2001-05-29,263.357
2001-05-30,265.575
2001-05-31,267.093
2001-06-01,265.504
2001-06-04,265.865
2001-06-05,274.521
2001-06-06,279.085
2001-06-07,280.005
2001-06-08,280.464
2001-06-11,277.262
2001-06-12,278.383
2001-06-13,280.032
2001-06-14,280.045
2001-06-15,278.006
2001-06-18,278.375
2001-06-19,277.573
2001-06-20,275.839
2001-06-21,275.656
2001-06-22,277.514
2001-06-25,277.669
2001-06-26,276.398
2001-06-27,276.355
2001-06-28,272.74
2001-06-29,272.28
2001-07-02,270.079
2001-07-03,270.813
2001-07-04,267.362
2001-07-05,266.703
2001-07-06,267.493
2001-07-09,270.356
2001-07-10,271.852
2001-07-11,272.261
2001-07-12,269.577
2001-07-13,271.887
2001-07-16,272.202
2001-07-17,271.034
2001-07-18,277.973
2001-07-19,277.921
2001-07-20,279.864
2001-07-23,278.708
2001-07-24,280.316
2001-07-25,279.827
2001-07-26,278.384
2001-07-27,278.151
2001-07-30,280.116
2001-07-31,281.046
2001-08-01,282.458
2001-08-02,282.475
2001-08-03,283.255
2001-08-06,283.441
2001-08-07,281.974
2001-08-08,282.2
2001-08-09,284.891
2001-08-10,288.626
2001-08-13,289.331
2001-08-14,288.601
2001-08-15,292.014
2001-08-16,289.552
2001-08-17,288.783
2001-08-20,286.326
2001-08-21,285.804
2001-08-22,288.14
2001-08-23,287.899
2001-08-24,289.043
2001-08-27,286.783
2001-08-28,286.124
2001-08-29,284.704
2001-08-30,283.851
2001-08-31,283.545
2001-09-03,281.507
2001-09-04,274.814
2001-09-05,273.8
2001-09-06,273.278
2001-09-07,272.082
2001-09-10,263.955
2001-09-11,259.135
2001-09-12,255.303
2001-09-13,256.494
2001-09-14,253.619
2001-09-17,250.966
2001-09-18,249.696
2001-09-19,249.65
2001-09-20,242.245
2001-09-21,231.245
2001-09-24,239.693
2001-09-25,243.153
2001-09-26,249.945
2001-09-27,253.869
2001-09-28,256.647
2001-10-01,258.83
2001-10-02,259.923
2001-10-03,257.893
2001-10-04,261.374
2001-10-05,263.624
2001-10-08,261.498
2001-10-09,262.185
2001-10-10,262.238
2001-10-11,264.288
2001-10-12,263.856
2001-10-15,259.28
2001-10-16,260.937
2001-10-17,261.094
2001-10-18,259.687
2001-10-19,256.494
2001-10-22,256.07
2001-10-23,257.652
2001-10-24,256.518
2001-10-25,254.723
2001-10-26,256.507
2001-10-29,256.539
2001-10-30,255.754
2001-10-31,253.748
2001-11-01,256.439
2001-11-02,256.74
2001-11-05,255.945
2001-11-06,257.146
2001-11-07,259.24
2001-11-08,259.776
2001-11-09,257.405
2001-11-12,254.621
2001-11-13,253.278
2001-11-14,254.846
2001-11-15,254.027
2001-11-16,254.31
2001-11-19,255.0
2001-11-20,254.467
2001-11-21,252.006
2001-11-22,254.933
2001-11-23,254.755
2001-11-26,252.991
2001-11-27,254.078
2001-11-28,254.965
2001-11-29,257.35
2001-11-30,265.451
2001-12-03,262.285
2001-12-04,263.873
2001-12-05,266.546
2001-12-06,270.56
2001-12-07,271.596
2001-12-10,269.027
2001-12-11,268.331
2001-12-12,269.995
2001-12-13,268.533
2001-12-14,266.974
2001-12-17,270.483
2001-12-18,270.268
2001-12-19,273.795
2001-12-20,275.771
2001-12-21,273.453
2001-12-24,272.962
2001-12-25,272.962
2001-12-26,273.196
2001-12-27,279.648
2001-12-28,282.384
2001-12-31,285.138
2002-01-01,285.138
2002-01-02,288.791
2002-01-03,289.253
2002-01-04,287.828
2002-01-07,287.308
2002-01-08,285.455
2002-01-09,285.833
2002-01-10,285.727
2002-01-11,285.415
2002-01-14,285.303
2002-01-15,282.146
2002-01-16,279.678
2002-01-17,279.895
2002-01-18,285.077
2002-01-21,286.107
2002-01-22,287.357
2002-01-23,289.214
2002-01-24,288.782
2002-01-25,283.12
2002-01-28,284.344
2002-01-29,285.886
2002-01-30,283.721
2002-01-31,283.595
2002-02-01,284.368
2002-02-04,288.388
2002-02-05,288.946
2002-02-06,290.592
2002-02-07,289.989
2002-02-08,292.322
2002-02-11,296.625
2002-02-12,296.078
2002-02-13,293.693
2002-02-14,295.577
2002-02-15,296.206
2002-02-18,293.538
2002-02-19,292.576
2002-02-20,292.191
2002-02-21,292.673
2002-02-22,293.87
2002-02-25,292.531
2002-02-26,292.742
2002-02-27,293.178
2002-02-28,292.586
2002-03-01,291.792
2002-03-04,296.256
2002-03-05,297.468
2002-03-06,300.118
2002-03-07,300.778
2002-03-08,299.108
2002-03-11,299.876
2002-03-12,299.21
2002-03-13,300.918
2002-03-14,302.65
2002-03-15,303.205
2002-03-18,304.062
2002-03-19,308.899
2002-03-20,311.198
2002-03-21,310.035
2002-03-22,310.334
2002-03-25,309.834
2002-03-26,310.045
2002-03-27,308.594
2002-03-28,308.781
2002-03-29,308.781
2002-04-01,311.312
2002-04-02,311.03
2002-04-03,311.342
2002-04-04,311.829
2002-04-05,310.312
2002-04-08,308.923
2002-04-09,308.912
2002-04-10,309.245
2002-04-11,310.911
2002-04-12,310.436
2002-04-15,310.859
2002-04-16,312.137
2002-04-17,315.654
2002-04-18,318.912
2002-04-19,319.746
2002-04-22,318.758
2002-04-23,320.776
2002-04-24,321.562
2002-04-25,323.017
2002-04-26,321.621
2002-04-29,318.68
2002-04-30,320.143
2002-05-01,321.955
2002-05-02,320.209
2002-05-03,323.077
2002-05-06,325.578
2002-05-07,323.087
2002-05-08,324.745
2002-05-09,325.387
2002-05-10,327.953
2002-05-13,327.534
2002-05-14,326.543
2002-05-15,329.138
2002-05-16,330.062
2002-05-17,332.417
2002-05-20,333.386
2002-05-21,331.499
2002-05-22,332.853
2002-05-23,330.605
2002-05-24,330.506
2002-05-27,329.58
2002-05-28,333.999
2002-05-29,332.861
2002-05-30,334.396
2002-05-31,332.587
2002-06-03,333.921
2002-06-04,330.78
2002-06-05,329.54
2002-06-06,332.478
2002-06-07,332.043
2002-06-10,332.052
2002-06-11,331.401
2002-06-12,323.17
2002-06-13,315.487
2002-06-14,312.902
2002-06-17,319.439
2002-06-18,321.41
2002-06-19,319.635
2002-06-20,316.555
2002-06-21,317.104
2002-06-24,311.155
2002-06-25,315.904
2002-06-26,318.839
2002-06-27,320.674
2002-06-28,329.422
2002-07-01,331.786
2002-07-02,324.062
2002-07-03,315.168
2002-07-04,318.855
2002-07-05,325.014
2002-07-08,329.414
2002-07-09,330.984
2002-07-10,319.451
2002-07-11,308.471
2002-07-12,310.69
2002-07-15,308.084
2002-07-16,306.136
2002-07-17,310.675
2002-07-18,314.196
2002-07-19,308.312
2002-07-22,297.714
2002-07-23,287.34
2002-07-24,278.911
2002-07-25,293.3
2002-07-26,292.328
2002-07-29,292.905
2002-07-30,293.398
2002-07-31,294.458
2002-08-01,289.229
2002-08-02,285.807
2002-08-05,276.658
2002-08-06,273.452
2002-08-07,276.415
2002-08-08,280.903
2002-08-09,283.076
2002-08-12,282.789
2002-08-13,282.409
2002-08-14,281.333
2002-08-15,286.768
2002-08-16,284.873
2002-08-19,287.765
2002-08-20,286.513
2002-08-21,289.77
2002-08-22,289.858
