Date,BELGIUM VALUE Standard (Large+Mid Cap)
2001-01-01,7840.199
2001-01-02,7897.896
2001-01-03,7803.917
2001-01-04,7869.518
2001-01-05,7928.614
2001-01-08,7826.472
2001-01-09,7704.582
2001-01-10,7645.672
2001-01-11,7805.519
2001-01-12,7863.557
2001-01-15,7782.73
2001-01-16,7741.007
2001-01-17,7671.308
2001-01-18,7819.669
2001-01-19,7759.791
2001-01-22,7779.416
2001-01-23,7752.863
2001-01-24,7626.017
2001-01-25,7574.043
2001-01-26,7581.915
2001-01-29,7519.224
2001-01-30,7532.082
2001-01-31,7595.416
2001-02-01,7724.472
2001-02-02,7705.639
2001-02-05,7905.709
2001-02-06,7922.283
2001-02-07,7857.245
2001-02-08,7656.687
2001-02-09,7760.012
2001-02-12,7826.923
2001-02-13,7892.144
2001-02-14,7875.639
2001-02-15,7808.305
2001-02-16,7905.941
2001-02-19,7905.236
2001-02-20,7817.969
2001-02-21,7799.927
2001-02-22,7763.964
2001-02-23,7730.895
2001-02-26,7822.524
2001-02-27,7958.031
2001-02-28,8055.937
2001-03-01,8090.247
2001-03-02,8172.909
2001-03-05,8210.497
2001-03-06,8236.654
2001-03-07,8194.719
2001-03-08,8229.179
2001-03-09,8194.102
2001-03-12,8189.723
2001-03-13,7894.842
2001-03-14,7713.663
2001-03-15,7570.945
2001-03-16,7269.7
2001-03-19,7257.132
2001-03-20,7342.382
2001-03-21,7128.849
2001-03-22,6815.483
2001-03-23,6960.562
2001-03-26,7196.48
2001-03-27,7358.39
2001-03-28,7329.764
2001-03-29,7322.899
2001-03-30,7514.877
2001-04-02,7565.338
2001-04-03,7573.872
2001-04-04,7670.451
2001-04-05,7711.564
2001-04-06,7756.504
2001-04-09,7821.973
2001-04-10,7806.142
2001-04-11,7833.029
2001-04-12,7785.363
2001-04-13,7785.363
2001-04-16,7705.631
2001-04-17,7672.015
2001-04-18,7616.134
2001-04-19,7703.897
2001-04-20,7693.037
2001-04-23,7543.506
2001-04-24,7487.017
2001-04-25,7494.194
2001-04-26,7553.313
2001-04-27,7487.03
2001-04-30,7514.841
2001-05-01,7554.681
2001-05-02,7633.201
2001-05-03,7549.065
2001-05-04,7446.596
2001-05-07,7436.213
2001-05-08,7383.91
2001-05-09,7335.105
2001-05-10,7386.091
2001-05-11,7387.345
2001-05-14,7307.335
2001-05-15,7330.943
2001-05-16,7302.968
2001-05-17,7293.205
2001-05-18,7288.789
2001-05-21,7246.551
2001-05-22,7266.32
2001-05-23,7266.614
2001-05-24,7232.314
2001-05-25,7216.447
2001-05-28,7266.982
2001-05-29,7235.047
2001-05-30,7302.288
2001-05-31,7298.647
2001-06-01,7247.488
2001-06-04,7257.335
2001-06-05,7464.83
2001-06-06,7642.166
2001-06-07,7646.574
2001-06-08,7627.571
2001-06-11,7539.485
2001-06-12,7556.382
2001-06-13,7589.078
2001-06-14,7639.112
2001-06-15,7595.666
2001-06-18,7596.778
2001-06-19,7569.987
2001-06-20,7520.106
2001-06-21,7510.066
2001-06-22,7575.165
2001-06-25,7582.044
2001-06-26,7566.789
2001-06-27,7557.111
2001-06-28,7474.879
2001-06-29,7473.328
2001-07-02,7440.736
2001-07-03,7468.94
2001-07-04,7353.853
2001-07-05,7352.309
2001-07-06,7376.069
2001-07-09,7432.542
2001-07-10,7484.251
2001-07-11,7480.428
2001-07-12,7392.707
2001-07-13,7472.235
2001-07-16,7525.06
2001-07-17,7491.294
2001-07-18,7720.229
2001-07-19,7714.281
2001-07-20,7780.952
2001-07-23,7776.042
2001-07-24,7818.777
2001-07-25,7765.238
2001-07-26,7736.06
2001-07-27,7762.213
2001-07-30,7795.692
2001-07-31,7835.068
2001-08-01,7865.858
2001-08-02,7865.056
2001-08-03,7882.047
2001-08-06,7895.204
2001-08-07,7856.025
2001-08-08,7874.613
2001-08-09,7936.763
2001-08-10,8049.117
2001-08-13,8051.478
2001-08-14,8028.042
2001-08-15,8131.866
2001-08-16,8074.662
2001-08-17,8024.805
2001-08-20,7950.613
2001-08-21,7986.308
2001-08-22,8067.872
2001-08-23,8068.429
2001-08-24,8105.895
2001-08-27,8050.658
2001-08-28,7981.173
2001-08-29,7966.351
2001-08-30,7908.945
2001-08-31,7937.583
2001-09-03,7915.666
2001-09-04,7713.607
2001-09-05,7682.18
2001-09-06,7709.4
2001-09-07,7593.568
2001-09-10,7388.705
2001-09-11,7316.68
2001-09-12,7205.479
2001-09-13,7200.584
2001-09-14,7088.171
2001-09-17,7050.342
2001-09-18,7076.081
2001-09-19,7048.416
2001-09-20,6842.876
2001-09-21,6497.526
