Date,CANADA IMI IMI (Large+Mid+Small Cap)
1994-05-31,163.179
1994-06-30,152.889
1994-07-29,158.294
1994-08-31,165.8
1994-09-30,170.359
1994-10-31,167.425
1994-11-30,157.708
1994-12-30,159.535
1995-01-31,151.793
1995-02-28,158.368
1995-03-31,164.639
1995-04-28,168.478
1995-05-31,175.104
1995-06-30,177.552
1995-07-31,181.974
1995-08-31,181.99
1995-09-29,181.888
1995-10-31,179.071
1995-11-30,185.465
1995-12-29,187.854
1996-01-31,195.879
1996-02-29,196.105
1996-03-29,199.514
1996-04-30,207.641
1996-05-31,210.902
1996-06-28,204.247
1996-07-31,197.772
1996-08-30,207.678
1996-09-30,214.787
1996-10-31,230.486
1996-11-29,244.647
1996-12-31,238.69
1997-01-31,251.429
1997-02-28,251.217
1997-03-31,237.013
1997-04-30,239.91
1997-05-30,259.49
1997-06-30,264.378
1997-07-31,281.342
1997-08-29,270.419
1997-09-30,289.583
1997-10-31,276.072
1997-11-28,262.426
1997-12-31,268.752
1998-01-30,263.097
1998-02-27,286.203
1998-03-31,306.019
1998-04-30,307.379
1998-05-29,302.261
1998-06-30,291.427
1998-07-31,271.356
1998-08-31,211.781
1998-09-30,218.583
1998-10-30,237.827
1998-11-30,247.19
1998-12-31,253.972
1999-01-29,270.311
1999-02-26,256.148
1999-03-31,267.631
1999-04-30,294.215
1999-05-31,286.29
1999-06-30,293.614
1999-07-30,292.689
1999-08-31,289.474
1999-09-30,293.894
1999-10-29,306.358
1999-11-30,318.79
1999-12-31,360.662
2000-01-31,363.483
2000-02-29,393.813
2000-03-31,406.63
2000-04-28,392.668
2000-05-31,385.285
2000-06-30,423.283
2000-07-31,430.078
2000-08-31,467.387
2000-09-29,432.518
2000-10-31,400.81
2000-11-30,364.973
2000-12-29,383.115
2001-01-31,396.728
2001-02-28,344.362
2001-03-30,316.627
2001-04-30,338.06
2001-05-31,344.555
2001-06-29,335.572
2001-07-31,331.466
2001-08-31,315.381
2001-09-28,287.074
2001-10-31,287.177
2001-11-30,311.666
2001-12-31,319.382
2002-01-31,317.986
2002-02-28,316.12
2002-03-29,328.175
2002-04-30,327.32
2002-05-31,337.139
2002-06-28,317.45
2002-07-31,281.874
2002-08-30,286.775
2002-09-30,263.77
2002-10-31,271.783
2002-11-29,286.606
2002-12-31,286.548
2003-01-31,294.075
2003-02-28,302.785
2003-03-31,297.785
2003-04-30,316.725
2003-05-30,344.569
2003-06-30,355.371
2003-07-31,357.026
2003-08-29,376.316
2003-09-30,383.798
2003-10-31,412.899
2003-11-28,424.314
2003-12-31,447.784
2004-01-30,450.576
2004-02-27,461.962
2004-03-31,462.142
2004-04-30,423.495
2004-05-31,436.586
2004-06-30,452.665
2004-07-30,451.811
2004-08-31,452.302
2004-09-30,487.964
2004-10-29,518.089
2004-11-30,541.092
2004-12-31,550.851
2005-01-31,528.884
2005-02-28,563.097
2005-03-31,569.574
2005-04-29,535.608
2005-05-31,550.314
2005-06-30,582.713
2005-07-29,613.598
2005-08-31,648.663
2005-09-30,688.03
2005-10-31,639.371
2005-11-30,674.867
2005-12-30,705.656
2006-01-31,767.746
2006-02-28,755.038
2006-03-31,766.291
2006-04-28,805.547
2006-05-31,784.896
2006-06-30,768.616
2006-07-31,770.729
2006-08-31,804.111
2006-09-29,781.029
2006-10-31,818.741
2006-11-30,843.157
2006-12-29,838.305
2007-01-31,836.944
2007-02-28,845.077
2007-03-30,868.368
2007-04-30,921.679
2007-05-31,1000.0
2007-06-29,997.697
2007-07-31,992.964
2007-08-31,987.474
2007-09-28,1088.221
2007-10-31,1186.295
2007-11-30,1053.742
2007-12-31,1080.243
2008-01-31,1008.397
2008-02-29,1072.743
2008-03-31,1009.239
2008-04-30,1076.215
2008-05-30,1154.938
2008-06-30,1113.348
2008-07-31,1032.931
2008-08-29,1011.766
2008-09-30,859.261
2008-10-31,621.461
2008-11-28,583.913
2008-12-31,571.601
2009-01-30,553.9
2009-02-27,506.657
2009-03-31,552.1
2009-04-30,629.944
2009-05-29,763.45
2009-06-30,721.319
2009-07-31,808.001
2009-08-31,800.567
2009-09-30,862.865
2009-10-30,823.937
2009-11-30,885.819
2009-12-31,916.267
2010-01-29,851.969
2010-02-26,901.92
2010-03-31,976.729
2010-04-30,994.04
2010-05-31,923.117
2010-06-30,875.599
2010-07-30,939.236
2010-08-31,922.973
2010-09-30,998.552
2010-10-29,1033.675
2010-11-30,1048.911
2010-12-31,1131.71
2011-01-31,1133.522
2011-02-28,1214.795
2011-03-31,1214.425
2011-04-29,1232.137
2011-05-31,1192.632
2011-06-30,1154.252
2011-07-29,1138.152
2011-08-31,1093.146
2011-09-30,931.601
2011-10-31,1034.024
2011-11-30,1006.155
2011-12-30,983.893
2012-01-31,1045.601
2012-02-29,1082.747
2012-03-30,1046.397
2012-04-30,1049.546
2012-05-31,935.333
2012-06-29,957.682
2012-07-31,980.281
2012-08-31,1021.77
2012-09-28,1061.381
2012-10-31,1055.216
2012-11-30,1047.418
2012-12-31,1063.574
2013-01-31,1083.207
2013-02-28,1062.17
2013-03-29,1070.558
2013-04-30,1053.528
2013-05-31,1044.97
2013-06-28,985.711
2013-07-31,1044.984
2013-08-30,1034.768
2013-09-30,1075.11
2013-10-31,1108.833
2013-11-29,1096.364
2013-12-31,1115.387
2014-01-31,1070.441
2014-02-28,1121.681
2014-03-31,1137.089
2014-04-30,1171.642
