Date,CANADA LARGE GROWTH Large Cap
2001-01-01,588.199
2001-01-02,560.375
2001-01-03,600.816
2001-01-04,597.533
2001-01-05,570.813
2001-01-08,569.178
2001-01-09,560.208
2001-01-10,559.989
2001-01-11,586.169
2001-01-12,575.369
2001-01-15,576.501
2001-01-16,572.015
2001-01-17,589.544
2001-01-18,600.309
2001-01-19,635.239
2001-01-22,624.4
2001-01-23,640.316
2001-01-24,637.412
2001-01-25,617.565
2001-01-26,620.17
2001-01-29,642.064
2001-01-30,643.017
2001-01-31,636.957
2001-02-01,632.396
2001-02-02,615.532
2001-02-05,615.437
2001-02-06,611.218
2001-02-07,587.236
2001-02-08,581.313
2001-02-09,564.967
2001-02-12,563.629
2001-02-13,555.218
2001-02-14,554.253
2001-02-15,561.769
2001-02-16,477.501
2001-02-19,482.571
2001-02-20,461.736
2001-02-21,454.621
2001-02-22,463.31
2001-02-23,454.318
2001-02-26,461.288
2001-02-27,452.822
2001-02-28,456.362
2001-03-01,454.873
2001-03-02,441.224
2001-03-05,442.465
2001-03-06,460.632
2001-03-07,462.433
2001-03-08,451.693
2001-03-09,444.849
2001-03-12,429.128
2001-03-13,430.965
2001-03-14,416.77
2001-03-15,416.47
2001-03-16,415.067
2001-03-19,422.799
2001-03-20,411.579
2001-03-21,404.745
2001-03-22,420.417
2001-03-23,413.152
2001-03-26,413.159
2001-03-27,414.324
2001-03-28,385.748
2001-03-29,382.075
2001-03-30,394.558
2001-04-02,398.753
2001-04-03,380.805
2001-04-04,381.579
2001-04-05,389.958
2001-04-06,383.345
2001-04-09,386.002
2001-04-10,403.058
2001-04-11,400.241
2001-04-12,419.117
2001-04-13,419.117
2001-04-16,409.15
2001-04-17,411.948
2001-04-18,438.441
2001-04-19,447.102
2001-04-20,443.041
2001-04-23,427.992
2001-04-24,421.024
2001-04-25,426.704
2001-04-26,422.601
2001-04-27,422.972
2001-04-30,425.763
2001-05-01,426.553
2001-05-02,437.273
2001-05-03,429.44
2001-05-04,429.661
2001-05-07,430.973
2001-05-08,434.235
2001-05-09,429.583
2001-05-10,428.402
2001-05-11,417.674
2001-05-14,411.593
2001-05-15,414.359
2001-05-16,421.792
2001-05-17,428.709
2001-05-18,429.487
2001-05-21,429.961
2001-05-22,443.259
2001-05-23,436.573
2001-05-24,434.598
2001-05-25,430.815
