Date,CANADA LARGE GROWTH Large Cap
1994-05-31,253.156
1994-06-30,236.307
1994-07-29,247.403
1994-08-31,259.181
1994-09-30,269.001
1994-10-31,260.169
1994-11-30,243.448
1994-12-30,249.41
1995-01-31,235.18
1995-02-28,244.868
1995-03-31,260.319
1995-04-28,257.58
1995-05-31,270.114
1995-06-30,275.461
1995-07-31,280.553
1995-08-31,278.305
1995-09-29,277.64
1995-10-31,269.858
1995-11-30,289.258
1995-12-29,294.34
1996-01-31,311.731
1996-02-29,316.202
1996-03-29,318.003
1996-04-30,330.926
1996-05-31,336.667
1996-06-28,320.186
1996-07-31,301.166
1996-08-30,317.735
1996-09-30,323.082
1996-10-31,345.313
1996-11-29,361.27
1996-12-31,351.872
1997-01-31,372.161
1997-02-28,359.047
1997-03-31,332.318
1997-04-30,338.202
1997-05-30,370.425
1997-06-30,375.743
1997-07-31,406.538
1997-08-29,385.069
1997-09-30,409.211
1997-10-31,378.192
1997-11-28,355.588
1997-12-31,356.156
1998-01-30,349.547
1998-02-27,379.412
1998-03-31,414.828
1998-04-30,414.137
1998-05-29,412.411
1998-06-30,399.362
1998-07-31,379.553
1998-08-31,295.019
1998-09-30,283.943
1998-10-30,321.77
1998-11-30,342.557
1998-12-31,357.666
1999-01-29,394.541
1999-02-26,368.856
1999-03-31,381.279
1999-04-30,410.086
1999-05-31,414.497
1999-06-30,436.738
1999-07-30,430.214
1999-08-31,410.987
1999-09-30,445.609
1999-10-29,502.777
1999-11-30,559.2
1999-12-31,709.645
2000-01-31,706.295
2000-02-29,787.012
2000-03-31,855.17
2000-04-28,791.509
2000-05-31,747.468
2000-06-30,910.946
2000-07-31,964.075
2000-08-31,1060.887
2000-09-29,863.743
2000-10-31,713.646
2000-11-30,602.092
2000-12-29,588.199
2001-01-31,636.957
2001-02-28,456.362
2001-03-30,394.558
2001-04-30,425.763
2001-05-31,415.107
2001-06-29,403.744
2001-07-31,404.395
2001-08-31,374.017
2001-09-28,336.465
2001-10-31,337.748
2001-11-30,368.099
