Date,CANADA LARGE VALUE Large Cap
2001-01-01,347.621
2001-01-02,337.915
2001-01-03,343.817
2001-01-04,343.323
2001-01-05,339.876
2001-01-08,340.071
2001-01-09,336.474
2001-01-10,337.252
2001-01-11,339.357
2001-01-12,336.117
2001-01-15,337.554
2001-01-16,339.635
2001-01-17,335.203
2001-01-18,330.421
2001-01-19,332.358
2001-01-22,337.187
2001-01-23,342.008
2001-01-24,341.432
2001-01-25,344.221
2001-01-26,342.065
2001-01-29,345.224
2001-01-30,348.441
2001-01-31,348.267
2001-02-01,350.403
2001-02-02,354.909
2001-02-05,356.465
2001-02-06,355.104
2001-02-07,352.356
2001-02-08,350.096
2001-02-09,349.446
2001-02-12,348.064
2001-02-13,346.65
2001-02-14,344.051
2001-02-15,342.268
2001-02-16,340.404
2001-02-19,340.288
2001-02-20,335.905
2001-02-21,327.176
2001-02-22,328.584
2001-02-23,324.447
2001-02-26,333.09
2001-02-27,332.681
2001-02-28,332.197
2001-03-01,332.585
2001-03-02,328.802
2001-03-05,334.639
2001-03-06,333.969
2001-03-07,334.93
2001-03-08,334.096
2001-03-09,329.015
2001-03-12,321.613
2001-03-13,326.913
2001-03-14,321.357
2001-03-15,320.761
2001-03-16,312.482
2001-03-19,317.9
2001-03-20,314.311
2001-03-21,308.231
2001-03-22,302.949
2001-03-23,306.122
2001-03-26,313.741
2001-03-27,315.346
2001-03-28,311.132
2001-03-29,307.606
2001-03-30,313.094
2001-04-02,315.334
2001-04-03,309.792
2001-04-04,310.362
2001-04-05,313.159
2001-04-06,311.8
2001-04-09,316.13
2001-04-10,324.173
2001-04-11,319.223
2001-04-12,316.937
2001-04-13,316.937
2001-04-16,316.831
2001-04-17,318.605
2001-04-18,322.929
2001-04-19,326.559
2001-04-20,328.209
2001-04-23,324.329
2001-04-24,320.852
2001-04-25,323.946
2001-04-26,327.041
2001-04-27,328.192
2001-04-30,323.954
2001-05-01,325.009
2001-05-02,325.514
2001-05-03,324.46
2001-05-04,325.594
2001-05-07,325.989
2001-05-08,325.465
2001-05-09,329.098
2001-05-10,334.087
2001-05-11,329.303
2001-05-14,329.851
2001-05-15,332.244
2001-05-16,337.286
2001-05-17,340.758
2001-05-18,341.814
2001-05-21,342.204
2001-05-22,338.708
2001-05-23,338.15
2001-05-24,339.781
2001-05-25,338.534
2001-05-28,338.887
2001-05-29,337.501
2001-05-30,335.027
2001-05-31,337.056
2001-06-01,344.078
2001-06-04,347.613
2001-06-05,345.061
2001-06-06,344.503
2001-06-07,345.247
2001-06-08,343.791
2001-06-11,343.066
2001-06-12,340.741
2001-06-13,339.342
2001-06-14,334.417
2001-06-15,327.121
2001-06-18,319.445
2001-06-19,319.84
2001-06-20,319.457
2001-06-21,323.78
2001-06-22,326.371
2001-06-25,326.791
2001-06-26,321.696
2001-06-27,317.756
2001-06-28,319.235
2001-06-29,326.395
2001-07-02,326.89
2001-07-03,329.531
2001-07-04,328.108
2001-07-05,325.872
2001-07-06,320.095
2001-07-09,323.163
2001-07-10,320.294
2001-07-11,318.814
2001-07-12,323.772
2001-07-13,325.914
2001-07-16,318.05
2001-07-17,320.897
2001-07-18,319.569
2001-07-19,319.17
2001-07-20,318.646
2001-07-23,317.333
2001-07-24,317.06
2001-07-25,318.505
2001-07-26,317.807
2001-07-27,321.093
2001-07-30,319.626
2001-07-31,321.56
2001-08-01,321.594
2001-08-02,320.158
2001-08-03,320.46
2001-08-06,322.202
2001-08-07,324.8
2001-08-08,320.434
2001-08-09,322.499
2001-08-10,319.488
2001-08-13,320.078
2001-08-14,320.633
2001-08-15,318.06
2001-08-16,320.735
2001-08-17,315.886
2001-08-20,317.712
2001-08-21,314.106
2001-08-22,317.179
2001-08-23,317.61
2001-08-24,322.89
2001-08-27,325.09
2001-08-28,322.025
2001-08-29,315.669
2001-08-30,313.193
2001-08-31,310.845
2001-09-03,310.545
2001-09-04,313.834
2001-09-05,311.365
2001-09-06,312.132
2001-09-07,307.524
2001-09-10,308.062
2001-09-11,296.202
2001-09-12,298.672
2001-09-13,302.151
2001-09-14,292.144
2001-09-17,291.737
2001-09-18,288.897
2001-09-19,282.794
2001-09-20,276.274
2001-09-21,273.868
2001-09-24,282.501
2001-09-25,283.422
2001-09-26,282.711
2001-09-27,282.682
2001-09-28,287.987
2001-10-01,287.576
2001-10-02,291.299
2001-10-03,294.498
2001-10-04,290.977
2001-10-05,291.113
2001-10-08,291.514
2001-10-09,289.546
2001-10-10,291.492
2001-10-11,293.977
2001-10-12,292.737
2001-10-15,292.088
2001-10-16,293.564
2001-10-17,289.786
2001-10-18,285.643
2001-10-19,286.272
2001-10-22,284.852
2001-10-23,286.184
2001-10-24,284.509
2001-10-25,285.88
2001-10-26,289.119
2001-10-29,282.97
2001-10-30,281.034
2001-10-31,282.246
2001-11-01,286.385
2001-11-02,288.923
2001-11-05,291.952
2001-11-06,296.008
2001-11-07,294.966
2001-11-08,293.206
2001-11-09,296.362
2001-11-12,297.359
2001-11-13,303.274
2001-11-14,305.194
2001-11-15,303.396
2001-11-16,304.609
2001-11-19,309.644
2001-11-20,305.437
2001-11-21,300.908
2001-11-22,302.812
2001-11-23,305.761
2001-11-26,305.937
2001-11-27,307.179
2001-11-28,304.002
2001-11-29,306.784
2001-11-30,308.337
2001-12-03,304.281
2001-12-04,306.649
2001-12-05,313.995
2001-12-06,312.323
2001-12-07,313.496
2001-12-10,310.865
2001-12-11,309.553
2001-12-12,314.915
2001-12-13,312.332
2001-12-14,311.161
2001-12-17,317.519
2001-12-18,317.634
2001-12-19,314.267
2001-12-20,310.531
2001-12-21,310.253
2001-12-24,307.31
2001-12-25,307.31
2001-12-26,307.233
2001-12-27,311.641
2001-12-28,312.25
2001-12-31,311.682
2002-01-01,311.682
2002-01-02,309.506
2002-01-03,314.553
2002-01-04,316.736
2002-01-07,319.079
2002-01-08,314.754
2002-01-09,313.887
2002-01-10,311.417
2002-01-11,311.872
2002-01-14,308.294
2002-01-15,310.466
2002-01-16,307.891
2002-01-17,306.438
2002-01-18,304.262
2002-01-21,304.022
2002-01-22,306.048
2002-01-23,308.24
2002-01-24,310.058
2002-01-25,309.135
2002-01-28,308.46
2002-01-29,309.764
2002-01-30,309.008
2002-01-31,313.726
2002-02-01,313.652
2002-02-04,308.62
2002-02-05,304.485
2002-02-06,300.442
2002-02-07,301.144
2002-02-08,304.143
2002-02-11,308.286
2002-02-12,305.177
2002-02-13,304.68
2002-02-14,303.336
2002-02-15,302.43
2002-02-18,305.287
2002-02-19,302.493
2002-02-20,301.572
2002-02-21,300.232
2002-02-22,300.978
2002-02-25,304.461
2002-02-26,305.112
2002-02-27,307.828
2002-02-28,310.107
2002-03-01,315.538
2002-03-04,322.483
2002-03-05,319.937
2002-03-06,325.096
2002-03-07,325.856
2002-03-08,321.022
2002-03-11,320.843
2002-03-12,318.952
2002-03-13,319.25
2002-03-14,317.171
2002-03-15,320.046
2002-03-18,320.608
2002-03-19,322.973
2002-03-20,321.496
2002-03-21,317.965
2002-03-22,318.356
2002-03-25,312.756
2002-03-26,311.993
2002-03-27,313.884
2002-03-28,314.744
2002-03-29,314.744
2002-04-01,314.161
2002-04-02,315.261
2002-04-03,314.906
2002-04-04,312.312
2002-04-05,314.578
2002-04-08,310.662
2002-04-09,310.849
2002-04-10,315.196
2002-04-11,310.868
2002-04-12,313.503
2002-04-15,314.185
2002-04-16,318.112
2002-04-17,319.719
2002-04-18,318.141
2002-04-19,323.281
2002-04-22,319.407
2002-04-23,314.192
2002-04-24,316.765
2002-04-25,316.495
2002-04-26,314.477
2002-04-29,313.002
2002-04-30,316.454
2002-05-01,318.374
2002-05-02,318.532
2002-05-03,315.139
2002-05-06,309.918
2002-05-07,309.452
2002-05-08,314.705
2002-05-09,312.271
2002-05-10,313.601
2002-05-13,315.453
2002-05-14,318.164
2002-05-15,318.154
2002-05-16,319.409
2002-05-17,319.76
2002-05-20,320.123
2002-05-21,319.626
2002-05-22,317.072
2002-05-23,321.233
2002-05-24,319.936
2002-05-27,319.759
2002-05-28,321.073
2002-05-29,317.803
2002-05-30,318.454
2002-05-31,324.671
2002-06-03,320.854
2002-06-04,318.895
2002-06-05,315.761
2002-06-06,314.173
2002-06-07,314.64
2002-06-10,314.768
2002-06-11,309.772
2002-06-12,308.673
2002-06-13,304.608
2002-06-14,299.939
2002-06-17,305.819
2002-06-18,304.674
2002-06-19,302.627
2002-06-20,302.573
2002-06-21,299.227
2002-06-24,298.476
2002-06-25,298.456
2002-06-26,294.41
2002-06-27,301.474
2002-06-28,303.408
2002-07-01,303.907
2002-07-02,296.652
2002-07-03,296.794
2002-07-04,297.119
2002-07-05,302.373
2002-07-08,302.826
2002-07-09,300.363
2002-07-10,293.087
2002-07-11,290.644
2002-07-12,286.852
2002-07-15,281.185
2002-07-16,282.226
2002-07-17,281.632
2002-07-18,282.128
2002-07-19,273.386
2002-07-22,263.445
2002-07-23,252.193
2002-07-24,262.146
2002-07-25,259.503
2002-07-26,260.239
2002-07-29,269.197
2002-07-30,269.697
2002-07-31,273.573
2002-08-01,271.71
2002-08-02,270.339
2002-08-05,269.364
2002-08-06,270.369
2002-08-07,272.659
2002-08-08,276.652
2002-08-09,280.542
2002-08-12,276.441
2002-08-13,276.693
2002-08-14,279.395
