Date,CANADA LARGE VALUE Large Cap
1994-05-31,124.114
1994-06-30,116.463
1994-07-29,121.04
1994-08-31,129.933
1994-09-30,131.579
1994-10-31,131.717
1994-11-30,126.878
1994-12-30,127.074
1995-01-31,121.37
1995-02-28,127.461
1995-03-31,129.895
1995-04-28,135.081
1995-05-31,140.134
1995-06-30,141.298
1995-07-31,143.79
1995-08-31,145.721
1995-09-29,145.69
1995-10-31,146.323
1995-11-30,149.79
1995-12-29,150.96
1996-01-31,156.257
1996-02-29,152.159
1996-03-29,155.532
1996-04-30,161.918
1996-05-31,164.542
1996-06-28,163.64
1996-07-31,163.136
1996-08-30,168.756
1996-09-30,177.322
1996-10-31,193.156
1996-11-29,210.822
1996-12-31,203.083
1997-01-31,212.506
1997-02-28,215.11
1997-03-31,206.005
1997-04-30,210.727
1997-05-30,226.71
1997-06-30,232.12
1997-07-31,246.107
1997-08-29,232.513
1997-09-30,246.949
1997-10-31,243.867
1997-11-28,245.045
1997-12-31,257.514
1998-01-30,253.386
1998-02-27,276.732
1998-03-31,293.836
1998-04-30,296.718
1998-05-29,294.759
1998-06-30,284.72
1998-07-31,263.998
1998-08-31,206.504
1998-09-30,220.959
1998-10-30,240.428
1998-11-30,247.65
1998-12-31,250.766
1999-01-29,264.241
1999-02-26,250.914
1999-03-31,257.83
1999-04-30,281.991
1999-05-31,267.145
1999-06-30,267.318
1999-07-30,266.68
1999-08-31,265.45
1999-09-30,257.144
1999-10-29,263.988
1999-11-30,260.369
1999-12-31,260.778
2000-01-31,261.572
2000-02-29,259.593
2000-03-31,273.98
2000-04-28,276.951
2000-05-31,284.2
2000-06-30,295.592
2000-07-31,298.939
2000-08-31,317.028
2000-09-29,322.519
2000-10-31,328.912
2000-11-30,312.743
2000-12-29,347.621
2001-01-31,348.267
2001-02-28,332.197
2001-03-30,313.094
2001-04-30,323.954
2001-05-31,337.056
2001-06-29,326.395
2001-07-31,321.56
2001-08-31,310.845
2001-09-28,287.987
2001-10-31,282.246
2001-11-30,308.337
2001-12-31,311.682
2002-01-31,313.726
2002-02-28,310.107
2002-03-29,314.744
2002-04-30,316.454
2002-05-31,324.671
2002-06-28,303.408
2002-07-31,273.573
2002-08-30,282.86
2002-09-30,258.652
2002-10-31,269.754
2002-11-29,290.701
2002-12-31,291.353
2003-01-31,297.882
2003-02-28,311.085
2003-03-31,306.576
2003-04-30,329.053
2003-05-30,353.413
2003-06-30,368.794
2003-07-31,370.617
2003-08-29,385.815
2003-09-30,395.786
2003-10-31,432.013
2003-11-28,437.118
2003-12-31,452.619
2004-01-30,456.243
2004-02-27,461.627
2004-03-31,473.817
2004-04-30,446.613
2004-05-31,449.81
2004-06-30,460.982
2004-07-30,475.404
2004-08-31,476.584
2004-09-30,509.431
2004-10-29,549.2
2004-11-30,562.914
2004-12-31,580.939
2005-01-31,547.359
2005-02-28,577.269
2005-03-31,588.384
2005-04-29,566.558
2005-05-31,570.672
2005-06-30,605.809
2005-07-29,636.208
2005-08-31,661.686
2005-09-30,711.807
2005-10-31,666.686
2005-11-30,709.166
2005-12-30,727.902
2006-01-31,768.177
2006-02-28,780.625
2006-03-31,780.192
2006-04-28,800.424
2006-05-31,787.694
2006-06-30,766.455
2006-07-31,769.938
2006-08-31,814.362
2006-09-29,818.473
2006-10-31,838.909
2006-11-30,852.74
2006-12-29,859.394
2007-01-31,844.609
2007-02-28,846.573
2007-03-30,871.801
2007-04-30,921.554
2007-05-31,1000.0
2007-06-29,985.16
2007-07-31,975.465
2007-08-31,991.549
2007-09-28,1072.173
2007-10-31,1139.919
2007-11-30,1032.924
2007-12-31,1018.038
2008-01-31,960.456
2008-02-29,976.136
2008-03-31,922.324
2008-04-30,967.165
2008-05-30,1010.756
2008-06-30,931.131
2008-07-31,920.993
2008-08-29,903.752
2008-09-30,851.995
2008-10-31,633.097
2008-11-28,576.328
2008-12-31,529.392
2009-01-30,488.679
2009-02-27,453.688
2009-03-31,508.499
2009-04-30,598.227
2009-05-29,713.867
2009-06-30,696.173
2009-07-31,808.626
2009-08-31,810.682
2009-09-30,853.782
