Date,CANADA MID VALUE Mid Cap
1994-05-31,146.418
1994-06-30,138.479
1994-07-29,142.83
1994-08-31,149.355
1994-09-30,155.177
1994-10-31,153.17
1994-11-30,144.265
1994-12-30,146.018
1995-01-31,140.862
1995-02-28,146.959
1995-03-31,153.202
1995-04-28,154.542
1995-05-31,158.825
1995-06-30,158.999
1995-07-31,166.599
1995-08-31,163.73
1995-09-29,161.81
1995-10-31,158.229
1995-11-30,158.623
1995-12-29,160.275
1996-01-31,164.448
1996-02-29,163.295
1996-03-29,169.321
1996-04-30,177.292
1996-05-31,176.155
1996-06-28,175.017
1996-07-31,171.334
1996-08-30,179.501
1996-09-30,184.237
1996-10-31,202.424
1996-11-29,217.062
1996-12-31,211.568
1997-01-31,218.25
1997-02-28,226.624
1997-03-31,218.025
1997-04-30,223.857
1997-05-30,239.328
1997-06-30,247.245
1997-07-31,266.115
1997-08-29,261.215
1997-09-30,278.048
1997-10-31,266.45
1997-11-28,255.892
1997-12-31,261.215
1998-01-30,266.533
1998-02-27,289.536
1998-03-31,307.492
1998-04-30,305.113
1998-05-29,296.617
1998-06-30,285.967
1998-07-31,256.594
1998-08-31,205.815
1998-09-30,218.803
1998-10-30,226.19
1998-11-30,225.725
1998-12-31,221.225
1999-01-29,224.39
1999-02-26,213.897
1999-03-31,225.203
1999-04-30,259.388
1999-05-31,245.566
1999-06-30,261.664
1999-07-30,259.114
1999-08-31,265.63
1999-09-30,265.151
1999-10-29,259.734
1999-11-30,247.901
1999-12-31,269.01
2000-01-31,256.272
2000-02-29,249.967
2000-03-31,248.7
2000-04-28,258.264
2000-05-31,262.645
2000-06-30,267.022
2000-07-31,263.538
2000-08-31,282.818
2000-09-29,277.24
2000-10-31,270.664
2000-11-30,271.574
2000-12-29,297.99
2001-01-31,292.712
2001-02-28,297.842
2001-03-30,284.98
2001-04-30,302.64
2001-05-31,318.214
2001-06-29,321.418
2001-07-31,319.867
2001-08-31,321.419
2001-09-28,290.824
2001-10-31,283.622
2001-11-30,303.642
2001-12-31,310.888
2002-01-31,314.069
2002-02-28,321.456
2002-03-29,338.514
2002-04-30,345.488
2002-05-31,364.93
2002-06-28,347.442
2002-07-31,305.805
2002-08-30,316.537
2002-09-30,298.298
2002-10-31,301.916
2002-11-29,317.849
2002-12-31,326.548
2003-01-31,334.274
2003-02-28,337.504
2003-03-31,328.372
2003-04-30,353.764
2003-05-30,371.397
2003-06-30,377.289
2003-07-31,382.421
2003-08-29,407.535
2003-09-30,404.349
2003-10-31,431.956
2003-11-28,443.778
2003-12-31,485.308
2004-01-30,456.496
2004-02-27,460.599
2004-03-31,462.325
2004-04-30,435.031
2004-05-31,454.586
2004-06-30,471.465
2004-07-30,474.159
2004-08-31,481.144
2004-09-30,513.073
2004-10-29,527.247
2004-11-30,584.623
2004-12-31,592.011
2005-01-31,563.038
2005-02-28,579.643
2005-03-31,583.747
2005-04-29,543.729
2005-05-31,536.016
2005-06-30,570.706
2005-07-29,607.076
2005-08-31,632.993
2005-09-30,667.715
2005-10-31,629.733
2005-11-30,675.519
2005-12-30,698.14
2006-01-31,743.208
2006-02-28,738.699
2006-03-31,755.131
2006-04-28,820.316
2006-05-31,817.249
2006-06-30,798.896
2006-07-31,793.435
2006-08-31,796.91
2006-09-29,769.912
2006-10-31,818.069
2006-11-30,802.562
2006-12-29,801.876
2007-01-31,807.775
2007-02-28,823.178
2007-03-30,847.146
2007-04-30,911.442
2007-05-31,1000.0
2007-06-29,1008.291
2007-07-31,987.704
2007-08-31,967.223
