Date,CANADA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.339
2001-01-03,98.427
2001-01-04,97.28
2001-01-05,97.456
2001-01-08,97.623
2001-01-09,98.408
2001-01-10,98.373
2001-01-11,99.961
2001-01-12,98.874
2001-01-15,99.605
2001-01-16,99.704
2001-01-17,99.301
2001-01-18,98.254
2001-01-19,99.411
2001-01-22,100.262
2001-01-23,100.199
2001-01-24,99.991
2001-01-25,100.57
2001-01-26,101.121
2001-01-29,102.154
2001-01-30,102.729
2001-01-31,102.213
2001-02-01,102.93
2001-02-02,103.469
2001-02-05,103.745
2001-02-06,103.332
2001-02-07,102.217
2001-02-08,102.306
2001-02-09,102.223
2001-02-12,101.946
2001-02-13,101.929
2001-02-14,101.311
2001-02-15,101.066
2001-02-16,100.53
2001-02-19,101.494
2001-02-20,99.857
2001-02-21,97.333
2001-02-22,97.685
2001-02-23,96.862
2001-02-26,98.081
2001-02-27,98.407
2001-02-28,97.479
2001-03-01,96.409
2001-03-02,96.343
2001-03-05,97.342
2001-03-06,98.872
2001-03-07,99.489
2001-03-08,100.71
2001-03-09,101.01
2001-03-12,99.972
2001-03-13,100.011
2001-03-14,98.772
2001-03-15,98.592
2001-03-16,97.251
2001-03-19,99.587
2001-03-20,98.804
2001-03-21,97.173
2001-03-22,95.471
2001-03-23,96.207
2001-03-26,97.512
2001-03-27,97.084
2001-03-28,96.118
2001-03-29,96.263
2001-03-30,97.907
2001-04-02,98.477
2001-04-03,97.578
2001-04-04,98.652
2001-04-05,98.372
2001-04-06,98.983
2001-04-09,99.441
2001-04-10,101.105
2001-04-11,101.796
2001-04-12,102.465
2001-04-13,102.465
2001-04-16,102.481
2001-04-17,102.787
2001-04-18,103.119
2001-04-19,104.222
2001-04-20,105.073
2001-04-23,104.309
2001-04-24,105.007
2001-04-25,105.91
2001-04-26,106.143
2001-04-27,107.1
2001-04-30,107.927
2001-05-01,108.774
2001-05-02,109.168
2001-05-03,109.213
2001-05-04,108.936
2001-05-07,108.931
2001-05-08,108.915
2001-05-09,109.723
2001-05-10,110.822
2001-05-11,110.193
2001-05-14,109.485
2001-05-15,110.008
2001-05-16,111.181
2001-05-17,112.724
2001-05-18,113.511
2001-05-21,113.659
2001-05-22,115.042
2001-05-23,114.396
2001-05-24,114.737
2001-05-25,114.155
2001-05-28,113.693
2001-05-29,113.846
2001-05-30,112.015
2001-05-31,112.689
2001-06-01,114.726
2001-06-04,114.907
2001-06-05,114.959
2001-06-06,114.966
2001-06-07,115.173
2001-06-08,114.964
2001-06-11,115.355
2001-06-12,115.254
2001-06-13,116.032
2001-06-14,115.017
2001-06-15,114.783
2001-06-18,113.545
2001-06-19,112.635
2001-06-20,111.904
2001-06-21,110.784
2001-06-22,109.995
2001-06-25,110.531
2001-06-26,110.628
2001-06-27,109.101
2001-06-28,109.751
2001-06-29,111.069
2001-07-02,111.238
2001-07-03,112.273
2001-07-04,111.799
2001-07-05,112.773
2001-07-06,112.217
2001-07-09,111.386
2001-07-10,111.628
2001-07-11,111.316
2001-07-12,111.599
2001-07-13,111.883
2001-07-16,110.985
2001-07-17,111.148
2001-07-18,112.065
2001-07-19,112.192
2001-07-20,111.636
2001-07-23,109.759
2001-07-24,109.46
2001-07-25,108.351
2001-07-26,107.834
2001-07-27,107.681
2001-07-30,107.693
2001-07-31,108.045
2001-08-01,108.179
2001-08-02,108.381
2001-08-03,109.39
2001-08-06,109.984
2001-08-07,109.652
2001-08-08,109.516
2001-08-09,109.359
2001-08-10,108.875
2001-08-13,109.216
2001-08-14,107.755
2001-08-15,109.047
2001-08-16,109.413
2001-08-17,108.326
2001-08-20,108.621
2001-08-21,109.255
2001-08-22,109.995
2001-08-23,110.278
2001-08-24,110.511
2001-08-27,110.2
2001-08-28,109.27
2001-08-29,108.614
2001-08-30,107.18
2001-08-31,107.065
2001-09-03,106.962
2001-09-04,107.278
2001-09-05,108.49
2001-09-06,108.203
2001-09-07,107.753
2001-09-10,106.517
2001-09-11,101.534
2001-09-12,102.381
2001-09-13,103.726
2001-09-14,100.891
2001-09-17,102.898
2001-09-18,103.41
2001-09-19,101.23
2001-09-20,97.839
2001-09-21,97.904
2001-09-24,97.841
2001-09-25,98.157
2001-09-26,98.001
2001-09-27,96.932
2001-09-28,98.814
2001-10-01,98.39
2001-10-02,98.659
2001-10-03,98.915
2001-10-04,100.512
2001-10-05,100.65
2001-10-08,100.789
2001-10-09,102.843
2001-10-10,102.908
2001-10-11,104.713
2001-10-12,104.122
2001-10-15,103.46
2001-10-16,104.313
