Date,CANADA SMALL VALUE Small Cap
1998-05-29,292.394
1998-06-30,273.42
1998-07-31,250.462
1998-08-31,196.453
1998-09-30,208.194
1998-10-30,211.298
1998-11-30,213.193
1998-12-31,219.923
1999-01-29,217.798
1999-02-26,208.139
1999-03-31,215.985
1999-04-30,240.856
1999-05-31,234.272
1999-06-30,239.289
1999-07-30,240.059
1999-08-31,242.65
1999-09-30,246.237
1999-10-29,234.342
1999-11-30,229.758
1999-12-31,249.573
2000-01-31,242.549
2000-02-29,256.904
2000-03-31,248.354
2000-04-28,250.045
2000-05-31,250.639
2000-06-30,259.06
2000-07-31,250.789
2000-08-31,272.214
2000-09-29,268.138
2000-10-31,255.873
2000-11-30,244.872
2000-12-29,264.176
2001-01-31,267.045
2001-02-28,261.344
2001-03-30,257.798
2001-04-30,279.12
2001-05-31,290.029
2001-06-29,283.417
2001-07-31,283.461
2001-08-31,275.403
2001-09-28,245.957
2001-10-31,243.619
2001-11-30,259.122
2001-12-31,273.615
2002-01-31,282.588
2002-02-28,290.593
2002-03-29,308.941
2002-04-30,314.985
2002-05-31,335.773
2002-06-28,318.062
2002-07-31,279.265
2002-08-30,280.936
2002-09-30,262.463
2002-10-31,271.387
2002-11-29,282.187
2002-12-31,282.29
2003-01-31,286.667
2003-02-28,286.697
2003-03-31,276.13
2003-04-30,301.062
2003-05-30,330.403
2003-06-30,350.52
2003-07-31,360.3
2003-08-29,382.977
2003-09-30,389.88
2003-10-31,421.104
2003-11-28,436.741
2003-12-31,463.468
2004-01-30,458.248
2004-02-27,465.77
2004-03-31,466.32
2004-04-30,432.243
2004-05-31,441.856
2004-06-30,459.926
2004-07-30,452.382
2004-08-31,447.87
2004-09-30,480.108
2004-10-29,495.396
2004-11-30,534.368
2004-12-31,557.086
2005-01-31,539.6
2005-02-28,578.261
2005-03-31,575.545
2005-04-29,537.539
2005-05-31,558.604
2005-06-30,573.211
2005-07-29,597.92
2005-08-31,628.141
2005-09-30,662.1
