Date,CANADA SMID GROWTH SMID (Small+Mid Cap)
1998-05-29,234.716
1998-06-30,226.69
1998-07-31,209.851
1998-08-31,162.251
1998-09-30,172.733
1998-10-30,183.965
1998-11-30,191.765
1998-12-31,200.858
1999-01-29,214.52
1999-02-26,206.267
1999-03-31,225.77
1999-04-30,253.196
1999-05-31,245.703
1999-06-30,245.78
1999-07-30,249.866
1999-08-31,250.623
1999-09-30,249.701
1999-10-29,248.538
1999-11-30,265.058
1999-12-31,306.332
2000-01-31,332.415
2000-02-29,404.099
2000-03-31,370.864
2000-04-28,350.137
2000-05-31,338.575
2000-06-30,357.115
2000-07-31,345.07
2000-08-31,384.798
2000-09-29,373.815
2000-10-31,340.187
2000-11-30,292.385
2000-12-29,308.26
2001-01-31,325.323
2001-02-28,287.122
2001-03-30,261.321
2001-04-30,292.455
2001-05-31,297.197
2001-06-29,287.283
2001-07-31,274.93
2001-08-31,256.279
2001-09-28,233.051
2001-10-31,247.307
2001-11-30,267.405
2001-12-31,282.73
2002-01-31,283.446
2002-02-28,280.344
2002-03-29,295.051
2002-04-30,292.457
2002-05-31,305.76
2002-06-28,283.783
2002-07-31,249.175
2002-08-30,255.932
2002-09-30,237.966
2002-10-31,245.301
2002-11-29,256.501
2002-12-31,256.802
2003-01-31,261.374
2003-02-28,260.257
2003-03-31,255.472
2003-04-30,269.084
2003-05-30,299.162
2003-06-30,308.973
2003-07-31,316.374
2003-08-29,337.33
2003-09-30,347.162
2003-10-31,377.573
2003-11-28,391.8
2003-12-31,413.13
2004-01-30,408.893
2004-02-27,423.562
2004-03-31,430.657
2004-04-30,396.131
2004-05-31,422.914
2004-06-30,432.666
2004-07-30,416.345
2004-08-31,414.84
2004-09-30,454.001
2004-10-29,476.86
2004-11-30,512.015
2004-12-31,516.88
2005-01-31,502.933
2005-02-28,548.527
2005-03-31,541.07
2005-04-29,492.793
2005-05-31,507.957
2005-06-30,527.166
2005-07-29,562.159
2005-08-31,587.221
2005-09-30,635.36
2005-10-31,587.318
2005-11-30,622.04
2005-12-30,670.729
2006-01-31,760.07
2006-02-28,734.87
2006-03-31,760.096
2006-04-28,819.586
2006-05-31,787.399
2006-06-30,759.842
2006-07-31,764.209
2006-08-31,801.337
2006-09-29,748.054
2006-10-31,794.267
2006-11-30,831.82
2006-12-29,827.058
2007-01-31,838.994
2007-02-28,852.413
2007-03-30,881.957
2007-04-30,933.626
2007-05-31,1000.0
2007-06-29,994.847
2007-07-31,995.988
2007-08-31,955.9
2007-09-28,1080.183
2007-10-31,1206.317
2007-11-30,1034.785
2007-12-31,1079.058
2008-01-31,979.897
2008-02-29,1078.455
2008-03-31,980.182
2008-04-30,1011.99
2008-05-30,1072.735
2008-06-30,1069.467
2008-07-31,946.419
2008-08-29,903.203
2008-09-30,685.815
2008-10-31,449.596
2008-11-28,416.638
2008-12-31,442.946
2009-01-30,435.469
2009-02-27,411.524
2009-03-31,446.237
2009-04-30,509.484
2009-05-29,611.803
2009-06-30,580.485
2009-07-31,641.471
2009-08-31,661.741
2009-09-30,733.513
2009-10-30,722.595
2009-11-30,806.047
2009-12-31,841.613
2010-01-29,786.796
2010-02-26,840.396
2010-03-31,897.742
2010-04-30,940.433
2010-05-31,865.163
2010-06-30,837.26
2010-07-30,893.933
2010-08-31,920.407
2010-09-30,1011.619
2010-10-29,1074.906
2010-11-30,1111.897
2010-12-31,1213.103
2011-01-31,1194.736
2011-02-28,1278.551
2011-03-31,1283.712
2011-04-29,1320.066
2011-05-31,1277.407
2011-06-30,1214.923
2011-07-29,1244.431
2011-08-31,1190.76
2011-09-30,974.941
2011-10-31,1115.06
2011-11-30,1076.604
2011-12-30,1018.731
2012-01-31,1103.533
2012-02-29,1129.944
2012-03-30,1054.138
2012-04-30,1063.923
2012-05-31,947.173
2012-06-29,954.622
2012-07-31,976.47
2012-08-31,1024.784
2012-09-28,1085.596
2012-10-31,1080.161
2012-11-30,1045.495
2012-12-31,1053.933
2013-01-31,1048.863
2013-02-28,1011.92
2013-03-29,1032.231
2013-04-30,1006.121
2013-05-31,980.958
2013-06-28,917.09
2013-07-31,981.509
2013-08-30,968.678
2013-09-30,1003.191
2013-10-31,1024.25
2013-11-29,997.782
2013-12-31,1019.345
2014-01-31,988.046
2014-02-28,1046.656
2014-03-31,1058.894
2014-04-30,1098.157
2014-05-30,1095.657
2014-06-30,1179.697
2014-07-31,1145.679
2014-08-29,1192.046
2014-09-30,1092.647
2014-10-31,1037.495
2014-11-28,1022.172
2014-12-31,1014.586
2015-01-30,935.642
2015-02-27,998.156
2015-03-31,961.089
2015-04-30,1037.268
2015-05-29,1002.448
2015-06-30,980.061
2015-07-31,920.396
2015-08-31,873.58
2015-09-30,837.164
2015-10-30,882.806
2015-11-30,875.87
2015-12-31,823.363
2016-01-29,790.14
2016-02-29,846.488
2016-03-31,932.091
2016-04-29,1003.198
2016-05-31,984.381
2016-06-30,1015.156
2016-07-29,1063.948
2016-08-31,1044.716
2016-09-30,1054.205
2016-10-31,1023.702
2016-11-30,1017.267
2016-12-30,1012.741
2017-01-31,1056.13
2017-02-28,1037.532
2017-03-31,1057.159
2017-04-28,1048.18
2017-05-31,1049.364
2017-06-30,1071.22
2017-07-31,1099.79
2017-08-31,1115.789
2017-09-29,1136.01
2017-10-31,1132.836
2017-11-30,1140.051
2017-12-29,1198.969
2018-01-31,1221.655
2018-02-28,1146.864
2018-03-30,1146.723
2018-04-30,1175.44
2018-05-31,1208.761
2018-06-29,1212.329
2018-07-31,1198.115
2018-08-31,1174.869
2018-09-28,1173.583
2018-10-31,1051.623
2018-11-30,1024.081
2018-12-31,974.245
2019-01-31,1101.672
2019-02-28,1145.609
2019-03-29,1145.157
2019-04-30,1150.168
2019-05-31,1125.133
2019-06-28,1230.917
2019-07-31,1245.575
2019-08-30,1243.428
2019-09-30,1214.484
2019-10-31,1226.154
2019-11-29,1257.893
2019-12-31,1299.97
2020-01-31,1274.949
2020-02-28,1151.118
2020-03-31,890.976
2020-04-30,1103.232
2020-05-29,1160.249
2020-06-30,1203.504
2020-07-31,1322.335
2020-08-31,1372.084
2020-09-30,1325.587
2020-10-30,1296.863
2020-11-30,1437.521
2020-12-31,1520.596
2021-01-29,1510.034
2021-02-26,1553.372
2021-03-31,1595.135
2021-04-30,1674.063
2021-05-31,1717.173
2021-06-30,1693.923
2021-07-30,1700.725
2021-08-31,1731.202
2021-09-30,1647.951
2021-10-29,1755.882
2021-11-30,1637.095
2021-12-31,1682.747
2022-01-31,1604.412
2022-02-28,1616.46
2022-03-31,1719.621
2022-04-29,1545.422
2022-05-31,1519.719
2022-06-30,1352.245
2022-07-29,1469.044
2022-08-31,1414.597
2022-09-30,1286.973
2022-10-31,1354.199
2022-11-30,1434.054
2022-12-30,1364.941
2023-01-31,1471.322
2023-02-28,1424.783
2023-03-31,1452.457
2023-04-28,1459.366
2023-05-31,1391.443
2023-06-30,1491.465
2023-07-31,1552.13
2023-08-31,1502.452
2023-09-29,1456.372
2023-10-31,1354.109
2023-11-30,1457.567
2023-12-29,1520.752
2024-01-31,1514.76
2024-02-29,1542.979
2024-03-29,1625.057
2024-04-30,1599.591
2024-05-31,1675.39
2024-06-28,1663.289
2024-07-31,1720.063
2024-08-30,1738.016
2024-09-30,1795.59
2024-10-31,1806.833
2024-11-29,1910.832
2024-12-31,1800.878
2025-01-31,1808.585
2025-02-28,1790.753
2025-03-31,1755.186
2025-04-30,1826.99
2025-05-30,1995.871
2025-06-30,2145.198
2025-07-31,2170.567
2025-08-29,2298.759
2025-09-30,2455.226
2025-10-31,2498.492
2025-11-28,2608.434
