Date,CANADA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,311.346
2001-01-02,305.679
2001-01-03,310.373
2001-01-04,306.516
2001-01-05,301.823
2001-01-08,303.303
2001-01-09,303.579
2001-01-10,303.97
2001-01-11,312.425
2001-01-12,314.779
2001-01-15,316.565
2001-01-16,317.153
2001-01-17,318.147
2001-01-18,317.985
2001-01-19,322.311
2001-01-22,322.287
2001-01-23,324.388
2001-01-24,324.354
2001-01-25,322.059
2001-01-26,320.858
2001-01-29,323.645
2001-01-30,327.432
2001-01-31,328.622
2001-02-01,331.92
2001-02-02,329.077
2001-02-05,327.535
2001-02-06,327.408
2001-02-07,322.65
2001-02-08,325.396
2001-02-09,323.129
2001-02-12,322.654
2001-02-13,321.799
2001-02-14,318.19
2001-02-15,318.857
2001-02-16,309.119
2001-02-19,309.956
2001-02-20,303.527
2001-02-21,293.359
2001-02-22,292.351
2001-02-23,291.489
2001-02-26,296.022
2001-02-27,293.817
2001-02-28,289.981
2001-03-01,286.145
2001-03-02,284.905
2001-03-05,283.931
2001-03-06,289.434
2001-03-07,292.719
2001-03-08,290.935
2001-03-09,289.142
2001-03-12,280.763
2001-03-13,279.167
2001-03-14,275.79
2001-03-15,274.261
2001-03-16,266.757
2001-03-19,272.324
2001-03-20,269.041
2001-03-21,262.69
2001-03-22,257.298
2001-03-23,261.709
2001-03-26,267.468
2001-03-27,269.649
2001-03-28,263.216
2001-03-29,260.387
2001-03-30,263.864
2001-04-02,261.596
2001-04-03,251.625
2001-04-04,253.125
2001-04-05,259.215
2001-04-06,259.339
2001-04-09,261.797
2001-04-10,270.754
2001-04-11,271.129
2001-04-12,274.738
2001-04-13,274.738
2001-04-16,274.101
2001-04-17,278.683
2001-04-18,286.56
2001-04-19,292.429
2001-04-20,291.006
2001-04-23,285.496
2001-04-24,283.945
2001-04-25,287.616
2001-04-26,289.699
2001-04-27,291.787
2001-04-30,295.293
2001-05-01,295.422
2001-05-02,298.885
2001-05-03,298.031
2001-05-04,299.933
2001-05-07,300.382
2001-05-08,299.675
2001-05-09,299.495
2001-05-10,301.186
2001-05-11,297.402
2001-05-14,295.949
2001-05-15,296.907
2001-05-16,301.473
2001-05-17,304.629
2001-05-18,306.263
2001-05-21,306.667
2001-05-22,311.563
2001-05-23,308.455
2001-05-24,307.459
2001-05-25,305.729
2001-05-28,306.315
2001-05-29,305.757
2001-05-30,298.997
2001-05-31,300.01
2001-06-01,305.678
2001-06-04,306.21
2001-06-05,306.154
2001-06-06,303.916
2001-06-07,304.413
2001-06-08,300.865
2001-06-11,300.18
2001-06-12,300.704
2001-06-13,300.103
2001-06-14,296.654
2001-06-15,292.545
2001-06-18,288.055
2001-06-19,287.041
2001-06-20,287.474
2001-06-21,287.569
2001-06-22,285.905
2001-06-25,285.667
2001-06-26,285.077
2001-06-27,281.691
2001-06-28,283.884
2001-06-29,289.942
2001-07-02,290.356
2001-07-03,290.938
2001-07-04,289.97
2001-07-05,288.906
2001-07-06,284.503
2001-07-09,281.672
2001-07-10,279.077
2001-07-11,276.614
2001-07-12,280.013
2001-07-13,280.56
2001-07-16,277.968
2001-07-17,279.2
2001-07-18,276.813
2001-07-19,276.972
2001-07-20,276.942
2001-07-23,274.691
2001-07-24,274.869
2001-07-25,275.907
2001-07-26,275.001
2001-07-27,276.052
2001-07-30,276.177
2001-07-31,277.462
2001-08-01,278.897
2001-08-02,280.545
2001-08-03,280.135
2001-08-06,281.528
2001-08-07,278.357
2001-08-08,276.157
2001-08-09,276.065
2001-08-10,274.26
2001-08-13,273.602
2001-08-14,272.981
2001-08-15,272.84
2001-08-16,271.89
2001-08-17,267.777
2001-08-20,267.022
2001-08-21,266.025
2001-08-22,266.642
2001-08-23,266.386
2001-08-24,269.165
2001-08-27,268.103
2001-08-28,265.387
2001-08-29,262.847
2001-08-30,258.826
2001-08-31,258.607
2001-09-03,258.383
2001-09-04,261.428
2001-09-05,259.881
2001-09-06,257.582
2001-09-07,255.815
2001-09-10,253.79
2001-09-11,241.958
2001-09-12,244.125
2001-09-13,243.702
2001-09-14,234.778
2001-09-17,238.702
2001-09-18,236.797
2001-09-19,230.918
2001-09-20,225.984
2001-09-21,226.283
2001-09-24,231.182
2001-09-25,230.006
2001-09-26,229.193
2001-09-27,230.067
2001-09-28,235.094
2001-10-01,233.962
2001-10-02,234.572
2001-10-03,237.468
2001-10-04,240.41
2001-10-05,240.92
2001-10-08,241.302
2001-10-09,242.98
2001-10-10,243.834
2001-10-11,248.251
2001-10-12,248.315
2001-10-15,247.41
2001-10-16,250.972
2001-10-17,249.45
2001-10-18,246.661
2001-10-19,247.55
2001-10-22,247.704
2001-10-23,249.725
2001-10-24,250.517
2001-10-25,253.279
2001-10-26,254.188
2001-10-29,250.873
2001-10-30,247.68
2001-10-31,249.455
2001-11-01,251.81
2001-11-02,250.795
2001-11-05,252.841
2001-11-06,253.227
2001-11-07,255.92
2001-11-08,254.651
2001-11-09,254.829
2001-11-12,256.008
2001-11-13,257.956
2001-11-14,259.183
2001-11-15,257.488
2001-11-16,259.74
2001-11-19,264.595
2001-11-20,261.552
2001-11-21,259.879
2001-11-22,261.61
2001-11-23,262.957
2001-11-26,264.298
2001-11-27,265.146
2001-11-28,263.335
2001-11-29,266.824
2001-11-30,269.688
2001-12-03,268.279
2001-12-04,271.079
2001-12-05,278.666
2001-12-06,277.874
2001-12-07,279.872
2001-12-10,278.089
2001-12-11,278.139
2001-12-12,281.802
2001-12-13,277.708
2001-12-14,277.41
2001-12-17,280.399
2001-12-18,279.794
2001-12-19,276.557
2001-12-20,275.996
2001-12-21,278.814
2001-12-24,277.553
2001-12-25,277.553
2001-12-26,277.469
2001-12-27,282.515
2001-12-28,284.203
2001-12-31,285.075
2002-01-01,285.075
2002-01-02,283.768
2002-01-03,287.792
2002-01-04,290.12
2002-01-07,290.502
2002-01-08,290.501
2002-01-09,291.846
2002-01-10,289.837
2002-01-11,289.071
2002-01-14,285.25
2002-01-15,287.638
2002-01-16,285.981
2002-01-17,284.661
2002-01-18,282.57
2002-01-21,281.327
2002-01-22,281.114
2002-01-23,281.499
2002-01-24,285.059
2002-01-25,282.412
2002-01-28,281.721
2002-01-29,284.978
2002-01-30,283.763
2002-01-31,285.786
2002-02-01,289.354
2002-02-04,285.377
2002-02-05,282.225
2002-02-06,279.076
2002-02-07,277.723
2002-02-08,280.364
2002-02-11,283.647
2002-02-12,282.447
2002-02-13,284.629
2002-02-14,284.9
2002-02-15,282.975
2002-02-18,283.688
2002-02-19,283.069
2002-02-20,279.692
2002-02-21,278.49
2002-02-22,277.745
2002-02-25,279.509
2002-02-26,279.549
2002-02-27,280.986
2002-02-28,282.614
2002-03-01,286.266
2002-03-04,293.283
2002-03-05,295.59
2002-03-06,299.336
2002-03-07,301.453
2002-03-08,300.646
2002-03-11,301.669
2002-03-12,300.339
2002-03-13,298.281
2002-03-14,297.453
2002-03-15,298.243
2002-03-18,299.354
2002-03-19,301.81
2002-03-20,302.74
2002-03-21,300.169
2002-03-22,302.198
2002-03-25,296.391
2002-03-26,295.121
2002-03-27,297.833
2002-03-28,297.36
2002-03-29,297.36
2002-04-01,297.71
2002-04-02,298.473
2002-04-03,298.136
2002-04-04,298.279
2002-04-05,298.111
2002-04-08,296.687
2002-04-09,294.867
2002-04-10,295.08
2002-04-11,291.99
2002-04-12,294.363
2002-04-15,294.369
2002-04-16,299.941
2002-04-17,303.3
2002-04-18,301.65
2002-04-19,303.273
2002-04-22,301.073
2002-04-23,299.118
2002-04-24,299.741
2002-04-25,297.685
2002-04-26,296.951
2002-04-29,293.55
2002-04-30,294.728
2002-05-01,295.082
2002-05-02,296.247
2002-05-03,295.745
2002-05-06,293.966
2002-05-07,293.287
2002-05-08,298.29
2002-05-09,295.51
2002-05-10,295.181
2002-05-13,300.01
2002-05-14,302.342
2002-05-15,303.355
2002-05-16,304.421
2002-05-17,306.747
2002-05-20,307.103
2002-05-21,307.785
2002-05-22,306.76
2002-05-23,307.922
2002-05-24,306.793
2002-05-27,307.13
2002-05-28,307.507
2002-05-29,306.64
2002-05-30,303.947
2002-05-31,308.073
2002-06-03,306.976
2002-06-04,307.228
2002-06-05,304.357
2002-06-06,302.996
2002-06-07,299.837
2002-06-10,295.594
2002-06-11,294.635
2002-06-12,292.923
2002-06-13,289.42
2002-06-14,286.828
2002-06-17,289.227
2002-06-18,289.843
2002-06-19,286.903
2002-06-20,288.905
2002-06-21,289.065
2002-06-24,291.762
2002-06-25,287.855
2002-06-26,284.676
2002-06-27,286.043
2002-06-28,285.893
2002-07-01,286.379
2002-07-02,279.316
2002-07-03,278.532
2002-07-04,278.187
