Date,CANADA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,286.539
2001-01-02,285.911
2001-01-03,283.042
2001-01-04,279.571
2001-01-05,279.03
2001-01-08,281.258
2001-01-09,280.429
2001-01-10,281.897
2001-01-11,283.841
2001-01-12,280.693
2001-01-15,281.013
2001-01-16,281.331
2001-01-17,279.531
2001-01-18,275.162
2001-01-19,276.545
2001-01-22,278.048
2001-01-23,279.242
2001-01-24,278.867
2001-01-25,280.396
2001-01-26,281.84
2001-01-29,282.67
2001-01-30,283.772
2001-01-31,284.17
2001-02-01,287.422
2001-02-02,289.641
2001-02-05,289.707
2001-02-06,288.603
2001-02-07,288.328
2001-02-08,288.744
2001-02-09,290.019
2001-02-12,288.587
2001-02-13,288.848
2001-02-14,287.6
2001-02-15,288.986
2001-02-16,288.467
2001-02-19,288.213
2001-02-20,285.414
2001-02-21,280.05
2001-02-22,281.688
2001-02-23,280.302
2001-02-26,283.919
2001-02-27,285.739
2001-02-28,285.168
2001-03-01,283.117
2001-03-02,283.153
2001-03-05,287.973
2001-03-06,290.911
2001-03-07,291.47
2001-03-08,293.079
2001-03-09,292.663
2001-03-12,289.931
2001-03-13,289.737
2001-03-14,286.643
2001-03-15,283.791
2001-03-16,280.223
2001-03-19,284.457
2001-03-20,283.628
2001-03-21,277.92
2001-03-22,273.708
2001-03-23,273.707
2001-03-26,276.985
2001-03-27,276.216
2001-03-28,272.31
2001-03-29,272.04
2001-03-30,275.646
2001-04-02,277.273
2001-04-03,273.304
2001-04-04,275.702
2001-04-05,275.722
2001-04-06,277.049
2001-04-09,279.848
2001-04-10,284.093
2001-04-11,283.559
2001-04-12,284.532
2001-04-13,284.545
2001-04-16,285.258
2001-04-17,287.404
2001-04-18,288.358
2001-04-19,290.551
2001-04-20,291.22
2001-04-23,289.641
2001-04-24,289.103
2001-04-25,292.007
2001-04-26,293.748
2001-04-27,294.337
2001-04-30,294.655
2001-05-01,295.032
2001-05-02,295.024
2001-05-03,292.762
2001-05-04,293.629
2001-05-07,293.679
2001-05-08,292.917
2001-05-09,295.883
2001-05-10,299.443
2001-05-11,297.241
2001-05-14,297.584
2001-05-15,300.506
2001-05-16,305.042
2001-05-17,308.549
2001-05-18,310.726
2001-05-21,311.224
2001-05-22,311.393
2001-05-23,309.719
2001-05-24,308.196
2001-05-25,306.94
2001-05-28,307.403
2001-05-29,310.651
2001-05-30,307.574
2001-05-31,308.445
2001-06-01,313.813
2001-06-04,313.625
2001-06-05,312.283
2001-06-06,312.698
2001-06-07,312.923
2001-06-08,312.84
2001-06-11,313.973
2001-06-12,313.482
2001-06-13,313.57
2001-06-14,311.542
2001-06-15,309.794
2001-06-18,307.654
2001-06-19,305.539
2001-06-20,304.213
2001-06-21,303.321
2001-06-22,302.011
2001-06-25,302.392
2001-06-26,302.243
2001-06-27,302.83
2001-06-28,303.168
2001-06-29,306.86
2001-07-02,307.341
2001-07-03,309.747
2001-07-04,308.645
2001-07-05,308.819
2001-07-06,307.532
2001-07-09,306.814
2001-07-10,306.14
2001-07-11,304.854
2001-07-12,305.618
2001-07-13,306.354
2001-07-16,303.787
2001-07-17,304.997
2001-07-18,306.834
2001-07-19,305.699
2001-07-20,304.411
2001-07-23,302.328
2001-07-24,301.78
2001-07-25,302.367
2001-07-26,301.561
2001-07-27,304.013
2001-07-30,304.606
2001-07-31,306.064
2001-08-01,306.884
2001-08-02,308.852
2001-08-03,309.987
2001-08-06,311.647
2001-08-07,309.973
2001-08-08,309.648
2001-08-09,309.469
2001-08-10,307.102
2001-08-13,307.641
2001-08-14,306.121
2001-08-15,307.854
2001-08-16,309.549
2001-08-17,307.389
2001-08-20,306.358
2001-08-21,307.401
2001-08-22,308.039
2001-08-23,308.52
2001-08-24,310.582
2001-08-27,310.282
2001-08-28,309.221
2001-08-29,307.463
2001-08-30,304.193
2001-08-31,303.17
2001-09-03,302.923
2001-09-04,303.913
2001-09-05,304.986
2001-09-06,302.047
2001-09-07,297.983
2001-09-10,295.332
2001-09-11,282.075
2001-09-12,284.46
2001-09-13,287.126
2001-09-14,277.65
2001-09-17,282.227
2001-09-18,281.049
2001-09-19,275.085
2001-09-20,267.284
2001-09-21,266.513
2001-09-24,269.271
2001-09-25,270.288
2001-09-26,269.357
2001-09-27,267.501
2001-09-28,272.718
2001-10-01,273.54
2001-10-02,274.741
2001-10-03,274.197
2001-10-04,274.997
2001-10-05,276.222
2001-10-08,276.6
2001-10-09,274.401
2001-10-10,274.792
2001-10-11,281.102
2001-10-12,279.022
2001-10-15,278.238
2001-10-16,280.318
2001-10-17,277.618
