Date,DENMARK IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,167.581
1994-06-30,172.274
1994-07-29,180.135
1994-08-31,167.476
1994-09-30,165.155
1994-10-31,166.667
1994-11-30,161.664
1994-12-30,166.977
1995-01-31,169.528
1995-02-28,174.255
1995-03-31,174.351
1995-04-28,181.738
1995-05-31,187.213
1995-06-30,184.466
1995-07-31,194.857
1995-08-31,186.1
1995-09-29,189.001
1995-10-31,187.501
1995-11-30,186.274
1995-12-29,190.905
1996-01-31,198.345
1996-02-29,201.765
1996-03-29,202.365
1996-04-30,201.451
1996-05-31,205.455
1996-06-28,208.973
1996-07-31,216.36
1996-08-30,225.684
1996-09-30,223.957
1996-10-31,232.712
1996-11-29,238.145
1996-12-31,244.01
1997-01-31,252.741
1997-02-28,253.535
1997-03-31,262.726
1997-04-30,259.643
1997-05-30,282.151
1997-06-30,281.529
1997-07-31,299.143
1997-08-29,288.148
1997-09-30,326.831
1997-10-31,300.542
1997-11-28,298.167
1997-12-31,321.936
1998-01-30,318.051
1998-02-27,330.567
1998-03-31,356.777
1998-04-30,348.23
1998-05-29,355.834
1998-06-30,341.111
1998-07-31,336.998
1998-08-31,289.629
1998-09-30,287.34
1998-10-30,299.234
1998-11-30,281.727
1998-12-31,301.793
1999-01-29,290.968
1999-02-26,273.184
1999-03-31,290.797
1999-04-30,311.364
1999-05-31,291.196
1999-06-30,304.918
1999-07-30,321.408
1999-08-31,331.211
1999-09-30,337.799
1999-10-29,332.528
1999-11-30,349.926
1999-12-31,376.063
2000-01-31,368.791
2000-02-29,372.735
2000-03-31,399.818
2000-04-28,366.944
2000-05-31,389.675
2000-06-30,395.662
2000-07-31,409.509
2000-08-31,442.903
2000-09-29,432.011
2000-10-31,402.667
2000-11-30,374.456
2000-12-29,392.678
2001-01-31,436.405
2001-02-28,412.849
2001-03-30,362.065
2001-04-30,367.281
2001-05-31,365.017
2001-06-29,352.506
2001-07-31,374.298
2001-08-31,348.162
2001-09-28,300.03
2001-10-31,317.533
2001-11-30,321.006
2001-12-31,319.517
2002-01-31,308.806
2002-02-28,323.367
2002-03-29,330.859
2002-04-30,302.052
2002-05-31,309.264
2002-06-28,312.21
2002-07-31,257.99
2002-08-30,271.854
2002-09-30,234.754
2002-10-31,237.396
2002-11-29,240.747
2002-12-31,243.976
2003-01-31,227.472
2003-02-28,218.572
2003-03-31,240.084
2003-04-30,268.199
2003-05-30,280.792
2003-06-30,285.658
2003-07-31,285.335
2003-08-29,321.268
2003-09-30,336.036
2003-10-31,360.14
2003-11-28,346.765
2003-12-31,365.559
2004-01-30,387.242
2004-02-27,418.405
2004-03-31,393.478
2004-04-30,382.608
2004-05-31,384.058
2004-06-30,410.992
2004-07-30,406.182
2004-08-31,407.769
2004-09-30,437.251
2004-10-29,422.41
2004-11-30,458.554
2004-12-31,475.169
2005-01-31,469.554
2005-02-28,505.974
2005-03-31,515.533
2005-04-29,492.782
2005-05-31,505.58
2005-06-30,522.024
2005-07-29,537.006
2005-08-31,567.555
2005-09-30,567.078
2005-10-31,538.309
2005-11-30,544.246
2005-12-30,589.053
2006-01-31,606.845
2006-02-28,610.085
2006-03-31,638.63
2006-04-28,678.388
2006-05-31,649.271
2006-06-30,637.299
2006-07-31,631.604
2006-08-31,681.687
2006-09-29,700.999
2006-10-31,728.011
2006-11-30,778.369
2006-12-29,818.084
2007-01-31,836.391
2007-02-28,833.035
2007-03-30,874.924
2007-04-30,954.294
2007-05-31,1000.0
2007-06-29,986.292
2007-07-31,1024.07
2007-08-31,1022.515
2007-09-28,1086.207
2007-10-31,1122.681
2007-11-30,1069.658
2007-12-31,1071.376
2008-01-31,942.542
2008-02-29,1023.067
2008-03-31,1062.351
2008-04-30,1069.13
2008-05-30,1147.348
2008-06-30,1087.171
2008-07-31,1054.083
2008-08-29,1001.497
2008-09-30,778.482
2008-10-31,585.485
2008-11-28,549.688
2008-12-31,577.203
2009-01-30,564.789
2009-02-27,513.764
2009-03-31,508.368
2009-04-30,600.278
2009-05-29,658.387
2009-06-30,655.619
2009-07-31,698.996
2009-08-31,741.472
2009-09-30,762.444
2009-10-30,750.209
2009-11-30,784.946
2009-12-31,764.998
2010-01-29,784.686
2010-02-26,770.126
2010-03-31,829.378
2010-04-30,887.177
2010-05-31,775.435
2010-06-30,778.559
2010-07-30,856.096
2010-08-31,797.54
2010-09-30,900.942
2010-10-29,932.358
2010-11-30,886.229
2010-12-31,979.797
2011-01-31,987.671
2011-02-28,1034.751
2011-03-31,1067.701
2011-04-29,1097.135
2011-05-31,1048.989
2011-06-30,1012.153
2011-07-29,983.948
2011-08-31,844.697
2011-09-30,771.964
2011-10-31,827.841
2011-11-30,851.757
2011-12-30,833.294
2012-01-31,872.246
2012-02-29,994.252
2012-03-30,988.301
2012-04-30,1018.75
2012-05-31,910.641
2012-06-29,965.188
2012-07-31,1017.683
2012-08-31,1064.417
2012-09-28,1082.842
2012-10-31,1081.27
2012-11-30,1095.638
2012-12-31,1119.338
2013-01-31,1249.167
2013-02-28,1218.015
2013-03-29,1177.209
2013-04-30,1235.352
2013-05-31,1189.038
2013-06-28,1136.197
2013-07-31,1226.667
2013-08-30,1224.203
2013-09-30,1278.84
2013-10-31,1297.303
2013-11-29,1357.818
2013-12-31,1400.205
2014-01-31,1447.743
2014-02-28,1661.85
2014-03-31,1642.985
2014-04-30,1661.473
2014-05-30,1657.296
2014-06-30,1724.809
2014-07-31,1682.158
2014-08-29,1653.604
2014-09-30,1657.293
2014-10-31,1624.072
2014-11-28,1641.348
2014-12-31,1558.617
2015-01-30,1588.255
2015-02-27,1715.25
2015-03-31,1813.08
2015-04-30,1923.466
2015-05-29,1916.996
2015-06-30,1877.6
2015-07-31,2017.118
2015-08-31,1910.933
2015-09-30,1882.814
2015-10-30,1912.821
2015-11-30,1991.8
2015-12-31,2078.661
2016-01-29,1985.334
2016-02-29,1931.96
2016-03-31,2063.135
2016-04-29,2095.068
2016-05-31,2150.861
2016-06-30,2057.463
2016-07-29,2145.985
2016-08-31,1971.602
2016-09-30,1882.049
2016-10-31,1726.036
2016-11-30,1602.454
2016-12-30,1673.741
2017-01-31,1740.775
2017-02-28,1737.002
2017-03-31,1774.307
2017-04-28,1926.19
2017-05-31,2044.14
2017-06-30,2053.354
2017-07-31,2141.435
2017-08-31,2247.516
2017-09-29,2225.776
2017-10-31,2280.134
2017-11-30,2237.906
2017-12-29,2288.841
2018-01-31,2365.758
2018-02-28,2293.881
2018-03-30,2276.685
2018-04-30,2246.74
2018-05-31,2224.641
2018-06-29,2207.012
2018-07-31,2364.546
2018-08-31,2371.311
2018-09-28,2276.177
2018-10-31,2070.241
2018-11-30,2103.514
2018-12-31,2051.8
2019-01-31,2148.444
2019-02-28,2268.313
2019-03-29,2358.675
2019-04-30,2347.673
2019-05-31,2261.692
2019-06-28,2388.133
2019-07-31,2330.118
2019-08-30,2389.186
2019-09-30,2361.88
2019-10-31,2437.784
2019-11-29,2563.17
2019-12-31,2667.886
2020-01-31,2728.35
2020-02-28,2591.049
2020-03-31,2507.156
2020-04-30,2726.844
2020-05-29,2951.532
2020-06-30,3006.7
