Date,DENMARK IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,400.675
2001-01-02,408.205
2001-01-03,404.828
2001-01-04,408.509
2001-01-05,412.342
2001-01-08,417.039
2001-01-09,412.903
2001-01-10,413.947
2001-01-11,416.639
2001-01-12,419.437
2001-01-15,415.893
2001-01-16,418.575
2001-01-17,427.362
2001-01-18,436.864
2001-01-19,433.373
2001-01-22,441.568
2001-01-23,444.5
2001-01-24,442.211
2001-01-25,438.726
2001-01-26,441.307
2001-01-29,440.408
2001-01-30,440.448
2001-01-31,445.293
2001-02-01,442.82
2001-02-02,431.705
2001-02-05,434.34
2001-02-06,436.083
2001-02-07,437.573
2001-02-08,431.479
2001-02-09,435.404
2001-02-12,435.437
2001-02-13,428.996
2001-02-14,424.446
2001-02-15,425.543
2001-02-16,431.67
2001-02-19,430.17
2001-02-20,425.791
2001-02-21,429.566
2001-02-22,421.001
2001-02-23,417.422
2001-02-26,419.213
2001-02-27,425.177
2001-02-28,421.257
2001-03-01,422.822
2001-03-02,418.484
2001-03-05,412.432
2001-03-06,416.559
2001-03-07,418.143
2001-03-08,419.588
2001-03-09,415.786
2001-03-12,409.069
2001-03-13,394.832
2001-03-14,380.927
2001-03-15,381.451
2001-03-16,372.356
2001-03-19,365.609
2001-03-20,368.765
2001-03-21,368.143
2001-03-22,356.599
2001-03-23,363.301
2001-03-26,378.815
2001-03-27,379.149
2001-03-28,372.007
2001-03-29,365.479
2001-03-30,369.224
2001-04-02,358.329
2001-04-03,348.404
2001-04-04,347.739
2001-04-05,354.108
2001-04-06,360.994
2001-04-09,360.475
2001-04-10,360.416
2001-04-11,360.952
2001-04-12,362.124
2001-04-13,362.124
2001-04-16,362.598
2001-04-17,364.434
2001-04-18,370.608
2001-04-19,376.023
2001-04-20,376.965
2001-04-23,373.726
2001-04-24,370.601
2001-04-25,369.86
2001-04-26,370.607
2001-04-27,370.478
2001-04-30,373.986
2001-05-01,374.508
2001-05-02,371.151
2001-05-03,371.433
2001-05-04,366.806
2001-05-07,369.916
2001-05-08,373.632
2001-05-09,368.995
2001-05-10,374.121
2001-05-11,371.134
2001-05-14,368.487
2001-05-15,373.194
2001-05-16,374.492
2001-05-17,377.787
2001-05-18,380.233
2001-05-21,376.758
2001-05-22,381.064
2001-05-23,379.746
2001-05-24,378.344
2001-05-25,377.724
2001-05-28,376.811
2001-05-29,374.262
2001-05-30,374.457
2001-05-31,371.48
2001-06-01,372.527
2001-06-04,373.044
2001-06-05,373.186
2001-06-06,371.11
2001-06-07,370.966
2001-06-08,369.71
2001-06-11,365.834
2001-06-12,367.467
2001-06-13,372.476
2001-06-14,370.976
2001-06-15,365.194
2001-06-18,367.734
2001-06-19,364.4
2001-06-20,364.412
2001-06-21,361.849
2001-06-22,361.481
2001-06-25,364.096
2001-06-26,360.53
2001-06-27,361.912
2001-06-28,359.136
2001-06-29,358.743
2001-07-02,360.792
2001-07-03,365.805
2001-07-04,367.435
2001-07-05,363.64
2001-07-06,366.211
2001-07-09,370.312
2001-07-10,374.202
2001-07-11,373.96
2001-07-12,367.359
2001-07-13,366.189
2001-07-16,362.652
2001-07-17,362.171
2001-07-18,370.522
2001-07-19,376.681
2001-07-20,374.576
2001-07-23,370.772
2001-07-24,372.747
2001-07-25,369.039
2001-07-26,368.867
2001-07-27,372.336
2001-07-30,377.801
2001-07-31,380.92
2001-08-01,385.832
2001-08-02,387.943
2001-08-03,386.226
2001-08-06,383.538
2001-08-07,377.683
2001-08-08,375.032
2001-08-09,374.733
2001-08-10,376.796
2001-08-13,379.155
2001-08-14,379.474
2001-08-15,385.698
2001-08-16,383.539
2001-08-17,385.622
2001-08-20,381.533
2001-08-21,378.237
2001-08-22,376.228
2001-08-23,374.194
2001-08-24,377.863
2001-08-27,376.145
2001-08-28,366.725
2001-08-29,360.487
2001-08-30,352.747
2001-08-31,354.322
2001-09-03,349.461
2001-09-04,341.003
2001-09-05,338.98
2001-09-06,340.981
2001-09-07,345.525
2001-09-10,335.882
2001-09-11,331.24
2001-09-12,333.768
2001-09-13,339.882
2001-09-14,334.361
2001-09-17,322.717
2001-09-18,313.05
2001-09-19,316.744
2001-09-20,302.553
2001-09-21,288.373
2001-09-24,292.464
2001-09-25,292.857
2001-09-26,299.589
2001-09-27,299.65
2001-09-28,305.321
2001-10-01,296.656
2001-10-02,304.705
2001-10-03,306.785
2001-10-04,311.753
2001-10-05,315.274
2001-10-08,310.361
2001-10-09,318.508
2001-10-10,323.185
2001-10-11,329.644
2001-10-12,324.539
2001-10-15,323.128
2001-10-16,320.952
2001-10-17,321.332
2001-10-18,318.243
2001-10-19,317.295
2001-10-22,318.407
2001-10-23,317.812
2001-10-24,321.644
2001-10-25,319.717
2001-10-26,328.796
2001-10-29,325.471
2001-10-30,319.696
2001-10-31,323.133
2001-11-01,325.211
2001-11-02,323.801
2001-11-05,326.53
2001-11-06,324.577
2001-11-07,319.862
2001-11-08,320.389
2001-11-09,316.216
2001-11-12,310.608
2001-11-13,309.406
2001-11-14,313.108
2001-11-15,312.568
2001-11-16,311.5
2001-11-19,309.215
2001-11-20,313.728
2001-11-21,313.778
2001-11-22,317.138
2001-11-23,315.003
2001-11-26,312.17
2001-11-27,315.93
2001-11-28,316.367
2001-11-29,317.313
2001-11-30,326.667
2001-12-03,319.824
2001-12-04,321.151
2001-12-05,325.275
2001-12-06,323.289
2001-12-07,322.526
2001-12-10,318.276
2001-12-11,318.562
2001-12-12,317.294
2001-12-13,315.351
2001-12-14,312.092
2001-12-17,307.014
2001-12-18,312.183
2001-12-19,311.246
2001-12-20,313.311
2001-12-21,310.498
2001-12-24,307.482
2001-12-25,307.482
2001-12-26,307.738
2001-12-27,318.512
