Date,DENMARK LARGE CAP Large Cap
2001-01-01,400.081
2001-01-02,412.854
2001-01-03,416.771
2001-01-04,424.088
2001-01-05,437.623
2001-01-08,439.727
2001-01-09,433.801
2001-01-10,435.721
2001-01-11,436.606
2001-01-12,441.036
2001-01-15,437.486
2001-01-16,438.245
2001-01-17,444.927
2001-01-18,452.667
2001-01-19,449.133
2001-01-22,458.751
2001-01-23,457.942
2001-01-24,460.173
2001-01-25,457.17
2001-01-26,456.893
2001-01-29,455.197
2001-01-30,454.461
2001-01-31,456.472
2001-02-01,455.215
2001-02-02,441.19
2001-02-05,444.279
2001-02-06,443.561
2001-02-07,444.265
2001-02-08,434.018
2001-02-09,435.624
2001-02-12,437.211
2001-02-13,431.385
2001-02-14,429.234
2001-02-15,436.563
2001-02-16,447.025
2001-02-19,446.965
2001-02-20,442.592
2001-02-21,442.156
2001-02-22,420.579
2001-02-23,414.636
2001-02-26,415.441
2001-02-27,423.091
2001-02-28,423.173
2001-03-01,426.502
2001-03-02,423.977
2001-03-05,422.162
2001-03-06,428.574
2001-03-07,428.603
2001-03-08,431.878
2001-03-09,427.893
2001-03-12,422.846
2001-03-13,410.594
2001-03-14,393.958
2001-03-15,395.612
2001-03-16,388.095
2001-03-19,381.001
2001-03-20,381.875
2001-03-21,383.063
2001-03-22,374.836
2001-03-23,380.827
2001-03-26,394.831
2001-03-27,393.574
2001-03-28,391.068
2001-03-29,382.378
2001-03-30,391.096
2001-04-02,388.408
2001-04-03,382.127
2001-04-04,378.439
2001-04-05,384.243
2001-04-06,391.62
2001-04-09,390.376
2001-04-10,385.621
2001-04-11,387.756
2001-04-12,389.015
2001-04-13,389.015
2001-04-16,389.524
2001-04-17,392.497
2001-04-18,393.26
2001-04-19,399.036
2001-04-20,399.237
2001-04-23,397.532
2001-04-24,396.573
2001-04-25,395.58
2001-04-26,393.878
2001-04-27,390.094
2001-04-30,391.377
2001-05-01,391.224
2001-05-02,385.474
2001-05-03,389.681
2001-05-04,382.21
2001-05-07,386.227
2001-05-08,389.438
2001-05-09,385.147
2001-05-10,385.035
2001-05-11,381.961
2001-05-14,376.599
2001-05-15,379.719
2001-05-16,384.047
2001-05-17,391.88
2001-05-18,395.017
2001-05-21,387.742
2001-05-22,389.511
2001-05-23,388.39
2001-05-24,386.956
2001-05-25,389.07
2001-05-28,390.256
2001-05-29,385.585
2001-05-30,386.695
2001-05-31,386.865
2001-06-01,387.674
2001-06-04,388.211
2001-06-05,388.359
2001-06-06,387.953
2001-06-07,384.295
2001-06-08,382.075
2001-06-11,380.033
2001-06-12,385.551
2001-06-13,393.457
2001-06-14,390.82
2001-06-15,387.825
2001-06-18,393.351
2001-06-19,393.831
2001-06-20,393.755
2001-06-21,389.027
2001-06-22,388.985
2001-06-25,390.255
2001-06-26,384.464
2001-06-27,383.485
2001-06-28,385.054
2001-06-29,383.596
2001-07-02,382.383
2001-07-03,386.628
2001-07-04,390.874
2001-07-05,389.185
2001-07-06,389.516
2001-07-09,395.668
2001-07-10,400.658
2001-07-11,400.609
2001-07-12,391.727
2001-07-13,389.219
2001-07-16,387.65
2001-07-17,385.577
2001-07-18,393.713
2001-07-19,401.377
2001-07-20,395.856
2001-07-23,392.451
2001-07-24,394.652
2001-07-25,390.31
2001-07-26,389.97
2001-07-27,395.552
2001-07-30,401.769
2001-07-31,404.557
2001-08-01,407.542
2001-08-02,409.931
2001-08-03,406.444
2001-08-06,404.004
2001-08-07,398.55
2001-08-08,393.439
2001-08-09,394.344
2001-08-10,399.631
2001-08-13,403.18
2001-08-14,400.182
2001-08-15,408.427
2001-08-16,404.741
2001-08-17,407.685
2001-08-20,403.902
2001-08-21,404.922
2001-08-22,403.908
2001-08-23,403.689
2001-08-24,406.896
2001-08-27,403.48
2001-08-28,392.184
2001-08-29,386.022
2001-08-30,380.561
2001-08-31,386.211
2001-09-03,378.816
2001-09-04,370.379
2001-09-05,370.469
2001-09-06,375.088
2001-09-07,378.017
2001-09-10,369.031
2001-09-11,366.433
2001-09-12,368.358
2001-09-13,375.913
2001-09-14,369.213
2001-09-17,362.471
2001-09-18,350.636
2001-09-19,357.588
2001-09-20,344.871
2001-09-21,329.878
2001-09-24,334.76
2001-09-25,328.767
2001-09-26,335.291
2001-09-27,337.517
2001-09-28,343.393
2001-10-01,332.697
2001-10-02,342.965
2001-10-03,342.526
2001-10-04,347.537
2001-10-05,350.635
2001-10-08,345.443
2001-10-09,350.069
2001-10-10,356.641
2001-10-11,366.044
2001-10-12,357.643
2001-10-15,355.529
2001-10-16,352.175
2001-10-17,352.863
2001-10-18,351.884
2001-10-19,345.123
2001-10-22,347.502
2001-10-23,346.644
2001-10-24,351.915
2001-10-25,350.16
2001-10-26,363.606
2001-10-29,356.832
2001-10-30,350.049
2001-10-31,354.467
2001-11-01,356.647
2001-11-02,356.174
2001-11-05,356.593
2001-11-06,354.712
2001-11-07,353.144
2001-11-08,348.484
2001-11-09,338.61
2001-11-12,332.639
2001-11-13,328.803
2001-11-14,336.528
2001-11-15,334.844
2001-11-16,336.381
2001-11-19,332.86
2001-11-20,340.499
2001-11-21,337.558
2001-11-22,342.162
2001-11-23,340.575
2001-11-26,335.608
2001-11-27,336.246
2001-11-28,336.816
2001-11-29,338.651
2001-11-30,354.523
2001-12-03,350.733
2001-12-04,354.877
2001-12-05,354.259
2001-12-06,353.684
2001-12-07,352.171
2001-12-10,346.296
2001-12-11,348.751
2001-12-12,349.168
2001-12-13,347.987
2001-12-14,342.982
2001-12-17,338.579
2001-12-18,346.167
2001-12-19,345.432
2001-12-20,347.972
2001-12-21,347.096
2001-12-24,343.724
2001-12-25,343.724
2001-12-26,344.01
2001-12-27,358.081
2001-12-28,359.58
2001-12-31,363.1
2002-01-01,363.1
2002-01-02,369.622
2002-01-03,373.647
2002-01-04,369.159
2002-01-07,368.632
2002-01-08,361.488
2002-01-09,363.313
2002-01-10,363.856
2002-01-11,357.497
2002-01-14,356.688
2002-01-15,352.559
2002-01-16,349.937
2002-01-17,356.051
2002-01-18,353.845
2002-01-21,352.586
2002-01-22,353.84
