Date,DENMARK LARGE GROWTH Large Cap
1994-05-31,174.376
1994-06-30,181.618
1994-07-29,189.955
1994-08-31,176.81
1994-09-30,172.399
1994-10-31,171.696
1994-11-30,166.607
1994-12-30,172.23
1995-01-31,172.075
1995-02-28,175.401
1995-03-31,173.628
1995-04-28,183.386
1995-05-31,189.648
1995-06-30,184.406
1995-07-31,194.778
1995-08-31,189.83
1995-09-29,193.767
1995-10-31,192.607
1995-11-30,192.699
1995-12-29,199.07
1996-01-31,210.646
1996-02-29,214.482
1996-03-29,213.108
1996-04-30,213.414
1996-05-31,222.356
1996-06-28,225.765
1996-07-31,235.296
1996-08-30,245.216
1996-09-30,239.638
1996-10-31,249.329
1996-11-29,257.717
1996-12-31,264.617
1997-01-31,279.395
1997-02-28,280.578
1997-03-31,295.928
1997-04-30,295.53
1997-05-30,327.982
1997-06-30,326.69
1997-07-31,362.282
1997-08-29,348.733
1997-09-30,409.719
1997-10-31,365.149
1997-11-28,365.894
1997-12-31,407.95
1998-01-30,395.633
1998-02-27,413.741
1998-03-31,450.644
1998-04-30,432.249
1998-05-29,444.467
1998-06-30,414.654
1998-07-31,402.392
1998-08-31,335.837
1998-09-30,331.103
1998-10-30,354.125
1998-11-30,328.791
1998-12-31,358.986
1999-01-29,340.392
1999-02-26,321.607
1999-03-31,350.746
1999-04-30,385.217
1999-05-31,354.388
1999-06-30,372.899
1999-07-30,395.856
1999-08-31,411.772
1999-09-30,428.984
1999-10-29,423.869
1999-11-30,446.598
1999-12-31,486.033
2000-01-31,445.939
2000-02-29,438.676
2000-03-31,474.385
2000-04-28,427.235
2000-05-31,475.9
2000-06-30,472.831
2000-07-31,481.175
2000-08-31,533.657
2000-09-29,506.251
2000-10-31,462.323
2000-11-30,434.686
2000-12-29,420.28
2001-01-31,487.097
2001-02-28,479.635
2001-03-30,432.422
2001-04-30,422.183
2001-05-31,407.879
2001-06-29,398.755
2001-07-31,438.649
2001-08-31,410.863
2001-09-28,353.941
2001-10-31,380.675
2001-11-30,371.357
2001-12-31,381.371
2002-01-31,373.889
2002-02-28,385.713
2002-03-29,385.497
2002-04-30,335.777
2002-05-31,334.184
2002-06-28,348.694
2002-07-31,254.667
2002-08-30,320.358
2002-09-30,284.609
2002-10-31,288.552
2002-11-29,317.784
2002-12-31,297.99
2003-01-31,282.115
2003-02-28,296.295
2003-03-31,344.028
2003-04-30,377.804
2003-05-30,364.291
2003-06-30,372.961
2003-07-31,363.527
2003-08-29,411.555
2003-09-30,431.172
2003-10-31,457.626
2003-11-28,444.451
2003-12-31,458.849
2004-01-30,480.026
2004-02-27,530.331
2004-03-31,486.76
2004-04-30,461.361
2004-05-31,461.798
2004-06-30,502.029
2004-07-30,503.058
2004-08-31,507.371
2004-09-30,548.976
2004-10-29,513.99
2004-11-30,562.927
2004-12-31,572.878
2005-01-31,563.755
2005-02-28,620.044
2005-03-31,620.13
2005-04-29,577.319
2005-05-31,592.896
2005-06-30,611.119
2005-07-29,623.355
2005-08-31,659.062
2005-09-30,631.023
2005-10-31,592.276
2005-11-30,619.099
2005-12-30,663.921
2006-01-31,651.557
2006-02-28,636.064
2006-03-31,633.924
2006-04-28,649.852
2006-05-31,618.116
2006-06-30,614.85
2006-07-31,594.652
2006-08-31,686.991
2006-09-29,697.106
2006-10-31,722.429
2006-11-30,741.419
2006-12-29,773.311
2007-01-31,811.001
2007-02-28,819.8
2007-03-30,854.322
2007-04-30,932.71
2007-05-31,1000.0
2007-06-29,1015.278
2007-07-31,1045.349
2007-08-31,1065.072
2007-09-28,1136.023
2007-10-31,1157.563
2007-11-30,1109.05
2007-12-31,1085.507
2008-01-31,1012.054
2008-02-29,1107.77
2008-03-31,1143.303
2008-04-30,1118.743
2008-05-30,1154.646
2008-06-30,1128.425
2008-07-31,1094.053
2008-08-29,1055.787
2008-09-30,811.19
2008-10-31,612.017
2008-11-28,584.765
2008-12-31,618.319
2009-01-30,607.558
2009-02-27,560.172
2009-03-31,548.355
2009-04-30,647.059
2009-05-29,702.292
2009-06-30,705.693
2009-07-31,734.615
2009-08-31,779.51
2009-09-30,782.991
2009-10-30,779.879
2009-11-30,816.894
2009-12-31,778.685
2010-01-29,807.861
2010-02-26,798.537
2010-03-31,863.898
2010-04-30,933.348
2010-05-31,820.041
2010-06-30,830.497
2010-07-30,904.188
2010-08-31,852.319
2010-09-30,953.245
2010-10-29,989.262
2010-11-30,927.726
2010-12-31,1029.37
2011-01-31,1033.055
2011-02-28,1102.972
2011-03-31,1115.828
2011-04-29,1154.418
2011-05-31,1114.205
2011-06-30,1082.128
2011-07-29,1056.551
2011-08-31,887.32
2011-09-30,817.563
2011-10-31,874.193
2011-11-30,916.507
2011-12-30,910.891
2012-01-31,954.144
2012-02-29,1124.56
2012-03-30,1115.885
2012-04-30,1170.744
2012-05-31,1038.086
2012-06-29,1121.48
2012-07-31,1193.517
2012-08-31,1245.437
2012-09-28,1256.633
2012-10-31,1247.147
2012-11-30,1265.354
2012-12-31,1282.474
2013-01-31,1449.729
2013-02-28,1384.387
2013-03-29,1311.234
2013-04-30,1391.18
2013-05-31,1312.595
2013-06-28,1247.117
2013-07-31,1354.89
2013-08-30,1353.711
2013-09-30,1398.595
2013-10-31,1392.052
2013-11-29,1478.565
2013-12-31,1509.965
2014-01-31,1569.113
2014-02-28,1858.34
2014-03-31,1821.534
2014-04-30,1812.435
2014-05-30,1747.184
2014-06-30,1855.546
2014-07-31,1846.399
2014-08-29,1823.608
2014-09-30,1865.201
2014-10-31,1788.347
2014-11-28,1800.153
2014-12-31,1677.389
2015-01-30,1718.491
2015-02-27,1844.912
2015-03-31,1992.311
2015-04-30,2110.83
2015-05-29,2077.887
2015-06-30,2021.336
2015-07-31,2178.252
2015-08-31,2046.517
2015-09-30,1992.892
2015-10-30,1980.596
2015-11-30,2046.246
2015-12-31,2141.807
2016-01-29,2047.523
2016-02-29,1952.101
2016-03-31,2068.833
2016-04-29,2112.732
2016-05-31,2114.574
2016-06-30,2037.35
2016-07-29,2168.31
2016-08-31,1827.912
2016-09-30,1656.429
2016-10-31,1437.452
2016-11-30,1359.717
2016-12-30,1455.832
2017-01-31,1465.51
2017-02-28,1449.475
2017-03-31,1450.163
2017-04-28,1619.3
2017-05-31,1756.364
2017-06-30,1767.151
2017-07-31,1790.793
2017-08-31,1929.457
2017-09-29,1907.043
2017-10-31,1984.364
2017-11-30,2015.153
2017-12-29,2066.292
2018-01-31,2166.327
2018-02-28,2034.772
2018-03-30,1972.2
2018-04-30,1927.58
2018-05-31,1918.688
2018-06-29,1880.278
2018-07-31,2024.731
2018-08-31,2026.668
2018-09-28,1947.115
2018-10-31,1786.99
2018-11-30,1899.064
2018-12-31,1866.533
2019-01-31,1921.62
2019-02-28,2023.071
2019-03-29,2177.773
2019-04-30,2073.318
2019-05-31,2023.946
2019-06-28,2186.298
2019-07-31,2133.763
2019-08-30,2267.296
2019-09-30,2251.423
2019-10-31,2327.043
2019-11-29,2396.787
2019-12-31,2506.651
2020-01-31,2592.04
2020-02-28,2460.419
2020-03-31,2515.573
2020-04-30,2679.595
2020-05-29,2790.346
2020-06-30,2831.186
2020-07-31,3030.113
2020-08-31,3120.071
2020-09-30,3181.932
2020-10-30,3056.06
2020-11-30,3263.188
2020-12-31,3507.794
2021-01-29,3366.517
2021-02-26,3355.169
2021-03-31,3381.49
2021-04-30,3581.588
2021-05-31,3748.776
2021-06-30,3840.724
2021-07-30,4071.752
2021-08-31,4328.953
2021-09-30,4147.154
2021-10-29,4503.246
2021-11-30,4242.125
2021-12-31,4453.991
2022-01-31,3908.579
2022-02-28,4056.937
2022-03-31,4294.155
2022-04-29,4180.296
2022-05-31,4027.895
2022-06-30,3862.425
2022-07-29,4194.973
2022-08-31,3871.401
2022-09-30,3456.592
2022-10-31,3754.138
2022-11-30,4237.576
2022-12-30,4562.425
2023-01-31,4631.899
2023-02-28,4750.823
2023-03-31,5207.268
2023-04-28,5423.932
2023-05-31,5223.289
2023-06-30,5277.655
2023-07-31,5296.228
2023-08-31,5690.557
2023-09-29,5535.502
2023-10-31,5548.058
2023-11-30,5955.131
2023-12-29,6151.828
2024-01-31,6516.312
2024-02-29,6764.736
2024-03-29,7205.315
2024-04-30,7170.988
2024-05-31,7475.1
2024-06-28,7794.669
2024-07-31,7406.802
2024-08-30,7727.154
2024-09-30,6818.423
2024-10-31,6419.757
2024-11-29,6167.932
2024-12-31,5197.863
2025-01-31,5079.086
2025-02-28,5359.996
2025-03-31,4346.663
2025-04-30,4364.067
2025-05-30,4565.573
2025-06-30,4585.491
2025-07-31,3503.552
2025-08-29,3898.807
2025-09-30,3700.93
2025-10-31,3483.734
2025-11-28,3577.634
