Date,DENMARK SMALL GROWTH Small Cap
1994-05-31,171.644
1994-06-30,175.451
1994-07-29,181.047
1994-08-31,171.812
1994-09-30,174.262
1994-10-31,176.447
1994-11-30,166.399
1994-12-30,170.317
1995-01-31,180.062
1995-02-28,189.616
1995-03-31,192.799
1995-04-28,193.272
1995-05-31,196.016
1995-06-30,199.743
1995-07-31,210.471
1995-08-31,196.228
1995-09-29,199.907
1995-10-31,196.43
1995-11-30,189.592
1995-12-29,191.919
1996-01-31,193.734
1996-02-29,197.846
1996-03-29,200.209
1996-04-30,198.894
1996-05-31,196.414
1996-06-28,200.274
1996-07-31,203.015
1996-08-30,209.645
1996-09-30,210.664
1996-10-31,221.662
1996-11-29,226.552
1996-12-31,229.221
1997-01-31,233.247
1997-02-28,228.875
1997-03-31,229.156
1997-04-30,221.591
1997-05-30,229.938
1997-06-30,227.036
1997-07-31,224.843
1997-08-29,218.163
1997-09-30,228.919
1997-10-31,226.421
1997-11-28,218.586
1997-12-31,217.606
1998-01-30,218.255
1998-02-27,224.291
1998-03-31,234.029
1998-04-30,238.9
1998-05-29,242.244
1998-06-30,242.021
1998-07-31,243.988
1998-08-31,224.2
1998-09-30,224.835
1998-10-30,224.738
1998-11-30,221.844
1998-12-31,227.057
1999-01-29,225.59
1999-02-26,210.241
1999-03-31,208.327
1999-04-30,208.969
1999-05-31,210.168
1999-06-30,220.658
1999-07-30,231.243
1999-08-31,233.531
1999-09-30,230.55
1999-10-29,227.175
1999-11-30,234.391
1999-12-31,241.753
2000-01-31,270.015
2000-02-29,296.475
2000-03-31,328.604
2000-04-28,315.337
2000-05-31,319.467
2000-06-30,322.611
2000-07-31,324.251
2000-08-31,324.803
2000-09-29,337.642
2000-10-31,333.189
2000-11-30,298.052
2000-12-29,317.616
2001-01-31,355.411
2001-02-28,328.671
2001-03-30,281.878
2001-04-30,309.523
2001-05-31,309.905
2001-06-29,285.532
2001-07-31,287.75
2001-08-31,267.435
2001-09-28,238.649
2001-10-31,251.563
2001-11-30,252.782
2001-12-31,256.447
2002-01-31,257.838
2002-02-28,268.896
2002-03-29,285.088
2002-04-30,294.269
2002-05-31,315.866
2002-06-28,304.296
2002-07-31,266.502
2002-08-30,251.64
2002-09-30,224.127
2002-10-31,222.875
2002-11-29,208.785
2002-12-31,215.413
2003-01-31,195.662
2003-02-28,176.164
2003-03-31,189.502
2003-04-30,210.777
2003-05-30,235.214
2003-06-30,235.246
2003-07-31,247.275
2003-08-29,276.995
2003-09-30,289.315
2003-10-31,316.757
2003-11-28,303.758
2003-12-31,329.486
2004-01-30,355.614
2004-02-27,372.481
2004-03-31,362.231
2004-04-30,362.862
2004-05-31,367.367
2004-06-30,386.504
2004-07-30,375.811
2004-08-31,374.897
2004-09-30,399.51
2004-10-29,399.475
2004-11-30,428.982
2004-12-31,453.176
2005-01-31,446.692
2005-02-28,467.128
2005-03-31,470.932
2005-04-29,462.45
2005-05-31,478.864
2005-06-30,499.233
2005-07-29,519.046
2005-08-31,548.309
2005-09-30,573.64
2005-10-31,550.928
2005-11-30,537.657
2005-12-30,588.576
2006-01-31,640.187
2006-02-28,663.307
2006-03-31,726.002
2006-04-28,794.787
2006-05-31,764.738
2006-06-30,731.115
2006-07-31,738.346
2006-08-31,761.901
2006-09-29,797.958
2006-10-31,827.104
2006-11-30,884.03
2006-12-29,933.549
2007-01-31,931.521
2007-02-28,903.39
2007-03-30,923.601
2007-04-30,981.563
2007-05-31,1000.0
2007-06-29,986.189
2007-07-31,992.38
2007-08-31,952.909
2007-09-28,979.108
2007-10-31,1014.124
2007-11-30,849.811
2007-12-31,822.765
2008-01-31,699.505
2008-02-29,727.661
2008-03-31,713.064
2008-04-30,738.401
2008-05-30,762.313
2008-06-30,672.285
2008-07-31,666.112
2008-08-29,631.319
2008-09-30,452.616
2008-10-31,332.788
2008-11-28,307.573
2008-12-31,294.988
2009-01-30,309.364
2009-02-27,269.148
2009-03-31,265.207
2009-04-30,328.595
2009-05-29,382.135
2009-06-30,366.9
2009-07-31,415.353
2009-08-31,456.396
2009-09-30,468.935
2009-10-30,456.385
2009-11-30,461.867
2009-12-31,482.963
2010-01-29,480.154
2010-02-26,462.658
2010-03-31,488.957
2010-04-30,526.312
2010-05-31,434.926
2010-06-30,419.629
2010-07-30,468.325
2010-08-31,405.482
2010-09-30,482.359
2010-10-29,503.257
2010-11-30,498.19
2010-12-31,555.888
2011-01-31,556.979
2011-02-28,555.022
2011-03-31,558.624
2011-04-29,598.343
2011-05-31,580.205
2011-06-30,575.858
2011-07-29,545.385
2011-08-31,465.355
2011-09-30,413.909
2011-10-31,470.326
2011-11-30,464.573
2011-12-30,448.209
2012-01-31,510.859
2012-02-29,546.23
2012-03-30,537.034
2012-04-30,550.867
2012-05-31,496.695
2012-06-29,504.13
2012-07-31,524.922
2012-08-31,551.827
2012-09-28,585.789
2012-10-31,598.375
2012-11-30,590.996
2012-12-31,605.933
2013-01-31,656.29
2013-02-28,692.904
2013-03-29,692.515
2013-04-30,708.834
2013-05-31,716.84
2013-06-28,687.966
2013-07-31,733.475
2013-08-30,732.657
2013-09-30,786.149
2013-10-31,822.093
2013-11-29,852.641
2013-12-31,884.946
2014-01-31,901.964
2014-02-28,989.712
2014-03-31,1008.66
2014-04-30,1042.713
2014-05-30,1136.847
2014-06-30,1146.161
2014-07-31,1089.285
2014-08-29,1062.277
2014-09-30,1014.923
2014-10-31,1046.363
2014-11-28,1050.615
2014-12-31,1082.982
2015-01-30,1085.789
2015-02-27,1155.027
2015-03-31,1168.529
2015-04-30,1207.942
2015-05-29,1226.402
2015-06-30,1210.439
2015-07-31,1277.418
2015-08-31,1222.428
2015-09-30,1247.459
2015-10-30,1287.798
2015-11-30,1397.369
2015-12-31,1441.695
2016-01-29,1369.168
2016-02-29,1351.121
2016-03-31,1442.648
2016-04-29,1432.717
2016-05-31,1515.41
