Date,DENMARK SMALL GROWTH Small Cap
2001-01-01,326.246
2001-01-02,331.91
2001-01-03,327.597
2001-01-04,330.981
2001-01-05,333.667
2001-01-08,335.955
2001-01-09,332.17
2001-01-10,332.505
2001-01-11,338.152
2001-01-12,340.923
2001-01-15,342.867
2001-01-16,343.814
2001-01-17,347.209
2001-01-18,355.693
2001-01-19,358.088
2001-01-22,360.937
2001-01-23,362.229
2001-01-24,358.056
2001-01-25,357.217
2001-01-26,357.106
2001-01-29,354.544
2001-01-30,362.083
2001-01-31,365.069
2001-02-01,368.514
2001-02-02,367.738
2001-02-05,366.496
2001-02-06,365.647
2001-02-07,362.515
2001-02-08,360.442
2001-02-09,358.941
2001-02-12,357.372
2001-02-13,349.628
2001-02-14,344.172
2001-02-15,346.561
2001-02-16,348.918
2001-02-19,348.155
2001-02-20,346.199
2001-02-21,345.591
2001-02-22,338.5
2001-02-23,332.449
2001-02-26,331.345
2001-02-27,339.057
2001-02-28,337.602
2001-03-01,337.813
2001-03-02,337.897
2001-03-05,333.649
2001-03-06,337.967
2001-03-07,337.106
2001-03-08,336.982
2001-03-09,334.128
2001-03-12,322.63
2001-03-13,311.338
2001-03-14,309.154
2001-03-15,308.589
2001-03-16,305.1
2001-03-19,298.146
2001-03-20,301.119
2001-03-21,297.351
2001-03-22,286.551
2001-03-23,290.514
2001-03-26,293.488
2001-03-27,293.709
2001-03-28,289.04
2001-03-29,288.145
2001-03-30,289.538
2001-04-02,283.249
2001-04-03,280.282
2001-04-04,276.508
2001-04-05,278.833
2001-04-06,277.982
2001-04-09,279.878
2001-04-10,283.092
2001-04-11,286.564
2001-04-12,287.494
2001-04-13,287.494
2001-04-16,287.871
2001-04-17,282.795
2001-04-18,287.353
2001-04-19,299.089
2001-04-20,303.087
2001-04-23,296.771
2001-04-24,296.307
2001-04-25,302.777
2001-04-26,307.985
2001-04-27,305.532
2001-04-30,314.588
2001-05-01,316.419
2001-05-02,319.696
2001-05-03,320.343
2001-05-04,324.894
2001-05-07,324.299
2001-05-08,322.086
2001-05-09,319.447
2001-05-10,323.317
2001-05-11,320.737
2001-05-14,319.271
2001-05-15,321.412
2001-05-16,323.978
2001-05-17,330.375
2001-05-18,328.074
2001-05-21,328.965
2001-05-22,325.818
2001-05-23,321.746
2001-05-24,320.559
2001-05-25,320.902
2001-05-28,321.144
2001-05-29,320.165
2001-05-30,316.418
2001-05-31,314.853
2001-06-01,313.833
2001-06-04,314.269
2001-06-05,314.388
2001-06-06,314.476
2001-06-07,314.979
2001-06-08,312.56
2001-06-11,309.42
2001-06-12,308.34
2001-06-13,311.092
2001-06-14,312.07
2001-06-15,309.592
2001-06-18,308.013
2001-06-19,302.477
2001-06-20,297.273
2001-06-21,298.45
2001-06-22,295.194
2001-06-25,297.169
2001-06-26,292.596
2001-06-27,293.554
2001-06-28,290.007
2001-06-29,290.065
2001-07-02,291.462
2001-07-03,293.046
2001-07-04,290.978
2001-07-05,285.474
2001-07-06,287.17
2001-07-09,286.246
2001-07-10,288.43
2001-07-11,288.475
2001-07-12,287.749
2001-07-13,288.018
2001-07-16,285.949
2001-07-17,282.414
2001-07-18,286.745
2001-07-19,289.538
2001-07-20,289.807
