Date,DENMARK SMID CAP SMID (Small+Mid Cap)
2001-01-01,259.312
2001-01-02,261.479
2001-01-03,259.636
2001-01-04,261.882
2001-01-05,260.321
2001-01-08,260.531
2001-01-09,258.018
2001-01-10,257.661
2001-01-11,260.69
2001-01-12,263.587
2001-01-15,262.074
2001-01-16,262.503
2001-01-17,265.485
2001-01-18,272.037
2001-01-19,269.632
2001-01-22,271.961
2001-01-23,274.612
2001-01-24,271.223
2001-01-25,269.175
2001-01-26,270.343
2001-01-29,269.688
2001-01-30,272.516
2001-01-31,276.539
2001-02-01,276.137
2001-02-02,272.059
2001-02-05,271.63
2001-02-06,271.799
2001-02-07,271.514
2001-02-08,269.879
2001-02-09,270.914
2001-02-12,271.413
2001-02-13,266.754
2001-02-14,263.218
2001-02-15,260.52
2001-02-16,262.23
2001-02-19,261.141
2001-02-20,258.79
2001-02-21,259.448
2001-02-22,257.555
2001-02-23,254.532
2001-02-26,254.776
2001-02-27,258.588
2001-02-28,254.541
2001-03-01,253.157
2001-03-02,252.051
2001-03-05,247.77
2001-03-06,249.686
2001-03-07,250.171
2001-03-08,250.863
2001-03-09,250.073
2001-03-12,244.527
2001-03-13,235.765
2001-03-14,230.772
2001-03-15,229.33
2001-03-16,223.97
2001-03-19,220.14
2001-03-20,224.801
2001-03-21,222.767
2001-03-22,212.712
2001-03-23,217.354
2001-03-26,224.61
2001-03-27,226.289
2001-03-28,220.703
2001-03-29,217.964
2001-03-30,217.776
2001-04-02,209.534
2001-04-03,204.917
2001-04-04,206.943
2001-04-05,209.907
2001-04-06,211.884
2001-04-09,212.901
2001-04-10,215.692
2001-04-11,216.134
2001-04-12,216.835
2001-04-13,216.835
2001-04-16,217.12
2001-04-17,216.537
2001-04-18,222.581
2001-04-19,226.707
2001-04-20,228.099
2001-04-23,224.066
2001-04-24,222.118
2001-04-25,222.898
2001-04-26,226.76
2001-04-27,228.797
2001-04-30,231.961
2001-05-01,233.178
2001-05-02,233.66
2001-05-03,233.086
2001-05-04,234.475
2001-05-07,235.642
2001-05-08,234.768
2001-05-09,233.299
2001-05-10,238.368
2001-05-11,236.465
2001-05-14,237.195
2001-05-15,239.718
2001-05-16,237.912
2001-05-17,238.118
2001-05-18,237.563
2001-05-21,239.868
2001-05-22,240.988
2001-05-23,239.408
2001-05-24,238.524
2001-05-25,240.101
2001-05-28,239.843
2001-05-29,238.551
2001-05-30,238.722
2001-05-31,235.867
2001-06-01,233.755
2001-06-04,234.079
2001-06-05,234.168
2001-06-06,232.924
2001-06-07,233.934
2001-06-08,232.802
2001-06-11,228.966
2001-06-12,228.056
2001-06-13,229.116
2001-06-14,229.724
2001-06-15,227.21
2001-06-18,225.812
2001-06-19,222.418
2001-06-20,220.554
2001-06-21,221.169
2001-06-22,221.634
2001-06-25,225.089
2001-06-26,223.365
2001-06-27,226.28
2001-06-28,224.029
2001-06-29,224.4
2001-07-02,225.607
2001-07-03,226.783
2001-07-04,224.244
2001-07-05,221.258
2001-07-06,221.85
2001-07-09,223.005
2001-07-10,225.119
2001-07-11,225.239
2001-07-12,222.569
2001-07-13,222.569
2001-07-16,221.623
2001-07-17,219.987
2001-07-18,225.592
2001-07-19,226.982
2001-07-20,228.02
2001-07-23,225.817
2001-07-24,225.906
2001-07-25,225.934
2001-07-26,225.486
2001-07-27,225.402
2001-07-30,227.421
2001-07-31,228.717
2001-08-01,233.898
2001-08-02,234.437
2001-08-03,235.348
2001-08-06,232.616
2001-08-07,229.595
2001-08-08,228.325
2001-08-09,227.478
2001-08-10,226.901
2001-08-13,228.089
2001-08-14,231.159
2001-08-15,233.713
2001-08-16,232.987
2001-08-17,233.417
2001-08-20,230.828
2001-08-21,228.289
2001-08-22,228.159
2001-08-23,225.929
2001-08-24,227.559
2001-08-27,227.03
2001-08-28,225.808
2001-08-29,224.174
2001-08-30,218.644
2001-08-31,214.532
2001-09-03,212.853
2001-09-04,208.983
2001-09-05,206.12
2001-09-06,204.257
2001-09-07,207.652
2001-09-10,203.505
2001-09-11,199.129
2001-09-12,200.383
2001-09-13,202.722
2001-09-14,203.648
2001-09-17,193.883
2001-09-18,189.803
2001-09-19,191.952
2001-09-20,183.829
2001-09-21,173.787
2001-09-24,177.671
2001-09-25,181.498
2001-09-26,185.663
2001-09-27,186.066
2001-09-28,190.15
2001-10-01,186.853
2001-10-02,189.525
2001-10-03,190.488
2001-10-04,193.654
2001-10-05,194.311
2001-10-08,193.843
2001-10-09,198.917
2001-10-10,199.1
2001-10-11,201.811
2001-10-12,200.269
2001-10-15,200.843
2001-10-16,200.721
2001-10-17,202.043
2001-10-18,197.891
2001-10-19,198.444
2001-10-22,199.309
2001-10-23,199.391
2001-10-24,198.517
2001-10-25,196.39
2001-10-26,197.668
2001-10-29,198.863
2001-10-30,195.545
2001-10-31,195.434
2001-11-01,196.098
2001-11-02,194.162
2001-11-05,194.95
2001-11-06,194.497
2001-11-07,195.396
2001-11-08,198.18
2001-11-09,199.31
2001-11-12,197.038
2001-11-13,197.458
2001-11-14,197.069
2001-11-15,197.456
2001-11-16,198.204
2001-11-19,198.838
2001-11-20,197.986
2001-11-21,197.58
2001-11-22,198.303
2001-11-23,198.569
2001-11-26,200.657
2001-11-27,203.073
2001-11-28,201.239
2001-11-29,200.653
2001-11-30,201.248
2001-12-03,195.711
2001-12-04,194.926
2001-12-05,198.595
2001-12-06,196.701
2001-12-07,195.846
2001-12-10,194.799
2001-12-11,193.567
2001-12-12,192.429
2001-12-13,191.403
2001-12-14,190.719
2001-12-17,189.276
2001-12-18,190.498
2001-12-19,191.074
2001-12-20,192.592
2001-12-21,189.104
2001-12-24,187.267
2001-12-25,187.267
2001-12-26,187.423
2001-12-27,191.825
2001-12-28,193.36
2001-12-31,195.253
2002-01-01,195.253
2002-01-02,199.167
2002-01-03,199.716
2002-01-04,197.387
2002-01-07,195.81
2002-01-08,194.271
2002-01-09,194.972
2002-01-10,196.271
2002-01-11,198.232
2002-01-14,196.286
2002-01-15,195.632
2002-01-16,192.087
2002-01-17,191.563
2002-01-18,193.052
2002-01-21,193.699
2002-01-22,194.996
2002-01-23,195.513
2002-01-24,195.853
2002-01-25,191.331
2002-01-28,191.068
2002-01-29,190.001
2002-01-30,187.711
2002-01-31,189.177
2002-02-01,190.837
2002-02-04,191.568
2002-02-05,190.416
2002-02-06,189.575
2002-02-07,190.446
2002-02-08,191.715
2002-02-11,195.118
2002-02-12,194.432
2002-02-13,192.574
2002-02-14,192.867
2002-02-15,194.522
2002-02-18,192.594
2002-02-19,191.932
2002-02-20,193.425
2002-02-21,195.671
2002-02-22,197.57
2002-02-25,197.393
2002-02-26,198.483
2002-02-27,199.47
2002-02-28,198.978
2002-03-01,198.21
2002-03-04,199.031
2002-03-05,197.113
2002-03-06,197.868
2002-03-07,198.271
2002-03-08,201.322
2002-03-11,202.08
2002-03-12,200.303
