Date,DENMARK SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,162.884
1994-06-30,163.248
1994-07-29,170.615
1994-08-31,158.265
1994-09-30,159.536
1994-10-31,165.011
1994-11-30,159.944
1994-12-30,164.936
1995-01-31,172.515
1995-02-28,179.999
1995-03-31,183.495
1995-04-28,185.784
1995-05-31,189.766
1995-06-30,190.991
1995-07-31,201.773
1995-08-31,186.557
1995-09-29,187.886
1995-10-31,185.776
1995-11-30,182.333
1995-12-29,184.63
1996-01-31,186.754
1996-02-29,189.703
1996-03-29,192.94
1996-04-30,190.386
1996-05-31,187.589
1996-06-28,191.344
1996-07-31,195.969
1996-08-30,204.718
1996-09-30,208.274
1996-10-31,215.963
1996-11-29,217.395
1996-12-31,221.876
1997-01-31,222.467
1997-02-28,222.729
1997-03-31,223.747
1997-04-30,216.806
1997-05-30,225.961
1997-06-30,226.198
1997-07-31,220.795
1997-08-29,212.982
1997-09-30,223.19
1997-10-31,220.276
1997-11-28,213.834
1997-12-31,214.828
1998-01-30,221.18
1998-02-27,226.985
1998-03-31,240.057
1998-04-30,243.138
1998-05-29,244.844
1998-06-30,250.984
1998-07-31,258.376
1998-08-31,236.382
1998-09-30,237.505
1998-10-30,233.964
1998-11-30,226.888
1998-12-31,231.072
1999-01-29,233.179
1999-02-26,215.247
1999-03-31,213.535
1999-04-30,211.203
1999-05-31,207.69
1999-06-30,215.491
1999-07-30,224.048
1999-08-31,226.702
1999-09-30,221.38
1999-10-29,216.153
1999-11-30,226.832
1999-12-31,237.768
2000-01-31,263.762
2000-02-29,278.535
2000-03-31,294.793
2000-04-28,278.634
2000-05-31,273.855
2000-06-30,287.768
2000-07-31,305.116
2000-08-31,318.287
2000-09-29,323.084
2000-10-31,309.648
2000-11-30,284.194
2000-12-29,321.47
2001-01-31,344.06
2001-02-28,312.997
2001-03-30,266.192
2001-04-30,282.451
2001-05-31,289.346
2001-06-29,275.699
2001-07-31,281.042
2001-08-31,259.21
2001-09-28,223.472
2001-10-31,231.699
2001-11-30,244.891
2001-12-31,232.727
2002-01-31,220.1
2002-02-28,235.825
2002-03-29,249.353
2002-04-30,241.722
2002-05-31,255.897
2002-06-28,254.449
2002-07-31,222.937
2002-08-30,215.255
2002-09-30,182.867
2002-10-31,184.647
2002-11-29,177.746
2002-12-31,187.198
2003-01-31,173.276
2003-02-28,159.084
2003-03-31,168.829
2003-04-30,190.508
2003-05-30,208.639
2003-06-30,212.934
2003-07-31,218.843
2003-08-29,244.827
2003-09-30,255.589
2003-10-31,277.071
2003-11-28,264.096
2003-12-31,285.824
2004-01-30,307.401
2004-02-27,323.2
2004-03-31,312.406
2004-04-30,312.489
2004-05-31,314.661
2004-06-30,330.514
2004-07-30,321.101
2004-08-31,320.517
2004-09-30,339.803
2004-10-29,341.196
2004-11-30,366.472
2004-12-31,387.397
2005-01-31,384.291
2005-02-28,404.101
2005-03-31,420.134
2005-04-29,413.295
2005-05-31,423.559
2005-06-30,437.994
2005-07-29,455.377
2005-08-31,481.05
2005-09-30,503.274
2005-10-31,483.348
2005-11-30,471.704
2005-12-30,516.378
2006-01-31,561.657
2006-02-28,581.941
2006-03-31,636.946
2006-04-28,697.294
2006-05-31,670.931
2006-06-30,652.913
2006-07-31,657.281
2006-08-31,677.924
2006-09-29,703.658
2006-10-31,731.824
2006-11-30,804.025
2006-12-29,848.901
2007-01-31,854.586
2007-02-28,843.286
2007-03-30,888.828
2007-04-30,968.895
2007-05-31,1000.0
2007-06-29,965.886
2007-07-31,1009.09
2007-08-31,992.556
2007-09-28,1051.138
2007-10-31,1098.152
2007-11-30,1041.99
2007-12-31,1060.996
2008-01-31,894.32
2008-02-29,964.389
2008-03-31,1004.178
2008-04-30,1031.529
2008-05-30,1139.733
2008-06-30,1016.631
2008-07-31,985.744
2008-08-29,906.484
2008-09-30,722.171
2008-10-31,539.594
2008-11-28,487.444
2008-12-31,504.668
2009-01-30,489.556
2009-02-27,432.734
2009-03-31,434.996
2009-04-30,514.403
2009-05-29,575.148
2009-06-30,561.465
2009-07-31,630.126
2009-08-31,667.975
2009-09-30,719.338
2009-10-30,691.448
2009-11-30,721.856
2009-12-31,738.466
2010-01-29,739.17
2010-02-26,714.119
2010-03-31,757.018
2010-04-30,790.559
2010-05-31,682.776
2010-06-30,668.992
2010-07-30,756.453
2010-08-31,681.667
2010-09-30,792.169
2010-10-29,813.375
2010-11-30,802.226
2010-12-31,881.215
2011-01-31,895.386
2011-02-28,906.125
2011-03-31,961.608
2011-04-29,976.846
2011-05-31,918.872
2011-06-30,877.016
2011-07-29,846.351
2011-08-31,753.474
2011-09-30,679.321
2011-10-31,732.048
2011-11-30,729.384
2011-12-30,693.258
2012-01-31,724.702
2012-02-29,773.323
2012-03-30,765.171
2012-04-30,760.03
2012-05-31,691.217
2012-06-29,699.752
2012-07-31,720.701
2012-08-31,758.272
2012-09-28,787.547
2012-10-31,798.325
2012-11-30,806.375
2012-12-31,839.963
2013-01-31,908.236
2013-02-28,931.571
2013-03-29,934.18
2013-04-30,956.429
2013-05-31,962.287
2013-06-28,930.285
2013-07-31,991.605
2013-08-30,987.29
2013-09-30,1054.816
2013-10-31,1110.429
2013-11-29,1130.613
2013-12-31,1186.631
2014-01-31,1215.889
2014-02-28,1315.976
2014-03-31,1311.412
2014-04-30,1366.189
2014-05-30,1446.317
2014-06-30,1455.382
2014-07-31,1370.148
2014-08-29,1335.427
2014-09-30,1287.479
2014-10-31,1315.244
2014-11-28,1332.911
2014-12-31,1320.007
2015-01-30,1329.286
2015-02-27,1454.447
2015-03-31,1444.047
2015-04-30,1536.609
2015-05-29,1574.458
2015-06-30,1560.759
2015-07-31,1667.731
2015-08-31,1602.771
2015-09-30,1611.835
2015-10-30,1698.706
2015-11-30,1791.241
2015-12-31,1859.425
2016-01-29,1773.22
2016-02-29,1784.038
2016-03-31,1911.209
2016-04-29,1923.734
2016-05-31,2052.604
2016-06-30,1945.99
2016-07-29,1977.857
2016-08-31,2008.891
2016-09-30,2026.988
2016-10-31,1959.865
2016-11-30,1788.286
2016-12-30,1820.403
2017-01-31,1956.694
2017-02-28,1969.198
2017-03-31,2042.884
2017-04-28,2159.402
2017-05-31,2241.82
2017-06-30,2248.072
2017-07-31,2414.556
2017-08-31,2462.068
2017-09-29,2443.446
2017-10-31,2460.543
2017-11-30,2321.446
2017-12-29,2365.454
2018-01-31,2400.524
2018-02-28,2423.261
2018-03-30,2463.115
2018-04-30,2457.317
2018-05-31,2417.793
2018-06-29,2430.4
2018-07-31,2589.847
2018-08-31,2597.715
2018-09-28,2491.026
2018-10-31,2243.049
2018-11-30,2161.636
2018-12-31,2089.76
2019-01-31,2229.12
2019-02-28,2360.676
2019-03-29,2351.974
2019-04-30,2458.291
2019-05-31,2333.564
2019-06-28,2396.075
2019-07-31,2337.043
2019-08-30,2285.94
2019-09-30,2246.165
2019-10-31,2313.915
2019-11-29,2500.834
2019-12-31,2585.553
2020-01-31,2605.36
2020-02-28,2475.887
2020-03-31,2198.493
2020-04-30,2467.917
2020-05-29,2820.763
2020-06-30,2894.377
2020-07-31,3231.724
2020-08-31,3511.088
2020-09-30,3552.613
2020-10-30,3454.147
2020-11-30,3870.667
2020-12-31,4139.651
2021-01-29,3973.053
2021-02-26,3889.085
2021-03-31,3960.909
2021-04-30,4362.441
2021-05-31,4494.173
2021-06-30,4526.752
2021-07-30,4723.855
2021-08-31,4676.073
2021-09-30,4272.415
2021-10-29,4364.392
2021-11-30,4028.342
2021-12-31,4208.331
2022-01-31,3640.822
2022-02-28,3486.775
2022-03-31,3542.019
2022-04-29,3349.028
2022-05-31,3179.224
