Date,DENMARK SMID VALUE SMID (Small+Mid Cap)
1994-05-31,94.374
1994-06-30,99.184
1994-07-29,102.772
1994-08-31,100.264
1994-09-30,100.377
1994-10-31,103.19
1994-11-30,97.975
1994-12-30,100.425
1995-01-31,104.827
1995-02-28,107.741
1995-03-31,108.484
1995-04-28,112.77
1995-05-31,117.292
1995-06-30,117.304
1995-07-31,124.495
1995-08-31,116.377
1995-09-29,115.619
1995-10-31,114.594
1995-11-30,113.616
1995-12-29,115.189
1996-01-31,116.878
1996-02-29,116.205
1996-03-29,112.049
1996-04-30,112.772
1996-05-31,114.624
1996-06-28,117.7
1996-07-31,119.799
1996-08-30,125.277
1996-09-30,128.137
1996-10-31,131.779
1996-11-29,133.75
1996-12-31,136.658
1997-01-31,140.908
1997-02-28,142.126
1997-03-31,143.608
1997-04-30,139.578
1997-05-30,147.601
1997-06-30,151.852
1997-07-31,155.99
1997-08-29,150.587
1997-09-30,157.849
1997-10-31,162.778
1997-11-28,160.457
1997-12-31,163.086
1998-01-30,167.213
1998-02-27,165.875
1998-03-31,174.914
1998-04-30,176.312
1998-05-29,176.754
1998-06-30,175.533
1998-07-31,178.85
1998-08-31,155.202
1998-09-30,147.826
1998-10-30,150.905
1998-11-30,145.148
1998-12-31,148.075
1999-01-29,146.964
1999-02-26,138.174
1999-03-31,131.697
1999-04-30,133.992
1999-05-31,136.261
1999-06-30,132.779
1999-07-30,135.329
1999-08-31,133.0
1999-09-30,134.502
1999-10-29,140.412
1999-11-30,137.038
1999-12-31,134.006
2000-01-31,123.495
2000-02-29,122.551
2000-03-31,130.499
2000-04-28,124.625
2000-05-31,129.514
2000-06-30,129.565
2000-07-31,135.25
2000-08-31,132.395
2000-09-29,138.531
2000-10-31,153.539
2000-11-30,156.222
2000-12-29,166.59
2001-01-31,174.99
2001-02-28,169.023
2001-03-30,147.803
2001-04-30,159.63
2001-05-31,158.211
2001-06-29,149.938
2001-07-31,152.8
2001-08-31,149.435
2001-09-28,141.281
2001-10-31,142.306
2001-11-30,137.526
2001-12-31,141.058
