Date,DENMARK Standard (Large+Mid Cap)
2001-01-01,4521.363
2001-01-02,4618.725
2001-01-03,4667.142
2001-01-04,4733.397
2001-01-05,4804.599
2001-01-08,4824.372
2001-01-09,4768.188
2001-01-10,4768.349
2001-01-11,4785.165
2001-01-12,4837.159
2001-01-15,4814.886
2001-01-16,4807.394
2001-01-17,4894.079
2001-01-18,4971.736
2001-01-19,4924.991
2001-01-22,5004.291
2001-01-23,5022.474
2001-01-24,5011.631
2001-01-25,5004.089
2001-01-26,5011.037
2001-01-29,4997.355
2001-01-30,5008.975
2001-01-31,5051.804
2001-02-01,5043.951
2001-02-02,4909.095
2001-02-05,4921.037
2001-02-06,4924.47
2001-02-07,4912.722
2001-02-08,4817.756
2001-02-09,4844.35
2001-02-12,4859.073
2001-02-13,4778.774
2001-02-14,4765.897
2001-02-15,4782.391
2001-02-16,4865.145
2001-02-19,4851.743
2001-02-20,4813.103
2001-02-21,4820.767
2001-02-22,4637.79
2001-02-23,4570.968
2001-02-26,4543.431
2001-02-27,4630.928
2001-02-28,4594.94
2001-03-01,4625.353
2001-03-02,4579.278
2001-03-05,4556.609
2001-03-06,4580.711
2001-03-07,4587.075
2001-03-08,4627.036
2001-03-09,4586.554
2001-03-12,4512.353
2001-03-13,4368.382
2001-03-14,4227.38
2001-03-15,4224.641
2001-03-16,4128.334
2001-03-19,4066.126
2001-03-20,4099.401
2001-03-21,4083.909
2001-03-22,3967.11
2001-03-23,4057.13
2001-03-26,4215.021
2001-03-27,4210.754
2001-03-28,4191.375
2001-03-29,4103.718
2001-03-30,4156.641
2001-04-02,4075.337
2001-04-03,4011.346
2001-04-04,3991.08
2001-04-05,4066.201
2001-04-06,4131.418
2001-04-09,4137.502
2001-04-10,4111.912
2001-04-11,4129.661
2001-04-12,4143.07
2001-04-13,4143.07
2001-04-16,4148.497
2001-04-17,4167.444
2001-04-18,4202.675
2001-04-19,4258.931
2001-04-20,4267.385
2001-04-23,4248.86
2001-04-24,4240.663
2001-04-25,4232.594
2001-04-26,4234.225
2001-04-27,4222.21
2001-04-30,4260.281
2001-05-01,4265.995
2001-05-02,4219.283
2001-05-03,4255.621
2001-05-04,4206.661
2001-05-07,4234.464
2001-05-08,4255.66
2001-05-09,4228.538
2001-05-10,4240.218
2001-05-11,4206.37
2001-05-14,4178.544
2001-05-15,4214.181
2001-05-16,4248.121
2001-05-17,4299.301
2001-05-18,4313.397
2001-05-21,4281.138
2001-05-22,4294.121
2001-05-23,4277.048
2001-05-24,4261.262
2001-05-25,4298.605
2001-05-28,4307.186
2001-05-29,4258.424
2001-05-30,4258.165
2001-05-31,4256.789
2001-06-01,4244.669
2001-06-04,4250.556
2001-06-05,4252.175
2001-06-06,4245.643
2001-06-07,4234.771
2001-06-08,4196.618
2001-06-11,4156.135
2001-06-12,4192.765
2001-06-13,4265.363
2001-06-14,4250.717
2001-06-15,4210.213
2001-06-18,4252.152
2001-06-19,4240.444
2001-06-20,4237.172
2001-06-21,4200.774
2001-06-22,4207.863
2001-06-25,4229.73
2001-06-26,4175.287
2001-06-27,4183.497
2001-06-28,4203.39
2001-06-29,4183.086
2001-07-02,4184.703
2001-07-03,4220.28
2001-07-04,4231.392
2001-07-05,4197.494
2001-07-06,4189.64
2001-07-09,4263.278
2001-07-10,4308.29
2001-07-11,4302.885
2001-07-12,4213.847
2001-07-13,4192.867
2001-07-16,4174.16
2001-07-17,4145.16
2001-07-18,4232.452
2001-07-19,4319.012
2001-07-20,4263.758
2001-07-23,4215.993
2001-07-24,4241.416
2001-07-25,4199.641
2001-07-26,4206.595
2001-07-27,4250.831
2001-07-30,4306.712
2001-07-31,4326.639
2001-08-01,4378.825
2001-08-02,4393.672
2001-08-03,4364.258
2001-08-06,4335.77
2001-08-07,4272.79
2001-08-08,4226.78
2001-08-09,4218.085
2001-08-10,4249.856
2001-08-13,4283.661
2001-08-14,4264.726
2001-08-15,4348.491
2001-08-16,4321.765
2001-08-17,4348.048
2001-08-20,4320.111
2001-08-21,4324.539
2001-08-22,4310.677
2001-08-23,4285.734
2001-08-24,4323.723
2001-08-27,4283.448
2001-08-28,4195.458
2001-08-29,4151.737
2001-08-30,4077.885
2001-08-31,4089.809
2001-09-03,4035.662
2001-09-04,3951.035
2001-09-05,3930.587
2001-09-06,3989.06
2001-09-07,4028.139
2001-09-10,3910.549
2001-09-11,3873.67
2001-09-12,3901.403
2001-09-13,3973.085
2001-09-14,3938.323
2001-09-17,3873.25
2001-09-18,3760.546
2001-09-19,3821.344
2001-09-20,3684.974
2001-09-21,3512.2
2001-09-24,3593.806
2001-09-25,3559.707
2001-09-26,3648.847
2001-09-27,3687.698
2001-09-28,3731.154
2001-10-01,3648.447
2001-10-02,3745.839
2001-10-03,3734.612
2001-10-04,3780.461
2001-10-05,3807.938
2001-10-08,3779.334
2001-10-09,3831.796
2001-10-10,3872.94
2001-10-11,3962.504
2001-10-12,3883.683
2001-10-15,3885.66
2001-10-16,3871.29
2001-10-17,3892.346
2001-10-18,3854.476
2001-10-19,3784.45
2001-10-22,3807.252
2001-10-23,3808.522
2001-10-24,3835.796
2001-10-25,3793.763
2001-10-26,3898.323
2001-10-29,3835.877
2001-10-30,3783.328
2001-10-31,3805.963
2001-11-01,3829.395
2001-11-02,3816.015
2001-11-05,3833.081
2001-11-06,3810.986
2001-11-07,3807.026
2001-11-08,3768.242
2001-11-09,3696.646
2001-11-12,3643.563
2001-11-13,3601.426
2001-11-14,3666.174
2001-11-15,3656.394
2001-11-16,3682.825
2001-11-19,3659.813
2001-11-20,3712.284
2001-11-21,3687.0
2001-11-22,3718.619
2001-11-23,3705.053
2001-11-26,3663.578
2001-11-27,3686.046
2001-11-28,3677.542
2001-11-29,3699.93
2001-11-30,3847.79
2001-12-03,3766.607
2001-12-04,3790.912
2001-12-05,3798.612
2001-12-06,3786.363
2001-12-07,3767.133
2001-12-10,3724.246
2001-12-11,3715.342
2001-12-12,3707.797
2001-12-13,3692.645
2001-12-14,3661.736
2001-12-17,3629.447
2001-12-18,3712.794
2001-12-19,3720.267
2001-12-20,3753.37
2001-12-21,3712.868
2001-12-24,3676.796
2001-12-25,3676.796
2001-12-26,3679.859
2001-12-27,3797.397
2001-12-28,3814.612
2001-12-31,3851.957
2002-01-01,3851.957
2002-01-02,3902.647
2002-01-03,3922.866
2002-01-04,3873.618
2002-01-07,3854.194
2002-01-08,3792.184
2002-01-09,3796.205
2002-01-10,3812.16
2002-01-11,3780.215
2002-01-14,3762.285
2002-01-15,3731.2
2002-01-16,3703.243
2002-01-17,3741.641
2002-01-18,3730.337
2002-01-21,3719.224
2002-01-22,3725.191
2002-01-23,3707.343
2002-01-24,3706.884
2002-01-25,3608.73
2002-01-28,3582.737
2002-01-29,3554.493
2002-01-30,3560.332
2002-01-31,3647.048
2002-02-01,3686.725
2002-02-04,3690.509
2002-02-05,3655.829
2002-02-06,3625.326
2002-02-07,3636.61
2002-02-08,3670.263
2002-02-11,3703.131
2002-02-12,3677.21
2002-02-13,3695.534
2002-02-14,3735.296
2002-02-15,3757.866
2002-02-18,3689.425
2002-02-19,3691.468
2002-02-20,3682.809
2002-02-21,3624.706
2002-02-22,3645.023
2002-02-25,3696.623
2002-02-26,3706.121
2002-02-27,3761.978
2002-02-28,3734.556
2002-03-01,3730.36
2002-03-04,3791.79
2002-03-05,3807.278
2002-03-06,3778.221
2002-03-07,3779.71
2002-03-08,3843.402
2002-03-11,3815.46
2002-03-12,3773.623
2002-03-13,3785.842
2002-03-14,3828.287
2002-03-15,3836.08
2002-03-18,3890.464
2002-03-19,3906.519
2002-03-20,3891.01
2002-03-21,3884.484
2002-03-22,3897.493
2002-03-25,3911.669
2002-03-26,3901.463
2002-03-27,3873.941
2002-03-28,3872.054
2002-03-29,3872.054
2002-04-01,3903.941
2002-04-02,3900.115
2002-04-03,3891.149
2002-04-04,3897.44
2002-04-05,3901.146
2002-04-08,3868.036
2002-04-09,3884.303
2002-04-10,3708.546
2002-04-11,3652.651
2002-04-12,3673.974
2002-04-15,3665.633
2002-04-16,3673.368
2002-04-17,3731.952
2002-04-18,3702.45
2002-04-19,3722.788
2002-04-22,3709.739
2002-04-23,3650.844
2002-04-24,3626.153
2002-04-25,3631.933
2002-04-26,3631.911
2002-04-29,3637.36
2002-04-30,3729.529
2002-05-01,3760.987
2002-05-02,3839.564
2002-05-03,3855.842
2002-05-06,3863.275
2002-05-07,3862.192
2002-05-08,3901.968
2002-05-09,3901.11
2002-05-10,3879.413
2002-05-13,3862.811
2002-05-14,3824.776
2002-05-15,3815.239
2002-05-16,3802.418
2002-05-17,3876.393
2002-05-20,3877.689
2002-05-21,3865.426
2002-05-22,3850.109
2002-05-23,3834.913
2002-05-24,3811.907
2002-05-27,3786.692
2002-05-28,3790.853
2002-05-29,3778.297
2002-05-30,3820.537
2002-05-31,3816.566
2002-06-03,3847.021
2002-06-04,3812.268
2002-06-05,3788.344
2002-06-06,3889.714
2002-06-07,3786.081
2002-06-10,3793.447
2002-06-11,3798.013
2002-06-12,3814.606
2002-06-13,3778.9
2002-06-14,3707.689
2002-06-17,3738.708
2002-06-18,3740.931
2002-06-19,3672.904
2002-06-20,3659.444
2002-06-21,3678.93
2002-06-24,3621.686
2002-06-25,3692.959
2002-06-26,3707.059
2002-06-27,3782.971
2002-06-28,3862.91
2002-07-01,3845.933
2002-07-02,3812.304
2002-07-03,3716.787
2002-07-04,3755.247
2002-07-05,3818.208
2002-07-08,3865.718
2002-07-09,3824.723
2002-07-10,3767.581
2002-07-11,3665.203
2002-07-12,3690.342
2002-07-15,3691.447
2002-07-16,3657.834
2002-07-17,3701.929
2002-07-18,3753.054
2002-07-19,3700.797
2002-07-22,3484.118
2002-07-23,3317.854
2002-07-24,3147.541
2002-07-25,3327.549
2002-07-26,3251.923
2002-07-29,3372.853
2002-07-30,3395.245
2002-07-31,3370.195
2002-08-01,3370.278
2002-08-02,3370.303
2002-08-05,3255.157
2002-08-06,3256.531
2002-08-07,3297.518
2002-08-08,3275.224
2002-08-09,3303.465
2002-08-12,3341.066
2002-08-13,3359.361
2002-08-14,3345.764
2002-08-15,3385.357
2002-08-16,3362.862
2002-08-19,3415.49
2002-08-20,3441.551
2002-08-21,3519.548
2002-08-22,3439.577
2002-08-23,3422.597
2002-08-26,3396.265
2002-08-27,3446.687
2002-08-28,3485.725
2002-08-29,3484.116
2002-08-30,3478.527
2002-09-02,3504.937
2002-09-03,3443.12
2002-09-04,3406.146
2002-09-05,3390.895
2002-09-06,3432.95
2002-09-09,3359.852
2002-09-10,3365.785
2002-09-11,3416.227
2002-09-12,3341.735
2002-09-13,3329.846
2002-09-16,3269.53
2002-09-17,3255.463
2002-09-18,3158.9
2002-09-19,3141.759
2002-09-20,3176.011
2002-09-23,3131.856
2002-09-24,3024.586
2002-09-25,2996.946
2002-09-26,3003.718
2002-09-27,3069.061
2002-09-30,3012.052
2002-10-01,2922.079
2002-10-02,3003.785
2002-10-03,2959.201
2002-10-04,2979.487
2002-10-07,2988.696
2002-10-08,2958.07
2002-10-09,2906.198
2002-10-10,2889.796
2002-10-11,3035.594
2002-10-14,3021.424
2002-10-15,3147.381
2002-10-16,3120.997
2002-10-17,3116.009
2002-10-18,3151.98
2002-10-21,3130.672
2002-10-22,3146.944
2002-10-23,3049.904
2002-10-24,3035.859
2002-10-25,3059.047
2002-10-28,3173.748
2002-10-29,3033.893
2002-10-30,3082.878
2002-10-31,3094.911
2002-11-01,3120.932
2002-11-04,3184.015
2002-11-05,3216.157
2002-11-06,3207.994
2002-11-07,3194.18
2002-11-08,3222.016
2002-11-11,3206.483
2002-11-12,3196.402
2002-11-13,3171.509
2002-11-14,3174.916
2002-11-15,3159.634
2002-11-18,3211.01
2002-11-19,3208.576
2002-11-20,3162.517
2002-11-21,3198.646
2002-11-22,3233.237
2002-11-25,3212.172
2002-11-26,3197.993
2002-11-27,3169.479
2002-11-28,3179.198
2002-11-29,3220.57
2002-12-02,3206.759
2002-12-03,3168.427
2002-12-04,3161.167
2002-12-05,3138.313
2002-12-06,3119.951
2002-12-09,3104.973
2002-12-10,3125.706
2002-12-11,3162.876
2002-12-12,3206.5
2002-12-13,3198.036
2002-12-16,3221.243
2002-12-17,3310.203
2002-12-18,3253.276
2002-12-19,3215.157
2002-12-20,3165.258
2002-12-23,3176.152
2002-12-24,3189.469
2002-12-25,3189.469
2002-12-26,3197.371
2002-12-27,3214.997
2002-12-30,3222.676
2002-12-31,3234.627
2003-01-01,3234.627
2003-01-02,3281.161
2003-01-03,3324.209
2003-01-06,3377.916
2003-01-07,3322.754
2003-01-08,3279.247
2003-01-09,3334.58
2003-01-10,3359.293
2003-01-13,3357.696
2003-01-14,3347.605
2003-01-15,3314.763
2003-01-16,3327.396
2003-01-17,3319.221
2003-01-20,3321.194
2003-01-21,3324.884
2003-01-22,3277.307
2003-01-23,3221.754
2003-01-24,3225.037
2003-01-27,3147.253
2003-01-28,3117.506
2003-01-29,3101.349
2003-01-30,3105.299
2003-01-31,3092.683
2003-02-03,3085.294
2003-02-04,3028.888
2003-02-05,3036.363
2003-02-06,3117.306
2003-02-07,3094.535
2003-02-10,3040.803
2003-02-11,3036.986
2003-02-12,3020.103
2003-02-13,3039.146
2003-02-14,3083.717
2003-02-17,3074.663
2003-02-18,3078.246
2003-02-19,3095.816
2003-02-20,3023.468
2003-02-21,2996.737
2003-02-24,3021.333
2003-02-25,2981.385
2003-02-26,2933.705
2003-02-27,2928.442
2003-02-28,2952.947
2003-03-03,2985.864
2003-03-04,2949.265
2003-03-05,2982.639
2003-03-06,2944.056
2003-03-07,2972.4
2003-03-10,2952.03
2003-03-11,2930.86
2003-03-12,2925.746
2003-03-13,2951.586
2003-03-14,3021.292
2003-03-17,3020.714
2003-03-18,3076.102
2003-03-19,3116.185
2003-03-20,3118.785
2003-03-21,3157.873
2003-03-24,3159.777
2003-03-25,3192.46
2003-03-26,3202.013
2003-03-27,3195.632
