Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,334.448
2001-01-02,334.55
2001-01-03,336.679
2001-01-04,350.098
2001-01-05,352.197
2001-01-08,351.944
2001-01-09,356.818
2001-01-10,355.432
2001-01-11,354.086
2001-01-12,357.878
2001-01-15,360.599
2001-01-16,362.47
2001-01-17,365.646
2001-01-18,369.225
2001-01-19,375.922
2001-01-22,376.476
2001-01-23,377.997
2001-01-24,377.384
2001-01-25,377.179
2001-01-26,375.102
2001-01-29,373.496
2001-01-30,376.691
2001-01-31,380.582
2001-02-01,379.382
2001-02-02,379.441
2001-02-05,372.911
2001-02-06,373.962
2001-02-07,367.396
2001-02-08,369.566
2001-02-09,368.766
2001-02-12,369.368
2001-02-13,372.481
2001-02-14,371.069
2001-02-15,375.706
2001-02-16,371.864
2001-02-19,366.976
2001-02-20,366.856
2001-02-21,356.358
2001-02-22,347.457
2001-02-23,344.746
2001-02-26,347.715
2001-02-27,345.658
2001-02-28,344.098
2001-03-01,341.242
2001-03-02,335.712
2001-03-05,338.675
2001-03-06,341.854
2001-03-07,344.038
2001-03-08,343.314
2001-03-09,338.742
2001-03-12,327.599
2001-03-13,325.654
2001-03-14,324.034
2001-03-15,324.064
2001-03-16,320.984
2001-03-19,317.341
2001-03-20,316.139
2001-03-21,315.63
2001-03-22,309.347
2001-03-23,310.885
2001-03-26,316.115
2001-03-27,315.211
2001-03-28,312.788
2001-03-29,306.967
2001-03-30,306.66
2001-04-02,300.754
2001-04-03,293.501
2001-04-04,289.002
2001-04-05,294.289
2001-04-06,297.822
2001-04-09,296.198
2001-04-10,299.243
2001-04-11,304.286
2001-04-12,305.929
2001-04-13,306.026
2001-04-16,304.121
2001-04-17,303.203
2001-04-18,313.026
2001-04-19,318.629
2001-04-20,313.582
2001-04-23,312.319
2001-04-24,313.453
2001-04-25,313.541
2001-04-26,316.939
2001-04-27,318.304
2001-04-30,322.212
2001-05-01,322.141
2001-05-02,326.105
2001-05-03,327.424
2001-05-04,324.538
2001-05-07,325.229
2001-05-08,323.882
2001-05-09,322.587
2001-05-10,321.918
2001-05-11,320.834
2001-05-14,317.521
2001-05-15,316.187
2001-05-16,318.124
2001-05-17,325.447
2001-05-18,325.985
2001-05-21,327.365
2001-05-22,329.399
2001-05-23,330.684
2001-05-24,329.696
2001-05-25,328.254
2001-05-28,327.903
2001-05-29,326.636
2001-05-30,322.582
2001-05-31,321.962
2001-06-01,320.67
2001-06-04,320.736
2001-06-05,319.611
2001-06-06,322.097
2001-06-07,322.391
2001-06-08,326.369
2001-06-11,324.32
2001-06-12,323.896
2001-06-13,323.358
2001-06-14,321.816
2001-06-15,320.204
2001-06-18,313.282
2001-06-19,313.186
2001-06-20,311.621
2001-06-21,313.727
2001-06-22,314.875
2001-06-25,313.597
2001-06-26,311.835
2001-06-27,311.995
2001-06-28,309.871
2001-06-29,313.605
2001-07-02,314.332
2001-07-03,311.841
2001-07-04,308.521
2001-07-05,306.398
2001-07-06,301.541
2001-07-09,299.178
2001-07-10,297.035
2001-07-11,290.798
2001-07-12,294.516
2001-07-13,292.147
2001-07-16,290.197
2001-07-17,290.699
2001-07-18,289.537
2001-07-19,290.077
2001-07-20,290.007
2001-07-23,289.319
2001-07-24,288.049
2001-07-25,288.513
2001-07-26,291.119
2001-07-27,292.389
2001-07-30,293.501
2001-07-31,295.079
2001-08-01,296.947
2001-08-02,300.352
2001-08-03,300.192
2001-08-06,297.786
2001-08-07,295.857
2001-08-08,295.66
2001-08-09,292.839
2001-08-10,293.54
2001-08-13,294.069
2001-08-14,297.436
2001-08-15,297.38
2001-08-16,295.389
2001-08-17,291.342
2001-08-20,288.376
2001-08-21,288.544
2001-08-22,287.637
2001-08-23,287.621
2001-08-24,287.441
2001-08-27,290.864
2001-08-28,289.531
2001-08-29,289.286
2001-08-30,286.841
2001-08-31,284.893
2001-09-03,282.564
2001-09-04,284.513
2001-09-05,281.599
2001-09-06,277.291
2001-09-07,276.423
2001-09-10,273.685
2001-09-11,265.288
2001-09-12,258.69
2001-09-13,253.935
2001-09-14,246.744
2001-09-17,241.618
2001-09-18,243.882
2001-09-19,245.592
2001-09-20,239.426
2001-09-21,233.691
2001-09-24,236.313
2001-09-25,234.539
2001-09-26,235.061
2001-09-27,234.634
2001-09-28,237.872
2001-10-01,236.804
2001-10-02,234.694
2001-10-03,233.348
2001-10-04,237.595
2001-10-05,238.378
2001-10-08,234.857
2001-10-09,239.963
2001-10-10,243.144
2001-10-11,250.595
2001-10-12,249.991
2001-10-15,248.722
2001-10-16,251.129
2001-10-17,252.846
2001-10-18,249.884
2001-10-19,250.399
2001-10-22,251.623
2001-10-23,253.674
2001-10-24,256.581
2001-10-25,256.579
2001-10-26,258.418
2001-10-29,258.221
2001-10-30,252.782
2001-10-31,253.984
2001-11-01,254.962
2001-11-02,256.874
2001-11-05,261.539
2001-11-06,262.93
2001-11-07,262.934
2001-11-08,266.578
2001-11-09,267.827
2001-11-12,267.709
2001-11-13,270.649
2001-11-14,274.883
2001-11-15,278.552
2001-11-16,279.312
2001-11-19,284.865
2001-11-20,279.933
2001-11-21,279.857
2001-11-22,281.092
2001-11-23,284.726
2001-11-26,290.088
2001-11-27,289.423
2001-11-28,282.853
2001-11-29,280.999
2001-11-30,282.848
2001-12-03,287.067
2001-12-04,290.493
2001-12-05,299.105
2001-12-06,304.081
2001-12-07,305.868
2001-12-10,302.013
2001-12-11,302.246
2001-12-12,307.531
2001-12-13,301.843
2001-12-14,300.335
2001-12-17,299.117
2001-12-18,298.426
2001-12-19,298.438
2001-12-20,299.166
2001-12-21,295.444
2001-12-24,297.223
2001-12-25,299.89
2001-12-26,300.776
2001-12-27,302.096
2001-12-28,306.398
2001-12-31,309.209
2002-01-01,309.19
2002-01-02,312.834
2002-01-03,315.637
2002-01-04,321.929
2002-01-07,325.062
2002-01-08,322.98
2002-01-09,323.308
2002-01-10,319.136
2002-01-11,315.265
2002-01-14,315.236
2002-01-15,312.514
2002-01-16,309.437
2002-01-17,311.002
2002-01-18,310.687
2002-01-21,313.655
2002-01-22,313.555
2002-01-23,315.239
2002-01-24,316.658
2002-01-25,318.86
2002-01-28,319.579
2002-01-29,317.015
2002-01-30,312.931
2002-01-31,316.333
2002-02-01,315.799
2002-02-04,314.088
2002-02-05,314.568
2002-02-06,316.701
2002-02-07,313.241
2002-02-08,313.792
2002-02-11,313.693
2002-02-12,314.853
2002-02-13,316.659
2002-02-14,321.296
2002-02-15,320.66
2002-02-18,321.37
2002-02-19,317.733
2002-02-20,313.711
2002-02-21,313.541
2002-02-22,312.622
2002-02-25,312.679
2002-02-26,314.124
2002-02-27,320.106
2002-02-28,318.441
2002-03-01,321.469
2002-03-04,330.102
2002-03-05,332.78
2002-03-06,335.217
2002-03-07,334.239
2002-03-08,333.419
2002-03-11,335.501
2002-03-12,333.81
2002-03-13,332.318
2002-03-14,332.831
2002-03-15,330.925
2002-03-18,332.972
2002-03-19,333.771
2002-03-20,335.577
2002-03-21,334.806
2002-03-22,336.913
2002-03-25,335.125
2002-03-26,335.785
2002-03-27,336.922
2002-03-28,337.566
2002-03-29,338.318
