Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,530.951
1994-06-30,519.937
1994-07-29,552.958
1994-08-31,629.006
1994-09-30,640.454
1994-10-31,638.15
1994-11-30,603.326
1994-12-30,573.413
1995-01-31,528.034
1995-02-28,526.365
1995-03-31,510.59
1995-04-28,516.831
1995-05-31,560.734
1995-06-30,554.573
1995-07-31,566.172
1995-08-31,551.294
1995-09-29,547.937
1995-10-31,531.177
1995-11-30,516.119
1995-12-29,540.122
1996-01-31,578.615
1996-02-29,568.376
1996-03-29,567.294
1996-04-30,584.048
1996-05-31,584.816
1996-06-28,587.022
1996-07-31,544.459
1996-08-30,558.15
1996-09-30,565.164
1996-10-31,545.44
1996-11-29,552.497
1996-12-31,554.688
1997-01-31,590.422
1997-02-28,614.982
1997-03-31,599.559
1997-04-30,588.64
1997-05-30,601.928
1997-06-30,638.982
1997-07-31,648.484
1997-08-29,566.143
1997-09-30,573.818
1997-10-31,476.2
1997-11-28,457.693
1997-12-31,459.052
1998-01-30,428.711
1998-02-27,473.795
1998-03-31,485.771
1998-04-30,481.118
1998-05-29,415.857
1998-06-30,371.778
1998-07-31,382.429
1998-08-31,273.224
1998-09-30,278.309
1998-10-30,304.776
1998-11-30,323.335
1998-12-31,314.295
1999-01-29,297.531
1999-02-26,299.428
1999-03-31,340.468
1999-04-30,377.023
1999-05-31,374.31
1999-06-30,416.207
1999-07-30,410.617
1999-08-31,407.902
1999-09-30,391.569
1999-10-29,403.841
1999-11-30,451.311
1999-12-31,542.759
2000-01-31,536.124
2000-02-29,553.343
2000-03-31,551.918
2000-04-28,486.164
2000-05-31,459.318
2000-06-30,479.674
2000-07-31,445.672
2000-08-31,454.252
2000-09-29,407.041
2000-10-31,376.426
2000-11-30,340.265
2000-12-29,339.526
2001-01-31,385.519
2001-02-28,348.544
2001-03-30,310.573
2001-04-30,326.3
2001-05-31,325.981
2001-06-29,317.487
2001-07-31,298.655
2001-08-31,288.316
2001-09-28,240.723
2001-10-31,257.023
2001-11-30,286.215
2001-12-31,312.874
2002-01-31,320.049
2002-02-28,322.154
2002-03-29,342.24
2002-04-30,339.904
2002-05-31,330.746
2002-06-28,301.562
2002-07-31,277.081
2002-08-30,281.859
2002-09-30,250.84
2002-10-31,269.26
2002-11-29,287.457
2002-12-31,274.502
2003-01-31,272.323
2003-02-28,264.049
2003-03-31,256.011
2003-04-30,276.432
2003-05-30,296.756
2003-06-30,314.686
2003-07-31,334.735
2003-08-29,356.612
2003-09-30,359.216
2003-10-31,384.223
2003-11-28,388.356
2003-12-31,410.393
2004-01-30,425.784
2004-02-27,442.892
2004-03-31,445.559
2004-04-30,409.299
2004-05-31,403.416
2004-06-30,399.579
2004-07-30,385.957
2004-08-31,403.277
2004-09-30,425.029
2004-10-29,434.136
2004-11-30,474.482
2004-12-31,498.473
2005-01-31,500.387
2005-02-28,540.03
2005-03-31,506.237
2005-04-29,490.052
2005-05-31,511.129
2005-06-30,525.711
2005-07-29,562.075
2005-08-31,565.832
2005-09-30,615.541
2005-10-31,579.166
2005-11-30,630.907
2005-12-30,673.121
2006-01-31,744.114
2006-02-28,742.444
2006-03-31,747.986
2006-04-28,799.081
2006-05-31,715.634
2006-06-30,706.283
2006-07-31,717.042
2006-08-31,744.479
2006-09-29,752.054
2006-10-31,785.06
2006-11-30,843.057
2006-12-29,883.681
2007-01-31,877.206
2007-02-28,874.829
2007-03-30,906.768
2007-04-30,958.215
2007-05-31,1000.0
2007-06-29,1044.218
2007-07-31,1103.551
2007-08-31,1069.987
2007-09-28,1185.039
2007-10-31,1309.929
2007-11-30,1210.8
2007-12-31,1210.1
2008-01-31,1029.983
2008-02-29,1119.545
2008-03-31,1052.91
2008-04-30,1129.322
2008-05-30,1151.081
2008-06-30,1026.275
2008-07-31,987.067
2008-08-29,901.637
2008-09-30,734.329
2008-10-31,528.434
2008-11-28,481.959
2008-12-31,520.666
2009-01-30,490.801
2009-02-27,468.924
2009-03-31,533.4
2009-04-30,622.095
2009-05-29,727.571
2009-06-30,717.322
2009-07-31,797.66
2009-08-31,794.848
2009-09-30,865.141
2009-10-30,865.043
2009-11-30,906.667
2009-12-31,946.208
2010-01-29,891.549
2010-02-26,895.066
2010-03-31,971.63
2010-04-30,983.611
2010-05-31,894.593
2010-06-30,887.799
2010-07-30,962.624
2010-08-31,949.572
2010-09-30,1059.904
2010-10-29,1092.757
2010-11-30,1066.795
2010-12-31,1134.183
2011-01-31,1097.672
2011-02-28,1078.601
2011-03-31,1142.413
2011-04-29,1186.967
2011-05-31,1157.565
2011-06-30,1138.277
2011-07-29,1139.084
2011-08-31,1031.365
2011-09-30,871.736
2011-10-31,987.548
2011-11-30,918.508
2011-12-30,906.87
2012-01-31,992.104
2012-02-29,1057.974
2012-03-30,1033.666
2012-04-30,1031.461
2012-05-31,918.669
2012-06-29,950.824
2012-07-31,972.133
2012-08-31,974.29
2012-09-28,1030.604
2012-10-31,1026.368
2012-11-30,1050.002
2012-12-31,1094.771
2013-01-31,1108.192
2013-02-28,1106.839
2013-03-29,1092.961
2013-04-30,1109.506
2013-05-31,1091.79
2013-06-28,1021.573
2013-07-31,1024.419
2013-08-30,1000.611
2013-09-30,1065.317
2013-10-31,1122.302
2013-11-29,1110.525
2013-12-31,1095.882
2014-01-31,1031.55
2014-02-28,1078.883
2014-03-31,1101.365
2014-04-30,1101.799
