Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
1994-05-31,378.189
1994-06-30,374.296
1994-07-29,395.396
1994-08-31,451.084
1994-09-30,450.767
1994-10-31,449.334
1994-11-30,417.432
1994-12-30,404.371
1995-01-31,372.905
1995-02-28,366.996
1995-03-31,356.267
1995-04-28,373.971
1995-05-31,402.706
1995-06-30,402.291
1995-07-31,404.189
1995-08-31,392.933
1995-09-29,394.518
1995-10-31,384.405
1995-11-30,372.891
1995-12-29,389.297
1996-01-31,423.009
1996-02-29,417.407
1996-03-29,417.529
1996-04-30,432.414
1996-05-31,425.276
1996-06-28,425.65
1996-07-31,397.646
1996-08-30,408.797
1996-09-30,407.42
1996-10-31,398.859
1996-11-29,407.871
1996-12-31,407.793
1997-01-31,437.118
1997-02-28,456.692
1997-03-31,446.338
1997-04-30,444.962
1997-05-30,450.507
1997-06-30,476.148
1997-07-31,481.024
1997-08-29,421.55
1997-09-30,432.031
1997-10-31,356.483
1997-11-28,345.609
1997-12-31,356.887
1998-01-30,332.167
1998-02-27,361.777
1998-03-31,377.63
1998-04-30,378.512
1998-05-29,324.807
1998-06-30,285.894
1998-07-31,292.106
1998-08-31,204.64
1998-09-30,219.667
1998-10-30,243.714
1998-11-30,259.459
1998-12-31,246.041
1999-01-29,233.93
1999-02-26,242.184
1999-03-31,275.64
1999-04-30,314.174
1999-05-31,307.234
1999-06-30,337.435
1999-07-30,319.256
1999-08-31,317.273
1999-09-30,304.267
1999-10-29,311.568
1999-11-30,340.679
1999-12-31,382.068
2000-01-31,383.088
2000-02-29,359.15
2000-03-31,366.05
2000-04-28,333.18
2000-05-31,317.949
2000-06-30,327.557
2000-07-31,317.239
2000-08-31,317.571
2000-09-29,286.993
2000-10-31,264.047
2000-11-30,242.512
2000-12-29,252.639
2001-01-31,292.325
2001-02-28,273.189
2001-03-30,251.499
2001-04-30,262.995
2001-05-31,268.407
2001-06-29,266.245
2001-07-31,244.699
2001-08-31,245.038
2001-09-28,209.385
2001-10-31,219.228
2001-11-30,241.764
2001-12-31,261.709
2002-01-31,270.357
2002-02-28,277.707
2002-03-29,294.016
2002-04-30,299.515
2002-05-31,295.596
2002-06-28,276.287
2002-07-31,254.574
2002-08-30,258.978
2002-09-30,232.649
2002-10-31,244.119
2002-11-29,259.651
2002-12-31,255.354
2003-01-31,252.719
2003-02-28,246.279
2003-03-31,238.292
2003-04-30,261.283
2003-05-30,276.556
2003-06-30,291.834
2003-07-31,307.935
2003-08-29,329.38
2003-09-30,328.884
2003-10-31,357.299
2003-11-28,364.494
2003-12-31,394.747
2004-01-30,408.131
2004-02-27,429.64
2004-03-31,440.196
2004-04-30,403.208
2004-05-31,394.013
2004-06-30,399.732
2004-07-30,397.56
2004-08-31,412.854
2004-09-30,437.461
2004-10-29,449.283
2004-11-30,488.695
2004-12-31,511.664
2005-01-31,510.944
2005-02-28,562.991
2005-03-31,525.69
2005-04-29,515.379
2005-05-31,529.845
2005-06-30,553.807
2005-07-29,594.399
2005-08-31,602.373
2005-09-30,659.604
2005-10-31,610.216
2005-11-30,653.807
2005-12-30,690.292
2006-01-31,770.931
2006-02-28,770.789
2006-03-31,776.447
2006-04-28,834.571
2006-05-31,754.07
2006-06-30,758.647
2006-07-31,769.858
2006-08-31,777.376
2006-09-29,777.923
2006-10-31,815.085
2006-11-30,876.081
2006-12-29,912.804
2007-01-31,897.144
2007-02-28,887.203
2007-03-30,927.863
2007-04-30,953.08
2007-05-31,1000.0
2007-06-29,1052.423
2007-07-31,1103.519
2007-08-31,1089.706
2007-09-28,1214.73
2007-10-31,1360.402
2007-11-30,1283.841
2007-12-31,1293.044
2008-01-31,1159.989
2008-02-29,1231.127
2008-03-31,1170.211
2008-04-30,1276.557
2008-05-30,1300.176
2008-06-30,1184.793
2008-07-31,1137.003
2008-08-29,1054.171
2008-09-30,879.349
2008-10-31,639.423
2008-11-28,600.465
2008-12-31,643.976
2009-01-30,597.506
2009-02-27,558.668
2009-03-31,640.953
2009-04-30,748.592
2009-05-29,882.671
2009-06-30,871.556
2009-07-31,967.549
2009-08-31,965.036
2009-09-30,1055.593
2009-10-30,1061.332
2009-11-30,1100.99
2009-12-31,1137.85
2010-01-29,1077.369
2010-02-26,1079.517
2010-03-31,1159.652
2010-04-30,1174.684
2010-05-31,1075.06
2010-06-30,1067.148
2010-07-30,1151.5
2010-08-31,1121.449
2010-09-30,1238.937
2010-10-29,1273.377
2010-11-30,1238.152
2010-12-31,1333.356
2011-01-31,1305.093
2011-02-28,1306.955
2011-03-31,1379.01
2011-04-29,1407.902
2011-05-31,1367.54
2011-06-30,1348.568
2011-07-29,1338.376
2011-08-31,1226.069
2011-09-30,1064.743
2011-10-31,1202.406
2011-11-30,1128.789
2011-12-30,1111.898
2012-01-31,1259.809
2012-02-29,1324.455
2012-03-30,1265.651
2012-04-30,1237.904
2012-05-31,1097.768
2012-06-29,1144.369
2012-07-31,1163.123
2012-08-31,1154.442
2012-09-28,1227.115
2012-10-31,1218.071
2012-11-30,1216.334
2012-12-31,1282.663
2013-01-31,1304.631
2013-02-28,1274.154
2013-03-29,1251.825
2013-04-30,1253.158
2013-05-31,1209.913
2013-06-28,1129.909
2013-07-31,1153.616
2013-08-30,1139.203
2013-09-30,1214.46
2013-10-31,1265.777
2013-11-29,1239.639
2013-12-31,1220.905
2014-01-31,1140.328
2014-02-28,1161.714
2014-03-31,1210.711
2014-04-30,1219.633
2014-05-30,1263.744
2014-06-30,1302.56
2014-07-31,1342.255
2014-08-29,1375.446
2014-09-30,1261.162
2014-10-31,1268.007
2014-11-28,1243.512
2014-12-31,1179.454
2015-01-30,1169.339
2015-02-27,1210.323
2015-03-31,1183.52
2015-04-30,1296.947
2015-05-29,1237.898
2015-06-30,1212.715
2015-07-31,1125.095
2015-08-31,1019.108
2015-09-30,981.485
2015-10-30,1051.88
2015-11-30,994.909
2015-12-31,970.183
2016-01-29,907.911
2016-02-29,913.138
2016-03-31,1046.774
2016-04-29,1060.444
2016-05-31,1000.524
2016-06-30,1047.757
2016-07-29,1100.953
2016-08-31,1126.129
2016-09-30,1135.651
2016-10-31,1157.207
2016-11-30,1121.559
2016-12-30,1133.253
2017-01-31,1184.614
2017-02-28,1226.906
2017-03-31,1247.074
2017-04-28,1257.063
2017-05-31,1285.312
2017-06-30,1286.92
2017-07-31,1358.354
2017-08-31,1390.18
2017-09-29,1362.944
2017-10-31,1410.698
2017-11-30,1401.539
2017-12-29,1457.46
2018-01-31,1591.031
