Date,EM (EMERGING MARKETS) MID VALUE Mid Cap
1995-05-31,404.53
1995-06-30,409.503
1995-07-31,429.394
1995-08-31,413.675
1995-09-29,403.771
1995-10-31,389.332
1995-11-30,373.161
1995-12-29,392.295
1996-01-31,422.441
1996-02-29,418.619
1996-03-29,424.423
1996-04-30,440.221
1996-05-31,426.724
1996-06-28,424.297
1996-07-31,395.867
1996-08-30,402.815
1996-09-30,404.543
1996-10-31,394.309
1996-11-29,393.297
1996-12-31,393.646
1997-01-31,417.15
1997-02-28,442.014
1997-03-31,424.257
1997-04-30,415.091
1997-05-30,414.652
1997-06-30,423.212
1997-07-31,422.593
1997-08-29,367.957
1997-09-30,367.068
1997-10-31,306.631
1997-11-28,274.75
1997-12-31,271.333
1998-01-30,243.593
1998-02-27,271.233
1998-03-31,282.423
1998-04-30,278.225
1998-05-29,242.508
1998-06-30,215.319
1998-07-31,213.133
1998-08-31,162.741
1998-09-30,164.742
1998-10-30,178.163
1998-11-30,199.637
1998-12-31,197.091
1999-01-29,185.22
1999-02-26,187.699
1999-03-31,213.332
1999-04-30,245.351
1999-05-31,244.361
1999-06-30,264.73
1999-07-30,260.869
1999-08-31,262.629
1999-09-30,252.866
1999-10-29,252.268
1999-11-30,271.243
1999-12-31,302.252
2000-01-31,311.633
2000-02-29,307.44
2000-03-31,303.777
2000-04-28,272.357
2000-05-31,258.607
2000-06-30,262.534
2000-07-31,258.993
2000-08-31,260.281
2000-09-29,234.861
2000-10-31,213.504
2000-11-30,202.362
2000-12-29,204.857
2001-01-31,230.042
2001-02-28,218.699
2001-03-30,200.543
2001-04-30,204.885
2001-05-31,208.953
2001-06-29,206.213
2001-07-31,193.332
2001-08-31,199.452
2001-09-28,168.754
2001-10-31,176.519
2001-11-30,199.08
2001-12-31,215.313
2002-01-31,227.694
2002-02-28,232.602
2002-03-29,249.63
2002-04-30,255.047
2002-05-31,249.149
2002-06-28,235.723
2002-07-31,225.149
2002-08-30,227.516
2002-09-30,201.757
2002-10-31,211.5
2002-11-29,226.021
2002-12-31,217.461
2003-01-31,222.757
2003-02-28,216.772
2003-03-31,206.54
2003-04-30,223.751
2003-05-30,243.863
2003-06-30,257.606
2003-07-31,273.344
2003-08-29,289.032
2003-09-30,289.055
2003-10-31,318.809
2003-11-28,321.925
2003-12-31,344.493
2004-01-30,363.224
2004-02-27,389.526
2004-03-31,400.966
2004-04-30,377.254
2004-05-31,370.765
