Date,EM (EMERGING MARKETS) SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,281.783
2001-01-02,281.419
2001-01-03,282.049
2001-01-04,290.135
2001-01-05,292.198
2001-01-08,294.288
2001-01-09,297.215
2001-01-10,297.594
2001-01-11,297.176
2001-01-12,298.898
2001-01-15,300.255
2001-01-16,300.471
2001-01-17,302.455
2001-01-18,302.913
2001-01-19,306.939
2001-01-22,309.697
2001-01-23,311.033
2001-01-24,310.614
2001-01-25,311.029
2001-01-26,309.947
2001-01-29,309.275
2001-01-30,311.283
2001-01-31,314.775
2001-02-01,314.492
2001-02-02,316.136
2001-02-05,312.274
2001-02-06,311.801
2001-02-07,306.988
2001-02-08,308.376
2001-02-09,309.134
2001-02-12,310.055
2001-02-13,311.576
2001-02-14,310.658
2001-02-15,313.187
2001-02-16,310.378
2001-02-19,307.401
2001-02-20,307.367
2001-02-21,301.01
2001-02-22,294.814
2001-02-23,293.021
2001-02-26,296.474
2001-02-27,295.59
2001-02-28,294.516
2001-03-01,293.775
2001-03-02,291.449
2001-03-05,293.33
2001-03-06,294.324
2001-03-07,295.593
2001-03-08,294.956
2001-03-09,292.346
2001-03-12,284.803
2001-03-13,281.986
2001-03-14,280.604
2001-03-15,281.201
2001-03-16,279.337
2001-03-19,275.865
2001-03-20,277.171
2001-03-21,275.876
2001-03-22,273.076
2001-03-23,274.283
2001-03-26,278.365
2001-03-27,277.609
2001-03-28,275.933
2001-03-29,272.63
2001-03-30,272.482
2001-04-02,267.205
2001-04-03,262.285
2001-04-04,260.834
2001-04-05,263.614
2001-04-06,264.331
2001-04-09,262.065
2001-04-10,262.412
2001-04-11,264.682
2001-04-12,266.908
2001-04-13,267.487
2001-04-16,266.553
2001-04-17,265.685
2001-04-18,272.27
2001-04-19,274.928
2001-04-20,272.324
2001-04-23,271.675
2001-04-24,273.255
2001-04-25,272.371
2001-04-26,274.487
2001-04-27,276.221
2001-04-30,277.227
2001-05-01,277.025
2001-05-02,277.762
2001-05-03,278.244
2001-05-04,276.74
2001-05-07,276.552
2001-05-08,274.963
2001-05-09,274.544
2001-05-10,274.182
2001-05-11,273.809
2001-05-14,273.242
2001-05-15,272.706
2001-05-16,274.19
2001-05-17,277.863
2001-05-18,278.159
2001-05-21,278.053
2001-05-22,279.055
2001-05-23,281.292
2001-05-24,283.121
2001-05-25,283.066
2001-05-28,282.481
2001-05-29,281.832
2001-05-30,279.804
2001-05-31,280.271
2001-06-01,278.243
2001-06-04,278.586
2001-06-05,278.075
2001-06-06,279.744
2001-06-07,279.577
2001-06-08,282.66
2001-06-11,281.368
2001-06-12,281.432
2001-06-13,281.062
2001-06-14,280.565
2001-06-15,280.711
2001-06-18,275.653
2001-06-19,274.132
2001-06-20,272.699
2001-06-21,273.534
2001-06-22,274.362
2001-06-25,274.166
2001-06-26,272.928
2001-06-27,272.569
2001-06-28,271.655
2001-06-29,273.789
2001-07-02,273.141
2001-07-03,271.511
2001-07-04,268.796
2001-07-05,267.313
2001-07-06,263.824
2001-07-09,262.462
2001-07-10,260.686
2001-07-11,255.252
2001-07-12,257.689
2001-07-13,255.525
2001-07-16,254.212
2001-07-17,254.474
2001-07-18,254.866
2001-07-19,255.378
2001-07-20,254.792
2001-07-23,254.13
2001-07-24,253.75
2001-07-25,252.313
2001-07-26,254.76
2001-07-27,255.184
2001-07-30,256.075
2001-07-31,255.722
2001-08-01,256.844
2001-08-02,259.164
2001-08-03,260.55
2001-08-06,258.626
2001-08-07,258.346
2001-08-08,258.784
2001-08-09,257.561
2001-08-10,258.307
2001-08-13,258.687
2001-08-14,260.686
2001-08-15,261.623
2001-08-16,262.084
2001-08-17,262.148
2001-08-20,260.882
2001-08-21,260.882
2001-08-22,260.298
2001-08-23,260.005
2001-08-24,259.774
2001-08-27,261.568
2001-08-28,260.302
2001-08-29,260.231
2001-08-30,258.167
2001-08-31,256.538
2001-09-03,255.041
2001-09-04,255.786
2001-09-05,254.043
2001-09-06,252.984
2001-09-07,252.183
2001-09-10,249.796
