Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap)
2001-01-01,457.808
2001-01-02,458.338
2001-01-03,461.334
2001-01-04,477.45
2001-01-05,479.271
2001-01-08,478.702
2001-01-09,483.859
2001-01-10,480.547
2001-01-11,481.659
2001-01-12,485.74
2001-01-15,487.785
2001-01-16,490.083
2001-01-17,495.334
2001-01-18,501.974
2001-01-19,509.576
2001-01-22,509.414
2001-01-23,512.087
2001-01-24,511.439
2001-01-25,511.964
2001-01-26,510.03
2001-01-29,508.704
2001-01-30,513.453
2001-01-31,521.359
2001-02-01,519.46
2001-02-02,518.213
2001-02-05,509.414
2001-02-06,511.03
2001-02-07,502.787
2001-02-08,505.892
2001-02-09,506.462
2001-02-12,507.111
2001-02-13,509.56
2001-02-14,507.845
2001-02-15,512.859
2001-02-16,508.045
2001-02-19,503.473
2001-02-20,504.171
2001-02-21,491.378
2001-02-22,482.453
2001-02-23,479.239
2001-02-26,483.585
2001-02-27,482.016
2001-02-28,480.536
2001-03-01,478.217
2001-03-02,473.638
2001-03-05,476.262
2001-03-06,480.158
2001-03-07,481.518
2001-03-08,483.036
2001-03-09,477.379
2001-03-12,462.383
2001-03-13,458.324
2001-03-14,453.635
2001-03-15,454.104
2001-03-16,450.649
2001-03-19,446.498
2001-03-20,445.528
2001-03-21,445.446
2001-03-22,435.528
2001-03-23,438.59
2001-03-26,446.058
2001-03-27,445.339
2001-03-28,441.862
2001-03-29,433.957
2001-03-30,433.338
2001-04-02,426.417
2001-04-03,416.476
2001-04-04,411.194
2001-04-05,418.191
2001-04-06,422.653
2001-04-09,420.51
2001-04-10,424.724
2001-04-11,430.705
2001-04-12,433.248
2001-04-13,433.772
2001-04-16,430.304
2001-04-17,429.925
2001-04-18,443.095
2001-04-19,449.73
2001-04-20,442.637
2001-04-23,440.546
2001-04-24,441.122
2001-04-25,442.527
2001-04-26,447.248
2001-04-27,449.213
2001-04-30,454.75
2001-05-01,454.738
2001-05-02,459.542
2001-05-03,460.062
2001-05-04,457.533
2001-05-07,458.52
2001-05-08,456.448
2001-05-09,456.279
2001-05-10,456.111
2001-05-11,454.472
2001-05-14,449.304
2001-05-15,447.176
2001-05-16,449.374
2001-05-17,461.855
2001-05-18,463.876
2001-05-21,466.577
2001-05-22,468.941
2001-05-23,470.757
2001-05-24,469.098
2001-05-25,466.919
2001-05-28,466.75
2001-05-29,465.662
2001-05-30,461.004
2001-05-31,460.178
2001-06-01,458.658
2001-06-04,460.143
2001-06-05,458.432
2001-06-06,460.557
2001-06-07,461.554
2001-06-08,466.116
2001-06-11,463.594
2001-06-12,462.094
2001-06-13,461.385
2001-06-14,458.933
2001-06-15,455.957
2001-06-18,447.046
2001-06-19,447.009
2001-06-20,445.549
2001-06-21,449.166
2001-06-22,450.196
2001-06-25,449.713
2001-06-26,447.777
2001-06-27,448.375
2001-06-28,445.631
2001-06-29,450.732
2001-07-02,451.982
2001-07-03,448.287
2001-07-04,444.657
2001-07-05,442.16
2001-07-06,435.181
2001-07-09,432.269
2001-07-10,429.53
2001-07-11,420.788
2001-07-12,424.457
2001-07-13,422.132
2001-07-16,418.42
2001-07-17,418.562
2001-07-18,416.046
2001-07-19,416.874
2001-07-20,416.462
2001-07-23,416.296
2001-07-24,413.61
2001-07-25,413.906
2001-07-26,417.994
2001-07-27,419.828
2001-07-30,420.975
2001-07-31,422.25
2001-08-01,424.73
2001-08-02,429.781
2001-08-03,429.714
2001-08-06,426.757
2001-08-07,424.083
2001-08-08,424.587
2001-08-09,420.835
