Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
2001-01-01,80.557
2001-01-02,80.369
2001-01-03,80.973
2001-01-04,84.196
2001-01-05,84.342
2001-01-08,83.908
2001-01-09,84.898
2001-01-10,84.538
2001-01-11,84.426
2001-01-12,85.45
2001-01-15,85.948
2001-01-16,86.516
2001-01-17,87.692
2001-01-18,88.884
2001-01-19,90.483
2001-01-22,90.195
2001-01-23,90.611
2001-01-24,90.253
2001-01-25,90.219
2001-01-26,89.738
2001-01-29,89.566
2001-01-30,90.726
2001-01-31,91.922
2001-02-01,91.474
2001-02-02,90.932
2001-02-05,89.327
2001-02-06,89.726
2001-02-07,88.1
2001-02-08,88.397
2001-02-09,88.19
2001-02-12,88.118
2001-02-13,88.49
2001-02-14,88.039
2001-02-15,89.334
2001-02-16,88.444
2001-02-19,87.596
2001-02-20,87.506
2001-02-21,84.928
2001-02-22,82.662
2001-02-23,82.066
2001-02-26,82.731
2001-02-27,82.417
2001-02-28,82.12
2001-03-01,81.315
2001-03-02,79.848
2001-03-05,80.598
2001-03-06,81.49
2001-03-07,82.047
2001-03-08,82.204
2001-03-09,81.183
2001-03-12,78.656
2001-03-13,78.25
2001-03-14,77.823
2001-03-15,77.808
2001-03-16,76.973
2001-03-19,76.203
2001-03-20,75.792
2001-03-21,75.809
2001-03-22,74.335
2001-03-23,74.804
2001-03-26,75.851
2001-03-27,75.62
2001-03-28,75.004
2001-03-29,73.29
2001-03-30,73.181
2001-04-02,71.946
2001-04-03,69.974
2001-04-04,68.641
2001-04-05,69.925
2001-04-06,71.129
2001-04-09,70.645
2001-04-10,71.664
2001-04-11,72.908
2001-04-12,73.639
2001-04-13,73.712
2001-04-16,73.02
2001-04-17,72.851
2001-04-18,75.367
2001-04-19,77.204
2001-04-20,75.866
2001-04-23,75.51
2001-04-24,75.299
2001-04-25,75.589
2001-04-26,76.414
2001-04-27,76.762
2001-04-30,77.832
2001-05-01,77.909
2001-05-02,79.123
2001-05-03,79.28
2001-05-04,78.547
2001-05-07,78.96
2001-05-08,78.806
2001-05-09,78.569
2001-05-10,78.412
2001-05-11,78.02
2001-05-14,77.013
2001-05-15,76.239
2001-05-16,76.614
2001-05-17,78.657
2001-05-18,78.893
2001-05-21,79.669
2001-05-22,80.165
2001-05-23,80.321
2001-05-24,79.742
2001-05-25,79.328
2001-05-28,79.401
2001-05-29,79.044
2001-05-30,78.067
2001-05-31,77.777
2001-06-01,77.682
2001-06-04,77.672
2001-06-05,76.995
2001-06-06,77.504
2001-06-07,77.907
2001-06-08,78.824
2001-06-11,78.195
2001-06-12,77.967
2001-06-13,77.868
2001-06-14,77.437
2001-06-15,76.796
2001-06-18,75.146
2001-06-19,75.238
2001-06-20,74.919
2001-06-21,75.436
2001-06-22,75.685
2001-06-25,75.392
2001-06-26,75.042
2001-06-27,75.125
2001-06-28,74.595
2001-06-29,75.676
2001-07-02,76.044
2001-07-03,75.582
2001-07-04,74.966
2001-07-05,74.448
2001-07-06,73.143
2001-07-09,72.45
2001-07-10,71.866
2001-07-11,70.37
2001-07-12,71.263
2001-07-13,70.827
2001-07-16,70.275
2001-07-17,70.425
2001-07-18,69.889
2001-07-19,70.236
2001-07-20,70.211
2001-07-23,70.03
2001-07-24,69.665
2001-07-25,70.045
2001-07-26,70.626
2001-07-27,70.98
2001-07-30,71.269
2001-07-31,71.886
2001-08-01,72.379
2001-08-02,73.121
2001-08-03,73.057
2001-08-06,72.481
2001-08-07,71.809
2001-08-08,71.801
2001-08-09,71.092
2001-08-10,71.412
2001-08-13,71.653
2001-08-14,72.558
2001-08-15,72.372
2001-08-16,71.606
2001-08-17,70.289
2001-08-20,69.341
2001-08-21,69.398
2001-08-22,69.314
2001-08-23,69.419
2001-08-24,69.427
2001-08-27,70.553
2001-08-28,70.445
2001-08-29,70.363
2001-08-30,69.799
2001-08-31,69.339
2001-09-03,68.817
2001-09-04,69.44
2001-09-05,68.743
2001-09-06,67.513
2001-09-07,67.367
2001-09-10,66.892
2001-09-11,64.766
2001-09-12,63.1
2001-09-13,62.129
2001-09-14,60.848
2001-09-17,59.978
2001-09-18,60.525
2001-09-19,60.801
2001-09-20,59.078
2001-09-21,57.485
2001-09-24,58.005
2001-09-25,57.439
2001-09-26,57.353
2001-09-27,57.168
2001-09-28,57.957
2001-10-01,57.631
2001-10-02,57.16
2001-10-03,56.922
2001-10-04,58.037
2001-10-05,58.283
2001-10-08,57.358
2001-10-09,58.698
2001-10-10,59.664
2001-10-11,61.685
2001-10-12,61.637
2001-10-15,61.148
2001-10-16,61.724
2001-10-17,62.19
2001-10-18,61.323
2001-10-19,61.528
2001-10-22,61.641
2001-10-23,62.305
2001-10-24,63.296
2001-10-25,63.172
2001-10-26,63.519
2001-10-29,63.509
2001-10-30,62.066
2001-10-31,62.209
2001-11-01,62.722
2001-11-02,63.184
2001-11-05,64.369
2001-11-06,64.743
2001-11-07,64.663
2001-11-08,65.704
2001-11-09,65.972
2001-11-12,65.678
2001-11-13,66.621
2001-11-14,67.772
2001-11-15,68.578
2001-11-16,68.701
2001-11-19,70.051
2001-11-20,68.706
2001-11-21,68.581
2001-11-22,68.965
2001-11-23,69.814
2001-11-26,70.87
2001-11-27,70.886
2001-11-28,69.276
2001-11-29,68.716
2001-11-30,68.864
2001-12-03,69.919
2001-12-04,70.974
2001-12-05,73.617
2001-12-06,74.886
2001-12-07,75.189
2001-12-10,73.935
2001-12-11,73.797
2001-12-12,75.098
2001-12-13,73.712
2001-12-14,73.088
2001-12-17,72.909
2001-12-18,73.215
2001-12-19,73.569
2001-12-20,73.572
2001-12-21,72.559
2001-12-24,72.956
2001-12-25,73.317
2001-12-26,73.474
2001-12-27,74.001
2001-12-28,75.092
2001-12-31,75.579
2002-01-01,75.569
2002-01-02,76.589
2002-01-03,77.276
2002-01-04,78.987
2002-01-07,79.681
2002-01-08,79.154
2002-01-09,78.888
2002-01-10,77.658
2002-01-11,76.903
2002-01-14,77.286
2002-01-15,76.154
2002-01-16,75.144
2002-01-17,75.548
2002-01-18,75.455
2002-01-21,76.044
2002-01-22,75.803
2002-01-23,76.367
2002-01-24,76.438
2002-01-25,76.716
2002-01-28,76.935
2002-01-29,76.689
2002-01-30,75.438
2002-01-31,76.464
2002-02-01,76.301
2002-02-04,76.088
2002-02-05,76.19
2002-02-06,76.55
2002-02-07,75.812
2002-02-08,76.039
2002-02-11,75.946
2002-02-12,76.266
2002-02-13,76.647
2002-02-14,78.039
2002-02-15,77.893
2002-02-18,78.042
2002-02-19,77.206
2002-02-20,76.126
2002-02-21,76.039
2002-02-22,75.909
2002-02-25,75.94
2002-02-26,76.276
2002-02-27,77.749
2002-02-28,77.218
2002-03-01,78.154
2002-03-04,80.456
2002-03-05,81.382
2002-03-06,81.863
2002-03-07,81.567
2002-03-08,81.102
2002-03-11,81.853
2002-03-12,81.669
2002-03-13,81.243
2002-03-14,81.278
2002-03-15,80.695
2002-03-18,81.073
2002-03-19,81.442
2002-03-20,81.811
2002-03-21,81.597
2002-03-22,82.076
2002-03-25,81.494
2002-03-26,81.653
2002-03-27,82.193
2002-03-28,82.46
2002-03-29,82.678
2002-04-01,82.641
2002-04-02,83.404
2002-04-03,82.854
2002-04-04,82.164
2002-04-05,82.631
2002-04-08,81.878
2002-04-09,81.767
2002-04-10,81.73
2002-04-11,81.784
2002-04-12,81.993
2002-04-15,82.804
2002-04-16,83.518
2002-04-17,85.141
2002-04-18,85.259
2002-04-19,84.692
2002-04-22,84.74
2002-04-23,85.346
2002-04-24,85.618
2002-04-25,84.642
2002-04-26,84.332
2002-04-29,83.041
2002-04-30,83.105
2002-05-01,83.061
2002-05-02,82.848
2002-05-03,82.843
2002-05-06,81.445
2002-05-07,81.854
2002-05-08,82.992
2002-05-09,82.575
2002-05-10,81.678
2002-05-13,81.75
2002-05-14,82.798
2002-05-15,83.627
2002-05-16,83.687
2002-05-17,84.913
2002-05-20,84.377
2002-05-21,83.399
2002-05-22,83.96
2002-05-23,83.285
2002-05-24,84.103
2002-05-27,83.789
2002-05-28,83.661
2002-05-29,83.08
2002-05-30,82.5
2002-05-31,81.105
2002-06-03,81.664
2002-06-04,81.645
2002-06-05,81.262
2002-06-06,80.87
2002-06-07,79.38
2002-06-10,79.876
2002-06-11,79.384
2002-06-12,78.829
2002-06-13,78.841
2002-06-14,78.239
2002-06-17,78.084
2002-06-18,78.444
2002-06-19,76.775
2002-06-20,75.904
2002-06-21,75.425
2002-06-24,74.921
2002-06-25,75.126
2002-06-26,72.552
2002-06-27,73.635
2002-06-28,75.048
2002-07-01,74.747
2002-07-02,74.306
2002-07-03,74.075
2002-07-04,75.156
2002-07-05,76.434
2002-07-08,77.157
2002-07-09,77.868
2002-07-10,76.741
2002-07-11,75.101
2002-07-12,76.907
2002-07-15,76.566
2002-07-16,75.897
2002-07-17,76.027
2002-07-18,76.177
2002-07-19,75.027
2002-07-22,72.488
2002-07-23,72.493
2002-07-24,70.535
2002-07-25,70.566
2002-07-26,68.133
2002-07-29,68.388
2002-07-30,69.467
2002-07-31,68.835
2002-08-01,68.484
2002-08-02,68.614
2002-08-05,66.441
2002-08-06,65.719
2002-08-07,67.501
2002-08-08,68.614
2002-08-09,68.955
2002-08-12,68.739
2002-08-13,68.92
2002-08-14,69.616
2002-08-15,70.177
2002-08-16,70.628
2002-08-19,70.863
2002-08-20,71.357
2002-08-21,71.541
2002-08-22,71.659
2002-08-23,71.331
2002-08-26,71.094
2002-08-27,71.093
2002-08-28,70.177
2002-08-29,69.846
2002-08-30,70.475
2002-09-02,70.447
2002-09-03,69.408
2002-09-04,68.963
2002-09-05,68.746
2002-09-06,68.809
2002-09-09,69.399
2002-09-10,70.429
2002-09-11,70.873
2002-09-12,70.996
2002-09-13,69.766
2002-09-16,68.592
2002-09-17,69.642
2002-09-18,68.005
2002-09-19,67.467
2002-09-20,67.195
2002-09-23,65.728
2002-09-24,65.281
2002-09-25,64.542
2002-09-26,65.049
2002-09-27,64.503
2002-09-30,63.561
2002-10-01,64.005
2002-10-02,64.233
2002-10-03,64.066
2002-10-04,64.453
2002-10-07,62.941
2002-10-08,62.916
2002-10-09,62.065
2002-10-10,60.903
2002-10-11,60.974
2002-10-14,61.767
2002-10-15,63.442
2002-10-16,64.071
2002-10-17,64.687
2002-10-18,65.929
2002-10-21,65.851
2002-10-22,65.314
2002-10-23,66.763
2002-10-24,66.897
2002-10-25,67.122
2002-10-28,68.104
2002-10-29,67.432
2002-10-30,67.103
2002-10-31,68.194
2002-11-01,68.007
2002-11-04,69.714
2002-11-05,69.324
2002-11-06,70.054
2002-11-07,70.609
2002-11-08,70.586
2002-11-11,69.488
2002-11-12,68.984
2002-11-13,68.787
2002-11-14,68.9
2002-11-15,70.408
2002-11-18,70.67
2002-11-19,70.148
2002-11-20,70.329
2002-11-21,71.553
2002-11-22,71.978
2002-11-25,72.561
2002-11-26,71.946
2002-11-27,72.064
2002-11-28,72.586
2002-11-29,72.844
2002-12-02,73.335
2002-12-03,73.577
2002-12-04,72.382
2002-12-05,72.288
2002-12-06,72.221
2002-12-09,72.557
2002-12-10,71.926
2002-12-11,71.844
2002-12-12,72.102
2002-12-13,71.906
2002-12-16,71.425
2002-12-17,71.947
2002-12-18,71.663
2002-12-19,71.8
2002-12-20,72.233
2002-12-23,71.601
2002-12-24,71.197
2002-12-25,71.144
2002-12-26,71.319
2002-12-27,70.907
2002-12-30,69.858
2002-12-31,69.831
2003-01-01,69.899
2003-01-02,70.258
2003-01-03,71.863
2003-01-06,72.851
2003-01-07,72.196
2003-01-08,72.358
2003-01-09,71.992
2003-01-10,72.239
2003-01-13,73.235
2003-01-14,73.131
2003-01-15,73.313
2003-01-16,72.864
2003-01-17,71.947
2003-01-20,71.569
2003-01-21,70.992
2003-01-22,70.3
2003-01-23,70.409
2003-01-24,69.681
2003-01-27,68.485
2003-01-28,68.695
2003-01-29,68.235
2003-01-30,68.407
