Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2001-01-01,511.75
2001-01-02,509.752
2001-01-03,502.368
2001-01-04,510.36
2001-01-05,511.484
2001-01-08,507.978
2001-01-09,500.072
2001-01-10,498.144
2001-01-11,507.76
2001-01-12,510.95
2001-01-15,509.193
2001-01-16,502.483
2001-01-17,508.733
2001-01-18,514.447
2001-01-19,509.648
2001-01-22,509.635
2001-01-23,510.604
2001-01-24,506.926
2001-01-25,506.896
2001-01-26,506.735
2001-01-29,506.046
2001-01-30,509.462
2001-01-31,513.876
2001-02-01,514.593
2001-02-02,508.037
2001-02-05,510.128
2001-02-06,508.457
2001-02-07,503.381
2001-02-08,496.861
2001-02-09,493.672
2001-02-12,499.709
2001-02-13,495.585
2001-02-14,488.829
2001-02-15,487.023
2001-02-16,483.954
2001-02-19,484.785
2001-02-20,476.505
2001-02-21,473.73
2001-02-22,469.572
2001-02-23,463.365
2001-02-26,467.045
2001-02-27,472.149
2001-02-28,471.043
2001-03-01,471.005
2001-03-02,473.877
2001-03-05,475.57
2001-03-06,482.76
2001-03-07,481.486
2001-03-08,481.599
2001-03-09,476.461
2001-03-12,464.981
2001-03-13,454.377
2001-03-14,444.574
2001-03-15,448.23
2001-03-16,434.252
2001-03-19,431.744
2001-03-20,439.471
2001-03-21,429.04
2001-03-22,406.849
2001-03-23,419.433
2001-03-26,432.956
2001-03-27,442.324
2001-03-28,433.59
2001-03-29,431.208
2001-03-30,433.474
2001-04-02,431.132
2001-04-03,421.07
2001-04-04,429.083
2001-04-05,435.577
2001-04-06,436.386
2001-04-09,442.149
2001-04-10,446.096
2001-04-11,445.342
2001-04-12,449.212
2001-04-13,449.206
2001-04-16,445.466
2001-04-17,442.565
2001-04-18,449.842
2001-04-19,456.662
2001-04-20,459.123
2001-04-23,453.796
2001-04-24,454.048
2001-04-25,454.939
2001-04-26,459.787
2001-04-27,461.465
2001-04-30,463.402
2001-05-01,464.428
2001-05-02,463.32
2001-05-03,456.302
2001-05-04,459.659
2001-05-07,460.565
2001-05-08,458.039
2001-05-09,454.961
2001-05-10,461.175
2001-05-11,456.236
2001-05-14,448.798
2001-05-15,454.849
2001-05-16,457.807
2001-05-17,460.882
2001-05-18,462.155
2001-05-21,463.705
2001-05-22,462.741
2001-05-23,456.846
2001-05-24,455.392
2001-05-25,453.1
2001-05-28,454.823
2001-05-29,449.572
2001-05-30,445.69
2001-05-31,442.579
2001-06-01,441.081
2001-06-04,442.914
2001-06-05,447.303
2001-06-06,443.797
2001-06-07,444.814
2001-06-08,443.196
2001-06-11,436.523
2001-06-12,432.179
2001-06-13,436.48
2001-06-14,434.769
2001-06-15,432.749
2001-06-18,429.105
2001-06-19,428.404
2001-06-20,423.813
2001-06-21,424.9
2001-06-22,426.297
2001-06-25,428.833
2001-06-26,422.714
2001-06-27,422.503
2001-06-28,422.365
2001-06-29,425.153
2001-07-02,430.463
2001-07-03,426.066
2001-07-04,422.921
2001-07-05,416.151
2001-07-06,411.775
2001-07-09,413.274
2001-07-10,414.002
2001-07-11,411.245
2001-07-12,412.11
2001-07-13,413.749
2001-07-16,413.118
2001-07-17,408.261
2001-07-18,412.271
2001-07-19,416.904
2001-07-20,415.577
2001-07-23,414.877
2001-07-24,412.366
2001-07-25,409.637
2001-07-26,411.243
2001-07-27,416.544
2001-07-30,421.198
2001-07-31,425.09
2001-08-01,428.793
2001-08-02,430.584
2001-08-03,428.762
2001-08-06,426.309
2001-08-07,424.946
2001-08-08,420.08
2001-08-09,418.142
2001-08-10,418.194
2001-08-13,421.106
2001-08-14,425.205
2001-08-15,428.851
2001-08-16,425.279
2001-08-17,421.064
2001-08-20,419.116
2001-08-21,422.97
2001-08-22,425.415
2001-08-23,422.936
2001-08-24,428.841
2001-08-27,427.803
2001-08-28,423.428
2001-08-29,423.172
2001-08-30,415.402
2001-08-31,415.433
2001-09-03,410.29
2001-09-04,408.488
2001-09-05,402.247
2001-09-06,394.654
2001-09-07,391.035
2001-09-10,385.16
2001-09-11,366.412
2001-09-12,369.554
2001-09-13,373.666
2001-09-14,361.184
2001-09-17,366.992
2001-09-18,363.763
2001-09-19,359.772
2001-09-20,345.124
2001-09-21,332.171
2001-09-24,347.961
2001-09-25,355.271
2001-09-26,359.065
2001-09-27,362.369
2001-09-28,369.253
2001-10-01,364.341
2001-10-02,366.44
2001-10-03,369.373
2001-10-04,378.59
2001-10-05,378.721
2001-10-08,378.634
2001-10-09,378.028
2001-10-10,383.612
